city,state,2010population,2011population,2012population,2013population,2014population,2015population,2016population,populationRecent,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,dnrCount,zeroCount
Alachua,Florida,9757,9182,9264,9338,9456,No Data,No Data,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Alameda,California,71016,74680,75467,76206,77048,78613,79597,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,0,1,0,0,1,0,2,,
Alamo,Georgia,17687,18739,19178,18876,19054,19385,19409,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Alamo Heights,Texas,7488,7179,7305,7443,7673,8003,8248,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Alamogordo,New Mexico,36555,30743,31377,31788,31546,No Data,No Data,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0, DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Alamosa,Colorado,8660,8933,9061,No Data,No Data,9598,9927,,0,0,0,0,0,0,2,0,DNR,DNR,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,,
Alapaha,Georgia,No Data,No Data,679,646,655,641,653,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,DNR,0,0,0,0,0, DNR, DNR, DNR,0,0,0,0,0,0,0,0,,
Albany,California,1105,1022,1022,1015,1017,1016,1018,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Albemarle,North Carolina,15446,16105,16071,15946,16033,15995,16024,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Albers,Illinois,1065,No Data,1197,No Data,1179,1177,No Data,,0,0,0,0,DNR,DNR,DNR,DNR,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,,
Albert Lea,Minnesota,No Data,18155,18082,17867,17833,17763,17604,,DNR,DNR,DNR,DNR,0,DNR,1,DNR,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Albia,Iowa,3541,3786,3820,3829,3800,3784,3840,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Albion,Illinois,1509,1521,1519,1975,1485,1469,1459,,0,0,0,DNR,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR, DNR,,
Albion Village,New York,5437,No Data,5993,6388,5872,5994,5984,,0,0,0,DNR,DNR,DNR,DNR,DNR,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Albuquerque,New Mexico,545389,551961,No Data,558165,558874,559721,561560,,10,4,6,1,5,9,7,3,DNR,DNR,DNR,DNR,2,1,6,1, DNR,6, DNR,4,6,5,1, DNR,2,2,11,10,,
Alburtis,Pennsylvania,2449,2369,2389,2390,2384,2412,2552,,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0, DNR, DNR,0,,
Alcester,South Dakota,No Data,No Data,No Data,809,799,783,752,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR, DNR, DNR, DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Alcoa,Tennessee,8775,8525,8587,8605,8689,8831,9503,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,,
Aldan,Pennsylvania,4284,4165,4162,4150,4158,4170,4168,,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0, DNR,0, DNR,0,0,0,0,0, DNR,,
Alderson,West Virginia,No Data,1186,1193,1184,1179,1184,1181,,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR, DNR, DNR,0,0,0,0,,
Aledo,Illinois,3466,No Data,3626,3567,3641,3575,3549,,0,0,0,0,DNR,DNR,DNR,DNR,0,0,0,0,0, DNR, DNR, DNR,0,0,0,0,0,0,0,0,0,0,0,0,,
Aleppo Township,Pennsylvania,1220,1922,1923,1918,1914,1911,1903,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,,
