state,city,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2010population,2011population,2012population,2013population,2014population,2015population,2016population, populationRecent
New York,Addison Town and Village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2466,2607,"2,611",2577,2568,2552,2541
Michigan,Addison Township,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,6541,6532
Ohio,Addyston,0,0,DNR,DNR,0,0,0,0,0,0,0,0,0,0, DNR, DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,1001,939,935,934,No Data,No Data,No Data
Georgia,Adel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4462,3701,"3,879",3990,4133,4291,4356
California,Adelanto,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,29697,32138,"32,520",31165,31213,33005,33479
Michigan,Adrian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1863,1683,"1,677",1633,1624,1627,1611
Michigan,Adrian Township,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,No Data,No Data,No Data,No Data,6274,6352,No Data
Missouri,Advance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,1352,"1,342",1341,1340,1368,1369
Wyoming,Afton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,1926,"1,934",1906,1961,1982,1983
New York,Afton Village,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,No Data,No Data,821,821,820,815,806
Massachusetts,Agawam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,28215,28611,"28,708",28659,28769,28853,28844
California,Agoura Hills,0,1,1,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22318,20569,"20,667",20762,20767,20970,21032
North Carolina,Ahoskie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4617,5103,"5,039",4988,5017,4955,4883
South Carolina,Aiken,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29875,29868,"29,909",29965,30458,30415,30800
Washington,Airway Heights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5618,6210,"6,198",6441,6502,6652,8425
Minnesota,Aitkin,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,2031
Minnesota,Akeley,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0, DNR, DNR,0,No Data,No Data,No Data,No Data,No Data,No Data,431
Ohio,Akron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,4053,3888,"3,914",3918,3933,4001,4014
New York,Akron Village,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2923,2881,"2,880",2846,2842,2851,2840
Michigan,Akron-Fairgrove,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,No Data,No Data,961,No Data,No Data,No Data,No Data
Alabama,Alabaster,0,0,0,0,1,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,30781,30498,No Data,No Data,No Data,No Data,No Data
Florida,Alachua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,9757,9182,"9,264",9338,9456,No Data,No Data
California,Alameda,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,0,1,0,0,1,0,2,71016,74680,"75,467",76206,77048,78613,79597
Georgia,Alamo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17687,18739,"19,178",18876,19054,19385,19409
Texas,Alamo Heights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7488,7179,"7,305",7443,7673,8003,8248
New Mexico,Alamogordo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0, DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,36555,30743,"31,377",31788,31546,No Data,No Data
Colorado,Alamosa,0,0,0,0,0,0,2,0,DNR,DNR,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,8660,8933,"9,061",No Data,No Data,9598,9927
Georgia,Alapaha,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,DNR,0,0,0,0,0, DNR, DNR, DNR,0,0,0,0,0,0,0,0,No Data,No Data,679,646,655,641,653
California,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105,1022,"1,022",1015,1017,1016,1018
North Carolina,Albemarle,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15446,16105,"16,071",15946,16033,15995,16024
Illinois,Albers,0,0,0,0,DNR,DNR,DNR,DNR,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,1065,No Data,"1,197",No Data,1179,1177,No Data
Minnesota,Albert Lea,DNR,DNR,DNR,DNR,0,DNR,1,DNR,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,18155,"18,082",17867,17833,17763,17604
Iowa,Albia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3541,3786,"3,820",3829,3800,3784,3840
Illinois,Albion,0,0,0,DNR,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR, DNR,1509,1521,"1,519",1975,1485,1469,1459
New York,Albion Village,0,0,0,DNR,DNR,DNR,DNR,DNR,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5437,No Data,"5,993",6388,5872,5994,5984
New Mexico,Albuquerque,10,4,6,1,5,9,7,3,DNR,DNR,DNR,DNR,2,1,6,1, DNR,6, DNR,4,6,5,1, DNR,2,2,11,10,545389,551961,No Data,558165,558874,559721,561560
Pennsylvania,Alburtis,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0, DNR, DNR,0,2449,2369,"2,389",2390,2384,2412,2552
South Dakota,Alcester,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR, DNR, DNR, DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,No Data,809,799,783,752
Tennessee,Alcoa,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8775,8525,"8,587",8605,8689,8831,9503
Pennsylvania,Aldan,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0, DNR,0, DNR,0,0,0,0,0, DNR,4284,4165,"4,162",4150,4158,4170,4168
West Virginia,Alderson,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR, DNR, DNR,0,0,0,0,No Data,1186,"1,193",1184,1179,1184,1181
Illinois,Aledo,0,0,0,0,DNR,DNR,DNR,DNR,0,0,0,0,0, DNR, DNR, DNR,0,0,0,0,0,0,0,0,0,0,0,0,3466,No Data,"3,626",3567,3641,3575,3549
Pennsylvania,Aleppo Township,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,1220,1922,"1,923",1918,1914,1911,1903
Arkansas,Alexander,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR, DNR,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,2853,2841
