Year,State,Agency type,Agency name,quarter01,quarter02,quarter03,quarter04,Population2
2010,CALIFORNIA,Cities,Clovis,0,0,5,1,95901
2010,CALIFORNIA,Cities,Commerce,0,0,2,0,13466
2010,CALIFORNIA,Cities,Compton,1,1,1,0,93916
2010,CALIFORNIA,Cities,Concord,0,2,2,1,122119
2010,CALIFORNIA,Cities,Corona,1,0,1,0,153311
2010,CALIFORNIA,Cities,Coronado,0,0,0,1,22033
2010,CALIFORNIA,Cities,Costa Mesa,2,1,2,0,110424
2010,CALIFORNIA,Cities,Covina,0,1,0,0,46728
2010,CALIFORNIA,Cities,Cypress,0,1,1,0,47320
2010,CALIFORNIA,Cities,Davis,2,2,4,3,63292
2010,CALIFORNIA,Cities,Delano,0,0,1,0,54298
2010,CALIFORNIA,Cities,Del Mar,0,0,0,1,4554
2010,CALIFORNIA,Cities,Downey,0,2,0,0,106992
2010,CALIFORNIA,Cities,Duarte,0,0,1,0,21789
2010,CALIFORNIA,Cities,Dublin,1,0,0,0,46209
2010,CALIFORNIA,Cities,East Palo Alto,0,1,0,0,34294
2010,CALIFORNIA,Cities,El Cajon,0,1,0,0,94311
2010,CALIFORNIA,Cities,El Cerrito,1,1,0,0,22263
2010,CALIFORNIA,Cities,El Monte,1,1,1,1,121884
2010,CALIFORNIA,Cities,Emeryville,1,0,0,0,10207
2010,CALIFORNIA,Cities,Encinitas,3,3,1,0,61898
2010,CALIFORNIA,Cities,Escalon,0,0,1,0,7463
2010,CALIFORNIA,Cities,Escondido,2,1,3,2,140662
2010,CALIFORNIA,Cities,Eureka,0,0,1,0,25143
2010,CALIFORNIA,Cities,Fontana,1,0,0,0,192595
2010,CALIFORNIA,Cities,Fort Bragg,0,1,0,2,6550
2010,CALIFORNIA,Cities,Foster City,0,0,0,1,29283
2010,CALIFORNIA,Cities,Fountain Valley,2,0,0,0,55879
2010,CALIFORNIA,Cities,Fremont,0,0,2,0,205477
2010,CALIFORNIA,Cities,Fresno,3,2,1,0,484734
2010,CALIFORNIA,Cities,Galt,1,0,0,0,24517
2010,CALIFORNIA,Cities,Garden Grove,0,2,1,0,166287
2010,CALIFORNIA,Cities,Glendale,3,0,1,0,196877
2010,CALIFORNIA,Cities,Grass Valley,0,1,0,0,12330
2010,CALIFORNIA,Cities,Greenfield,1,0,0,0,15626
2010,CALIFORNIA,Cities,Gridley,1,0,0,0,6528
2010,CALIFORNIA,Cities,Hawaiian Gardens,1,0,1,0,15211
2010,CALIFORNIA,Cities,Hercules,0,0,2,0,25192
2010,CALIFORNIA,Cities,Hermosa Beach,0,1,0,0,19408
2010,CALIFORNIA,Cities,Hesperia,1,0,1,0,88876
2010,CALIFORNIA,Cities,Huntington Beach,2,5,2,1,193545
2010,CALIFORNIA,Cities,Indio,1,1,0,1,89621
2010,CALIFORNIA,Cities,La Habra,1,1,1,0,59355
2010,CALIFORNIA,Cities,Lake Forest,0,0,1,0,75780
2010,CALIFORNIA,Cities,Lakewood,2,2,0,0,77901
2010,CALIFORNIA,Cities,La Mesa,1,1,0,0,55580
2010,CALIFORNIA,Cities,Lancaster,2,1,4,0,148632
2010,CALIFORNIA,Cities,La Quinta,2,1,1,2,47441
2010,CALIFORNIA,Cities,La Verne,1,0,0,0,34066
2010,CALIFORNIA,Cities,Lemoore,0,0,1,0,24766
2010,CALIFORNIA,Cities,Livermore,1,11,3,0,81769
2010,CALIFORNIA,Cities,Lodi,0,0,1,0,61812
2010,CALIFORNIA,Cities,Long Beach,1,3,2,4,462267
2010,CALIFORNIA,Cities,Los Alamitos,1,0,3,0,11698
2010,CALIFORNIA,Cities,Los Angeles,29,43,38,28,3841707
2010,CALIFORNIA,Cities,Los Gatos,6,0,0,0,29558
2010,CALIFORNIA,Cities,Madera,0,0,3,0,58147
2010,CALIFORNIA,Cities,Malibu,0,1,2,0,13078
2010,CALIFORNIA,Cities,Manteca,0,1,0,0,67344
2010,CALIFORNIA,Cities,Marina,0,0,1,0,17921
2010,CALIFORNIA,Cities,Marysville,0,0,1,0,11548
2010,CALIFORNIA,Cities,Maywood,0,1,0,0,28114
2010,CALIFORNIA,Cities,Merced,1,0,1,0,77484
2010,CALIFORNIA,Cities,Millbrae,0,0,1,0,21295
2010,CALIFORNIA,Cities,Mission Viejo,2,0,1,0,94679
2010,CALIFORNIA,Cities,Modesto,1,2,2,1,203890
2010,CALIFORNIA,Cities,Monterey,1,0,1,1,27619
2010,CALIFORNIA,Cities,Moreno Valley,1,3,0,0,197294
2010,CALIFORNIA,Cities,Murrieta,0,0,0,1,104343
2010,CALIFORNIA,Cities,National City,1,0,0,0,56270
2010,CALIFORNIA,Cities,Newark,0,1,1,1,42099
2010,CALIFORNIA,Cities,Newport Beach,0,1,0,0,81882
2010,CALIFORNIA,Cities,Norwalk,2,1,0,0,102221
2010,CALIFORNIA,Cities,Novato,3,1,0,1,54009
2010,CALIFORNIA,Cities,Oakland,3,3,6,3,409723
2010,CALIFORNIA,Cities,Oakley,0,1,1,0,33556
2010,CALIFORNIA,Cities,Oceanside,0,1,5,0,173901
2010,CALIFORNIA,Cities,Ontario,0,1,1,0,172814
2010,CALIFORNIA,Cities,Oxnard,1,2,1,5,189051
2010,CALIFORNIA,Cities,Pacifica,0,2,0,0,37917
2010,CALIFORNIA,Cities,Pacific Grove,0,0,0,1,14537
2010,CALIFORNIA,Cities,Palmdale,1,3,1,1,146819
2010,CALIFORNIA,Cities,Palm Springs,2,8,3,3,48696
2010,CALIFORNIA,Cities,Palo Alto,0,1,1,0,60288
2010,CALIFORNIA,Cities,Paradise,0,0,0,1,26424
2010,CALIFORNIA,Cities,Paramount,1,0,0,0,54914
2010,CALIFORNIA,Cities,Parlier,0,1,0,0,13532
2010,CALIFORNIA,Cities,Pasadena,1,0,1,1,144496
2010,CALIFORNIA,Cities,Patterson,0,0,1,0,19938
2010,CALIFORNIA,Cities,Perris,1,1,0,0,58622
2010,CALIFORNIA,Cities,Petaluma,0,1,0,0,55168
2010,CALIFORNIA,Cities,Pico Rivera,0,0,0,1,62783
2010,CALIFORNIA,Cities,Placentia,0,1,0,0,50237
2010,CALIFORNIA,Cities,Pleasant Hill,0,1,0,0,33048
2010,CALIFORNIA,Cities,Pomona,0,1,2,2,152673
2010,CALIFORNIA,Cities,Poway,0,1,0,0,50010
2010,CALIFORNIA,Cities,Rancho Cucamonga,0,1,0,1,176686
2010,CALIFORNIA,Cities,Rancho Palos Verdes,0,0,3,0,40905
2010,CALIFORNIA,Cities,Rancho Santa Margarita,0,0,1,0,49665
