state,agencyType,agencyName,q01,q02,q03,q04,population,addendum
Arkansas,Cities,Cave Springs,0,0,0,0,"1,785",0
Arkansas,Cities,Centerton,0,0,0,0,"9,821",0
Arkansas,Cities,Charleston,0,0,0,0,"2,492",0
Arkansas,Cities,Cherokee Village,0,0,0,0,"4,735",0
Arkansas,Cities,Clarendon,0,0,0,0,"1,655",0
Arkansas,Cities,Clarksville,0,0,0,0,"9,286",0
Arkansas,Cities,Clinton,0,0,0,0,"2,580",0
Arkansas,Cities,Conway,0,0,0,0,"60,700",0
Arkansas,Cities,Corning,0,0,0,0,"3,348",0
Arkansas,Cities,Cotter,0,0,0,0,975,0
Arkansas,Cities,Crossett,0,0,0,0,"5,487",0
Arkansas,Cities,Danville,0,0,0,0,"2,405",0
Arkansas,Cities,Dardanelle,0,0,0,0,"4,738",0
Arkansas,Cities,Decatur,0,0,0,0,"1,752",0
Arkansas,Cities,De Queen,0,0,0,0,"6,708",0
Arkansas,Cities,Dermott,0,0,0,0,"2,310",0
Arkansas,Cities,Des Arc,0,0,0,0,"1,705",0
Arkansas,Cities,De Witt,0,0,0,0,"3,282",0
Arkansas,Cities,Diaz,0,0,0,0,"1,313",0
Arkansas,Cities,Dierks,DNR,DNR,DNR,0,"1,145",0
Arkansas,Cities,Dover,0,0,0,0,"1,396",0
Arkansas,Cities,Dumas,0,0,0,0,"4,635",0
Arkansas,Cities,Earle,0,0,0,0,"2,405",0
Arkansas,Cities,El Dorado,0,0,0,0,"18,860",0
Arkansas,Cities,Elkins,0,0,0,0,"2,718",0
Arkansas,Cities,England,0,DNR,DNR,0,"2,875",0
Arkansas,Cities,Etowah,0,0,0,0,348,0
Arkansas,Cities,Eudora,0,0,0,0,"2,261",0
Arkansas,Cities,Eureka Springs,0,0,0,0,"2,082",0
Arkansas,Cities,Fairfield Bay,0,0,0,0,"2,319",0
Arkansas,Cities,Farmington,0,0,0,0,"6,133",0
Arkansas,Cities,Fayetteville,0,0,0,0,"75,387",0
Arkansas,Cities,Flippin,0,0,0,0,"1,354",0
Arkansas,Cities,Fordyce,0,0,0,0,"4,295",0
Arkansas,Cities,Forrest City,0,0,0,0,"15,295",0
Arkansas,Cities,Gassville,0,0,0,0,"2,087",0
Arkansas,Cities,Gentry,0,0,0,0,"3,260",0
Arkansas,Cities,Glenwood,0,0,0,0,"2,228",0
Arkansas,Cities,Gosnell,0,0,0,0,"3,520",0
Arkansas,Cities,Gravette,0,0,0,0,"2,400",0
Arkansas,Cities,Greenbrier,0,0,0,0,"4,859",0
Arkansas,Cities,Green Forest,0,0,0,0,"2,779",0
Arkansas,Cities,Greenland,0,0,0,0,"1,292",0
Arkansas,Cities,Greenwood,0,0,0,0,"9,086",0
Arkansas,Cities,Greers Ferry,0,0,0,0,892,0
Arkansas,Cities,Gurdon,0,0,0,0,"2,205",0
Arkansas,Cities,Guy,0,0,0,0,732,0
Arkansas,Cities,Hamburg,0,0,0,0,"2,883",0
Arkansas,Cities,Hampton,0,0,0,0,"1,273",0
Arkansas,Cities,Hardy,0,0,0,0,780,0
Arkansas,Cities,Harrisburg,0,0,0,0,"2,292",0
Arkansas,Cities,Harrison,0,0,0,0,"13,043",0
Arkansas,Cities,Hazen,0,0,0,0,"1,457",0
Arkansas,Cities,Heber Springs,0,0,0,0,"7,173",0
Arkansas,Cities,Helena-West Helena,0,0,0,0,"12,152",0
Arkansas,Cities,Highfill,0,0,0,0,604,0
Arkansas,Cities,Highland,0,0,0,0,"1,056",0
Arkansas,Cities,Hope,0,0,0,0,"10,103",0
Arkansas,Cities,Horseshoe Bend,0,0,0,0,"2,146",0
Arkansas,Cities,Hot Springs,0,0,0,0,"35,722",0
Arkansas,Cities,Hoxie,0,0,0,0,"2,751",0
Arkansas,Cities,Hughes,0,DNR,0,0,"1,427",0
Arkansas,Cities,Jacksonville,0,0,0,0,"28,733",0
Arkansas,Cities,Judsonia,0,0,0,0,"2,056",0
Arkansas,Cities,Keiser,0,0,0,0,754,0
Arkansas,Cities,Kensett,0,0,0,0,"1,678",0
Arkansas,Cities,Lake City,0,0,0,0,"2,131",0
Arkansas,Cities,Lakeview,0,0,0,0,745,0
Arkansas,Cities,Lake Village,0,0,0,0,"2,567",0
Arkansas,Cities,Lamar,DNR,0,0,0,"1,626",0
Arkansas,Cities,Leachville,0,0,0,0,"1,977",0
Arkansas,Cities,Lepanto,0,0,0,0,"1,895",0
Arkansas,Cities,Lewisville,0,0,0,0,"1,272",0
Arkansas,Cities,Lincoln,0,0,0,0,"2,308",0
Arkansas,Cities,Little Flock,0,0,0,0,"2,667",0
Arkansas,Cities,Little Rock,0,0,0,0,"196,055",0
Arkansas,Cities,Lonoke,0,0,0,0,"4,319",0
Arkansas,Cities,Lowell,0,0,0,0,"7,565",0
Arkansas,Cities,Luxora,0,0,0,0,"1,169",0
Arkansas,Cities,Madison,0,DNR,DNR,DNR,764,0
Arkansas,Cities,Magnolia,0,0,0,0,"11,554",0
Arkansas,Cities,Malvern,0,0,0,0,"10,346",0
Arkansas,Cities,Mammoth Spring,0,0,0,0,985,0
Arkansas,Cities,Marianna,0,0,0,0,"4,084",0
Arkansas,Cities,Marion,0,0,0,0,"12,300",0
Arkansas,Cities,Marked Tree,0,0,0,0,"2,568",0
Arkansas,Cities,Marmaduke,0,0,0,0,"1,132",0
Arkansas,Cities,Marvell,0,0,0,0,"1,172",0
Arkansas,Cities,Maumelle,0,0,0,0,"17,391",0
Arkansas,Cities,Mayflower,0,0,0,0,"2,307",0
Arkansas,Cities,McCrory,0,0,0,0,"1,733",0
Arkansas,Cities,McRae,0,0,0,0,696,0
Arkansas,Cities,Mena,0,0,0,0,"5,745",0
Arkansas,Cities,Mineral Springs,0,0,0,0,"1,221",0
Arkansas,Cities,Monette,0,0,0,0,"1,536",0
Arkansas,Cities,Monticello,0,0,0,0,"9,482",0
Arkansas,Cities,Morrilton,0,0,0,0,"6,792",0
Arkansas,Cities,Mountain Home,0,0,0,0,"12,501",0
Arkansas,Cities,Mountain View,0,0,0,0,"2,804",0
Arkansas,Cities,Mulberry,0,0,0,0,"1,660",0
Arkansas,Cities,Murfreesboro,0,0,0,0,"1,644",0
Arkansas,Cities,Nashville,0,0,0,0,"4,678",0
Arkansas,Cities,North Little Rock,0,0,0,0,"63,125",0
Arkansas,Cities,Osceola,0,0,0,0,"7,702",0
Arkansas,Cities,Ozark,0,0,0,0,"3,683",0
Arkansas,Cities,Pangburn,0,0,0,0,611,0
Arkansas,Cities,Paris,0,0,0,0,"3,535",0
Arkansas,Cities,Parkin,0,0,0,0,"1,103",0
Arkansas,Cities,Pea Ridge,0,0,0,0,"4,948",0
Arkansas,Cities,Perryville,0,0,0,0,"1,461",0
Arkansas,Cities,Piggott,0,0,0,0,"3,813",0
Arkansas,Cities,Plainview,0,0,0,DNR,606,0
Arkansas,Cities,Plummerville,0,0,0,0,830,0
Arkansas,Cities,Pocahontas,0,0,0,0,"6,650",0
Arkansas,Cities,Pottsville,0,0,0,0,"2,877",0
Arkansas,Cities,Prairie Grove,0,0,0,0,"4,497",0
Arkansas,Cities,Prescott,0,0,0,0,"3,317",0
Arkansas,Cities,Quitman,0,0,0,0,764,0
Arkansas,Cities,Ravenden,0,0,0,0,466,0
Arkansas,Cities,Redfield,0,0,0,0,"1,280",0
Arkansas,Cities,Rison,0,0,0,0,"1,349",0
Arkansas,Cities,Rose Bud,0,0,0,0,490,0
Arkansas,Cities,Russellville,0,0,0,0,"28,267",0
Arkansas,Cities,Salem,0,0,0,0,"1,647",0
