State,Agency type,Agency name,q01,q02,q03,q04,Population,From,,,,
,,Hughson,0,0,0,1,"6,754",,,,,
,,Huntington Beach,3,0,2,5,"194,677",,,,,
,,Inglewood,0,0,1,0,"111,488",,,,,
,,Irvine,2,0,0,1,"217,528",,,,,
,,Laguna Beach,0,0,1,0,"23,283",,,,,
,,Laguna Hills,1,0,0,0,"31,090",,,,,
,,La Habra,0,0,1,0,"61,731",,,,,
,,Lake Elsinore,1,0,0,0,"53,912",,,,,
,,Lake Forest,0,0,1,0,"79,166",,,,,
,,Lakewood,1,0,2,0,"81,382",,,,,
,,La Mesa,1,0,1,0,"58,444",,,,,
,,La Mirada,1,0,0,0,"49,312",,,,,
,,Lancaster,1,5,1,0,"159,155",,,,,
,,La Quinta,1,0,0,0,"38,690",,,,,
,,Lawndale,0,0,1,0,"33,312",,,,,
,,Lemon Grove,0,2,0,0,"25,932",,,,,
,,Livermore,2,1,0,0,"82,800",,,,,
,,Livingston,0,0,1,0,"13,394",,,,,
,,Lodi,1,1,1,0,"63,718",,,,,
,,Lomita,0,0,1,1,"20,591",,,,,
,,Long Beach,0,2,1,1,"469,893",,,,,
,,Los Angeles,23,33,34,34,"3,855,122",,,,,
,,Los Gatos,0,0,0,1,"30,161",,,,,
,,Lynwood,1,0,0,0,"70,908",,,,,
,,Mammoth Lakes,0,1,0,0,"8,373",,,,,
,,Marysville,0,0,1,0,"12,254",,,,,
,,Merced,1,0,0,0,"80,976",,,,,
,,Milpitas,0,1,0,0,"68,433",,,,,
,,Modesto,2,1,0,2,"204,631",,,,,
,,Monrovia,0,0,2,0,"37,199",,,,,
,,Montclair,0,1,1,1,"37,556",,,,,
,,Monterey Park,0,1,1,0,"61,270",,,,,
,,Moreno Valley,0,0,0,1,"199,673",,,,,
,,Murrieta,0,0,1,1,"106,839",,,,,
,,Napa,0,0,1,0,"78,589",,,,,
,,National City,0,0,0,2,"59,920",,,,,
,,Newark,0,2,3,0,"43,539",,,,,
,,Newport Beach,0,1,4,2,"87,286",,,,,
,,Norwalk,0,2,0,0,"107,295",,,,,
,,Novato,1,0,1,0,"52,942",,,,,
,,Oakland,2,6,3,0,"399,487",,,,,
,,Oceanside,4,3,2,0,"171,141",,,,,
,,Ontario,1,0,0,1,"167,933",,,,,
,,Orange,0,0,0,1,"139,692",,,,,
,,Orland,1,0,0,0,"7,361",,,,,
,,Oxnard,0,1,1,2,"201,797",,,,,
,,Pacifica,0,1,2,0,"38,041",,,,,
,,Palmdale3,7,5,5,0,"155,294",,,,,
,,Palm Desert,1,0,0,0,"50,021",,,,,
,,Palm Springs,4,2,0,0,"45,996",,,,,
,,Palo Alto,0,3,0,1,"66,019",,,,,
,,Paradise,0,1,0,0,"26,492",,,,,
,,Paramount,2,1,0,1,"54,997",,,,,
,,Parlier,0,0,1,0,"14,828",,,,,
,,Pasadena,0,1,0,1,"139,382",,,,,
,,Paso Robles,0,0,1,0,"30,344",,,,,
,,Pico Rivera,0,0,0,1,"63,988",,,,,
,,Pinole,1,0,0,0,"18,864",,,,,
,,Pittsburg,0,1,0,0,"64,890",,,,,
,,Placerville,0,1,0,0,"10,479",,,,,
,,Pomona,0,2,1,1,"151,511",,,,,
,,Poway,0,1,0,0,"48,968",,,,,
,,Rancho Palos Verdes,1,0,0,0,"42,335",,,,,
,,Rancho Santa Margarita,0,0,0,1,"49,038",,,,,
,,Redding,2,3,6,3,"90,974",,,,,
,,Redlands,0,0,1,0,"70,399",,,,,
,,Redondo Beach,1,3,0,2,"67,856",,,,,
,,Redwood City,0,0,0,1,"78,466",,,,,
,,Reedley,1,0,0,0,"24,747",,,,,
,,Richmond,4,1,0,0,"106,357",,,,,
,,Riverside,5,2,3,2,"313,532",,,,,
,,Rosemead,0,2,0,0,"54,656",,,,,
,,Roseville,0,0,1,0,"122,896",,,,,
,,Sacramento,4,5,7,0,"476,557",,,,,
,,San Anselmo,0,1,0,0,"12,584",,,,,
,,San Bernardino,0,1,0,0,"214,987",,,,,
,,San Clemente,0,1,0,0,"65,089",,,,,
,,San Diego,10,6,8,10,"1,338,477",,,,,
,,San Dimas,1,0,0,0,"33,923",,,,,
,,San Francisco,8,9,8,10,"820,363",,,,,
,,San Gabriel,1,0,0,0,"40,376",,,,,
,,San Jose,6,2,1,6,"976,459",,,,,
,,San Leandro,2,0,0,1,"86,869",,,,,
,,San Luis Obispo,2,2,0,0,"45,947",,,,,
,,San Marcos,1,0,0,1,"85,810",,,,,
,,San Mateo,1,0,0,0,"99,303",,,,,
,,San Rafael,0,1,0,2,"58,854",,,,,
,,Santa Ana,3,4,0,0,"332,482",,,,,
,,Santa Barbara,,0,0,1,"89,871",,,,,
,,Santa Clarita3,4,2,2,1,"179,248",,,,,
,,Santa Cruz,2,3,3,2,"60,902",,,,,
,,Santa Maria,0,1,0,0,"101,207",,,,,
,,Santa Monica,2,4,4,1,"91,215",,,,,
,,Santa Paula,0,0,0,1,"29,899",,,,,
,,Santa Rosa,1,0,0,0,"170,862",,,,,
,,Saratoga,0,0,0,1,"30,683",,,,,
,,Scotts Valley,0,0,0,1,"11,775",,,,,
,,Sierra Madre,1,0,0,0,"11,098",,,,,
,,Simi Valley,3,0,0,0,"126,686",,,,,
,,Sonora,0,1,0,0,"4,911",,,,,
,,South Gate,0,0,1,0,"95,966",,,,,
,,Stockton,0,1,0,1,"299,105",,,,,
,,Sunnyvale,1,1,1,0,"143,606",,,,,
,,Taft,1,0,0,1,"9,552",,,,,
