Table 13,,,,,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,,,,,
per Bias Motivation and Quarter,,,,,,,,,,,,,,,,,
"by State and Agency, 2012",,,,,,,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,Number of incidents per quarter1,,,,Population2,,,,,
,,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",,,,,,
,,Citrus Heights,0,0,1,0,0,0,0,0,1,"85,112",,,,,
,,Claremont,1,0,1,0,0,0,1,1,0,"35,469",,,,,
,,Clearlake,3,1,0,0,0,2,0,2,0,"15,311",,,,,
,,Clovis,0,1,1,0,0,1,0,0,1,"97,828",,,,,
,,Colton,1,0,1,0,0,0,0,2,0,"53,431",,,,,
,,Compton,1,0,0,0,0,0,0,0,1,"98,057",,,,,
,,Concord,0,0,2,0,0,0,1,1,0,"125,205",,,,,
,,Corona,1,0,1,1,0,2,1,0,0,"157,342",,,,,
,,Coronado,0,1,0,0,0,1,0,0,0,"19,345",,,,,
,,Covina,3,0,1,0,0,2,2,0,0,"48,588",,,,,
,,Cudahy,0,0,1,0,0,1,0,0,0,"24,201",,,,,
,,Cupertino,1,2,1,0,0,0,1,1,2,"59,769",,,,,
,,Cypress,1,0,0,0,0,1,0,0,0,"48,976",,,,,
,,Daly City,0,0,0,1,0,0,1,0,0,"103,311",,,,,
,,Dana Point,0,0,0,1,0,0,0,1,0,"34,172",,,,,
,,Davis,1,0,1,3,0,1,2,0,2,"66,628",,,,,
,,Diamond Bar,1,0,0,0,0,1,0,0,0,"56,470",,,,,
,,Downey,1,0,0,0,0,0,1,0,0,"113,628",,,,,
,,Eastvale,3,0,1,0,0,0,1,3,0,"55,439",,,,,
,,El Cajon,0,0,0,1,0,0,0,0,1,"101,864",,,,,
,,El Monte,3,0,2,0,0,2,1,0,2,"115,356",,,,,
,,Encinitas,0,0,0,1,0,0,0,1,0,"60,960",,,,,
,,Escondido,9,0,0,1,0,6,0,2,2,"147,386",,,,,
,,Eureka,2,1,0,0,0,1,0,1,1,"27,469",,,,,
,,Fountain Valley,0,0,1,0,0,1,0,0,0,"56,674",,,,,
,,Fowler,1,0,0,0,0,1,0,0,0,"5,698",,,,,
,,Fresno,4,0,2,2,0,2,2,2,2,"506,011",,,,,
,,Fullerton,0,0,1,0,0,0,0,0,1,"138,455",,,,,
