State,Agency type,Agency name,q01,q02,q03,q04,Population,From
,,Ganado,0,0,0,0,"2,028",Addendum
,,Garden Ridge,0,0,0,0,"3,413",Addendum
,,Gatesville,0,0,0,0,"16,224",Addendum
,,Giddings,0,0,0,0,"4,970",Addendum
,,Gilmer,0,0,0,0,"5,030",Addendum
,,Glenn Heights,0,0,0,0,"11,683",Addendum
,,Godley,0,0,0,0,"1,036",Addendum
,,Gonzales,0,0,0,0,"7,381",Addendum
,,Gorman,0,0,0,0,"1,102",Addendum
,,Graham,0,0,0,0,"9,005",Addendum
,,Granbury,0,0,0,0,"8,170",Addendum
,,Grand Prairie,0,0,0,0,"181,782",Addendum
,,Grand Saline,0,0,0,0,"3,195",Addendum
,,Granger,0,0,0,0,"1,501",Addendum
,,Granite Shoals,0,0,0,0,"5,027",Addendum
,,Grapeland,0,0,0,0,"1,494",Addendum
,,Grapevine,0,0,0,0,"48,095",Addendum
,,Gregory,0,0,0,0,"1,934",Addendum
,,Groesbeck,0,0,0,0,"4,431",Addendum
,,Groves,0,0,0,0,"16,423",Addendum
,,Gruver,0,0,0,0,"1,207",Addendum
,,Gun Barrel City,0,0,0,0,"5,777",Addendum
,,Hale Center,0,0,0,0,"2,301",Addendum
,,Hallettsville,0,0,0,0,"2,610",Addendum
,,Hallsville,0,0,0,0,"3,656",Addendum
,,Hamlin,0,0,0,0,"2,148",Addendum
,,Harker Heights,0,0,0,0,"27,542",Addendum
,,Harlingen,0,0,0,0,"67,112",Addendum
,,Haskell,0,0,0,0,"3,419",Addendum
,,Hawk Cove,0,0,0,0,493,Addendum
,,Hawkins,0,0,0,0,"1,303",Addendum
,,Hawley,0,0,0,0,639,Addendum
,,Hearne,0,0,0,0,"4,558",Addendum
,,Hedwig Village,0,0,0,0,"2,652",Addendum
,,Helotes,0,0,0,0,"7,636",Addendum
,,Hemphill,0,0,0,0,"1,206",Addendum
,,Hempstead,0,0,,0,"5,968",Addendum
,,Hereford,0,0,0,0,"15,779",Addendum
,,Hewitt,0,0,0,0,"13,973",Addendum
,,Hidalgo,0,0,0,0,"11,706",Addendum
,,Highland Village,0,0,0,0,"15,836",Addendum
,,Hill Country Village,0,0,0,0,"1,024",Addendum
,,Hillsboro,0,0,0,0,"8,653",Addendum
,,Hitchcock,0,0,0,0,"7,174",Addendum
,,Holliday,0,0,0,0,"1,743",Addendum
,,Hollywood Park,0,0,0,0,"3,185",Addendum
,,Hondo,0,0,0,0,"8,992",Addendum
,,Hooks,0,0,0,0,"2,819",Addendum
,,Horizon City,0,0,0,0,"17,418",Addendum
,,Horseshoe Bay,0,0,0,0,"3,459",Addendum
,,Howe,0,0,0,0,"2,652",Addendum
,,Hubbard,0,0,0,0,"1,455",Addendum
,,Hudson,0,0,0,0,"4,849",Addendum
,,Hudson Oaks,0,0,0,0,"1,702",Addendum
,,Hughes Springs,0,0,0,0,"1,774",Addendum
,,Humble,0,0,0,0,"15,684",Addendum
,,Huntington,0,0,0,0,"2,168",Addendum
,,Huntsville,0,0,0,0,"39,243",Addendum
,,Hurst,0,0,0,0,"38,756",Addendum
,,Hutchins,0,0,0,0,"5,484",Addendum
,,Hutto,0,0,0,0,"15,635",Addendum
,,Idalou,0,0,0,0,"2,326",Addendum
,,Ingleside,0,0,0,0,"9,516",Addendum
,,Ingram,0,0,0,0,"1,836",Addendum
,,Irving,0,0,0,0,"224,007",Addendum
,,Italy,0,0,0,0,"1,930",Addendum
,,Itasca,0,0,0,0,"1,684",Addendum
,,Jacinto City,0,0,0,0,"10,941",Addendum
,,Jacksboro,0,0,0,0,"4,574",Addendum
,,Jacksonville,0,0,0,0,"14,856",Addendum
,,Jamaica Beach,0,0,0,0,"1,013",Addendum
,,Jarrell,0,0,0,0,"1,048",Addendum
,,Jasper,0,0,0,0,"7,830",Addendum
,,Jefferson,0,0,0,0,"2,132",Addendum
,,Jersey Village,0,0,0,0,"7,903",Addendum
,,Johnson City,0,0,0,0,"1,698",Addendum
,,Jones Creek,0,0,0,0,"2,095",Addendum
,,Jonestown,0,0,0,0,"1,935",Addendum
,,Jourdanton,0,0,0,0,"3,988",Addendum
,,Junction,0,0,0,0,"2,627",Addendum
,,Karnes City,0,0,0,0,"3,114",Addendum
,,Kaufman,0,0,0,0,"6,934",Addendum
,,Keene,0,0,0,0,"6,259",Addendum
,,Keller,0,0,0,0,"41,137",Addendum
,,Kemah,0,0,0,0,"1,827",Addendum
,,Kenedy,0,0,0,0,"3,380",Addendum
,,Kennedale,0,0,0,0,"7,020",Addendum
,,Kerens,0,0,0,0,"1,608",Addendum
,,Kermit,0,0,0,0,"5,849",Addendum
,,Kerrville,0,0,0,0,"22,759",Addendum
,,Killeen,0,0,0,0,"131,965",Addendum
,,Kingsville,0,0,0,0,"26,716",Addendum
,,Kirby,0,0,0,0,"8,322",Addendum
,,Kirbyville,0,0,0,0,"2,214",Addendum
,,Kountze,0,0,0,0,"2,179",Addendum
,,Kress,0,0,0,0,720,Addendum
,,Lacy-Lakeview,0,0,0,0,"6,692",Addendum
,,La Feria,0,0,0,0,"7,516",Addendum
,,Lago Vista,0,0,0,0,"6,369",Addendum
,,La Grange,0,0,0,0,"4,745",Addendum
,,La Grulla,0,0,0,0,"1,667",Addendum
,,Laguna Vista,0,0,0,0,"3,222",Addendum
,,La Joya,0,0,0,0,"4,166",Addendum
,,Lake Dallas,0,0,0,0,"7,473",Addendum
,,Lakeside,0,0,0,0,"1,357",Addendum
,,Lakeview,0,0,0,0,"6,481",Addendum
,,Lakeway,0,0,0,0,"12,007",Addendum
,,Lake Worth,0,0,0,0,"4,755",Addendum
,,La Marque,0,0,0,0,"14,953",Addendum
,,Lamesa,0,0,0,0,"9,497",Addendum
,,Lampasas,0,0,0,0,"6,850",Addendum
,,La Porte,0,0,0,0,"35,054",Addendum
,,Laredo,0,0,0,0,"245,558",Addendum
,,La Vernia,0,0,0,0,"1,071",Addendum
,,La Villa,0,0,0,0,"2,023",Addendum
,,Lavon,0,0,0,0,"2,337",Addendum
,,League City,0,0,0,0,"86,127",Addendum
,,Leander,0,0,0,0,"28,244",Addendum
,,Leonard,0,0,,,"2,016",Addendum
,,Leon Valley,0,0,0,0,"10,558",Addendum
,,Levelland,0,0,0,0,"13,719",Addendum
,,Lexington,0,0,0,0,"1,200",Addendum
,,Liberty,0,0,0,0,"8,282",Addendum
,,Linden,0,0,0,0,"2,004",Addendum
,,Little Elm,0,0,0,0,"27,246",Addendum
,,Littlefield,0,0,0,0,"6,560",Addendum
,,Live Oak,0,0,0,0,"13,657",Addendum
,,Livingston,0,0,0,0,"5,466",Addendum
,,Lockhart,0,0,0,0,"13,013",Addendum
,,Lockney,0,0,0,0,"1,854",Addendum
,,Lometa,0,0,0,0,879,Addendum
,,Lone Star,0,0,0,0,"1,594",Addendum
,,Lorena,0,0,0,0,"1,743",Addendum
,,Lorenzo,0,0,0,0,"1,171",Addendum
,,Los Fresnos,0,0,0,0,"5,737",Addendum
,,Lott,0,0,,,774,Addendum
,,Lubbock,0,0,0,0,"237,241",Addendum
,,Lufkin,0,0,0,0,"35,956",Addendum
,,Luling,0,0,0,0,"5,549",Addendum
,,Lyford,0,0,0,0,"2,643",Addendum
,,Lytle,0,0,0,0,"2,562",Addendum
,,Madisonville,0,0,0,0,"4,494",Addendum
,,Magnolia,0,0,0,0,"1,464",Addendum
,,Malakoff,0,0,0,0,"2,367",Addendum
,,Manor,0,0,0,0,"5,313",Addendum
,,Mansfield,0,0,0,0,"58,490",Addendum
,,Manvel,0,0,0,0,"5,375",Addendum
,,Marlin,0,0,0,0,"6,082",Addendum
,,Marshall,0,0,0,0,"24,109",Addendum
,,Martindale,0,0,0,0,"1,143",Addendum
,,Mathis,0,0,0,0,"5,010",Addendum
,,McAllen,0,0,0,0,"135,745",Addendum
,,McGregor,0,0,0,0,"5,142",Addendum
,,Meadows Place,0,0,0,0,"4,904",Addendum
,,Melissa,0,0,0,0,"4,936",Addendum
,,Memorial Villages,0,0,0,0,"11,540",Addendum
,,Memphis,0,0,0,0,"2,341",Addendum
,,Mercedes,0,0,0,0,"16,417",Addendum
,,Meridian,0,0,0,0,"1,523",Addendum
,,Merkel,0,0,0,0,"2,653",Addendum
,,Mesquite,0,0,0,0,"144,811",Addendum
,,Mexia,0,0,0,0,"7,652",Addendum
,,Midland,0,0,0,0,"115,637",Addendum
,,Midlothian,0,0,0,0,"18,693",Addendum
,,Milford,0,0,0,0,753,Addendum
,,Mineola,0,0,0,0,"4,590",Addendum
,,Mineral Wells,0,0,0,0,"17,045",Addendum
,,Mission,0,0,0,0,"80,557",Addendum
,,Monahans,0,0,0,0,"7,095",Addendum
,,Mont Belvieu,0,0,0,0,"3,942",Addendum
,,Montgomery,0,0,0,0,653,Addendum
,,Morgans Point Resort,0,0,0,0,"4,302",Addendum
,,Moulton,0,0,0,0,902,Addendum
,,Mount Pleasant,0,0,0,0,"15,941",Addendum
,,Muleshoe,0,0,0,0,"5,295",Addendum
,,Munday,0,0,0,0,"1,333",Addendum
,,Mustang Ridge,0,0,0,0,900,Addendum
,,Nacogdoches,0,0,0,0,"33,905",Addendum
,,Naples,0,0,0,0,"1,394",Addendum
,,Nash,0,0,0,0,"3,012",Addendum
,,Nassau Bay,0,0,0,0,"4,151",Addendum
,,Navasota,0,0,0,0,"7,312",Addendum
,,Nederland,0,0,0,0,"17,850",Addendum
,,Needville,0,0,0,0,"2,970",Addendum
,,New Boston,0,0,0,0,"4,630",Addendum
,,New Braunfels,0,0,0,0,"60,482",Addendum
,,New Deal,0,0,0,0,821,Addendum
,,Nixon,0,0,0,0,"2,433",Addendum
,,Nocona,0,0,0,0,"3,077",Addendum
,,Nolanville,0,0,0,0,"4,394",Addendum
,,Northeast,0,0,0,0,"3,389",Addendum
,,Northlake,0,0,0,0,"1,815",Addendum
,,Oak Ridge,0,0,0,0,142,Addendum
,,Oak Ridge North,0,0,0,0,"3,203",Addendum
,,Odessa,0,0,0,0,"103,635",Addendum
,,O'Donnell,0,0,0,0,838,Addendum
,,Olmos Park,0,0,0,0,"2,327",Addendum
,,Olney,0,0,0,0,"3,322",Addendum
,,Olton,0,0,0,0,"2,279",Addendum
,,Omaha,0,0,0,0,"1,039",Addendum
,,Onalaska,0,0,0,0,"1,784",Addendum
,,Orange,0,0,0,0,"19,025",Addendum
,,Orange Grove,0,0,0,0,"1,356",Addendum
,,Overton,0,0,0,0,"2,616",Addendum
,,Ovilla,0,0,0,0,"3,620",Addendum
,,Oyster Creek,0,0,0,0,"1,153",Addendum
,,Paducah,0,0,0,0,"1,199",Addendum
,,Palacios,0,0,0,0,"4,804",Addendum
,,Palestine,0,0,0,0,"18,936",Addendum
,,Palmer,0,0,0,0,"2,074",Addendum
,,Palmhurst,,,0,0,"2,725",Addendum
,,Palm Valley,0,0,0,0,"1,350",Addendum
,,Palmview,0,0,0,0,"5,716",Addendum
,,Pampa,0,0,0,0,"18,452",Addendum
,,Panhandle,0,0,0,0,"2,520",Addendum
,,Pantego,0,0,0,0,"2,486",Addendum
,,Paris,0,0,0,0,"25,693",Addendum
,,Parker,0,0,0,0,"4,017",Addendum
,,Pasadena,0,0,0,0,"154,562",Addendum
,,Pearsall,0,0,0,0,"9,378",Addendum
,,Pecos,0,0,0,0,"8,891",Addendum
,,Penitas,0,0,0,0,"4,605",Addendum
,,Perryton,0,0,0,0,"9,201",Addendum
,,Pflugerville,0,0,0,0,"49,483",Addendum
,,Pharr,0,0,0,0,"73,599",Addendum
,,Pilot Point,0,0,0,0,"4,053",Addendum
,,Pinehurst,0,0,0,0,"2,142",Addendum
,,Pittsburg,0,0,0,0,"4,567",Addendum
,,Plainview,0,0,0,0,"22,678",Addendum
,,Pleasanton,0,0,0,0,"9,206",Addendum
,,Point Comfort,0,0,,,750,Addendum
,,Ponder,0,0,0,0,"1,468",Addendum
,,Port Aransas,0,0,0,0,"3,565",Addendum
,,Port Arthur,0,0,0,0,"54,745",Addendum
,,Port Isabel,0,0,0,0,"5,187",Addendum
,,Portland,0,0,0,0,"15,306",Addendum
,,Port Neches,0,0,0,0,"13,266",Addendum
,,Poteet,0,0,0,0,"3,359",Addendum
,,Poth,0,0,0,0,"1,976",Addendum
,,Pottsboro,0,0,0,0,"2,202",Addendum
,,Premont,0,0,0,0,"2,725",Addendum
,,Presidio,0,0,0,0,"4,460",Addendum
,,Primera,0,0,0,0,"4,189",Addendum
,,Princeton,0,0,0,0,"7,175",Addendum
,,Progreso,0,0,0,0,"5,756",Addendum
,,Prosper,0,0,0,0,"10,037",Addendum
,,Queen City,0,0,0,0,"1,494",Addendum
,,Quitman,0,0,0,0,"1,845",Addendum
,,Ralls,0,0,0,0,"1,984",Addendum
,,Rancho Viejo,0,0,0,0,"2,523",Addendum
,,Ranger,0,0,0,0,"2,510",Addendum
,,Ransom Canyon,0,0,0,0,"1,134",Addendum
,,Raymondville,0,0,0,0,"11,428",Addendum
,,Red Oak,0,0,0,0,"11,160",Addendum
,,Refugio,0,0,0,0,"2,900",Addendum
,,Reno,0,0,0,0,"3,236",Addendum
,,Richardson,0,0,0,0,"103,266",Addendum
,,Richland Hills,0,0,0,0,"8,095",Addendum
,,Richmond,0,0,0,0,"12,248",Addendum
,,Riesel,0,0,0,0,"1,039",Addendum
,,Rio Grande City,0,0,0,0,"14,175",Addendum
,,Rio Hondo,0,0,0,0,"2,480",Addendum
,,Rising Star,0,0,,,851,Addendum
,,River Oaks,0,0,0,0,"7,711",Addendum
,,Roanoke,0,0,0,0,"6,272",Addendum
,,Robinson,0,0,0,0,"10,840",Addendum
,,Robstown,0,0,0,0,"11,764",Addendum
,,Rockdale,0,0,0,0,"5,655",Addendum
,,Rockport,0,0,0,0,"8,978",Addendum
,,Rollingwood,0,0,0,0,"1,489",Addendum
,,Roma,0,0,0,0,"10,034",Addendum
,,Roman Forest,0,0,0,0,"1,617",Addendum
,,Roscoe,0,0,0,0,"1,348",Addendum
,,Rosebud,0,0,0,0,"1,440",Addendum
,,Rose City,0,0,0,0,515,Addendum
,,Rosenberg,0,0,0,0,"32,230",Addendum
,,Runaway Bay,0,0,0,0,"1,321",Addendum
,,Sabinal,0,0,0,0,"1,729",Addendum
,,Saginaw,0,0,0,0,"20,561",Addendum
,,Salado,0,0,0,0,"2,193",Addendum
,,San Augustine,0,0,0,0,"2,138",Addendum
,,San Benito,0,0,0,0,"25,099",Addendum
,,San Diego,0,0,0,0,"4,528",Addendum
,,San Felipe,0,0,,,764,Addendum
,,Sanger,0,0,0,0,"7,275",Addendum
,,San Juan,0,0,0,0,"35,394",Addendum
,,San Marcos,0,0,0,0,"47,384",Addendum
,,Sansom Park Village,0,0,0,0,"4,861",Addendum
,,Santa Anna,0,0,0,0,"1,098",Addendum
,,Santa Fe,0,0,0,0,"12,597",Addendum
,,Santa Rosa,0,0,0,0,"2,972",Addendum
,,Schertz,0,0,0,0,"32,964",Addendum
,,Schulenburg,0,0,0,0,"2,915",Addendum
,,Seabrook,0,0,0,0,"12,395",Addendum
,,Seagoville,0,0,0,0,"15,320",Addendum
,,Seagraves,0,0,0,0,"2,519",Addendum
,,Sealy,0,0,0,0,"6,161",Addendum
,,Seguin,0,0,0,0,"26,332",Addendum
,,Selma,0,0,0,0,"5,774",Addendum
,,Seminole,0,0,0,0,"6,703",Addendum
,,Seven Points,0,0,0,0,"1,493",Addendum
,,Seymour,0,0,0,0,"2,792",Addendum
,,Shallowater,0,0,0,0,"2,568",Addendum
,,Shamrock,0,0,0,0,"1,958",Addendum
,,Shavano Park,0,0,0,0,"3,156",Addendum
,,Shenandoah,0,0,0,0,"2,242",Addendum
,,Sherman,0,0,0,0,"39,269",Addendum
,,Silsbee,0,0,0,0,"6,783",Addendum
,,Sinton,0,0,0,0,"5,742",Addendum
,,Slaton,0,0,0,0,"6,328",Addendum
,,Smithville,0,0,0,0,"3,924",Addendum
,,Snyder,0,0,0,0,"11,368",Addendum
,,Somerset,0,0,0,0,"1,696",Addendum
,,Somerville,0,0,0,0,"1,403",Addendum
,,Sonora,0,0,0,0,"2,982",Addendum
,,Sour Lake,0,0,0,0,"1,860",Addendum
,,South Houston,0,0,0,0,"17,614",Addendum
,,Southlake,0,0,0,0,"27,596",Addendum
,,Southmayd,0,0,0,0,"1,012",Addendum
,,South Padre Island,0,0,0,0,"2,914",Addendum
,,Southside Place,0,0,0,0,"1,780",Addendum
,,Spearman,0,0,0,0,"3,396",Addendum
,,Splendora,0,0,0,0,"1,696",Addendum
,,Springtown,0,0,0,0,"2,735",Addendum
,,Spring Valley,0,0,0,0,"3,853",Addendum
,,Spur,0,0,0,0,"1,316",Addendum
,,Stafford,0,0,0,0,"18,623",Addendum
,,Stagecoach,0,0,0,0,564,Addendum
,,Stamford,0,0,0,0,"3,160",Addendum
,,Stanton,0,0,0,0,"2,599",Addendum
,,Stephenville,0,0,0,0,"17,511",Addendum
,,Stratford,0,0,0,0,"2,050",Addendum
,,Sugar Land,0,0,0,0,"82,924",Addendum
,,Sullivan City,0,0,0,0,"4,184",Addendum
,,Sulphur Springs,0,0,0,0,"15,774",Addendum
,,Sunray,0,0,0,0,"1,959",Addendum
,,Sunrise Beach Village,0,0,0,0,719,Addendum
,,Sunset Valley,0,0,0,0,789,Addendum
,,Surfside Beach,0,0,0,0,500,Addendum
,,Sweeny,0,0,0,0,"3,866",Addendum
,,Taft,0,0,0,0,"3,090",Addendum
,,Tahoka,0,0,0,0,"2,702",Addendum
,,Tatum,0,0,0,0,"1,420",Addendum
,,Taylor,0,0,0,0,"16,240",Addendum
,,Teague,0,0,0,0,"3,587",Addendum
,,Terrell,0,0,0,0,"16,353",Addendum
,,Terrell Hills,0,0,0,0,"5,073",Addendum
,,Texarkana,0,0,0,0,"37,048",Addendum
,,Texas City,0,0,0,0,"46,448",Addendum
,,The Colony,0,0,0,0,"38,217",Addendum
,,Thorndale,0,0,0,0,"1,353",Addendum
,,Thrall,0,0,0,0,892,Addendum
,,Three Rivers,0,0,0,0,"1,861",Addendum
,,Timpson,0,0,0,0,"1,189",Addendum
,,Tioga,0,0,0,0,815,Addendum
,,Tolar,0,0,0,0,698,Addendum
,,Tom Bean,0,0,0,0,"1,067",Addendum
,,Tool,0,0,0,0,"2,277",Addendum
,,Trenton,0,0,0,0,647,Addendum
,,Trinity,0,0,0,0,"2,753",Addendum
,,Trophy Club,0,0,0,0,"8,435",Addendum
,,Troup,0,0,0,0,"1,930",Addendum
,,Troy,0,0,0,0,"1,696",Addendum
,,Tulia,0,0,0,0,"5,010",Addendum
,,Tye,0,0,0,0,"1,272",Addendum
,,Universal City,0,0,0,0,"19,271",Addendum
,,Uvalde,0,0,0,0,"16,065",Addendum
,,Valley Mills,0,0,0,0,"1,228",Addendum
,,Valley View,0,0,0,0,768,Addendum
,,Van Alstyne,0,0,0,0,"3,104",Addendum
,,Venus,0,0,0,0,"3,027",Addendum
,,Vernon,0,0,0,0,"11,060",Addendum
,,Vidor,0,0,0,0,"10,974",Addendum
,,Waco,0,0,0,0,"128,595",Addendum
,,Waelder,0,0,0,0,"1,087",Addendum
,,Wake Village,0,0,0,0,"5,587",Addendum
,,Waller,0,0,0,0,"2,410",Addendum
,,Wallis,0,0,0,0,"1,281",Addendum
,,Watauga,0,0,0,0,"24,390",Addendum
,,Waxahachie,0,0,0,0,"30,676",Addendum
,,Weatherford,0,0,0,0,"25,940",Addendum
,,Webster,0,0,0,0,"10,780",Addendum
,,Weimar,0,0,0,0,"2,177",Addendum
,,Weslaco,0,0,0,0,"37,271",Addendum
,,West,0,0,0,0,"2,849",Addendum
,,West Columbia,0,0,0,0,"4,052",Addendum
,,West Lake Hills,0,0,0,0,"3,230",Addendum
,,West Orange,0,0,0,0,"3,523",Addendum
,,Westover Hills,0,0,0,0,709,Addendum
,,West Tawakoni,0,0,0,0,"1,608",Addendum
,,West University Place,0,0,0,0,"15,335",Addendum
,,Westworth,0,0,0,0,"2,567",Addendum
,,Wharton,0,0,0,0,"8,971",Addendum
,,Whitehouse,0,0,0,0,"7,913",Addendum
,,White Oak,0,0,0,0,"6,642",Addendum
,,Whitesboro,0,0,0,0,"3,868",Addendum
,,White Settlement,0,0,0,0,"16,716",Addendum
,,Whitewright,0,0,0,0,"1,634",Addendum
,,Whitney,0,0,0,0,"2,137",Addendum
,,Willis,0,0,0,0,"6,079",Addendum
,,Willow Park,0,0,0,0,"4,093",Addendum
,,Wills Point,0,0,0,0,"3,588",Addendum
,,Wilmer,0,0,0,0,"3,805",Addendum
,,Windcrest,0,0,0,0,"5,575",Addendum
,,Wink,0,0,0,0,962,Addendum
,,Winnsboro,0,0,0,0,"3,494",Addendum
,,Winters,0,0,0,0,"2,605",Addendum
,,Wolfforth,0,0,0,0,"3,795",Addendum
,,Woodbranch,0,0,0,0,"1,348",Addendum
,,Woodville,0,0,0,0,"2,613",Addendum
,,Woodway,0,0,0,0,"8,587",Addendum
,,Wortham,0,0,0,0,"1,083",Addendum
,,Yoakum,0,0,0,0,"5,935",Addendum
,,Yorktown,0,0,0,0,"2,142",Addendum
,Universities and Colleges,Abilene Christian University,0,0,0,0,"4,558",Addendum
,,Alamo Community College District,0,0,0,0,"61,507",Addendum
,,Alvin Community College,0,0,0,0,"5,129",Addendum
,,Amarillo College,0,0,0,0,"11,616",Addendum
,,Austin College,0,0,0,0,"1,353",Addendum
,,Baylor Health Care System4,0,0,0,0,,Addendum
,,"Baylor University, Waco",0,0,0,0,"15,029",Addendum
,,Blinn College,0,0,0,0,"18,106",Addendum
,,Brookhaven College,0,0,0,0,"13,705",Addendum
,,Central Texas College,0,0,0,0,"26,995",Addendum
,,College of the Mainland,0,0,0,0,"4,168",Addendum
,,El Paso Community College,0,0,0,0,"30,723",Addendum
,,Grayson College,0,0,0,0,"5,207",Addendum
,,Hardin-Simmons University,0,0,0,0,"2,358",Addendum
,,Houston Baptist University,0,0,0,0,"2,432",Addendum
,,Houston Community College,0,0,0,0,"63,015",Addendum
,,"Lamar University, Beaumont",0,0,0,0,"14,020",Addendum
,,Laredo Community College,0,0,0,0,"10,076",Addendum
,,McLennan Community College,0,0,0,0,"10,185",Addendum
,,Midwestern State University,0,0,0,0,"6,181",Addendum
,,Mountain View College,0,0,0,0,"9,431",Addendum
,,North Lake College,0,0,0,0,"11,865",Addendum
,,Paris Junior College,0,0,0,0,"5,936",Addendum
,,Prairie View A&M University,0,0,0,0,"8,425",Addendum
,,Rice University,0,0,0,0,"6,224",Addendum
,,Richland College,0,0,0,0,"20,000",Addendum
,,South Plains College,0,0,0,0,"10,482",Addendum
,,Southwestern University,0,0,0,0,"1,347",Addendum
,,Stephen F. Austin State University,0,0,0,0,"12,903",Addendum
,,St. Mary's University,0,0,0,0,"4,188",Addendum
,,Tarleton State University,0,0,0,0,"11,693",Addendum
,,Texas A&M International University,0,0,0,0,"7,037",Addendum
,,Texas A&M University:,,,,,,Addendum
,,College Station,0,0,0,0,"50,230",Addendum
,,Corpus Christi,0,0,0,0,"10,162",Addendum
,,Galveston,0,0,0,0,"2,035",Addendum
,,Kingsville,0,0,0,0,"10,290",Addendum
,,San Antonio4,0,0,0,0,,Addendum
,,Texas Southern University,0,0,0,0,"9,730",Addendum
,,Texas State Technical College:,,,,,,Addendum
,,Harlingen,0,0,0,0,"5,807",Addendum
,,Marshall,0,0,,,831,Addendum
,,Waco,0,0,0,0,"4,730",Addendum
,,West Texas,0,0,0,0,856,Addendum
,,"Texas State University, San Marcos",0,0,0,0,"34,087",Addendum
,,"Texas Tech University, Lubbock",0,0,0,0,"32,327",Addendum
,,Texas Woman's University,0,0,0,0,"14,718",Addendum
,,Trinity University,0,0,0,0,"2,535",Addendum
,,University of Houston:,,,,,,Addendum
,,Central Campus,0,0,0,0,"39,820",Addendum
,,Clearlake,0,0,0,0,"8,185",Addendum
,,Downtown Campus,0,0,0,0,"12,918",Addendum
,,University of Mary Hardin-Baylor,0,0,0,0,"3,137",Addendum
,,University of North Texas:,,,,,,Addendum
,,Denton,0,0,0,0,"37,818",Addendum
,,Health Science Center,0,0,0,0,"1,760",Addendum
,,University of Texas:,,,,,,Addendum
,,Arlington,0,0,0,0,"33,439",Addendum
,,Brownsville,0,0,0,0,"14,918",Addendum
,,Dallas,0,0,0,0,"18,864",Addendum
,,El Paso,0,0,0,0,"22,640",Addendum
,,"Health Science Center, San Antonio",0,0,0,0,"3,234",Addendum
,,"Health Science Center, Tyler4",0,0,0,0,,Addendum
,,Houston,0,0,0,0,"4,916",Addendum
,,Medical Branch,0,0,0,0,"2,825",Addendum
,,Pan American,0,0,0,0,"19,034",Addendum
,,Permian Basin,0,0,0,0,"3,831",Addendum
,,San Antonio,0,0,0,0,"30,968",Addendum
,,Southwestern Medical School,0,0,0,0,"2,487",Addendum
,,Tyler,0,0,0,0,"6,696",Addendum
,,West Texas A&M University,0,0,0,0,"7,886",Addendum
,Metropolitan Counties,Aransas,0,0,0,0,,Addendum
,,Archer,0,0,0,0,,Addendum
,,Armstrong,0,0,0,0,,Addendum
,,Atascosa,0,,0,0,,Addendum
,,Austin,0,0,0,0,,Addendum
,,Bandera,0,0,0,0,,Addendum
,,Bastrop,0,0,0,0,,Addendum
,,Bell,0,0,0,0,,Addendum
,,Bowie,0,0,0,0,,Addendum
,,Brazoria,0,0,0,0,,Addendum
,,Burleson,0,0,0,0,,Addendum
,,Caldwell,0,0,0,0,,Addendum
,,Callahan,0,0,0,0,,Addendum
,,Cameron,0,0,0,0,,Addendum
,,Carson,0,0,0,0,,Addendum
,,Chambers,0,0,0,0,,Addendum
,,Clay,0,0,0,0,,Addendum
,,Comal,0,0,0,0,,Addendum
,,Coryell,0,0,0,0,,Addendum
,,Crosby,0,0,0,0,,Addendum
,,Dallas,0,0,0,0,,Addendum
,,Denton,0,0,0,0,,Addendum
,,Ector,0,0,0,0,,Addendum
,,Ellis,0,0,0,0,,Addendum
,,El Paso,0,0,0,0,,Addendum
,,Falls,0,0,0,0,,Addendum
,,Galveston,0,0,0,0,,Addendum
,,Grayson,0,0,0,0,,Addendum
,,Gregg,0,0,0,0,,Addendum
,,Guadalupe,0,0,0,0,,Addendum
,,Hardin,0,0,0,0,,Addendum
,,Harris,0,0,0,0,,Addendum
,,Hays,0,0,0,0,,Addendum
,,Hidalgo,0,0,0,0,,Addendum
,,Hood,0,0,0,0,,Addendum
,,Hudspeth,0,0,0,0,,Addendum
,,Irion,0,0,0,0,,Addendum
,,Jefferson,0,0,0,0,,Addendum
,,Johnson,0,0,0,0,,Addendum
,,Jones,0,0,0,0,,Addendum
,,Kendall,0,0,0,0,,Addendum
,,Lampasas,0,0,0,0,,Addendum
,,Liberty,0,0,0,0,,Addendum
,,Lynn,0,0,0,0,,Addendum
,,Martin,0,0,0,0,,Addendum
,,Medina,0,0,0,0,,Addendum
,,Midland,0,0,0,0,,Addendum
,,Montgomery,0,0,0,0,,Addendum
,,Newton,0,0,0,0,,Addendum
,,Nueces,0,0,0,0,,Addendum
,,Orange,0,0,0,0,,Addendum
,,Parker,0,0,0,0,,Addendum
,,Potter,0,0,0,0,,Addendum
,,Robertson,0,0,0,0,,Addendum
,,San Patricio,0,0,0,0,,Addendum
,,Smith,0,0,0,0,,Addendum
,,Somervell,0,0,0,0,,Addendum
,,Tarrant,0,0,0,0,,Addendum
,,Taylor,0,0,0,0,,Addendum
,,Tom Green,0,0,0,0,,Addendum
,,Travis,0,0,0,0,,Addendum
,,Upshur,0,0,0,0,,Addendum
,,Waller,0,0,0,0,,Addendum
,,Webb,0,0,0,0,,Addendum
,,Wichita,0,0,0,0,,Addendum
,,Wilson,0,0,0,0,,Addendum
,,Wise,0,0,0,0,,Addendum
,Nonmetropolitan Counties,Anderson,0,0,0,0,,Addendum
,,Andrews,0,0,0,0,,Addendum
,,Angelina,0,0,0,0,,Addendum
