state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,addendum,,,,
,,Hemet,1,0,1,0,"81,213",0,,,,
,,Hercules,0,1,0,0,"24,682",0,,,,
,,Hermosa Beach,0,0,1,0,"19,830",0,,,,
,,Hesperia,0,1,0,0,"92,383",0,,,,
,,Highland,0,0,1,0,"54,403",0,,,,
,,Hughson,0,0,0,1,"6,754",0,,,,
,,Huntington Beach,3,0,2,5,"194,677",0,,,,
,,Inglewood,0,0,1,0,"111,488",0,,,,
,,Irvine,2,0,0,1,"217,528",0,,,,
,,Laguna Beach,0,0,1,0,"23,283",0,,,,
,,Laguna Hills,1,0,0,0,"31,090",0,,,,
,,La Habra,0,0,1,0,"61,731",0,,,,
,,Lake Elsinore,1,0,0,0,"53,912",0,,,,
,,Lake Forest,0,0,1,0,"79,166",0,,,,
,,Lakewood,1,0,2,0,"81,382",0,,,,
,,La Mesa,1,0,1,0,"58,444",0,,,,
,,La Mirada,1,0,0,0,"49,312",0,,,,
,,Lancaster,1,5,1,0,"159,155",0,,,,
,,La Quinta,1,0,0,0,"38,690",0,,,,
,,Lawndale,0,0,1,0,"33,312",0,,,,
,,Lemon Grove,0,2,0,0,"25,932",0,,,,
,,Livermore,2,1,0,0,"82,800",0,,,,
,,Livingston,0,0,1,0,"13,394",0,,,,
,,Lodi,1,1,1,0,"63,718",0,,,,
,,Lomita,0,0,1,1,"20,591",0,,,,
,,Long Beach,0,2,1,1,"469,893",0,,,,
,,Los Angeles,23,33,34,34,"3,855,122",0,,,,
,,Los Gatos,0,0,0,1,"30,161",0,,,,
,,Lynwood,1,0,0,0,"70,908",0,,,,
,,Mammoth Lakes,0,1,0,0,"8,373",0,,,,
,,Marysville,0,0,1,0,"12,254",0,,,,
,,Merced,1,0,0,0,"80,976",0,,,,
,,Milpitas,0,1,0,0,"68,433",0,,,,
,,Modesto,2,1,0,2,"204,631",0,,,,
,,Monrovia,0,0,2,0,"37,199",0,,,,
,,Montclair,0,1,1,1,"37,556",0,,,,
,,Monterey Park,0,1,1,0,"61,270",0,,,,
,,Moreno Valley,0,0,0,1,"199,673",0,,,,
,,Murrieta,0,0,1,1,"106,839",0,,,,
,,Napa,0,0,1,0,"78,589",0,,,,
,,National City,0,0,0,2,"59,920",0,,,,
,,Newark,0,2,3,0,"43,539",0,,,,
,,Newport Beach,0,1,4,2,"87,286",0,,,,
,,Norwalk,0,2,0,0,"107,295",0,,,,
,,Novato,1,0,1,0,"52,942",0,,,,
,,Oakland,2,6,3,0,"399,487",0,,,,
,,Oceanside,4,3,2,0,"171,141",0,,,,
,,Ontario,1,0,0,1,"167,933",0,,,,
,,Orange,0,0,0,1,"139,692",0,,,,
,,Orland,1,0,0,0,"7,361",0,,,,
,,Oxnard,0,1,1,2,"201,797",0,,,,
,,Pacifica,0,1,2,0,"38,041",0,,,,
,,Palmdale3,7,5,5,0,"155,294",0,,,,
,,Palm Desert,1,0,0,0,"50,021",0,,,,
,,Palm Springs,4,2,0,0,"45,996",0,,,,
,,Palo Alto,0,3,0,1,"66,019",0,,,,
,,Paradise,0,1,0,0,"26,492",0,,,,
,,Paramount,2,1,0,1,"54,997",0,,,,
,,Parlier,0,0,1,0,"14,828",0,,,,
