state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,addendum,,,,
Illinois,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Algonquin,0,1,0,0,"30,159",0,,,,
,,Altamont,1,0,0,0,"2,323",0,,,,
,,Aurora,0,1,0,0,"199,765",0,,,,
,,Beardstown,1,0,0,0,"6,099",0,,,,
,,Bellwood,0,0,0,1,"19,165",0,,,,
,,Bloomington,0,0,0,1,"77,107",0,,,,
,,Canton,1,0,0,0,"14,673",0,,,,
,,Carpentersville,0,1,0,0,"38,080",0,,,,
,,Centralia,0,0,1,,"13,027",0,,,,
,,Chicago,3,3,4,4,"2,708,382",0,,,,
,,Crest Hill,0,1,0,0,"20,953",0,,,,
,,Crystal Lake,0,1,0,1,"40,785",0,,,,
,,Danville,1,0,0,0,"32,997",0,,,,
,,Decatur,0,1,0,0,"76,131",0,,,,
,,De Kalb,0,1,0,0,"43,722",0,,,,
,,Des Plaines,0,0,1,0,"58,644",0,,,,
,,Downers Grove,0,0,1,0,"48,185",0,,,,
,,Evanston,0,1,0,0,"74,820",0,,,,
,,Fairbury,0,0,1,0,"3,751",0,,,,
,,Joliet,0,0,1,0,"148,471",0,,,,
,,La Grange,2,0,0,0,"15,624",0,,,,
,,Monmouth,1,0,0,0,"9,504",0,,,,
,,Normal,0,2,0,0,"52,797",0,,,,
,,North Riverside,0,0,1,0,"6,702",0,,,,
,,Oak Forest,0,1,0,0,"28,097",0,,,,
,,Olney,0,0,1,0,"9,125",0,,,,
,,Peoria,0,0,0,1,"115,288",0,,,,
,,Plainfield,0,0,1,0,"39,859",0,,,,
,,Quincy,0,1,1,0,"40,684",0,,,,
,,Rockford,1,3,2,0,"152,293",0,,,,
,,Rolling Meadows,0,0,1,0,"24,216",0,,,,
,,Skokie,0,2,0,1,"65,096",0,,,,
,,Springfield,1,2,3,2,"117,131",0,,,,
,,Summit,0,0,1,0,"11,109",0,,,,
,,Tinley Park,0,0,1,0,"56,992",0,,,,
,,Urbana,1,0,0,0,"41,537",0,,,,
,,West Frankfort,1,0,0,0,"8,196",0,,,,
,,Wheeling,0,1,0,0,"37,830",0,,,,
,,Winnetka,0,0,1,0,"12,247",0,,,,
,,Wood River,0,0,1,0,"10,630",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,Black Hawk College: Kewannee4,0,0,1,0,,0,,,,
,,Western Illinois University,1,1,0,0,"12,554",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Alexander,0,1,0,0,,0,,,,
,,Du Page,0,0,2,0,,0,,,,
,,Madison,0,1,0,0,,0,,,,
,,Peoria,1,0,1,1,,0,,,,
,,Sangamon,1,0,0,0,,0,,,,
,,Will,0,0,0,1,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,La Salle,0,0,1,0,,0,,,,
Indiana,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Bloomington,1,2,6,4,"81,636",0,,,,
,,Franklin,1,,0,,"24,115",0,,,,
,,Hammond,0,,1,0,"81,010",0,,,,
,,Mishawaka,,,1,,"48,363",0,,,,
,,Seymour,0,0,1,0,"18,340",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,Indiana University: Southeast,0,7,1,0,"7,256",0,,,,
,,Purdue University,4,1,4,2,"40,849",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Elkhart,0,1,0,0,,0,,,,
Iowa,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Bettendorf,0,1,0,0,"33,729",0,,,,
,,Council Bluffs,1,0,1,0,"62,708",0,,,,
,,Dubuque,1,0,0,0,"58,460",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,University of Iowa,4,0,0,0,"29,810",0,,,,
Kansas,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Basehor,1,0,0,0,"4,716",0,,,,
,,Beloit,1,0,0,0,"3,808",0,,,,
,,Columbus,1,0,0,0,"3,295",0,,,,
,,Concordia,0,1,0,0,"5,329",0,,,,
,,Derby,1,0,1,0,"22,393",0,,,,
,,Dodge City,0,0,1,0,"28,064",0,,,,
,,Emporia,0,1,0,0,"25,099",0,,,,
,,Eudora,0,1,0,0,"6,249",0,,,,
,,Fort Scott,0,0,0,1,"8,031",0,,,,
,,Hays,1,0,0,0,"20,823",0,,,,
,,Haysville,1,0,0,0,"10,939",0,,,,
,,Hesston,0,1,0,0,"3,744",0,,,,
,,Hutchinson,1,0,0,0,"42,357",0,,,,
,,Independence,1,1,1,0,"9,380",0,,,,
,,Lawrence,5,3,4,3,"89,180",0,,,,
,,Leavenworth,0,0,1,0,"35,857",0,,,,
,,Liberal,0,1,0,0,"20,968",0,,,,
,,Lindsborg,1,0,0,0,"3,483",0,,,,
,,Merriam,0,1,0,0,"11,237",0,,,,
,,Newton,0,0,1,0,"19,328",0,,,,
,,Parsons,0,0,1,0,"10,507",0,,,,
,,Pittsburg,0,1,0,0,"20,380",0,,,,
,,Pratt,0,1,0,0,"6,885",0,,,,
,,Salina,0,0,1,3,"48,155",0,,,,
,,Shawnee,1,1,1,0,"63,542",0,,,,
,,Wichita,11,8,4,2,"386,409",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,Pittsburg State University,0,0,1,0,"7,275",0,,,,
,,University of Kansas:,,,,,,0,,,,
,,Main Campus,1,0,1,0,"27,939",0,,,,
,,Medical Center4,0,0,1,0,,0,,,,
,,Washburn University,0,0,0,1,"7,303",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Leavenworth,0,1,0,0,,0,,,,
,,Miami,0,1,0,0,,0,,,,
,,Riley County Police Department,0,0,0,1,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Rush,0,0,1,0,,0,,,,
Kentucky,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Anchorage,2,0,0,0,"2,372",0,,,,
,,Barbourville,0,1,0,0,"3,178",0,,,,
,,Bardstown,2,0,1,4,"11,869",0,,,,
,,Bellevue,0,1,1,0,"6,011",0,,,,
,,Berea,0,0,1,0,"13,798",0,,,,
,,Bowling Green,1,2,3,3,"59,043",0,,,,
,,Campbellsville,1,0,1,0,"9,209",0,,,,
,,Covington,0,0,3,3,"40,914",0,,,,
,,Danville,0,0,0,2,"16,314",0,,,,
,,Elizabethtown,1,0,0,0,"29,118",0,,,,
,,Eminence,1,1,0,0,"2,508",0,,,,
,,Falmouth,0,0,0,1,"2,152",0,,,,
,,Flemingsburg,0,0,0,1,"2,693",0,,,,
,,Florence,0,1,1,0,"30,765",0,,,,
,,Fort Thomas,0,1,0,0,"16,478",0,,,,
,,Frankfort,1,1,0,0,"25,648",0,,,,
,,Fulton,0,2,0,0,"2,428",0,,,,
,,Georgetown,0,0,0,1,"29,765",0,,,,
,,Graymoor-Devondale,0,1,0,0,"2,897",0,,,,
,,Harrodsburg,1,0,0,1,"8,342",0,,,,
,,Hopkinsville,3,2,1,0,"31,499",0,,,,
,,Independence,0,0,1,0,"24,927",0,,,,
,,Lancaster,0,0,0,1,"3,445",0,,,,
,,Lexington,11,12,11,8,"302,332",0,,,,
,,Louisa,0,0,1,0,"2,500",0,,,,
,,Mayfield,0,0,1,0,"10,155",0,,,,
,,Maysville,0,0,1,0,"9,117",0,,,,
,,Middlesboro,1,0,0,0,"10,358",0,,,,
,,Monticello,1,0,0,0,"6,240",0,,,,
,,Morehead,0,0,1,0,"6,914",0,,,,
,,Mount Sterling,1,0,0,0,"6,977",0,,,,
,,Mount Washington,0,1,0,0,"9,237",0,,,,
,,Murray,0,1,1,0,"17,938",0,,,,
,,Newport,0,0,0,1,"15,412",0,,,,
,,Nicholasville,2,0,0,0,"28,366",0,,,,
,,Northfield,0,0,0,1,"1,030",0,,,,
,,Owensboro,0,1,3,1,"57,751",0,,,,
,,Paducah,1,0,2,0,"25,199",0,,,,
,,Paris,1,0,0,0,"8,580",0,,,,
,,Park Hills,0,0,1,0,"2,991",0,,,,
,,Prestonsburg,1,0,0,0,"3,246",0,,,,
,,Princeton,1,0,1,0,"6,339",0,,,,
,,Radcliff,0,1,0,0,"22,148",0,,,,
,,Richmond,0,1,0,0,"31,890",0,,,,
,,Shelbyville,1,2,1,0,"14,425",0,,,,
,,Shepherdsville,2,1,0,0,"11,372",0,,,,
,,Shively,1,0,0,1,"15,422",0,,,,
,,Somerset,0,1,1,0,"11,325",0,,,,
,,Taylor Mill,0,0,1,0,"6,650",0,,,,
,,Vanceburg,0,0,1,0,"1,530",0,,,,
,,Versailles,0,0,0,1,"8,593",0,,,,
,,West Buechel,,0,0,1,"1,242",0,,,,
,,Winchester,0,1,2,1,"18,374",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,Eastern Kentucky University,1,0,0,0,"16,062",0,,,,
,,Murray State University,1,0,0,1,"10,623",0,,,,
,,University of Louisville,0,1,0,0,"21,152",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Boone,1,3,1,2,,0,,,,
,,Boyd,0,0,1,0,,0,,,,
,,Bullitt,0,0,1,2, ,0,,,,
,,Campbell County Police Department,0,1,1,0,,0,,,,
,,Christian,0,0,1,0,,0,,,,
,,Jessamine,0,0,1,0,,0,,,,
,,Kenton County Police Department,1,0,0,0,,0,,,,
,,Meade,0,0,1,0,,0,,,,
,,Shelby,2,0,0,0,,0,,,,
,,Spencer,0,0,1,0,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Ballard,0,0,1,0,,0,,,,
,,Franklin,0,0,0,1,,0,,,,
,,Hopkins,1,0,0,0,,0,,,,
,,Knox,0,0,0,1,,0,,,,
,,Laurel,0,0,1,0,,0,,,,
,,Mason,0,1,0,0,,0,,,,
,,McCracken,1,0,0,0,,0,,,,
,,Ohio,0,1,0,0,,0,,,,
,,Owen,0,0,1,0,,0,,,,
,,Washington,0,0,0,1,,0,,,,
,,Wolfe,0,2,0,0,,0,,,,
,State Police Agencies,,,,,,,0,,,,
,,State Police:,,,,,,0,,,,
,,Ashland,1,0,0,0,,0,,,,
,,Dry Ridge,1,0,0,0,,0,,,,
,,Mayfield,1,1,0,0,,0,,,,
,,Morehead,0,0,1,0,,0,,,,
,,Richmond,0,0,1,1,,0,,,,
,Other Agencies,,,,,,,0,,,,
,,Cincinnati-Northern Kentucky International Airport,0,0,1,0,,0,,,,
,,Fayette County Schools,1,0,1,0,,0,,,,
,,Jefferson County Board of Education,1,0,0,0,,0,,,,
,,Kentucky Horse Park,0,1,0,0,,0,,,,
Louisiana,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,New Orleans,,,1,1,"362,874",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Ascension,1,,,,,0,,,,
,,St. Tammany,0,0,0,1,,0,,,,
Maine,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Auburn,0,2,0,0,"23,002",0,,,,
,,Augusta,0,0,1,1,"19,117",0,,,,
,,Baileyville,0,0,0,1,"1,511",0,,,,
,,Bangor,0,0,3,3,"33,036",0,,,,
,,Bar Harbor,0,1,0,0,"5,253",0,,,,
,,Houlton,1,0,0,0,"6,095",0,,,,
,,Kittery,0,0,1,0,"9,548",0,,,,
,,Lewiston,1,0,2,0,"36,519",0,,,,
,,Livermore Falls,0,0,0,1,"3,180",0,,,,
,,Mexico,0,1,0,0,"2,677",0,,,,
,,Old Orchard Beach,0,1,1,0,"8,678",0,,,,
,,Pittsfield,0,0,2,0,"4,202",0,,,,
,,Portland,2,0,4,1,"66,413",0,,,,
,,Rumford,0,1,0,0,"5,831",0,,,,
,,Saco,2,3,1,4,"18,595",0,,,,
,,Sanford,0,3,2,0,"20,925",0,,,,
,,Skowhegan,0,2,0,0,"8,562",0,,,,
,,Wells,0,0,1,0,"9,648",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Androscoggin,0,0,1,0,,0,,,,
,,Sagadahoc,1,1,0,0,,0,,,,
Maryland,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Baltimore,0,0,1,0,"625,474",0,,,,
,,Bowie,1,0,0,0,"55,765",0,,,,
,,Cambridge,0,0,1,1,"12,454",0,,,,
,,Elkton,0,0,1,0,"15,681",0,,,,
,,New Carrollton,0,0,1,0,"12,366",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,Frostburg State University,1,0,0,0,"5,429",0,,,,
,,Towson University,1,0,0,0,"21,464",0,,,,
,,University of Maryland: College Park,1,0,0,0,"37,631",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Baltimore County Police Department,2,4,0,1,,0,,,,
,,Calvert,1,0,0,0,,0,,,,
,,Carroll,0,2,1,2,,0,,,,
,,Charles,0,2,0,0,,0,,,,
,,Montgomery County Police Department,2,3,2,1,,0,,,,
,State Police Agencies,,,,,,,0,,,,
,,State Police:,,,,,,0,,,,
,,Allegany County,1,0,0,0,,0,,,,
,,Frederick County,1,0,0,0,,0,,,,
,Other Agencies,,,,,,,0,,,,
,,Maryland-National Capital Park Police: Montgomery County,1,0,0,0,,0,,,,
Massachusetts,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Acton,1,1,0,1,"22,349",0,,,,
,,Amesbury,0,0,0,1,"16,557",0,,,,
,,Amherst,0,1,1,0,"38,112",0,,,,
,,Andover,1,0,0,0,"33,753",0,,,,
,,Attleboro,0,0,1,0,"44,033",0,,,,
,,Barnstable,4,1,0,3,"45,570",0,,,,
,,Bedford,0,1,0,0,"13,575",0,,,,
,,Belchertown,0,1,0,0,"14,751",0,,,,
,,Belmont,0,2,0,0,"25,209",0,,,,
,,Beverly,1,1,0,0,"40,150",0,,,,
,,Billerica,0,0,1,0,"41,016",0,,,,
,,Braintree,0,1,2,2,"36,310",0,,,,
,,Brookline,0,0,0,1,"59,658",0,,,,
,,Burlington,0,1,0,0,"24,975",0,,,,
,,Cambridge,2,2,2,4,"106,981",0,,,,
,,Carver,0,0,1,0,"11,676",0,,,,
,,Charlton,1,0,0,0,"13,142",0,,,,
,,Chelsea,0,0,1,0,"35,966",0,,,,
,,Chicopee,0,1,1,0,"55,825",0,,,,
,,Danvers,1,3,2,2,"26,934",0,,,,
,,Dracut,0,1,0,0,"30,032",0,,,,
,,East Longmeadow,0,0,1,0,"15,871",0,,,,
,,Everett,1,0,1,0,"42,476",0,,,,
,,Falmouth,0,0,1,0,"31,794",0,,,,
,,Fitchburg,0,2,0,0,"40,809",0,,,,
,,Framingham,0,0,0,1,"69,605",0,,,,
,,Grafton,0,0,1,0,"17,986",0,,,,
,,Hadley,0,0,1,0,"5,288",0,,,,
,,Harvard,0,1,0,0,"6,595",0,,,,
,,Haverhill,4,3,0,1,"61,897",0,,,,
,,Hingham,2,0,0,0,"22,475",0,,,,
,,Hull,0,0,1,1,"10,441",0,,,,
,,Longmeadow,0,0,1,0,"15,936",0,,,,
,,Lowell,0,0,0,1,"108,539",0,,,,
,,Ludlow,1,0,0,0,"21,304",0,,,,
,,Lynn,0,1,3,1,"91,846",0,,,,
,,Malden,0,0,0,2,"60,605",0,,,,
,,Manchester-by-the-Sea,0,0,1,0,"5,222",0,,,,
,,Mansfield,0,0,0,1,"23,419",0,,,,
,,Marblehead,0,0,0,1,"20,142",0,,,,
,,Mendon,0,1,0,0,"5,913",0,,,,
,,Millis,0,1,0,0,"8,016",0,,,,
,,Monson,0,0,1,0,"8,641",0,,,,
,,Montague,1,0,0,1,"8,540",0,,,,
,,Natick,0,1,1,0,"33,646",0,,,,
,,Needham,0,0,0,1,"29,342",0,,,,
,,Newburyport,0,0,0,1,"17,708",0,,,,
,,Newton,0,1,1,1,"86,710",0,,,,
,,Norton,0,1,0,0,"19,222",0,,,,
,,Oak Bluffs,0,0,0,1,"4,631",0,,,,
,,Pembroke,0,0,1,0,"18,094",0,,,,
,,Plainville,1,0,0,0,"8,396",0,,,,
,,Plymouth,3,1,1,3,"57,272",0,,,,
,,Provincetown,0,0,1,0,"2,966",0,,,,
,,Quincy,2,3,0,3,"93,736",0,,,,
,,Randolph,0,0,0,1,"32,624",0,,,,
,,Revere,1,0,0,2,"52,926",0,,,,
,,Salem,,,1,0,"42,025",0,,,,
,,Seekonk,0,0,1,0,"13,862",0,,,,
,,Sharon,1,0,0,0,"17,892",0,,,,
,,Somerville,1,0,1,0,"77,200",0,,,,
,,Southborough,0,1,0,0,"9,887",0,,,,
,,South Hadley,0,0,0,1,"17,642",0,,,,
,,Southwick,0,1,0,0,"9,594",0,,,,
,,Springfield,0,0,0,1,"154,518",0,,,,
,,Stoneham,0,0,1,1,"21,852",0,,,,
,,Stoughton,0,0,1,0,"27,392",0,,,,
,,Taunton,1,1,1,0,"56,438",0,,,,
,,Tisbury,0,0,2,0,"4,040",0,,,,
,,Uxbridge,1,0,0,0,"13,623",0,,,,
,,Westfield,1,0,0,0,"41,485",0,,,,
,,Worcester,1,0,3,1,"183,247",0,,,,
,,Yarmouth,1,1,2,0,"23,991",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,Massachusetts College of Liberal Arts,1,0,0,0,"1,886",0,,,,
,,Massachusetts Institute of Technology,0,0,0,1,"10,894",0,,,,
,,University of Massachusetts: Harbor Campus: Boston,0,0,0,1,"15,741",0,,,,
Michigan,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Adrian,1,2,1,1,"21,060",0,,,,
,,Allegan,0,0,1,0,"4,994",0,,,,
,,Alma,0,0,1,0,"9,319",0,,,,
,,Alpena,2,0,0,0,"10,418",0,,,,
,,Ann Arbor,1,5,3,1,"115,008",0,,,,
,,Auburn Hills,0,0,1,1,"21,559",0,,,,
,,Bangor,0,0,0,1,"1,882",0,,,,
,,Battle Creek,1,1,0,0,"61,450",0,,,,
,,Bay City,2,0,0,0,"34,742",0,,,,
,,Benton Township,1,0,0,1,"14,771",0,,,,
,,Berkley,0,0,1,1,"15,078",0,,,,
,,Berrien Springs-Oronoko Township,0,0,0,2,"9,206",0,,,,
,,Beverly Hills,0,1,0,1,"10,341",0,,,,
,,Birmingham,2,1,1,0,"20,250",0,,,,
,,Blackman Township,1,0,0,1,"37,782",0,,,,
,,Blissfield,0,0,1,0,"3,326",0,,,,
,,Bloomfield Township,0,0,4,1,"41,367",0,,,,
,,Buchanan,0,1,1,0,"4,462",0,,,,
,,Canton Township,0,0,1,1,"89,312",0,,,,
,,Capac,0,0,1,2,"1,874",0,,,,
,,Cedar Springs,0,1,0,0,"3,546",0,,,,
,,Center Line,0,1,0,0,"8,275",0,,,,
,,Cheboygan,0,1,0,0,"4,830",0,,,,
,,Chelsea,1,0,0,1,"4,995",0,,,,
,,Chesterfield Township,1,0,0,1,"43,474",0,,,,
,,Clare,1,1,0,0,"3,130",0,,,,
,,Clawson,1,0,0,0,"11,909",0,,,,
,,Clinton Township,8,4,1,1,"97,001",0,,,,
,,Clio,1,0,0,0,"2,625",0,,,,
,,Covert Township,0,0,1,0,"2,886",0,,,,
,,Crystal Falls,0,0,1,0,"1,467",0,,,,
,,Dearborn,4,8,4,0,"97,215",0,,,,
,,Dearborn Heights,3,3,0,0,"57,228",0,,,,
,,Detroit,1,6,12,3,"707,096",0,,,,
,,East Lansing,0,7,4,0,"48,701",0,,,,
,,Eastpointe,3,3,0,0,"32,511",0,,,,
,,Eau Claire,1,0,0,0,626,0,,,,
,,Emmett Township,0,0,1,1,"11,722",0,,,,
,,Escanaba,2,0,2,1,"12,636",0,,,,
,,Farmington,1,0,0,1,"10,446",0,,,,
,,Farmington Hills,1,2,2,1,"80,316",0,,,,
,,Fenton,0,1,1,0,"11,662",0,,,,
,,Ferndale,0,1,0,0,"20,045",0,,,,
,,Flat Rock,0,0,2,0,"9,785",0,,,,
,,Flint,2,1,0,1,"101,632",0,,,,
,,Flint Township,2,0,0,0,"31,677",0,,,,
,,Flushing,0,0,0,1,"8,322",0,,,,
,,Forsyth Township,0,1,0,0,"6,230",0,,,,
,,Fraser,0,3,0,1,"14,512",0,,,,
,,Garden City,1,1,1,0,"27,428",0,,,,
,,Genesee Township,0,0,1,0,"21,407",0,,,,
,,Grand Blanc,0,0,1,0,"8,210",0,,,,
,,Grand Blanc Township,2,1,0,1,"37,206",0,,,,
,,Grand Haven,0,1,0,0,"10,519",0,,,,
,,Grand Ledge,0,1,0,0,"7,814",0,,,,
,,Grand Rapids,2,0,0,4,"189,953",0,,,,
,,Grandville,0,1,0,0,"15,538",0,,,,
,,Greenville,0,0,1,0,"8,466",0,,,,
,,Grosse Pointe Woods,1,1,1,0,"15,981",0,,,,
,,Hamtramck,0,2,0,1,"22,214",0,,,,
,,Hancock,1,0,0,0,"4,638",0,,,,
,,Harper Woods,0,0,0,2,"14,102",0,,,,
,,Hartford,0,1,0,0,"2,686",0,,,,
,,Hastings,1,0,0,0,"7,313",0,,,,
,,Hazel Park,0,1,0,0,"16,542",0,,,,
,,Hillsdale,0,1,1,0,"8,284",0,,,,
,,Holland,0,0,1,0,"33,294",0,,,,
,,Hopkins,0,1,0,0,610,0,,,,
,,Houghton,0,0,1,0,"7,716",0,,,,
,,Howard City,0,0,1,0,"1,805",0,,,,
,,Hudson,0,0,1,0,"2,298",0,,,,
,,Huntington Woods,1,0,1,0,"6,285",0,,,,
,,Inkster,1,0,1,0,"25,129",0,,,,
,,Ironwood,0,1,0,0,"5,339",0,,,,
,,Jackson,1,3,1,1,"33,449",0,,,,
,,Keego Harbor,1,0,1,0,"2,992",0,,,,
,,Kentwood,0,1,0,0,"49,220",0,,,,
,,Lansing,1,2,1,1,"114,688",0,,,,
,,Lawton,0,1,0,0,"1,897",0,,,,
,,Livonia,4,2,1,5,"96,028",0,,,,
,,Manistique,1,0,0,0,"3,100",0,,,,
,,Marlette,2,1,0,0,"1,855",0,,,,
,,Marysville,0,1,0,0,"9,881",0,,,,
,,Mattawan,0,0,1,0,"1,994",0,,,,
,,Meridian Township,2,0,2,0,"39,824",0,,,,
,,Midland,0,0,2,0,"42,106",0,,,,
,,Monroe,0,3,1,1,"20,687",0,,,,
,,Morenci,0,1,1,0,"2,211",0,,,,
,,Mount Morris,0,0,1,0,"3,061",0,,,,
,,Mount Morris Township,0,0,0,1,"21,326",0,,,,
,,Mundy Township,2,0,0,0,"14,960",0,,,,
,,Muskegon,1,1,1,0,"38,253",0,,,,
,,Muskegon Heights,0,1,0,0,"10,806",0,,,,
,,New Haven,0,1,0,0,"4,650",0,,,,
,,Northfield Township,0,0,1,0,"8,329",0,,,,
,,Northville,1,0,0,0,"5,968",0,,,,
,,Northville Township,1,0,1,0,"28,224",0,,,,
,,Norton Shores,1,1,1,0,"23,884",0,,,,
,,Novi,0,1,0,0,"55,623",0,,,,
,,Oakley,0,1,0,0,287,0,,,,
,,Oak Park,1,0,0,1,"29,532",0,,,,
,,Orchard Lake,0,1,1,0,"2,391",0,,,,
,,Oscoda Township,0,0,1,0,"6,907",0,,,,
,,Owosso,0,0,1,0,"15,035",0,,,,
,,Pittsfield Township,1,1,1,0,"35,020",0,,,,
,,Plymouth Township,0,0,1,0,"27,262",0,,,,
,,Portage,1,0,0,0,"46,658",0,,,,
,,Port Huron,1,0,0,0,"29,950",0,,,,
,,Redford Township,0,0,1,0,"47,903",0,,,,
,,Richmond,1,1,0,0,"5,747",0,,,,
,,Rochester,1,0,0,0,"12,802",0,,,,
,,Rockford,0,1,0,0,"5,779",0,,,,
,,Roseville,3,1,0,1,"47,400",0,,,,
,,Royal Oak,1,2,2,2,"57,649",0,,,,
,,Saginaw,1,0,2,0,"51,267",0,,,,
,,Saginaw Township,1,0,0,1,"40,642",0,,,,
,,Saline,0,0,0,1,"8,899",0,,,,
,,Saugatuck-Douglas,0,0,1,0,"2,156",0,,,,
,,Shelby Township,2,2,1,0,"73,960",0,,,,
,,Shepherd,1,0,0,0,"1,524",0,,,,
,,Southfield,3,2,6,3,"72,253",0,,,,
,,South Lyon,1,0,0,0,"11,408",0,,,,
,,Sparta,0,0,0,1,"4,183",0,,,,
,,Spring Lake-Ferrysburg,0,1,0,0,"5,269",0,,,,
,,St. Charles,1,0,0,0,"2,043",0,,,,
,,St. Clair,0,0,0,1,"5,442",0,,,,
,,St. Clair Shores,0,2,2,0,"59,841",0,,,,
,,Sterling Heights,2,2,0,0,"129,974",0,,,,
,,Swartz Creek,1,0,0,0,"5,712",0,,,,
,,Taylor,1,3,1,0,"62,534",0,,,,
,,Thomas Township,0,0,1,0,"11,927",0,,,,
,,Three Rivers,0,1,0,0,"7,797",0,,,,
,,Tittabawassee Township,0,0,0,1,"9,688",0,,,,
,,Trenton,0,0,1,1,"18,676",0,,,,
,,Troy,3,1,0,1,"81,567",0,,,,
,,Utica,0,0,0,1,"4,766",0,,,,
,,Van Buren Township,0,1,1,0,"28,548",0,,,,
,,Vicksburg,0,1,1,0,"2,929",0,,,,
,,Walled Lake,1,0,1,0,"7,049",0,,,,
,,Warren,4,6,5,4,"134,340",0,,,,
,,Waterford Township,0,1,0,2,"72,224",0,,,,
,,Wayne,0,1,2,1,"17,427",0,,,,
,,West Bloomfield Township,2,2,2,1,"65,157",0,,,,
,,Westland,1,2,0,2,"83,299",0,,,,
,,White Cloud,0,0,0,1,"1,407",0,,,,
,,White Lake Township,0,2,0,0,"30,236",0,,,,
,,Woodhaven,0,0,1,0,"12,752",0,,,,
,,Wyoming,1,2,1,1,"72,886",0,,,,
,,Ypsilanti,0,1,1,2,"19,610",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,Eastern Michigan University,0,0,0,1,"23,419",0,,,,
,,Michigan State University,2,1,0,1,"47,825",0,,,,
,,Oakland University,1,0,0,0,"19,379",0,,,,
,,Saginaw Valley State University,0,1,0,0,"10,790",0,,,,
,,University of Michigan: Ann Arbor,1,2,0,1,"42,716",0,,,,
,,Western Michigan University,1,0,0,0,"25,086",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Berrien,0,0,1,0,,0,,,,
,,Calhoun,1,0,0,1,,0,,,,
,,Eaton,0,1,0,0,,0,,,,
,,Genesee,2,0,0,2,,0,,,,
,,Jackson,1,1,0,0,,0,,,,
,,Kalamazoo,1,0,0,0,,0,,,,
,,Kent,0,0,0,5,,0,,,,
,,Macomb,4,5,2,2,,0,,,,
,,Monroe,3,0,2,2,,0,,,,
,,Oakland,27,47,38,6,,0,,,,
,,Ottawa,1,1,0,1,,0,,,,
,,St. Clair,1,0,0,0,,0,,,,
,,Van Buren,1,0,0,1,,0,,,,
,,Washtenaw,2,1,1,2,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Allegan,1,1,0,1,,0,,,,
,,Branch,1,0,0,0,,0,,,,
,,Chippewa,0,1,0,0,,0,,,,
,,Grand Traverse,1,0,1,1,,0,,,,
,,Leelanau,0,0,1,0,,0,,,,
,,Mecosta,0,0,1,1,,0,,,,
,,Osceola,0,0,1,1,,0,,,,
,State Police Agencies,,,,,,,0,,,,
,,State Police: Huron County,0,0,1,0,,0,,,,
,Other Agencies,,,,,,,0,,,,
,,Huron-Clinton Metropolitan Authority: Kensington Metropark,0,0,1,0,,0,,,,
Minnesota,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Bemidji,1,,,,"13,745",0,,,,
,,Blaine,1,3,,,"57,953",0,,,,
,,Brooklyn Park,2,1,,,"77,346",0,,,,
,,Elk River,2,,,,"23,335",0,,,,
,,Eveleth,0,1,,,"3,742",0,,,,
,,Inver Grove Heights,1,,,,"34,394",0,,,,
,,Mankato,3,2,,,"39,782",0,,,,
,,Maplewood,1,,,,"38,719",0,,,,
,,Minneapolis,8,14,,,"390,240",0,,,,
,,Minnetonka,0,1,0,,"50,758",0,,,,
,,Minnetrista,0,1,,,"8,846",0,,,,
,,Moorhead,1,,,,"38,813",0,,,,
,,New Hope,1,0,0,,"20,748",0,,,,
