state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,,
,,Lemoore,1,0,0,0,"24,802",,
,,Livermore,0,0,1,0,"84,350",,
,,Lodi,0,1,1,0,"63,639",,
,,Lomita,0,1,0,0,"20,622",,
,,Long Beach,3,0,1,1,"469,665",,
,,Los Alamitos,1,0,0,0,"11,735",,
,,Los Angeles,21,40,25,28,"3,878,725",,
,,Los Gatos,0,0,1,1,"30,351",,
,,Lynwood,0,0,0,1,"71,077",,
,,Malibu,0,0,1,0,"12,891",,
,,Manhattan Beach,0,0,0,1,"35,930",,
,,Manteca,1,1,0,1,"72,261",,
,,Milpitas,1,0,0,0,"69,522",,
,,Modesto,2,0,1,0,"204,252",,
,,Montclair,1,0,1,0,"37,785",,
,,Monterey,0,0,1,1,"29,338",,
,,Moreno Valley,0,0,0,1,"201,284",,
,,Morgan Hill,0,0,0,1,"39,907",,
,,Murrieta3,2,2,1,0,"107,768",,
,,National City,1,0,1,1,"59,637",,
,,Newark,1,1,0,1,"43,950",,
,,Newport Beach,0,0,2,1,"87,639",,
,,Norwalk,0,4,0,1,"106,518",,
,,Oakland,2,4,3,2,"403,887",,
,,Oceanside,2,4,2,0,"172,525",,
,,Ontario,0,1,0,0,"168,144",,
,,Orange,0,1,2,0,"140,304",,
,,Oroville,0,0,1,1,"15,581",,
,,Oxnard,0,0,0,1,"202,594",,
,,Pacifica,0,0,1,0,"38,494",,
,,Pacific Grove,1,0,0,0,"15,518",,
,,Palmdale,3,1,3,1,"156,522",,
,,Palm Springs,4,1,2,1,"46,282",,
,,Palo Alto,1,0,0,0,"66,964",,
,,Paramount,0,1,0,1,"54,868",,
,,Pasadena,0,0,1,2,"139,003",,
,,Pico Rivera,1,1,0,0,"63,710",,
,,Pinole,0,0,1,0,"18,848",,
,,Placentia,0,0,1,0,"52,002",,
,,Rancho Cordova,1,0,0,0,"67,634",,
,,Rancho Palos Verdes,0,0,0,1,"42,542",,
,,Red Bluff,0,1,0,2,"14,170",,
,,Redding,2,2,3,1,"91,035",,
,,Redlands,0,1,0,2,"70,282",,
,,Redondo Beach,1,2,1,1,"67,993",,
,,Redwood City,1,0,0,0,"79,707",,
,,Richmond,0,0,2,1,"107,341",,
,,Ridgecrest,0,1,0,0,"28,537",,
,,Riverside,7,4,0,5,"316,423",,
,,Rohnert Park,2,0,0,1,"41,326",,
,,Rolling Hills Estates,0,0,0,1,"8,229",,
,,Roseville,0,1,0,0,"126,236",,
,,Sacramento,2,5,6,3,"478,182",,
,,Salinas,0,0,0,2,"155,742",,
,,San Bernardino,0,0,2,1,"214,322",,
,,San Diego,7,10,17,9,"1,349,306",,
,,San Dimas,1,0,0,0,"33,854",,
,,San Francisco,4,8,8,4,"833,863",,
,,San Jose,7,1,2,5,"992,143",,
,,San Leandro,2,1,2,0,"87,490",,
,,San Luis Obispo,0,0,2,0,"46,095",,
,,San Mateo,0,0,1,0,"100,440",,
,,Santa Ana,0,0,1,0,"332,848",,
,,Santa Barbara,0,0,1,1,"90,006",,
,,Santa Clara,0,0,2,0,"120,150",,
,,Santa Clarita,2,1,1,1,"204,951",,
,,Santa Cruz,1,0,0,1,"62,517",,
,,Santa Maria,0,0,0,1,"102,051",,
,,Santa Rosa,2,1,0,0,"171,564",,
,,Santee,2,0,1,0,"55,924",,
,,Saratoga,0,1,0,0,"30,897",,
,,Simi Valley,1,0,2,0,"126,215",,
,,Sonora,0,0,1,0,"4,774",,
,,South Gate,1,0,1,0,"95,591",,
,,South Lake Tahoe,0,0,1,0,"21,243",,
,,Stanton,0,1,0,0,"39,128",,
,,Stockton,1,0,0,1,"299,796",,
,,Sunnyvale,0,1,0,0,"148,160",,
,,Taft,1,0,0,0,"8,839",,
,,Tehachapi,1,0,1,0,"13,607",,
,,Temecula,0,0,1,0,"106,680",,
,,Temple City,0,0,0,1,"36,269",,
,,Thousand Oaks,0,0,0,1,"128,884",,
,,Torrance,0,0,2,0,"147,534",,
,,Tracy,2,1,3,0,"85,174",,
,,Turlock,0,0,0,1,"70,075",,
,,Union City,1,3,1,0,"72,480",,
,,Vallejo,0,2,0,0,"118,336",,
,,Ventura,1,0,0,0,"108,204",,
,,Vernon,0,1,0,0,115,,
,,Victorville,2,1,2,2,"121,699",,
,,Visalia,1,1,0,0,"127,824",,
,,Vista,0,1,0,1,"96,712",,
,,Walnut Creek,0,0,0,1,"66,149",,
,,West Covina,3,1,1,1,"107,867",,
,,West Hollywood,1,1,3,0,"34,902",,
,,Westlake Village,2,0,0,0,"8,440",,
,,Westminster,1,1,1,2,"91,885",,
,,Yorba Linda,0,0,0,1,"67,492",,
,,Yuba City,0,0,1,0,"65,133",,
,,Yucca Valley,0,0,1,0,"21,214",,
,Universities and Colleges,,,,,,,,
,,California State Polytechnic University:,,,,,,,
,,Pomona,1,0,0,0,"22,156",,
,,San Luis Obispo,1,0,0,0,"18,679",,
,,California State University:,,,,,,,
,,Dominguez Hills,1,0,1,0,"13,933",,
,,Long Beach,0,1,0,0,"36,279",,
,,San Bernardino,2,0,1,0,"18,234",,
,,San Jose,1,1,1,1,"30,448",,
,,San Marcos,1,0,0,0,"10,610",,
,,Stanislaus,0,0,0,1,"8,882",,
