state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,,
,,Owensboro,1,2,1,0,"58,304",,
,,Paducah,0,0,0,1,"25,064",,
,,Paris,0,0,0,1,"9,752",,
,,Radcliff,0,1,0,1,"23,177",,
,,Ravenna,0,1,0,0,595,,
,,Richmond,1,1,0,1,"32,333",,
,,Russellville,0,1,1,0,"6,949",,
,,Shelbyville,0,1,2,1,"14,743",,
,,Shepherdsville,0,0,1,0,"11,534",,
,,Shively,1,0,0,0,"15,511",,
,,St. Matthews,0,1,0,1,"17,768",,
,,Vine Grove,1,0,0,0,"5,298",,
,,Williamsburg,1,0,0,0,"5,258",,
,,Winchester,1,2,1,1,"18,478",,
,Universities and Colleges,,,,,,,,
,,Morehead State University,0,0,1,0,"11,169",,
,,University of Louisville,0,0,1,0,"21,239",,
,Metropolitan Counties,,,,,,,,
,,Boone,1,2,0,1,,,
,,Bullitt,0,2,1,1,,,
,,Christian,0,1,1,0,,,
,,Daviess,0,0,1,0,,,
,,Hardin,0,1,0,0,,,
,,Meade,2,0,0,0,,,
,,Shelby,0,1,0,0,,,
,,Trigg,0,0,0,1,,,
,Nonmetropolitan Counties,,,,,,,,
,,Calloway,0,0,1,0,,,
,,Clay,0,0,1,0,,,
,,Hopkins,0,0,1,0,,,
,,Knott,0,1,0,0,,,
,,Knox,0,0,0,1,,,
,,Lyon,0,1,0,0,,,
,,Marshall,0,1,0,0,,,
,,Nelson,0,0,1,0,,,
,,Ohio,1,1,0,0,,,
,,Perry,1,0,0,0,,,
,State Police Agencies,,,,,,,,
,,State Police:,,,,,,,
,,Campbellsburg,0,1,0,0,,,
,,Dry Ridge,1,0,0,0,,,
,,Frankfort,0,0,1,0,,,
,,Henderson,0,0,0,1,,,
,,Madisonville,0,0,1,0,,,
,,Morehead,0,0,1,0,,,
,,Pikeville,1,0,0,0,,,
,,Richmond,0,0,1,0,,,
,Other Agencies,,,,,,,,
,,Montgomery County School District,0,0,0,1,,,
Louisiana,Total,,,,,,,,
,Cities,,,,,,,,
,,New Orleans,2,3,3,0,"377,022",,
,Universities and Colleges,,,,,,,,
,,University of New Orleans,1,0,,0,"10,071",,
,Metropolitan Counties,,,,,,,,
,,Ascension,0,3,1,0,,,
,,Calcasieu,4,1,1,1,,,
,,Iberia,0,0,1,0,,,
,,Jefferson,0,0,1,,,,
Maine,Total,,,,,,,,
,Cities,,,,,,,,
,,Auburn,0,0,2,0,"22,948",,
,,Belfast,1,0,0,0,"6,654",,
,,Cape Elizabeth,0,1,0,0,"9,104",,
,,Ellsworth,0,1,0,0,"7,853",,
,,Lewiston,0,0,0,1,"36,422",,
,,Machias3,0,0,0,1,"2,173",,
,,Mexico,1,0,0,0,"2,633",,
,,Old Orchard Beach,0,1,0,0,"8,681",,
,,Portland,0,1,1,0,"66,256",,
,,Scarborough,0,1,0,0,"19,252",,
,,Searsport,1,0,0,0,"2,618",,
,,Skowhegan,1,0,1,1,"8,537",,
,,South Portland,1,2,2,0,"25,126",,
,,Wiscasset,1,0,0,0,"3,673",,
,Metropolitan Counties,,,,,,,,
,,Sagadahoc,0,1,0,0,,,
,Nonmetropolitan Counties,,,,,,,,
,,Waldo,0,1,0,0,,,
,State Police Agencies,,,,,,,,
,,State Police: Somerset County,0,0,,1,,,
Maryland,Total,,,,,,,,
,Cities,,,,,,,,
,,Aberdeen,0,0,1,0,"15,039",,
,,Annapolis,1,0,0,0,"38,649",,
,,Baltimore,1,0,0,1,"622,671",,
,,Bel Air,1,0,0,0,"10,314",,
,,Frederick,0,0,1,1,"66,709",,
,,Greenbelt,0,1,0,0,"23,680",,
,Universities and Colleges,,,,,,,,
,,St. Mary's College,0,2,0,0,"1,933",,
,,Towson University,0,1,0,0,"21,960",,
,Metropolitan Counties,,,,,,,,
,,Baltimore County Police Department,1,0,2,2,,,
,,Carroll,0,0,2,0,,,
,,Charles,0,1,0,0,,,
,,Frederick,3,0,2,0,,,
,,Harford,0,0,0,1,,,
,,Howard County Police Department,0,2,2,2,,,
,,Montgomery County Police Department,3,5,2,3,,,
,,Prince George's County Police Department,0,1,0,0,,,
,Nonmetropolitan Counties,,,,,,,,
,,Garrett,0,0,0,1,,,
,State Police Agencies,,,,,,,,
,,State Police:,,,,,,,
,,Frederick County,0,1,0,1,,,
,,Queen Anne's County,1,0,0,0,,,
,Other Agencies,,,,,,,,
,,State Fire Marshal,0,0,2,0,,,
Massachusetts,Total,,,,,,,,
,Cities,,,,,,,,
,,Acton,0,2,0,1,"22,871",,
,,Amesbury,0,1,0,0,"16,655",,
,,Amherst,1,0,0,0,"39,127",,
,,Attleboro,0,1,0,1,"44,034",,
,,Bedford,1,0,0,2,"13,947",,
,,Belmont,0,1,0,0,"25,421",,
,,Beverly,0,0,1,0,"40,592",,
,,Billerica,0,0,0,1,"41,926",,
,,Bolton,0,0,1,0,"5,060",,
,,Boston,39,56,40,30,"643,799",,
,,Braintree,0,2,1,0,"36,496",,
,,Brookline,1,0,0,0,"59,382",,
,,Cambridge,6,2,3,2,"107,282",,
,,Chelsea,0,0,0,1,"37,454",,
,,Danvers,1,0,0,0,"27,263",,
,,Douglas,0,1,0,0,"8,628",,
,,Dover,0,0,1,0,"5,778",,
,,Dracut,0,1,2,2,"30,533",,
,,East Longmeadow,0,3,0,2,"15,946",,
,,Edgartown,1,0,0,0,"4,252",,
,,Fall River,1,0,0,0,"89,220",,
,,Framingham,0,0,2,0,"70,753",,
,,Greenfield,0,1,0,0,"17,598",,
,,Haverhill,4,2,1,1,"62,249",,
,,Kingston,0,0,1,0,"12,791",,
,,Lakeville,0,1,0,0,"10,939",,
,,Lincoln,0,0,0,1,"6,563",,
,,Lowell,0,0,1,1,"109,449",,
,,Lunenburg,0,0,0,1,"11,149",,
,,Lynn,1,5,6,4,"91,769",,
,,Malden,0,2,1,0,"60,816",,
,,Marblehead,0,1,0,0,"20,209",,
,,Marlborough,0,0,1,0,"39,531",,
,,Medford,2,4,4,0,"57,428",,
,,Middleboro,0,1,0,0,"23,547",,
,,Milton,0,0,0,3,"27,269",,
,,Monson,0,0,0,1,"8,716",,
,,Needham,0,0,1,1,"29,544",,
,,New Bedford,0,0,1,0,"95,156",,
,,Newburyport,0,0,1,0,"17,773",,
,,Norton,0,0,1,1,"19,414",,
,,Peabody,0,0,2,0,"52,178",,
,,Pittsfield,0,1,0,0,"43,992",,
,,Plainville,1,0,0,0,"8,512",,
,,Plymouth,0,0,6,4,"57,893",,
,,Provincetown,1,0,0,0,"2,983",,
,,Quincy,4,2,4,3,"93,490",,
,,Randolph,0,2,0,0,"33,583",,
,,Reading,0,0,1,0,"25,398",,
,,Revere,0,0,1,2,"53,777",,
,,Salem,0,0,0,1,"42,468",,
,,Saugus,0,0,1,0,"27,628",,
,,Sharon,0,1,0,0,"17,935",,
,,Shrewsbury,0,1,0,0,"36,315",,
,,Somerville,0,0,0,2,"77,768",,
,,South Hadley,0,0,1,1,"17,794",,
,,Spencer,0,0,1,0,"11,801",,
,,Springfield,3,0,0,1,"153,586",,
,,Stoughton,0,1,0,0,"28,186",,
,,Swampscott,1,0,0,0,"13,995",,
,,Taunton,1,0,1,0,"56,264",,
,,Waltham,0,0,1,1,"62,446",,
,,Watertown,0,1,0,0,"33,254",,
,,Westborough,0,0,1,0,"18,563",,
,,West Boylston,0,0,0,1,"7,821",,
,,West Springfield,0,0,1,0,"28,647",,
,,Williamstown,0,0,0,1,"7,682",,
,,Worcester,0,1,1,0,"183,454",,
,Universities and Colleges,,,,,,,,
,,Boston College,1,0,0,0,"14,605",,
,,Boston University,0,0,1,0,"32,603",,
,,Bridgewater State University,0,0,0,1,"11,417",,
,,Dean College,0,0,0,1,"1,322",,
,,Emerson College,0,0,0,1,"4,531",,
,,Massachusetts College of Liberal Arts,1,0,0,0,"1,799",,
,,Northeastern University,0,0,0,3,"27,694",,
,,Tufts University: Medford,0,0,1,1,"10,837",,
,,University of Massachusetts:,,,,,,,
,,Amherst,3,0,2,2,"28,236",,
,,Harbor Campus: Boston,0,0,0,1,"15,874",,
Michigan,Total,,,,,,,,
,Cities,,,,,,,,
,,Adrian,0,1,0,,"20,759",,
,,Albion,0,1,0,0,"8,524",,
,,Alpena,2,0,0,0,"10,299",,
,,Ann Arbor,0,3,0,0,"116,799",,
,,Bangor,0,0,0,1,"1,857",,
,,Bath Township,0,0,1,0,"11,761",,
,,Battle Creek,0,0,1,0,"61,032",,
,,Benton Harbor,1,0,2,0,"10,039",,
,,Benton Township,0,0,1,1,"14,578",,
,,Birmingham,1,0,1,0,"20,544",,
,,Blackman Township,0,1,0,2,"38,115",,
,,Bloomfield Township,0,1,1,0,"41,791",,
,,Brownstown Township,0,1,0,0,"30,388",,
,,Buchanan,0,1,0,0,"4,419",,
,,Buena Vista Township,0,0,1,0,"8,500",,
,,Burton,0,1,0,1,"29,263",,
,,Canton Township,0,1,1,0,"88,958",,
,,Charlotte,0,1,0,0,"9,046",,
,,Chesterfield Township,0,0,1,0,"43,784",,
,,Chocolay Township,0,0,1,0,"6,029",,
,,Clare,0,0,1,0,"3,095",,
,,Clinton Township,1,2,0,1,"98,071",,
,,Coldwater,0,2,0,1,"10,876",,
,,Dearborn,7,4,2,1,"96,012",,
,,Detroit,0,0,1,2,"699,889",,
,,East Grand Rapids,0,1,0,0,"11,100",,
,,Eastpointe,0,0,2,0,"32,402",,
,,Elk Rapids,0,1,0,0,"1,629",,
,,Escanaba,0,0,0,1,"12,531",,
,,Essexville,1,0,0,0,"3,436",,
,,Farmington,1,0,0,0,"10,514",,
,,Ferndale,0,0,1,0,"20,104",,
,,Flint Township,0,1,1,0,"31,182",,
,,Flushing,0,0,1,0,"8,204",,
,,Forsyth Township,0,1,0,0,"6,278",,
,,Franklin,0,1,1,0,"3,194",,
,,Fraser,0,1,1,0,"14,529",,
,,Fruitport,0,0,0,1,"1,090",,
,,Garden City,1,0,0,0,"27,110",,
,,Gerrish Township,0,1,0,0,"2,942",,
,,Grand Blanc Township,1,0,0,1,"36,793",,
,,Grand Rapids,1,2,0,0,"191,213",,
,,Grandville,2,0,2,0,"15,669",,
,,Grayling,0,0,0,1,"1,872",,
,,Grosse Pointe Park,0,0,1,0,"11,287",,
,,Grosse Pointe Woods,0,1,0,0,"15,760",,
,,Hamtramck,0,0,1,1,"22,017",,
,,Harper Woods,0,1,0,0,"13,922",,
,,Hartford,1,0,0,2,"2,633",,
,,Hazel Park,0,0,1,0,"16,642",,
,,Highland Park,0,0,0,1,"11,591",,
,,Holland,2,0,0,0,"33,354",,
,,Huntington Woods,2,0,0,0,"6,305",,
,,Inkster,2,0,0,1,"24,850",,
,,Jackson,0,0,1,0,"33,378",,
,,Jonesville,0,0,0,1,"2,231",,
,,Kalamazoo,0,3,1,0,"75,352",,
,,Kentwood,0,0,1,1,"50,016",,
,,Lake Orion,0,0,0,1,"3,052",,
,,Lansing,0,2,2,1,"113,907",,
,,Lincoln Township,0,0,1,0,"14,618",,
,,Livonia,0,0,0,1,"95,220",,
,,Mackinac Island,0,0,1,0,494,,
,,Madison Heights,1,2,1,1,"30,080",,
,,Madison Township,1,0,0,0,"8,567",,
,,Marshall,0,0,0,1,"7,050",,
,,Meridian Township,0,1,2,1,"40,609",,
,,Midland,1,1,0,0,"42,072",,
,,Milan,0,0,1,0,"5,875",,
,,Milford,1,0,0,0,"16,170",,
,,Monroe,0,1,1,0,"20,474",,
,,Mount Morris Township,1,0,0,1,"20,990",,
,,Mount Pleasant,1,2,2,0,"26,238",,
,,Muskegon,2,0,0,1,"36,658",,
,,Muskegon Heights,0,3,3,0,"10,768",,
,,Newaygo,0,0,1,0,"1,961",,
,,Northfield Township,0,0,0,1,"8,387",,
,,Northville Township,1,0,0,0,"28,734",,
,,Norton Shores,0,0,2,0,"23,834",,
,,Novi,0,0,1,0,"57,469",,
,,Ontwa Township-Edwardsburg,,0,1,0,"6,585",,
,,Owosso,1,0,0,0,"14,745",,
,,Pittsfield Township,1,2,0,0,"36,091",,
,,Portage,1,0,0,0,"47,387",,
,,Port Huron,1,0,1,0,"29,542",,
,,Romeo,0,0,2,0,"3,597",,
,,Roseville,1,3,2,0,"47,327",,
,,Royal Oak,0,0,1,0,"58,804",,
,,Saginaw,1,1,2,2,"50,580",,
,,Saginaw Township,0,0,0,1,"40,636",,
,,Saline,0,0,0,1,"9,028",,
,,Sault Ste. Marie,0,0,1,1,"14,203",,
,,Shelby Township,0,0,1,1,"75,347",,
,,Southfield,0,2,0,1,"72,755",,
,,Sparta,0,1,1,0,"4,224",,
,,St. Joseph,1,0,0,0,"8,293",,
,,Sumpter Township,0,0,0,2,"9,310",,
,,Taylor,1,2,0,0,"61,836",,
,,Three Rivers,0,0,0,1,"7,712",,
,,Traverse City,0,1,0,0,"14,989",,
,,Trenton,0,1,0,0,"18,483",,
,,Troy,0,1,0,2,"82,608",,
,,Utica,0,1,0,1,"4,765",,
,,Van Buren Township,0,1,0,1,"28,282",,
,,Warren,0,0,4,5,"134,167",,
,,Waterford Township,0,0,1,0,"72,949",,
,,Wayland,0,1,0,,"4,074",,
,,Wayne,1,1,1,1,"17,232",,
,,West Bloomfield Township,5,2,2,0,"65,840",,
,,Westland,1,0,0,1,"82,554",,
,,White Lake Township,0,0,0,1,"30,585",,
,,Woodhaven,0,0,0,1,"12,652",,
,,Wyoming,1,0,0,1,"73,786",,
,Universities and Colleges,,,,,,,,
,,Eastern Michigan University,0,0,0,1,"23,518",,
,,Michigan State University,1,0,2,2,"48,783",,
,,Oakland University3,1,0,3,1,"19,740",,
,,Saginaw Valley State University,0,0,0,1,"10,552",,
,,University of Michigan: Ann Arbor,1,1,0,0,"43,426",,
,,Western Michigan University,0,0,1,0,"24,598",,
,Metropolitan Counties,,,,,,,,
,,Eaton,0,0,0,1,,,
,,Ingham,1,0,0,0,,,
,,Jackson,0,0,1,1,,,
,,Kent,1,2,0,0,,,
,,Livingston,0,0,1,0,,,
,,Macomb,2,5,3,3,,,
,,Monroe,1,3,2,0,,,
,,Oakland,5,4,5,3,,,
,,Ottawa,1,2,0,1,,,
,,Van Buren,1,1,2,0,,,
,,Washtenaw,0,2,2,2,,,
,Nonmetropolitan Counties,,,,,,,,
,,Missaukee,0,1,1,0,,,
,,Ogemaw,0,0,1,1,,,
,,Otsego,0,0,0,1,,,
,,Tuscola,0,1,1,0,,,
,State Police Agencies,,,,,,,,
,,State Police:,,,,,,,
,,Cass County,0,1,0,0,,,
,,Genesee County,0,1,0,1,,,
,,Jackson County,0,0,1,0,,,
,,Oakland County,1,0,0,0,,,
,,Van Buren County,0,0,2,0,,,
,Other Agencies,,,,,,,,
,,Gerald R. Ford International Airport,0,0,0,1,,,
,,Huron-Clinton Metropolitan Authority: Lower Huron Metropark,0,1,1,0,,,
Minnesota,Total,,,,,,,,
,Cities,,,,,,,,
,,Bemidji,0,1,0,0,"13,805",,
,,Blaine,1,2,1,0,"60,093",,
,,Brooklyn Park,1,1,1,0,"78,353",,
,,Chaska,,1,0,0,"24,158",,
,,Columbia Heights,1,1,0,0,"19,715",,
,,Crosby,0,1,0,0,"2,369",,
,,Duluth,1,0,0,0,"86,211",,
,,Eagan,0,1,1,0,"65,052",,
,,Eden Prairie,0,0,0,1,"62,714",,
,,Elk River,0,0,0,1,"23,351",,
,,Faribault,,,1,,"23,405",,
,,Inver Grove Heights,1,0,0,0,"34,294",,
,,Lino Lakes,,0,0,1,"20,910",,
,,Mankato,0,2,2,2,"40,360",,
,,Maple Grove,,1,0,0,"65,318",,
,,Marshall,1,1,0,0,"13,370",,
,,Mendota Heights,0,0,0,1,"11,158",,
,,Minneapolis,6,13,11,9,"396,206",,
,,Moorhead,0,0,1,1,"39,322",,
,,Plymouth,0,3,4,0,"73,684",,
,,Rochester,0,2,2,0,"109,675",,
,,Roseville,0,2,1,0,"34,991",,
,,Savage,0,1,0,0,"28,285",,
,,Shakopee,1,0,0,0,"39,214",,
,,Shoreview,0,0,1,,"25,810",,
,,Spring Lake Park,0,1,0,0,"6,458",,
,,St. Anthony,0,1,0,0,"8,445",,
,,St. Cloud,0,3,3,2,"65,977",,
,,St. Louis Park,1,4,1,1,"46,723",,
,,St. Paul,0,18,11,1,"294,690",,
,,Wadena,1,0,0,0,"4,092",,
,,Waite Park,0,0,1,0,"6,683",,
,,West St. Paul,0,0,1,0,"19,761",,
,,Woodbury,1,,,,"65,259",,
,Universities and Colleges,,,,,,,,
,,University of Minnesota: Morris,0,0,1,0,"1,896",,
,Metropolitan Counties,,,,,,,,
,,Hennepin,0,1,0,0,,,
,,Mille Lacs,0,1,0,0,,,
,Nonmetropolitan Counties,,,,,,,,
,,Mahnomen,,,1,,,,
,,Rice,0,1,0,0,,,
Mississippi,Total,,,,,,,,
,Cities,,,,,,,,
,,Biloxi,1,0,0,0,"44,744",,
,,Gulfport,2,1,0,0,"70,863",,
Missouri,Total,,,,,,,,
,Cities,,,,,,,,
,,Branson,0,0,0,1,"10,918",,
,,Clayton,0,1,0,0,"15,901",,
,,Grandview,0,0,1,,"24,630",,
,,Independence,1,0,1,0,"117,381",,
,,Joplin,2,0,0,0,"49,272",,
,,Kansas City,13,17,21,12,"465,514",,
,,Raytown,0,0,0,1,"29,501",,
,,Springfield,0,3,0,0,"163,062",,
,,St. Charles,0,1,0,0,"66,628",,
,,St. Joseph,1,0,1,0,"77,347",,
,,St. Louis,3,2,2,5,"318,563",,
,,University City,0,0,1,0,"35,186",,
,Universities and Colleges,,,,,,,,
,,University of Missouri: Columbia,0,0,0,2,"34,704",,
,Metropolitan Counties,,,,,,,,
,,De Kalb,0,0,1,0,,,
,,Jefferson,0,0,0,1,,,
,,St. Charles,0,2,2,0,,,
,,St. Louis County Police Department,0,0,1,0,,,
,Nonmetropolitan Counties,,,,,,,,
,,Carroll,0,0,0,1,,,
,,Henry,0,0,0,1,,,
,,Laclede,0,0,0,1,,,
Montana,Total,,,,,,,,
,Cities,,,,,,,,
,,Billings,1,2,1,3,"107,802",,
,,Columbia Falls,0,1,0,0,"4,721",,
,,Great Falls,0,0,0,1,"58,940",,
,,Hamilton,0,0,0,1,"4,555",,
,,Helena,11,0,0,0,"29,411",,
,,Kalispell,0,0,2,0,"20,665",,
,,Missoula,1,0,1,0,"68,877",,
,Universities and Colleges,,,,,,,,
,,Montana State University,0,1,0,0,"14,269",,
,Metropolitan Counties,,,,,,,,
,,Cascade,0,0,2,0,,,
,,Missoula,0,0,1,0,,,
,Nonmetropolitan Counties,,,,,,,,
,,Park,0,0,0,1,,,
,,Silver Bow,0,0,1,0,,,
Nebraska,Total,,,,,,,,
,Cities,,,,,,,,
,,Columbus,0,0,1,0,"22,624",,
,,Cozad,1,,0,0,"3,929",,
,,Grand Island,0,0,2,0,"50,441",,
,,Kearney,0,0,1,0,"32,113",,
,,Lexington,0,,0,2,"10,204",,
,,Lincoln,5,3,2,5,"267,565",,
,,Omaha,2,3,3,1,"425,076",,
,,Sidney,1,0,,,"6,831",,
,Metropolitan Counties,,,,,,,,
,,Lancaster,0,1,0,0,,,
,Nonmetropolitan Counties,,,,,,,,
,,Dawson,0,0,1,2,,,
Nevada,Total,,,,,,,,
,Cities,,,,,,,,
,,Carlin,,,,1,"2,457",,
,,Henderson,,,1,,"268,237",,
,,Las Vegas Metropolitan Police Department,16,13,18,18,"1,500,455",,
,,North Las Vegas,,1,1,,"225,632",,
,,Reno,,1,3,,"232,561",,
New Hampshire,Total,,,,,,,,
,Cities,,,,,,,,
,,Ashland,0,1,0,0,"2,056",,
,,Bedford,0,1,0,0,"21,645",,
,,Concord,0,2,1,0,"42,615",,
,,Conway,1,0,0,0,"10,056",,
,,Farmington,0,0,1,0,"6,799",,
,,Hampton,0,0,1,0,"15,067",,
,,Hampton Falls,0,1,0,0,"2,294",,
,,Hanover,0,1,0,0,"11,195",,
,,Keene,0,0,1,0,"23,236",,
,,Londonderry,0,1,0,0,"24,338",,
,,Manchester,0,0,0,1,"110,411",,
,,Newbury,1,0,0,0,"2,110",,
,,Pelham,2,1,0,0,"13,034",,
,,Plaistow,0,0,0,1,"7,620",,
,,Windham,1,0,0,0,"14,092",,
,Universities and Colleges,,,,,,,,
,,University of New Hampshire,1,0,1,0,"15,267",,
New Jersey,Total,,,,,,,,
,Cities,,,,,,,,
,,Aberdeen Township,1,6,1,3,"18,150",,
,,Allenhurst,0,0,1,1,493,,
,,Asbury Park,1,2,1,0,"15,779",,
,,Bedminster Township,0,2,0,0,"8,213",,
,,Belleville,0,0,1,1,"36,229",,
,,Brick Township,1,2,1,0,"75,371",,
,,Burlington,1,0,0,0,"9,865",,
,,Burlington Township,1,0,0,0,"22,750",,
,,Caldwell,0,0,1,0,"7,876",,
,,Cinnaminson Township,0,0,0,1,"16,686",,
,,Clark Township,0,1,0,0,"15,021",,
,,Closter,1,0,0,0,"8,548",,
,,Colts Neck Township,0,0,2,1,"10,075",,
,,Cranford Township,1,0,0,0,"23,165",,
,,Delran Township,0,1,0,1,"16,862",,
,,Eastampton Township,1,0,0,0,"6,103",,
,,East Brunswick Township,3,4,3,4,"48,073",,
,,East Hanover Township,0,0,0,1,"11,350",,
,,East Orange,0,0,0,1,"64,425",,
,,East Windsor Township,0,0,1,0,"27,564",,
,,Egg Harbor Township,0,2,0,1,"43,709",,
,,Elmwood Park,1,1,0,0,"20,077",,
,,Evesham Township,4,3,1,0,"45,798",,
,,Ewing Township,0,1,0,2,"36,449",,
,,Fairview,0,0,1,0,"14,358",,
,,Fanwood,0,0,1,0,"7,447",,
,,Fort Lee,2,1,0,0,"35,900",,
,,Franklin Lakes,1,1,0,0,"10,746",,
,,Franklin Township: Gloucester County,0,0,1,0,"16,740",,
,,Freehold Township,1,0,0,0,"36,048",,
,,Galloway Township,0,1,0,0,"37,304",,
,,Glassboro,3,2,3,4,"19,038",,
,,Glen Ridge,0,1,0,0,"7,626",,
,,Gloucester Township,0,2,0,0,"64,440",,
,,Green Brook Township,1,1,0,0,"7,240",,
,,Greenwich Township: Warren County,0,0,0,1,"5,582",,
,,Haddonfield,0,0,0,1,"11,590",,
,,Haddon Township,0,0,1,0,"14,732",,
,,Hardyston Township,0,0,1,0,"8,049",,
,,Harrison,0,0,0,1,"13,975",,
,,Harrison Township,0,0,1,0,"12,616",,
,,Highland Park,1,4,2,1,"14,420",,
,,Hightstown,0,1,1,1,"5,572",,
,,Hillsborough Township,0,1,0,0,"39,037",,
,,Hoboken,1,2,1,3,"52,771",,
,,Holmdel Township,2,2,0,1,"16,657",,
,,Howell Township,2,7,5,4,"51,100",,
,,Irvington,0,0,1,0,"54,246",,
,,Jackson Township,1,0,0,2,"55,817",,
,,Jersey City,0,3,0,2,"256,886",,
,,Keansburg,1,0,2,1,"9,981",,
,,Lacey Township,1,5,1,1,"27,865",,
,,Lakewood Township,2,6,7,8,"92,664",,
,,Lawrence Township: Mercer County,0,0,1,0,"33,172",,
,,Little Egg Harbor Township,1,2,0,3,"20,412",,
,,Little Falls Township,0,1,0,0,"14,504",,
,,Livingston Township,0,0,2,0,"29,621",,
,,Logan Township,0,0,1,0,"6,019",,
,,Long Beach Township,0,1,0,0,"3,068",,
,,Lower Township,0,0,1,0,"22,467",,
,,Lumberton Township,0,0,2,0,"12,516",,
,,Mahwah Township,0,0,1,0,"26,292",,
,,Manalapan Township,2,0,1,0,"39,313",,
,,Manasquan,1,2,0,0,"5,860",,
,,Manchester Township,0,3,0,0,"43,013",,
,,Maple Shade Township,1,0,0,0,"19,291",,
,,Margate City,0,0,0,1,"6,319",,
,,Marlboro Township,1,1,0,0,"40,190",,
,,Medford Lakes,0,1,0,0,"4,196",,
,,Medford Township,2,1,1,3,"23,285",,
,,Mendham,0,0,0,1,"5,029",,
,,Middlesex,1,0,0,0,"13,787",,
,,Middletown Township,0,1,0,0,"66,246",,
,,Monroe Township: Middlesex County,1,0,2,8,"41,356",,
,,Montclair,2,2,1,1,"37,962",,
,,Montgomery Township,1,1,0,2,"22,467",,
,,Moorestown Township,0,0,1,0,"20,706",,
,,Morris Township,0,0,0,1,"22,640",,
,,Mount Laurel Township,0,0,0,1,"41,839",,
,,Mount Olive Township,0,1,0,1,"28,611",,
,,Neptune Township,0,8,2,4,"27,856",,
,,Newark,0,2,0,1,"278,246",,
,,New Brunswick,3,1,1,0,"56,542",,
,,New Providence,1,2,0,0,"12,463",,
,,North Brunswick Township,1,2,0,1,"41,425",,
,,Nutley Township,0,1,2,0,"28,660",,
,,Oakland,1,2,1,1,"12,927",,
,,Oceanport,0,0,1,0,"5,833",,
,,Old Bridge Township,1,0,1,0,"66,528",,
,,Palmyra,0,0,1,0,"7,412",,
,,Paramus,0,0,0,1,"26,628",,
,,Parsippany-Troy Hills Township,0,0,0,2,"53,851",,
,,Passaic,0,1,2,2,"70,445",,
,,Paulsboro,0,0,0,1,"6,034",,
,,Pemberton Township,0,0,0,1,"27,949",,
,,Pennsauken Township,0,0,0,1,"35,788",,
,,Pequannock Township,0,0,0,1,"15,580",,
,,Phillipsburg,0,0,1,1,"14,619",,
,,Pine Hill,0,0,0,1,"10,704",,
,,Piscataway Township,3,1,0,0,"58,259",,
,,Pitman,1,0,5,1,"8,930",,
,,Plainsboro Township,0,1,0,0,"23,256",,
,,Point Pleasant,1,4,1,0,"18,458",,
,,Randolph Township,0,0,2,1,"25,969",,
,,Raritan,0,0,0,2,"7,352",,
,,Readington Township,0,0,0,1,"15,910",,
,,Robbinsville Township,1,1,1,0,"14,046",,
,,Runnemede,0,0,0,1,"8,459",,
,,Salem,0,0,1,0,"5,175",,
,,Secaucus,0,1,0,3,"19,119",,
,,Shrewsbury,2,0,0,0,"3,941",,
,,Somerville,0,0,1,0,"12,174",,
,,South Brunswick Township,0,1,2,2,"44,575",,
,,South Orange,1,1,0,0,"16,297",,
,,South Plainfield,1,1,0,0,"23,789",,
,,Spotswood,0,1,1,0,"8,459",,
,,Toms River Township,0,0,1,0,"92,332",,
,,Totowa,0,1,2,0,"10,985",,
,,Trenton,0,1,1,0,"84,439",,
,,Union Beach,0,1,0,0,"6,198",,
,,Union City,1,1,0,0,"68,254",,
,,Verona,0,1,0,0,"13,429",,
,,Vineland,0,1,0,1,"60,863",,
,,Voorhees Township,0,2,1,0,"29,284",,
,,Washington,1,0,2,1,"6,408",,
,,Washington Township: Gloucester County,0,1,1,0,"48,110",,
,,Washington Township: Warren County,0,0,,1,"6,493",,
,,Watchung,0,0,1,0,"5,844",,
,,Weehawken Township,0,1,1,0,"12,937",,
,,West Caldwell Township,0,0,1,0,"10,878",,
,,West Deptford Township,3,1,1,0,"21,497",,
,,West Long Branch,0,0,1,0,"8,660",,
,,West Milford Township,2,0,1,0,"26,095",,
,,Woodbridge Township,0,2,0,1,"100,568",,
,,Woodbury,0,0,2,3,"10,073",,
,,Woodbury Heights,1,0,0,0,"3,026",,
,,Woolwich Township,0,1,0,0,"11,167",,
,Metropolitan Counties,,,,,,,,
,,Camden County Police Department,0,4,4,0,,,
,State Police Agencies,,,,,,,,
,,State Police:,,,,,,,
,,Ocean County,0,1,0,0,,,
,,Salem County,0,1,0,0,,,
New Mexico,Total,,,,,,,,
,Cities,,,,,,,,
,,Albuquerque,2,1,6,1,"558,165",,
,,Belen,,,,1,"7,247",,
,,Los Lunas,0,,1,,"15,252",,
New York,Total,,,,,,,,
,Cities,,,,,,,,
,,Albany,0,2,1,0,"97,956",,
,,Amherst Town,0,0,1,2,"118,296",,
,,Batavia,0,0,1,0,"15,374",,
,,Brighton Town,1,0,0,0,"36,689",,
,,Buffalo,6,3,4,4,"258,789",,
,,Canandaigua,0,1,0,0,"10,470",,
,,Clarkstown Town,2,1,0,0,"80,705",,
,,Cohoes,0,1,0,0,"16,179",,
,,Colonie Town,0,1,0,0,"78,215",,
,,Crawford Town,0,1,0,6,"9,264",,
