state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population
Alabama,Cities,Ashford,0,0,0,0,"2,158"
,,Ashland,0,0,0,0,"2,047"
,,Auburn,0,0,0,0,"53,637"
,,Bay Minette,0,0,,,"8,083"
,,Berry,0,0,0,0,"1,154"
,,Childersburg,0,0,,,"5,200"
,,Courtland,0,0,,,612
,,Demopolis,0,0,0,0,"7,519"
,,Dothan,0,0,,,"65,811"
,,Eutaw,0,0,0,0,"2,948"
,,Fairfield,0,0,0,0,"11,171"
,,Fairhope,,0,,0,"15,400"
,,Florence,0,0,0,0,"39,508"
,,Gadsden,0,0,0,0,"37,033"
,,Geneva,0,0,,,"4,473"
,,Glencoe,0,0,0,0,"5,185"
,,Gulf Shores,0,0,,,"9,788"
,,Hamilton,0,0,,,"6,918"
,,Hartford,0,0,0,0,"2,637"
,,Huntsville,0,0,0,0,"180,972"
,,Lafayette,0,0,0,0,"3,017"
,,Level Plains,0,0,0,0,"2,095"
,,Lineville,0,0,0,0,"2,407"
,,Madison,0,,,,"43,145"
,,Midland City,,0,0,0,"2,355"
,,Mobile,0,0,0,0,"251,869"
,,Muscle Shoals,0,0,0,0,"13,209"
,,Opp,0,0,0,,"6,691"
,,Pell City,,,0,,"12,756"
,,Rainbow City,0,0,0,0,"9,648"
,,Samson,,0,0,,"1,949"
,,Sardis City,0,0,0,0,"1,712"
,,Springville,0,0,0,0,"4,100"
,,Summerdale,0,0,,,866
,,Tarrant,0,0,0,0,"6,428"
,,Taylor,0,0,0,0,"2,386"
,,Troy,0,0,0,0,"18,120"
,,Trussville,0,0,0,0,"20,029"
,,Valley,,0,,,"9,570"
,,Vance,0,0,0,0,"1,536"
,Universities and Colleges,Calhoun Community College,0,0,,,"12,134"
,,Jacksonville State University,0,0,,,"9,504"
,,University of West Alabama,0,0,0,0,"5,094"
,Metropolitan Counties,Geneva,0,0,0,0,
,,Lee,0,0,0,0,
,,Montgomery,0,0,,0,
,Nonmetropolitan Counties,Baldwin,0,,,,
,,Tallapoosa,0,0,0,0,
Alaska,Cities,Wasilla,,,0,0,"7,969"
Arizona,Cities,Bisbee,0,0,0,0,"5,654"
,,Casa Grande,0,0,0,0,"49,259"
,,Chino Valley,0,0,0,0,"10,970"
,,Clarkdale,,,0,0,"4,155"
,,Clifton,0,0,0,0,"3,358"
,,Colorado City,,,0,0,"4,889"
,,Cottonwood,0,0,0,0,"11,424"
,,Douglas,0,0,0,0,"17,624"
,,Eagar,0,0,0,0,"4,954"
,,El Mirage,0,0,0,0,"32,247"
,,Eloy,0,0,0,0,"16,866"
,,Flagstaff,0,0,0,0,"66,802"
,,Florence,0,0,0,0,"25,897"
,,Fredonia,0,0,0,0,"1,333"
,,Globe,0,0,0,,"7,639"
,,Goodyear,0,0,,0,"66,199"
,,Holbrook,0,,,,"5,125"
,,Huachuca City,0,0,0,0,"1,879"
,,Kingman,0,0,0,0,"28,465"
,,Lake Havasu City,0,0,0,0,"53,271"
,,Mammoth,0,0,0,0,"1,446"
,,Marana,0,0,0,0,"35,456"
,,Miami,0,0,0,0,"1,863"
,,Nogales,0,0,0,0,"21,132"
,,Oro Valley,0,0,0,0,"41,592"
,,Page,0,0,0,0,"7,350"
,,Paradise Valley,0,0,0,0,"13,001"
,,Payson,0,0,0,0,"15,518"
,,Pima,0,,,,"2,421"
,,Pinetop-Lakeside,0,0,0,0,"4,343"
,,Prescott,0,0,0,0,"40,407"
,,Quartzsite,0,0,,,"3,729"
,,Safford,0,0,0,0,"9,701"
,,Sahuarita,0,0,,,"25,617"
,,Sedona,0,0,0,0,"10,173"
,,Show Low,0,0,0,,"10,811"
,,Sierra Vista,0,0,0,0,"44,509"
,,Snowflake-Taylor,0,0,0,0,"9,839"
,,South Tucson,0,0,0,0,"5,732"
,,Springerville,0,0,0,0,"1,989"
,,Thatcher,0,0,0,0,"4,934"
,,Tucson,0,0,0,0,"527,479"
,,Willcox,0,0,0,0,"3,810"
,,Williams,0,0,0,0,"3,066"
,,Winslow,0,0,0,0,"9,792"
,Universities and Colleges,"Arizona State University, Main Campus",0,0,0,0,"70,440"
,,Northern Arizona University,0,0,0,0,"25,197"
,,Pima Community College,0,0,0,0,"36,823"
,,Yavapai College,0,0,0,0,"8,410"
,Metropolitan Counties,Coconino,0,0,0,0,
,,Yuma,0,0,0,0,
,Nonmetropolitan Counties,Apache,0,0,0,0,
,,Cochise,0,0,0,,
,,Gila,0,0,0,0,
,,Graham,0,0,0,0,
,,La Paz,0,0,0,0,
,,Navajo,0,0,0,,
,,Santa Cruz,0,0,0,0,
Arkansas,Cities,Alma,0,0,0,0,"5,460"
,,Arkadelphia,0,0,0,0,"10,795"
,,Arkansas City,0,0,0,0,369
,,Ashdown,0,0,0,0,"4,759"
,,Ash Flat,0,0,0,0,"1,090"
,,Atkins,0,0,0,0,"3,039"
,,Augusta,0,0,0,0,"2,216"
,,Austin,0,0,0,0,"2,053"
,,Bald Knob,0,0,0,0,"2,919"
,,Barling,0,0,0,0,"4,684"
,,Bay,0,0,0,0,"1,815"
,,Bearden,0,0,0,0,973
,,Beebe,0,0,0,0,"7,370"
,,Bella Vista,0,0,0,0,"26,661"
,,Bentonville,0,0,0,0,"35,568"
,,Berryville,0,0,0,0,"5,397"
,,Blytheville,0,0,0,0,"15,738"
,,Booneville,0,0,0,0,"4,020"
,,Bradford,0,0,0,0,765
,,Brinkley,0,,,0,"3,212"
,,Bryant,0,0,0,0,"16,814"
,,Bull Shoals,0,0,0,0,"1,965"
,,Cabot,0,0,0,0,"23,956"
,,Caddo Valley,0,0,0,0,640
,,Camden,0,0,0,0,"12,275"
,,Cammack Village,0,0,0,0,774
,,Carlisle,0,0,0,0,"2,231"
,,Cave City,0,0,0,0,"1,918"
,,Cave Springs,0,0,0,0,"1,742"
,,Centerton,0,0,0,0,"9,587"
,,Charleston,0,0,0,0,"2,513"
,,Cherokee Village,0,0,0,0,"4,706"
,,Clarendon,0,0,0,0,"1,677"
,,Clarksville,0,0,0,0,"9,247"
,,Clinton,0,0,0,0,"2,622"
,,Cotter,0,,,,977
,,Crossett,0,0,0,0,"5,549"
,,Danville,0,0,0,0,"2,427"
,,Dardanelle,0,0,0,0,"4,781"
,,Decatur,0,0,0,0,"1,712"
,,De Queen,0,0,0,0,"6,644"
,,Dermott,0,0,0,0,"2,911"
,,Des Arc,0,0,0,0,"1,730"
,,De Witt,0,0,0,0,"3,317"
,,Diaz,0,0,0,0,"1,328"
,,Dover,0,0,0,0,"1,388"
,,Dumas,0,0,0,0,"4,742"
,,Earle,0,0,0,0,"2,432"
,,El Dorado,0,0,0,0,"19,027"
,,Etowah,0,0,0,0,354
,,Eureka Springs,0,0,0,0,"2,089"
,,Fairfield Bay,0,0,0,0,"2,356"
,,Farmington,0,0,0,0,"6,019"
,,Fayetteville,0,0,0,0,"74,137"
,,Flippin,0,0,0,0,"1,365"
,,Fordyce,0,0,0,0,"4,333"
,,Forrest City,0,0,0,0,"15,487"
,,Fort Smith,0,0,0,0,"86,861"
,,Gassville,0,0,0,0,"2,094"
,,Gentry,0,0,0,0,"3,182"
,,Glenwood,0,0,0,0,"2,245"
,,Gosnell,0,0,0,0,"3,575"
,,Gravette,0,0,0,0,"2,343"
,,Greenbrier,0,0,0,0,"4,742"
,,Green Forest,0,0,0,0,"2,782"
,,Greenland,0,0,0,0,"1,269"
,,Greenwood,0,0,0,0,"9,020"
,,Greers Ferry,0,0,0,0,898
,,Gurdon,0,0,0,0,"2,229"
,,Guy,0,0,0,0,713
,,Hamburg,0,0,0,0,"2,879"
,,Hampton,0,0,0,0,"1,334"
,,Hardy,0,0,0,0,778
,,Harrisburg,0,0,0,0,"2,305"
,,Harrison,0,0,0,0,"13,041"
,,Hazen,0,,,,"1,479"
,,Heber Springs,0,0,0,0,"7,219"
,,Helena-West Helena,0,0,0,0,"12,375"
,,Highfill,0,0,0,0,587
,,Highland,0,0,0,0,"1,053"
,,Hope,0,0,0,0,"10,171"
,,Horseshoe Bend,0,0,0,0,"2,201"
,,Hot Springs,0,0,0,0,"35,459"
,,Hoxie,0,0,0,0,"2,801"
,,Jacksonville,0,0,0,0,"28,579"
,,Jonesboro,0,0,0,0,"67,772"
,,Judsonia,0,0,0,0,"2,034"
,,Keiser,0,0,0,0,765
,,Kensett,0,0,0,0,"1,660"
,,Lake City,0,0,0,0,"2,098"
,,Lakeview,0,0,0,0,747
