state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population
Alabama,Total,,,,,,
,Cities,,,,,,
,,Birmingham,1,1,1,2,"212,291"
,,Hoover,0,3,1,0,"85,163"
,,Prattville,0,1,,0,"35,637"
Alaska,Total,,,,,,
,Cities,,,,,,
,,Anchorage,1,1,2,1,"301,239"
,,Kotzebue,0,1,0,0,"3,304"
,,North Pole,0,1,0,0,"2,190"
,,Soldotna,0,0,0,1,"4,512"
Arizona,Total,,,,,,
,Cities,,,,,,
,,Apache Junction,1,1,0,0,"38,519"
,,Avondale,0,0,0,2,"80,533"
,,Chandler,0,0,1,0,"258,875"
,,El Mirage,0,1,0,0,"33,985"
,,Gilbert,2,1,1,0,"247,324"
,,Glendale,2,2,2,2,"240,374"
,,Holbrook,0,1,0,0,"5,007"
,,Mesa,1,0,1,2,"471,034"
,,Nogales,0,0,0,1,"20,312"
,,Phoenix,76,77,44,34,"1,559,744"
,,Prescott,1,,0,0,"41,393"
,,Scottsdale,2,0,1,0,"233,872"
,,Tucson,2,0,1,1,"529,675"
,,Williams,0,1,,,"3,110"
,,Yuma,0,2,1,1,"93,923"
,Universities and Colleges,,,,,,
,,Arizona State University: Main Campus,1,1,0,0,"83,260"
,Metropolitan Counties,,,,,,
,,Maricopa,1,0,0,0,
,,Pima,0,2,0,0,
,,Pinal,,1,,,
,,Yavapai,1,0,0,0,
,Nonmetropolitan Counties,,,,,,
,,Graham,1,0,0,0,
Arkansas,Total,,,,,,
,Cities,,,,,,
,,Bryant,1,0,0,0,"20,404"
,,Fort Smith,1,0,0,1,"87,603"
,Metropolitan Counties,,,,,,
,,Sebastian,0,1,0,0,
,Nonmetropolitan Counties,,,,,,
,,Boone,1,0,0,0,
California,Total,,,,,,
,Cities,,,,,,
,,Alameda,1,0,1,0,"78,613"
,,Alhambra,0,0,1,0,"86,175"
,,Antioch,2,1,2,3,"110,537"
,,Azusa,0,2,1,0,"49,431"
,,Bakersfield,3,0,0,1,"373,887"
,,Banning,0,1,1,0,"31,030"
,,Bellflower,0,1,0,1,"78,635"
,,Bell Gardens,0,1,0,1,"43,411"
,,Berkeley,0,1,0,3,"120,387"
,,Beverly Hills,0,2,0,0,"35,054"
,,Brisbane,0,1,0,1,"4,696"
,,Buena Park,0,0,0,1,"83,684"
,,Burbank,0,1,0,0,"105,865"
,,Calabasas,0,0,1,0,"24,505"
,,Camarillo,0,1,0,0,"67,325"
,,Carmel,0,0,1,0,"3,913"
,,Carson,1,1,1,0,"93,677"
,,Chino Hills,0,0,0,1,"77,515"
,,Chula Vista,0,1,1,1,"265,215"
,,Citrus Heights,0,0,0,2,"86,853"
,,Claremont,0,2,0,2,"36,331"
,,Clearlake,2,0,3,2,"15,044"
,,Clovis,0,0,1,1,"103,769"
,,Coachella,0,0,0,1,"44,953"
,,Colton,0,1,0,0,"54,503"
,,Commerce,0,0,1,0,"13,137"
,,Compton,0,1,1,0,"99,125"
,,Concord,2,0,0,3,"128,767"
,,Covina,1,0,0,0,"49,300"
,,Cypress,1,1,0,0,"49,560"
,,Daly City,1,0,1,0,"107,320"
,,Davis,5,0,1,0,"67,034"
,,Diamond Bar,1,0,1,0,"57,085"
,,East Palo Alto,0,0,1,1,"29,864"
,,El Cajon,1,0,0,0,"103,942"
,,El Cerrito,0,1,1,0,"24,842"
,,Elk Grove,1,0,1,0,"166,183"
,,El Monte,2,0,0,1,"117,376"
,,El Segundo,0,0,1,0,"17,164"
,,Escondido,2,1,1,2,"151,732"
,,Eureka,1,0,1,0,"26,858"
,,Fairfield,0,0,1,0,"112,582"
,,Firebaugh,1,0,0,0,"8,484"
,,Folsom,0,0,1,1,"76,183"
,,Fort Bragg,0,0,1,0,"7,310"
,,Foster City,0,0,1,0,"33,313"
,,Fremont,2,1,0,0,"232,427"
,,Fresno,3,1,5,1,"520,837"
,,Fullerton,1,0,0,1,"140,771"
,,Galt,2,0,0,0,"25,106"
,,Garden Grove,2,0,0,0,"176,041"
,,Glendale,0,0,2,0,"202,298"
,,Glendora,0,0,1,0,"51,753"
,,Goleta,1,0,0,0,"31,011"
,,Greenfield,0,0,1,0,"17,061"
,,Gridley,0,0,0,1,"6,580"
,,Hanford,0,1,0,2,"55,299"
,,Hawaiian Gardens,1,0,0,1,"14,629"
,,Hawthorne,1,0,2,1,"88,410"
,,Hayward,0,1,3,0,"157,157"
,,Hemet,1,0,0,1,"84,030"
,,Hermosa Beach,1,0,0,0,"19,986"
,,Hesperia,1,0,0,1,"93,348"
,,Hollister,0,0,0,1,"37,604"
,,Huntington Beach,0,1,1,2,"203,233"
,,Huntington Park,3,0,1,0,"59,668"
,,Imperial,0,1,0,0,"17,338"
,,Imperial Beach,0,1,0,0,"27,341"
,,Indio,0,0,1,0,"87,195"
,,Industry,0,1,0,0,206
,,Irvine,0,1,1,1,"258,198"
,,Jurupa Valley,0,0,1,0,"99,706"
,,Kerman,0,0,1,0,"14,595"
,,Laguna Beach,0,0,2,0,"23,485"
,,Lake Elsinore,1,0,0,0,"61,871"
,,Lake Forest,0,0,1,3,"80,798"
,,Lakewood,0,0,0,2,"82,047"
,,La Mirada,1,0,0,1,"49,685"
,,Lancaster,0,2,2,3,"162,095"
,,Lawndale,1,0,0,0,"33,605"
,,Lemoore,0,0,0,1,"25,348"
,,Livermore,3,1,1,0,"88,316"
,,Lodi,0,1,0,1,"64,369"
,,Lomita,0,0,1,0,"20,893"
,,Long Beach,3,3,4,2,"476,318"
,,Los Alamitos,1,0,0,0,"11,789"
,,Los Angeles,45,53,41,53,"3,962,726"
,,Los Gatos,0,0,1,0,"31,044"
,,Malibu,0,0,1,0,"13,033"
,,Manhattan Beach,0,0,0,1,"36,065"
,,Manteca,1,0,1,0,"75,019"
,,Marina,1,0,0,0,"21,094"
,,Marysville,1,0,0,0,"12,264"
,,Menifee,0,1,0,0,"87,051"
,,Merced,0,0,0,1,"82,409"
,,Mission Viejo,0,0,0,1,"98,217"
,,Modesto,0,2,0,2,"210,794"
,,Montebello,1,0,0,0,"64,280"
,,Monterey Park,3,0,1,0,"61,750"
,,Moorpark,0,0,0,1,"35,804"
,,Moreno Valley,0,0,0,1,"205,182"
,,Napa,0,1,0,0,"80,749"
,,National City,0,1,0,0,"60,768"
,,Newark,0,0,0,1,"45,258"
,,Newport Beach,2,0,0,0,"87,749"
