state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,,,
,,Murrieta,0,0,0,1,"108,376",,,
,,National City,1,0,0,0,"60,130",,,
,,Newark,0,2,0,0,"44,467",,,
,,Newport Beach,1,0,1,0,"87,759",,,
,,Norco,0,1,0,0,"26,933",,,
,,Norwalk,1,6,2,2,"106,838",,,
,,Oakland,2,4,4,4,"409,994",,,
,,Oceanside,2,1,0,1,"174,102",,,
,,Orange,1,1,0,1,"140,767",,,
,,Oxnard,1,2,0,1,"204,159",,,
,,Palmdale,0,2,0,1,"158,210",,,
,,Palm Springs,1,2,0,0,"46,665",,,
,,Palo Alto,0,2,1,0,"67,169",,,
,,Paramount,0,2,0,0,"55,194",,,
,,Pasadena,0,0,0,4,"140,373",,,
,,Paso Robles,1,0,1,0,"31,117",,,
,,Pico Rivera,0,1,0,0,"63,970",,,
,,Piedmont,0,0,1,0,"11,170",,,
,,Pittsburg,1,0,0,0,"67,509",,,
,,Placentia,0,0,1,1,"52,513",,,
,,Pomona,0,2,0,0,"151,899",,,
,,Poway,0,0,0,1,"49,786",,,
,,Rancho Cucamonga,0,0,0,2,"172,694",,,
,,Red Bluff,1,0,1,1,"14,103",,,
,,Redding,0,2,1,1,"91,426",,,
,,Redlands,1,0,1,1,"70,295",,,
,,Redondo Beach,1,3,0,0,"68,075",,,
,,Ripon2,1,1,0,0,"14,859",,,
,,Riverside,4,4,2,3,"319,453",,,
,,Roseville,1,1,0,1,"128,997",,,
,,Sacramento,1,2,2,2,"482,767",,,
,,Salinas,0,1,0,0,"156,908",,,
,,San Bernardino,1,0,0,0,"214,588",,,
,,San Clemente,0,0,2,0,"65,397",,,
,,San Diego,7,13,11,6,"1,368,690",,,
,,San Dimas,0,0,0,1,"33,953",,,
,,San Francisco,7,5,5,5,"850,294",,,
,,San Jose,2,1,6,2,"1,009,679",,,
,,San Leandro,0,2,0,0,"88,690",,,
,,San Luis Obispo,0,0,1,0,"46,672",,,
,,San Marcos,0,0,1,0,"90,799",,,
,,San Mateo,1,1,0,0,"102,082",,,
,,San Rafael,1,0,1,0,"59,292",,,
,,San Ramon,0,1,0,0,"75,049",,,
,,Santa Ana,1,2,2,2,"336,462",,,
,,Santa Clarita,1,5,1,1,"206,930",,,
,,Santa Cruz,4,4,0,0,"63,440",,,
,,Santa Monica,0,0,1,0,"93,151",,,
