Table 13,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,
"per Bias Motivation and Quarter
by State and Agency, 2011",,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,Number of incidents per quarter1,,,,Population2
,,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
,Universities and Colleges,,0,0,2,0,0,,,,,
,,"Colorado State University, Fort Collins",0,0,1,0,0,1,0,0,0,"30,155"
,,Fort Lewis College,0,0,1,0,0,0,0,0,1,"3,853"
,Metropolitan Counties,,14,5,4,2,0,,,,,
,,Adams3,3,0,1,0,0,0,1,2,1,
,,Arapahoe,6,2,1,0,0,3,5,1,0,
,,Douglas,2,0,1,0,0,2,0,0,1,
,,Larimer,2,2,1,0,0,0,1,2,2,
,,Mesa,1,1,0,1,0,0,3,0,0,
,,Weld,0,0,0,1,0,0,0,0,1,
,Nonmetropolitan Counties,,3,1,4,0,0,,,,,
,,Huerfano,0,0,1,0,0,0,0,0,1,
,,Kit Carson,0,0,1,0,0,0,1,0,0,
,,Logan,0,0,1,0,0,0,1,0,0,
,,Moffat,1,0,0,0,0,0,1,0,0,
,,Otero,0,0,1,0,0,0,0,1,0,
,,Summit,2,1,0,0,0,0,2,1,0,
Connecticut,Total,,63,35,24,17,1,,,,,
,Cities,,58,35,20,12,1,,,,,
,,Bloomfield,1,1,0,0,0,2,0,0,0,"20,524"
,,Bridgeport,0,1,1,4,0,2,1,1,2,"144,496"
,,Bristol,0,0,1,0,0,0,1,0,0,"60,589"
,,Clinton,1,1,1,0,0,0,2,1,0,"13,285"
,,Cromwell,1,1,0,0,0,1,0,0,1,"14,031"
,,Danbury,2,0,0,1,0,3,0,0,0,"81,043"
,,Darien,0,1,0,0,0,0,0,0,1,"20,770"
,,East Hampton,1,0,0,0,0,0,0,0,1,"12,983"
,,Enfield,1,0,0,0,0,0,0,1,0,"44,737"
,,Fairfield,0,1,0,0,0,0,0,0,1,"59,514"
,,Glastonbury,0,1,0,0,0,1,0,0,0,"34,491"
,,Groton Town,2,3,2,0,0,1,1,1,4,"29,262"
,,Guilford,0,1,0,0,0,0,0,0,1,"22,416"
,,Hartford,3,0,1,1,0,2,1,2,0,"125,006"
,,Madison,1,0,0,0,0,0,0,1,0,"18,303"
,,Manchester,14,9,3,1,1,7,7,8,6,"58,349"
,,Middletown,1,2,0,0,0,0,2,0,1,"47,736"
,,Milford,3,0,0,0,0,2,0,0,1,"52,857"
,,Naugatuck,3,0,0,1,0,0,0,2,2,"31,921"
,,New Britain,0,1,0,0,0,0,0,0,1,"73,341"
,,New Canaan,1,0,0,0,0,0,1,0,0,"19,775"
,,New Haven,3,0,2,2,0,1,4,1,1,"130,019"
,,Newington,2,4,0,1,0,0,1,4,2,"30,619"
,,New London,6,1,1,0,0,2,2,1,3,"27,671"
,,Norwalk,3,0,0,0,0,0,1,2,0,"85,761"
,,Norwich,1,1,2,0,0,0,2,2,0,"40,568"
,,Seymour,1,0,0,0,0,0,0,0,1,"16,571"
,,Shelton,0,0,1,0,0,0,0,0,1,"39,632"
,,Southington,1,0,1,0,0,1,1,0,0,"43,149"
,,Stratford,1,1,0,0,0,1,0,0,1,"51,479"
,,Torrington,1,0,0,0,0,0,0,1,0,"36,450"
,,Wallingford,0,0,2,0,0,0,0,2,0,"45,218"
,,Waterbury,2,1,1,0,0,2,2,0,0,"110,570"
,,West Hartford,0,0,1,1,0,0,0,1,1,"63,385"
,,Weston,0,1,0,0,0,0,1,0,0,"10,198"
,,Westport,0,3,0,0,0,2,0,0,1,"26,440"
,,Winchester,1,0,0,0,0,0,0,0,1,"11,263"
,,Windsor Locks,1,0,0,0,0,0,0,0,1,"12,521"
,Universities and Colleges,,3,0,4,0,0,,,,,
,,Southern Connecticut State University,1,0,2,0,0,0,0,1,2,"11,964"
,,"University of Connecticut, Storrs, Avery Point, and Hartford4",2,0,0,0,0,1,0,0,1,
,,Western Connecticut State University,0,0,2,0,0,0,0,0,2,"6,582"
,State Police Agencies,,2,0,0,5,0,,,,,
,,Connecticut State Police,2,0,0,5,0,1,5,1,0,
Delaware,Total,,9,3,2,1,0,,,,,
,Cities,,4,2,1,0,0,,,,,
,,Camden,1,0,0,0,0,1,0,0,0,"3,499"
,,Dover,2,0,0,0,0,0,1,0,1,"36,416"
,,Newark,0,0,1,0,0,0,0,0,1,"31,776"
,,Wilmington,1,2,0,0,0,0,2,1,0,"71,577"
,Metropolitan Counties,,3,0,0,1,0,,,,,
,,New Castle County Police Department,3,0,0,1,0,1,1,1,1,
,State Police Agencies,,1,1,1,0,0,,,,,
,,State Police:,,,,,,,,,,
,,Kent County,0,0,1,0,0,0,0,1,0,
,,New Castle County,1,1,0,0,0,0,2,0,0,
,Other Agencies,,1,0,0,0,0,,,,,
,,River and Bay Authority,1,0,0,0,0,0,0,1,0,
District of Columbia,Total,,30,2,43,8,0,,,,,
,Cities,,27,2,43,7,0,,,,,
,,Washington,27,2,43,7,0,16,19,18,26,"617,996"
,Other Agencies,,3,0,0,1,0,,,,,
,,Metro Transit Police,3,0,0,1,0,2,0,1,1,
Florida,Total,,54,29,25,16,1,,,,,
,Cities,,25,18,19,8,1,,,,,
,,Boca Raton,1,1,0,0,0,0,2,0,0,"85,542"
,,Boynton Beach,0,1,1,0,0,0,0,2,0,"69,147"
,,Dania,1,0,0,0,0,0,0,1,0,"30,043"
,,Daytona Beach,1,0,1,0,0,0,0,2,0,"61,836"
,,Deland,1,1,0,0,0,1,0,1,0,"27,399"
,,Doral,1,0,0,0,0,1,0,0,0,"46,327"
,,Fort Walton Beach,0,0,0,0,1,0,0,0,1,"19,773"
,,Gainesville,2,8,3,0,0,3,1,4,5,"126,049"
,,Homestead,1,0,1,1,0,3,0,0,0,"61,337"
,,Jacksonville Beach,1,0,0,0,0,0,0,1,0,"21,653"
,,Jupiter,1,0,0,0,0,0,1,0,0,"55,908"
,,Key West,0,0,1,0,0,0,0,0,1,"24,985"
,,Lake Worth,1,0,0,0,0,1,0,0,0,"35,386"
,,Leesburg,0,0,1,0,0,0,1,0,0,"20,391"
,,Marco Island,0,1,0,0,0,0,0,1,0,"16,637"
,,Melbourne,1,0,2,1,0,0,3,0,1,"77,105"
,,Miami Beach,1,1,1,0,0,3,0,0,0,"88,975"
,,Miami Gardens,0,0,1,1,0,1,0,1,0,"108,628"
,,Miami Shores,0,0,1,0,0,0,1,0,0,"10,636"
,,Milton,0,0,0,1,0,0,0,1,0,"8,946"
,,Mount Dora,0,1,0,0,0,0,0,1,0,"12,539"
,,North Bay Village,0,0,0,1,0,0,0,0,1,"7,234"
,,North Port,1,0,1,0,0,0,0,1,1,"58,139"
,,Oakland Park,1,0,0,0,0,1,0,0,0,"41,927"
,,Ocala,0,1,0,0,0,0,1,0,0,"57,082"
,,Orlando,4,0,3,0,0,2,1,4,0,"241,548"
,,Palm Bay,0,0,0,1,0,0,1,0,0,"104,596"
,,Panama City,1,0,0,1,0,1,0,0,1,"36,981"
,,Pensacola,1,0,1,0,0,0,0,1,1,"52,631"
,,Port St. Lucie,0,1,0,0,0,0,0,0,1,"166,846"
,,Royal Palm Beach,0,1,0,0,0,0,0,1,0,"34,605"
,,Sarasota,1,0,0,0,0,0,1,0,0,"52,625"
,,Stuart,1,0,0,0,0,0,1,0,0,"15,806"
,,Weston,0,1,0,0,0,0,1,0,0,"66,223"
,,Wilton Manors,1,0,1,0,0,1,0,0,1,"11,791"
,,Winter Garden,1,0,0,1,0,1,0,1,0,"35,039"
,Universities and Colleges,,1,1,0,0,0,,,,,
,,University of Central Florida,1,0,0,0,0,0,1,0,0,"56,106"
,,University of Florida,0,1,0,0,0,0,1,0,0,"49,827"
,Metropolitan Counties,,27,9,6,8,0,,,,,
,,Baker,0,0,1,0,0,1,0,0,0,
,,Brevard,1,0,0,0,0,0,1,0,0,
,,Charlotte,1,0,0,0,0,0,0,0,1,
,,Clay,3,0,1,0,0,0,1,0,3,
,,Collier,0,1,1,0,0,0,1,1,0,
,,Escambia,0,0,0,1,0,0,0,1,0,
,,Flagler,3,1,0,0,0,1,2,0,1,
,,Hillsborough,2,0,0,0,0,1,0,1,0,
,,Okaloosa,1,0,0,0,0,1,0,0,0,
,,Orange,5,3,3,2,0,2,3,4,4,
,,Osceola,1,0,0,0,0,0,0,1,0,
,,Palm Beach,2,1,0,0,0,3,0,0,0,
,,Pasco,3,0,0,1,0,1,2,0,1,
,,Pinellas,0,0,0,1,0,1,0,0,0,
,,Polk,2,1,0,1,0,2,2,0,0,
,,Santa Rosa,1,0,0,1,0,0,0,0,2,
,,St. Johns,1,0,0,1,0,0,1,1,0,
,,Volusia,1,0,0,0,0,0,0,0,1,
,Nonmetropolitan Counties,,0,1,0,0,0,,,,,
,,Walton,0,1,0,0,0,1,0,0,0,
,Other Agencies,,1,0,0,0,0,,,,,
,,Palm Beach County School District,1,0,0,0,0,1,0,0,0,
Georgia,Total,,11,2,4,0,0,,,,,
,Cities,,4,2,3,0,0,,,,,
,,Athens-Clarke County,1,1,0,0,0,2,,,,"117,114"
,,Atlanta,0,0,2,0,0,1,1,0,0,"425,533"
,,Columbus,2,1,1,0,0,,2,1,1,"192,385"
,,Warner Robins,1,0,0,0,0,1,0,0,0,"67,465"
,Universities and Colleges,,1,0,1,0,0,,,,,
,,College of Coastal Georgia,1,0,0,0,0,0,0,0,1,"3,438"
,,University of Georgia,0,0,1,0,0,0,0,0,1,"34,677"
,Metropolitan Counties,,6,0,0,0,0,,,,,
,,Catoosa,1,0,0,0,0,0,1,0,0,
,,Henry County Police Department,5,0,0,0,0,1,0,1,3,
Idaho,Total,,15,6,6,6,0,,,,,
,Cities,,13,5,5,5,0,,,,,
,,Boise,5,3,1,0,0,1,4,0,4,"207,945"
,,Coeur d'Alene,3,1,0,3,0,1,2,3,1,"44,625"
,,Hailey,1,0,0,0,0,0,1,0,0,"8,048"
,,McCall,0,0,1,0,0,0,0,1,0,"3,024"
,,Nampa,1,0,0,2,0,1,1,1,0,"82,459"
,,Post Falls,3,0,0,0,0,3,0,0,0,"27,879"
,,Rathdrum,0,0,1,0,0,0,0,1,0,"6,901"
,,Rexburg,0,1,0,0,0,0,0,0,1,"25,766"
,,Twin Falls,0,0,2,0,0,0,0,1,1,"44,613"
,Metropolitan Counties,,2,0,0,1,0,,,,,
,,Kootenai,2,0,0,1,0,0,1,1,1,
,Nonmetropolitan Counties,,0,1,1,0,0,,,,,
,,Shoshone,0,0,1,0,0,1,0,0,0,
,,Teton,0,1,0,0,0,1,0,0,0,
Illinois,Total,,36,6,17,9,1,,,,,
,Cities,,31,4,15,8,0,,,,,
,,Alton,1,0,0,0,0,0,0,0,1,"27,949"
,,Arlington Heights,0,0,1,0,0,1,0,0,,"75,327"
,,Aurora,2,0,0,0,0,1,0,1,0,"198,495"
,,Beecher,1,0,0,0,0,0,0,0,1,"4,372"
,,Bellwood,0,0,1,0,0,0,0,1,,"19,128"
,,Blue Island,1,0,0,0,0,0,1,0,0,"23,777"
,,Cairo,0,0,1,0,0,0,0,0,1,"2,840"
,,Carol Stream,1,0,0,0,0,0,0,0,1,"39,831"
,,Centralia,1,0,0,0,0,0,1,0,0,"13,071"
,,Champaign,0,0,3,1,0,1,2,1,0,"81,299"
,,Chicago,3,2,4,1,0,4,1,3,2,"2,703,713"
,,Danville,1,0,0,0,0,0,1,0,0,"33,126"
,,Decatur,1,0,0,0,0,1,0,0,0,"76,351"
,,Des Plaines,0,0,0,1,0,0,0,1,0,"58,540"
,,East Peoria,1,0,0,0,0,0,0,0,1,"23,472"
,,Elmhurst,1,0,0,0,0,0,0,0,1,"44,254"
,,Joliet,0,0,0,1,0,1,0,0,0,"147,877"
,,Leland,0,0,1,0,0,0,0,0,1,980
,,Lyons,0,0,0,1,0,0,1,0,0,"10,761"
,,Marion,2,0,0,0,0,1,1,,,"17,245"
,,Mattoon,1,0,1,0,0,0,0,1,1,"18,611"
,,Moline,1,0,0,0,0,0,1,0,0,"43,614"
,,Normal,0,1,1,0,0,0,0,0,2,"52,655"
,,Olney,0,0,1,1,0,0,0,2,0,"9,142"
,,Pekin,2,0,0,0,0,0,1,1,0,"34,197"
,,Plainfield,0,1,0,0,0,1,0,0,0,"39,700"
,,Rockford,5,0,1,0,0,1,2,3,0,"153,331"
,,Springfield,6,0,0,0,0,2,1,0,3,"116,600"
,,Urbana,0,0,0,2,0,1,0,0,1,"41,374"
,Universities and Colleges,,0,0,1,1,0,,,,,
,,"University of Illinois, Urbana",0,0,1,0,0,0,0,0,1,"43,862"
,,Western Illinois University,0,0,0,1,0,1,,,,"12,585"
,Metropolitan Counties,,5,1,0,0,1,,,,,
,,Kane,1,0,0,0,0,0,0,1,,
,,Kendall,1,0,0,0,0,0,1,0,0,
,,Lake,0,1,0,0,0,0,1,0,0,
,,Macon,2,0,0,0,0,0,0,2,0,
,,Marshall,1,0,0,0,0,0,1,0,0,
,,Peoria,0,0,0,0,1,0,1,0,0,
,Nonmetropolitan Counties,,0,1,1,0,0,,,,,
,,Knox,0,0,1,0,0,0,0,1,0,
,,La Salle,0,1,0,0,0,1,0,0,0,
Indiana,Total,,68,8,12,12,0,,,,,
,Cities,,54,6,11,12,0,,,,,
,,Bloomington,2,0,3,0,0,1,2,0,2,"80,816"
,,Franklin,5,0,0,1,0,1,2,3,0,"23,833"
,,Hammond,1,0,0,1,0,0,1,1,0,"81,243"
,,Highland,1,1,0,0,0,1,0,0,1,"23,848"
,,Indianapolis,33,3,5,10,0,11,8,21,11,"833,024"
,,Mishawaka,1,0,2,0,0,1,0,0,2,"48,498"
,,Muncie,3,2,1,0,0,0,0,5,1,"70,443"
,,Portage,2,0,0,0,0,,1,,1,"37,016"
,,Richmond,2,0,0,0,0,1,0,,1,"37,000"
,,Rushville,1,0,0,0,0,1,,,,"6,373"
,,Seymour,1,0,0,0,0,0,1,0,0,"17,592"
,,Walkerton,2,0,0,0,0,0,1,0,1,"2,155"
,Universities and Colleges,,11,2,0,0,0,,,,,
,,Indiana State University,3,0,0,0,0,1,0,1,1,"11,494"
,,Indiana University:,,,,,,,,,,
,,Indianapolis,1,0,0,0,0,1,0,0,0,"30,566"
,,New Albany,2,0,0,0,0,2,0,0,0,"7,178"
,,Purdue University,5,2,0,0,0,2,2,1,2,"41,063"
,Metropolitan Counties,,3,0,1,0,0,,,,,
,,Elkhart,3,0,1,0,0,0,0,3,1,
Iowa,Total,,7,1,6,1,0,,,,,
,Cities,,4,0,3,1,0,,,,,
,,Bettendorf,2,0,0,0,0,0,0,1,1,"33,391"
,,Cedar Rapids,0,0,0,1,0,1,0,0,0,"126,988"
,,Davenport,0,0,1,0,0,0,1,0,0,"100,207"
,,Des Moines,1,0,0,0,0,0,0,1,0,"204,498"
,,Grinnell,0,0,1,0,0,0,0,1,0,"9,266"
,,Jefferson,1,0,0,0,0,1,0,0,0,"4,368"
,,Sioux City,0,0,1,0,0,0,0,1,0,"83,117"
,Universities and Colleges,,3,0,1,0,0,,,,,
,,Iowa State University,1,0,0,0,0,0,0,0,1,"28,682"
,,University of Iowa,2,0,1,0,0,0,2,0,1,"29,518"
,Metropolitan Counties,,0,1,2,0,0,,,,,
,,Dubuque,0,0,1,0,0,0,1,0,0,
,,Johnson,0,1,0,0,0,0,0,1,0,
,,Polk,0,0,1,0,0,0,0,1,0,
Kansas,Total,,37,10,10,10,0,,,,,
,Cities,,31,8,10,10,0,,,,,
,,Andover,3,0,0,0,0,1,1,1,0,"11,866"
,,Atchison,1,0,0,0,0,0,0,0,1,"11,091"
,,Bel Aire,1,0,0,0,0,0,0,1,0,"6,812"
,,Chanute,1,0,0,0,0,0,0,0,1,"9,177"
,,Clay Center,0,1,0,0,0,0,0,1,0,"4,362"
,,Derby,1,0,0,0,0,0,0,0,1,"22,299"
,,Ellinwood,0,1,0,0,0,0,0,1,0,"2,145"
,,Emporia,0,0,1,0,0,0,0,1,0,"25,074"
,,Fort Scott,0,1,0,0,0,0,0,1,0,"8,138"
,,Haysville,1,0,0,0,0,0,0,0,1,"10,895"
,,Hutchinson,3,0,0,0,0,0,1,2,0,"42,347"
,,Independence,2,0,0,0,0,2,0,0,0,"9,543"
,,Iola,1,0,0,0,0,0,1,0,0,"5,740"
,,Junction City,0,0,0,1,0,0,1,0,0,"23,501"
,,Lansing,1,0,0,0,0,0,0,1,0,"11,337"
,,Lawrence,1,0,1,1,0,0,1,0,2,"88,200"
,,Leavenworth,0,1,0,0,0,0,0,0,1,"35,475"
,,Leawood,0,0,0,1,0,0,0,1,0,"32,069"
,,Louisburg,1,0,0,0,0,0,0,1,0,"4,342"
,,McPherson,1,0,0,0,0,0,0,1,0,"13,239"
,,Overland Park,3,1,1,1,0,1,3,1,1,"174,473"
,,Pittsburg,1,0,1,0,0,0,0,1,1,"20,361"
,,Pratt,0,0,0,1,0,0,0,1,0,"6,878"
,,Salina,2,0,2,0,0,2,2,0,0,"48,010"
,,Sterling,0,0,1,0,0,0,0,1,0,"2,343"
,,Wichita,7,3,3,5,0,6,3,6,3,"384,796"
,Universities and Colleges,,1,1,0,0,0,,,,,
,,Washburn University,1,0,0,0,0,0,0,0,1,"7,230"
,,Wichita State University,0,1,0,0,0,1,0,0,0,"14,577"
,Metropolitan Counties,,4,0,0,0,0,,,,,
,,Jefferson,1,0,0,0,0,0,0,0,1,
,,Johnson,1,0,0,0,0,0,0,1,0,
,,Sedgwick,1,0,0,0,0,1,0,0,0,
,,Shawnee,1,0,0,0,0,1,0,0,0,
,Nonmetropolitan Counties,,1,1,0,0,0,,,,,
,,Ford,1,0,0,0,0,0,1,0,0,
,,Woodson,0,1,0,0,0,0,0,1,0,
Kentucky,Total,,97,19,24,13,1,,,,,
,Cities,,64,16,15,10,1,,,,,
,,Ashland,2,1,0,0,0,1,0,1,1,"21,834"
,,Bardstown,1,0,0,0,0,0,0,1,0,"11,781"
,,Bellevue,0,1,0,0,0,0,1,0,0,"5,996"
,,Berea,2,0,0,0,0,1,0,1,0,"13,655"
,,Bowling Green,3,0,2,1,0,1,3,0,2,"58,468"
,,Campbellsville,1,0,1,0,0,0,0,0,2,"9,171"
,,Covington,3,1,2,1,0,1,3,2,1,"40,921"
,,Cynthiana,3,0,0,0,0,1,0,1,1,"6,446"
,,Dayton,1,0,0,0,0,0,1,0,0,"5,375"
,,Elizabethtown,2,0,1,0,0,1,0,2,0,"28,728"
,,Erlanger,0,2,0,0,0,1,1,0,0,"22,034"
,,Florence,5,3,0,0,0,1,2,3,2,"30,158"
,,Fort Thomas,1,0,0,0,0,0,0,1,0,"16,438"
,,Frankfort,1,0,0,0,0,0,0,1,0,"25,703"
,,Fulton,0,0,1,0,0,1,0,0,0,"2,462"
,,Glasgow,0,1,0,0,0,1,0,0,0,"14,125"
,,Graymoor-Devondale,1,0,0,0,0,0,1,0,0,"2,890"
,,Guthrie,1,0,0,0,0,0,0,1,0,"1,429"
,,Hopkinsville,0,0,2,0,0,0,0,2,0,"31,795"
,,Lawrenceburg,1,0,0,0,0,0,0,0,1,"10,578"
,,Lebanon,1,0,0,0,0,1,0,0,0,"5,577"
,,Lexington,9,0,2,1,0,0,0,3,9,"297,847"
,,Madisonville,2,0,0,0,0,0,1,0,1,"19,726"
,,Morehead,2,0,0,0,0,1,0,0,1,"6,892"
,,Mount Vernon,1,0,0,0,0,0,0,1,0,"2,494"
,,Mount Washington,1,0,0,0,0,1,0,0,0,"9,180"
,,Murray,1,0,2,1,0,2,0,1,1,"17,864"
,,Newport,0,1,0,0,0,1,0,0,0,"15,379"
,,Oak Grove,1,1,0,0,0,1,1,0,0,"7,541"
,,Owensboro,3,1,0,1,0,3,2,0,0,"57,661"
,,Paducah,1,0,0,1,0,0,0,1,1,"25,197"
,,Paris,0,0,1,1,0,1,0,1,0,"8,612"
,,Pikeville,2,0,0,0,0,1,0,1,0,"6,951"
,,Radcliff,1,0,0,0,0,1,0,0,0,"21,838"
,,Richmond,3,1,0,1,0,1,1,2,1,"31,581"
,,Shelbyville,0,0,0,1,1,1,1,0,0,"14,142"
,,Shepherdsville,1,0,0,0,0,0,0,1,0,"11,300"
,,Shively,2,0,0,0,0,2,0,0,0,"15,369"
,,Somerset,1,1,0,0,0,0,1,1,0,"11,273"
,,St. Matthews,0,0,1,0,0,0,0,1,0,"17,593"
,,Taylor Mill,1,0,0,0,0,0,0,1,0,"6,650"
,,Versailles,0,0,0,1,0,0,0,0,1,"8,627"
,,Vine Grove,1,0,0,0,0,1,0,0,0,"4,551"
,,West Liberty,0,1,0,0,0,0,0,0,1,"3,459"
,,Wilder,1,0,0,0,0,0,1,0,0,"3,056"
,,Williamsburg,0,1,0,0,0,1,0,0,0,"5,281"
,,Wilmore,1,0,0,0,0,0,0,1,0,"3,711"
,Universities and Colleges,,6,0,2,0,0,,,,,
,,Eastern Kentucky University,1,0,0,0,0,0,1,0,0,"16,567"
,,Morehead State University,1,0,0,0,0,0,0,0,1,"8,541"
,,Murray State University,0,0,1,0,0,0,0,1,0,"10,412"
,,University of Kentucky,3,0,0,0,0,2,0,1,0,"27,108"
,,University of Louisville,0,0,1,0,0,1,0,0,0,"21,234"
,,Western Kentucky University,1,0,0,0,0,0,0,1,0,"20,897"
,Metropolitan Counties,,11,1,2,1,0,,,,,
,,Boone,3,0,0,0,0,2,1,0,0,
,,Bourbon,1,0,0,0,0,0,0,0,1,
,,Christian,0,0,1,1,0,0,0,1,1,
,,Daviess,2,0,0,0,0,2,0,0,0,
,,Grant,0,1,0,0,0,0,0,1,0,
,,Hardin,1,0,0,0,0,0,0,0,1,
,,Meade,1,0,0,0,0,0,1,0,0,
,,Oldham County Police Department,1,0,1,0,0,1,0,0,1,
,,Shelby,1,0,0,0,0,1,0,0,0,
,,Woodford,1,0,0,0,0,0,0,0,1,
,Nonmetropolitan Counties,,9,0,4,1,0,,,,,
,,Adair,1,0,0,0,0,0,1,0,0,
,,Ballard,1,0,0,0,0,0,0,0,1,
,,Caldwell,0,0,1,0,0,0,0,1,0,
,,Franklin,1,0,0,0,0,0,0,1,0,
,,Harlan,0,0,1,0,0,0,1,0,0,
,,Hart,1,0,0,0,0,0,1,0,0,
,,Johnson,0,0,1,0,0,1,0,0,0,
,,Laurel,1,0,0,0,0,1,0,0,0,
,,McCracken,2,0,0,1,0,0,0,2,1,
,,Ohio,2,0,0,0,0,0,2,0,0,
,,Rowan,0,0,1,0,0,0,0,1,0,
,State Police Agencies,,3,2,1,0,0,,,,,
,,State Police:,,,,,,,,,,
,,Dry Ridge,0,1,0,0,0,0,0,1,0,
,,Frankfort,1,0,0,0,0,0,0,0,1,
,,Madisonville,1,0,0,0,0,0,1,0,0,
,,Mayfield,1,0,0,0,0,0,1,0,0,
,,Morehead,0,1,0,0,0,0,0,0,1,
,,Pikeville,0,0,1,0,0,0,0,1,0,
,Other Agencies,,4,0,0,1,0,,,,,
,,Cincinnati-Northern Kentucky International Airport,1,0,0,0,0,1,0,0,0,
,,Greater Hardin County Narcotics Task Force,1,0,0,0,0,0,0,0,1,
,,Jefferson County Board of Education,1,0,0,0,0,0,1,0,0,
,,"Laurel County Constable, District 1",1,0,0,0,0,,,0,1,
,,Ohio County School System,0,0,0,1,0,0,1,0,0,
,,Park Security,0,0,1,0,0,0,1,0,0,
Louisiana,Total,,3,0,2,0,0,,,,,
,Cities,,1,0,2,0,0,,,,,
,,Gonzales,1,0,0,0,0,0,0,1,0,"9,870"
,,Kenner,0,0,1,0,0,1,0,0,0,"67,312"
,,Sterlington,0,0,1,0,0,1,0,0,0,"1,609"
,Metropolitan Counties,,1,0,0,0,0,,,,,
,,Lafayette,1,0,0,0,0,1,0,0,0,
,Nonmetropolitan Counties,,1,0,0,0,0,,,,,
,,Iberia,1,0,0,0,0,0,0,1,0,
Maine,Total,,18,8,26,3,0,,,,,
,Cities,,15,6,21,3,0,,,,,
,,Augusta,0,1,1,0,0,0,1,1,0,"19,134"
,,Biddeford,1,0,4,0,0,2,2,1,0,"21,274"
,,Fort Kent,1,0,0,0,0,0,0,0,1,"4,096"
,,Gorham,0,0,2,0,0,0,0,0,2,"16,379"
,,Livermore Falls,1,0,1,0,0,0,0,1,1,"3,187"
,,Mexico,1,0,0,1,0,2,0,0,0,"2,681"
,,Monmouth,0,0,1,0,0,0,0,0,1,"4,103"
,,Ogunquit,0,0,1,0,0,0,0,1,0,892
,,Old Orchard Beach,1,0,0,0,0,0,0,0,1,"8,623"
,,Portland3,6,3,5,2,0,2,1,8,5,"66,185"
,,Presque Isle,0,0,1,0,0,0,0,0,1,"9,691"
,,Rumford,0,0,1,0,0,0,0,1,0,"5,840"
,,Saco,0,2,2,0,0,0,2,1,1,"18,480"
,,Sanford,4,0,1,0,0,0,1,4,0,"20,795"
,,South Portland,0,0,1,0,0,0,1,0,0,"24,999"
,Universities and Colleges,,1,1,4,0,0,,,,,
,,University of Southern Maine,1,1,4,0,0,3,1,1,1,"9,654"
,Metropolitan Counties,,1,1,1,0,0,,,,,
,,Androscoggin,0,0,1,0,0,0,1,0,0,
,,Cumberland,1,0,0,0,0,0,0,0,1,
,,York,0,1,0,0,0,0,0,1,0,
,State Police Agencies,,1,0,0,0,0,,,,,
,,"State Police, Waldo County",1,0,0,0,0,0,0,1,0,
Maryland,Total,,24,13,6,6,0,,,,,
,Cities,,8,1,1,2,0,,,,,
,,Baltimore,2,0,1,2,0,0,1,2,2,"626,848"
,,Bel Air,2,0,0,0,0,1,0,0,1,"10,216"
,,Bowie,0,1,0,0,0,0,1,0,0,"55,246"
,,Cambridge,1,0,0,0,0,0,1,0,0,"12,443"
,,Crisfield,1,0,0,0,0,1,0,0,0,"2,752"
,,Cumberland,1,0,0,0,0,1,0,0,0,"21,057"
,,Laurel,1,0,0,0,0,1,0,0,0,"25,353"
,Universities and Colleges,,1,0,1,1,0,,,,,
,,Towson University,1,0,1,1,0,2,0,0,1,"21,840"
,Metropolitan Counties,,13,12,3,3,0,,,,,
,,Anne Arundel County Police Department,0,0,1,0,0,0,0,1,0,
,,Baltimore County Police Department,2,2,2,0,0,1,3,0,2,
,,Carroll,0,1,0,0,0,0,1,0,0,
,,Cecil,0,0,0,1,0,0,0,1,0,
,,Frederick,2,0,0,1,0,2,0,0,1,
,,Harford,3,0,0,0,0,1,1,0,1,
,,Montgomery County Police Department,5,8,0,1,0,0,6,5,3,
,,Prince George's County Police Department,0,1,0,0,0,0,1,0,0,
,,Wicomico,1,0,0,0,0,0,1,0,0,
,State Police Agencies,,2,0,1,0,0,,,,,
,,State Police:,,,,,,,,,,
,,Carroll County,1,0,1,0,0,1,1,0,0,
,,Cecil County,1,0,0,0,0,0,1,0,0,
Massachusetts,Total,,166,75,90,32,4,,,,,
,Cities,,158,63,88,30,4,,,,,
,,Acton,1,5,0,0,0,1,1,4,0,"22,058"
,,Amesbury,1,0,0,0,0,0,0,0,1,"16,382"
,,Amherst,0,1,0,0,0,0,0,0,1,"38,050"
,,Andover,0,0,1,0,1,1,1,0,0,"33,403"
,,Ashfield,0,1,0,0,0,,,1,,"1,748"
,,Barnstable,1,0,2,0,0,0,2,0,1,"45,468"
,,Belchertown,0,0,1,0,0,0,0,0,1,"14,738"
,,Belmont,1,2,0,0,1,1,2,1,0,"24,880"
,,Beverly,0,1,1,1,0,0,3,0,0,"39,743"
,,Boston,102,22,63,19,0,40,63,54,49,"621,359"
,,Brewster,0,0,1,0,0,0,1,0,0,"9,880"
,,Brockton,1,0,0,0,0,0,1,0,0,"94,380"
,,Brookline,0,2,1,0,0,0,0,1,2,"59,090"
,,Cambridge,11,2,2,1,1,1,4,8,4,"105,803"
,,Chatham,0,0,1,0,0,0,0,0,1,"6,162"
,,Chelmsford,1,0,0,0,0,0,0,1,0,"34,008"
