Table 13,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,
"per Bias Motivation and Quarter
by State and Agency, 2011",,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,Number of incidents per quarter1,,,,Population2
,,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
,,Aliso Viejo,1,0,0,0,0,1,0,0,0,"48,385"
,,Anaheim,2,1,1,1,0,2,0,2,1,"340,218"
,,Anderson,1,0,0,0,0,0,0,1,0,"10,049"
,,Antioch3,3,2,1,1,0,2,0,4,1,"103,575"
,,Arroyo Grande,1,0,0,0,0,1,0,0,0,"17,455"
,,Artesia,0,0,0,1,0,0,0,1,0,"16,716"
,,Arvin,0,0,1,0,0,0,1,0,0,"19,531"
,,Atherton,0,1,0,0,0,0,1,0,0,"6,995"
,,Azusa,4,0,0,0,0,2,1,0,1,"46,906"
,,Bakersfield,3,0,2,0,0,2,0,1,2,"351,568"
,,Baldwin Park,2,0,1,1,0,2,0,2,0,"76,276"
,,Banning,1,0,0,0,0,1,0,0,0,"29,951"
,,Barstow,2,0,0,0,0,0,0,2,0,"22,905"
,,Beaumont,3,0,0,2,0,3,2,0,0,"37,311"
,,Bellflower,0,0,0,1,0,0,0,1,0,"77,517"
,,Berkeley,0,2,2,0,0,2,1,1,0,"113,903"
,,Beverly Hills,1,4,0,0,0,0,2,2,1,"34,510"
,,Big Bear Lake,0,0,0,1,0,0,0,1,0,"5,078"
,,Blythe,1,0,0,0,0,0,0,1,0,"21,062"
,,Brentwood,0,1,2,0,0,0,1,1,1,"52,086"
,,Burbank,1,2,1,1,0,1,3,1,0,"104,555"
,,Calabasas,0,1,0,0,0,0,1,0,0,"23,329"
,,Camarillo,1,1,0,0,0,0,1,1,0,"65,968"
,,Campbell,1,0,0,0,0,1,0,0,0,"39,812"
,,Carson,4,1,0,0,0,0,5,0,0,"92,792"
,,Cathedral City,1,1,1,0,0,0,2,1,0,"51,802"
,,Cerritos,1,0,0,0,0,0,0,0,1,"49,618"
,,Chico,2,1,1,1,0,1,2,2,0,"87,200"
,,Chino,0,1,0,0,0,1,0,0,0,"78,900"
,,Chula Vista,3,1,0,2,0,1,2,1,2,"246,783"
,,Citrus Heights,1,0,0,0,0,0,0,1,0,"84,280"
,,Claremont,1,0,2,0,0,0,1,0,2,"35,337"
,,Clearlake,1,0,0,0,0,0,0,1,0,"15,429"
,,Clovis,3,0,0,0,0,0,2,1,0,"96,755"
,,Coachella,1,1,0,0,0,0,1,1,0,"41,183"
,,Concord,2,0,7,1,0,1,2,4,3,"123,502"
,,Corona,1,0,0,0,0,1,0,0,0,"154,165"
,,Costa Mesa,0,0,1,1,0,1,1,0,0,"111,253"
,,Cotati,0,0,0,1,0,0,1,0,0,"7,350"
,,Covina,1,0,0,0,0,1,0,0,0,"48,358"
,,Cupertino,0,1,0,1,0,1,0,0,1,"58,987"
,,Cypress,2,0,1,1,0,1,2,0,1,"48,364"
,,Daly City,2,0,2,0,0,1,2,1,0,"102,312"
,,Dana Point,1,0,0,1,0,0,0,2,0,"33,743"
,,Davis,1,4,3,2,0,5,1,1,3,"66,393"
,,Delano,0,0,1,0,0,0,0,0,1,"53,665"
,,Diamond Bar,0,0,1,0,0,1,0,0,0,"56,197"
,,Downey,0,1,0,1,0,0,0,2,0,"113,086"
,,Dublin,1,0,0,0,0,1,0,0,0,"46,577"
,,East Palo Alto,1,0,0,0,0,1,0,0,0,"28,486"
,,El Cerrito,0,2,0,0,0,1,0,1,0,"23,826"
,,Elk Grove,3,0,1,0,0,2,1,0,1,"154,814"
,,El Monte,5,0,1,0,0,1,3,2,0,"114,809"
,,Encinitas,0,1,1,0,0,0,1,0,1,"60,218"
,,Escalon,1,0,1,0,0,1,0,0,1,"7,216"
,,Escondido,4,0,0,1,0,2,2,1,0,"145,603"
,,Eureka,2,2,0,0,0,0,0,1,3,"27,511"
,,Fairfield,0,0,1,0,0,1,0,0,0,"106,559"
,,Farmersville,0,0,0,1,0,0,0,0,1,"10,712"
,,Fort Bragg,0,0,1,0,0,1,0,0,0,"7,359"
,,Fountain Valley,2,0,1,0,0,0,0,3,0,"55,963"
,,Fremont,0,1,0,0,0,0,1,0,0,"216,606"
,,Fresno,1,0,0,1,0,0,2,0,0,"500,480"
,,Fullerton,1,0,0,0,0,0,0,1,0,"136,750"
,,Galt,0,0,0,1,0,1,0,0,0,"23,925"
,,Garden Grove,3,1,0,0,0,1,3,0,,"172,892"
,,Glendale,2,0,1,2,0,1,0,1,3,"193,973"
,,Grass Valley,0,0,1,0,0,0,1,0,0,"13,011"
,,Greenfield,0,0,1,0,0,1,0,0,0,"16,522"
,,Hawaiian Gardens,2,0,0,1,0,1,0,1,1,"14,422"
,,Hawthorne,1,1,0,0,0,0,0,1,1,"85,284"
,,Hayward,0,1,0,0,0,1,0,0,0,"145,881"
,,Healdsburg,0,1,0,0,0,0,0,1,0,"11,386"
,,Hemet,1,0,0,1,0,1,1,0,0,"79,582"
,,Hercules,0,1,0,0,0,0,0,1,0,"24,343"
,,Highland,1,0,0,0,0,0,0,1,0,"53,728"
,,Huntington Beach,8,1,1,2,0,3,5,1,3,"192,226"
,,Imperial Beach,0,0,0,1,0,1,0,0,0,"26,633"
,,Irvine,1,1,2,3,0,5,1,1,0,"214,872"
,,La Canada Flintridge,1,0,0,0,0,0,1,0,0,"20,484"
,,Laguna Beach,1,0,0,0,0,0,0,1,0,"22,990"
,,La Habra,2,0,0,0,0,0,0,1,1,"60,947"
,,Lake Elsinore,1,0,0,0,0,0,0,0,1,"52,430"
,,Lakewood,1,0,0,0,0,0,1,0,0,"80,989"
,,La Mesa,0,0,2,1,0,0,2,1,0,"57,736"
,,La Mirada,1,0,0,0,0,0,1,0,0,"49,097"
,,Lancaster,3,0,5,0,0,1,3,1,3,"158,474"
,,La Puente,1,0,0,0,0,0,0,0,1,"40,284"
,,La Quinta,0,1,0,0,0,0,0,0,1,"37,907"
,,La Verne,0,1,0,0,0,0,1,0,0,"31,428"
,,Lemon Grove,0,0,0,1,0,0,0,1,0,"25,618"
,,Lemoore,1,0,0,0,0,0,0,1,0,"24,819"
,,Livermore,2,0,0,0,0,2,0,0,0,"81,920"
