Table 13,,,,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,,,,
"by State and Agency, 2013",,,,,,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,,,Number of incidents per quarter1,,,,Population2,,
,,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,Gender,Gender Identity,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",,,
,,Banning,0,0,0,1,0,0,0,0,0,1,0,"30,503",,
,,Berkeley,7,1,4,1,0,0,0,6,2,4,1,"116,217",,
,,Beverly Hills,0,1,0,0,0,0,0,1,0,0,0,"34,780",,
,,Brentwood3,4,0,0,0,0,0,0,0,1,2,1,"54,301",,
,,Buena Park3,0,0,1,1,0,0,0,0,1,0,1,"82,632",,
,,Burbank,1,1,2,1,0,0,0,1,2,2,0,"104,727",,
,,Calabasas,0,2,0,0,0,0,0,1,0,0,1,"24,114",,
,,Camarillo,2,1,0,0,0,0,0,1,1,1,0,"66,173",,
,,Campbell,1,0,0,0,0,0,0,0,1,0,0,"40,549",,
,,Carlsbad,1,1,0,1,0,0,0,0,0,3,0,"110,505",,
,,Carson,1,0,0,0,0,0,0,0,0,0,1,"93,415",,
,,Cerritos,3,0,0,0,0,0,0,1,0,0,2,"49,816",,
,,Chico,1,3,0,0,0,0,0,1,2,0,1,"88,226",,
,,Chino,2,2,2,3,0,0,0,2,2,3,2,"80,704",,
,,Chula Vista,3,0,1,0,0,0,0,0,3,0,1,"255,073",,
,,Citrus Heights,1,0,0,0,0,0,0,0,1,0,0,"85,337",,
,,Claremont,1,1,1,0,0,0,0,2,0,0,1,"35,623",,
,,Clearlake,1,0,1,0,0,0,0,1,0,0,1,"14,951",,
,,Clovis,0,1,2,1,0,0,0,0,1,1,2,"99,483",,
,,Colton,1,0,0,0,0,0,0,0,0,0,1,"53,403",,
,,Compton,1,0,1,0,0,0,0,0,1,0,1,"97,907",,
,,Concord,1,0,0,0,0,0,0,0,1,0,0,"125,464",,
,,Corcoran,1,0,0,0,0,0,0,0,0,1,0,"23,290",,
,,Corona,0,0,0,1,0,0,0,0,0,0,1,"160,159",,
,,Coronado,0,1,0,0,0,0,0,1,0,0,0,"23,183",,
,,Costa Mesa,1,0,0,0,0,0,0,0,0,0,1,"112,538",,
,,Covina,0,2,1,0,0,0,0,0,3,0,0,"48,524",,
,,Cupertino,0,0,0,0,0,0,1,0,0,0,1,"60,440",,
,,Cypress,0,0,0,1,0,0,0,0,0,1,0,"49,067",,
,,Daly City,0,2,1,0,0,0,0,1,0,1,1,"104,536",,
,,Dana Point,0,1,0,0,0,0,0,0,1,0,0,"34,262",,
,,Davis,2,1,4,1,0,0,0,3,4,0,1,"66,126",,
,,Duarte,1,0,1,0,0,0,0,1,0,1,0,"21,759",,
,,El Cajon,1,0,0,1,0,0,0,0,1,0,1,"102,012",,
,,El Cerrito,0,2,1,4,0,0,0,3,1,2,1,"24,184",,
,,Elk Grove,1,0,0,0,0,0,0,0,0,0,1,"160,925",,
,,El Monte,5,0,0,0,0,0,0,0,3,0,2,"115,591",,
,,Emeryville,1,0,0,0,0,0,0,0,1,0,0,"10,415",,
,,Encinitas,2,1,0,1,0,0,0,2,1,1,0,"61,433",,
,,Escondido,4,1,1,2,0,0,0,2,2,3,1,"148,650",,
,,Eureka,1,0,1,0,0,0,0,1,1,0,0,"26,881",,
,,Fairfield,2,0,0,1,0,0,0,1,0,0,2,"108,425",,
,,Fontana,1,0,0,0,0,0,0,0,1,0,0,"203,427",,
,,Foster City,1,0,0,0,0,0,0,1,0,0,0,"32,652",,
,,Fresno,4,0,3,2,0,0,1,3,3,1,3,"508,876",,
,,Fullerton,0,1,1,0,0,0,0,1,0,0,1,"139,676",,
,,Galt,1,0,0,0,0,0,0,0,0,1,0,"24,553",,
,,Garden Grove,1,0,0,3,0,0,0,0,1,2,1,"175,469",,
,,Gilroy,0,0,2,0,0,0,0,0,1,1,0,"51,240",,
,,Glendale,1,0,0,0,0,0,0,0,0,1,0,"195,366",,
,,Glendora,1,0,0,0,0,0,0,1,0,0,0,"50,893",,
,,Gridley,0,0,0,1,0,0,0,1,0,0,0,"6,563",,
,,Hanford,1,0,1,0,0,0,0,1,0,1,0,"54,425",,
,,Hawaiian Gardens,4,0,0,0,0,0,0,2,1,1,0,"14,437",,
,,Hayward,0,1,1,0,0,0,0,0,2,0,0,"150,955",,
,,Healdsburg,1,0,0,0,0,0,0,1,0,0,0,"11,483",,
,,Hercules,0,0,0,1,0,0,0,0,0,1,0,"24,831",,
,,Holtville,0,1,0,0,0,0,0,0,0,0,1,"6,022",,
,,Huntington Beach,0,0,0,0,0,0,1,0,1,0,0,"195,842",,
,,Imperial Beach,1,0,1,1,0,0,0,1,1,1,0,"26,998",,
,,Irvine,0,1,0,0,0,0,0,0,1,0,0,"235,830",,
,,Jurupa Valley,0,1,0,0,0,0,0,0,0,1,0,"98,090",,
,,Laguna Beach,0,0,1,0,0,0,0,0,1,0,0,"23,313",,
,,La Habra,0,1,0,0,0,0,0,0,0,1,0,"61,740",,
,,Lake Elsinore,0,2,0,0,0,0,0,0,0,2,0,"56,232",,
,,Lake Forest,2,0,0,0,0,0,0,1,0,0,1,"79,336",,
,,Lakewood,2,0,0,0,0,0,0,0,1,0,1,"81,086",,
,,La Mirada,1,2,0,0,0,0,0,1,2,0,0,"49,150",,
,,Lancaster,3,1,0,1,0,0,0,1,2,1,1,"159,792",,
,,La Quinta,1,1,0,0,0,0,0,1,0,1,0,"39,150",,
,,Lemon Grove,1,0,1,0,0,0,0,1,1,0,0,"26,156",,
,,Lemoore,1,0,0,0,0,0,0,1,0,0,0,"24,802",,
,,Livermore,0,0,0,1,0,0,0,0,0,1,0,"84,350",,
,,Lodi,0,0,0,2,0,0,0,0,1,1,0,"63,639",,
,,Lomita,0,0,0,1,0,0,0,0,1,0,0,"20,622",,
,,Long Beach,3,1,1,0,0,0,0,3,0,1,1,"469,665",,
,,Los Alamitos,1,0,0,0,0,0,0,1,0,0,0,"11,735",,
,,Los Angeles,41,29,33,9,0,0,2,21,40,25,28,"3,878,725",,
,,Los Gatos,2,0,0,0,0,0,0,0,0,1,1,"30,351",,
,,Lynwood,1,0,0,0,0,0,0,0,0,0,1,"71,077",,
,,Malibu,1,0,0,0,0,0,0,0,0,1,0,"12,891",,
,,Manhattan Beach,1,0,0,0,0,0,0,0,0,0,1,"35,930",,
,,Manteca,1,1,1,0,0,0,0,1,1,0,1,"72,261",,
,,Milpitas,1,0,0,0,0,0,0,1,0,0,0,"69,522",,
,,Modesto,0,1,1,1,0,0,0,2,0,1,0,"204,252",,
,,Montclair,2,0,0,0,0,0,0,1,0,1,0,"37,785",,
,,Monterey,1,0,1,0,0,0,0,0,0,1,1,"29,338",,
,,Moreno Valley,1,0,0,0,0,0,0,0,0,0,1,"201,284",,
,,Morgan Hill,0,1,0,0,0,0,0,0,0,0,1,"39,907",,
,,Murrieta3,3,1,1,0,0,0,0,2,2,1,0,"107,768",,
,,National City,2,0,1,0,0,0,0,1,0,1,1,"59,637",,
,,Newark,2,0,0,1,0,0,0,1,1,0,1,"43,950",,
,,Newport Beach,0,2,1,0,0,0,0,0,0,2,1,"87,639",,
,,Norwalk,4,1,0,0,0,0,0,0,4,0,1,"106,518",,
,,Oakland,4,1,4,2,0,0,0,2,4,3,2,"403,887",,
,,Oceanside,5,1,1,1,0,0,0,2,4,2,0,"172,525",,
,,Ontario,1,0,0,0,0,0,0,0,1,0,0,"168,144",,
,,Orange,1,1,1,0,0,0,0,0,1,2,0,"140,304",,
,,Oroville,1,0,1,0,0,0,0,0,0,1,1,"15,581",,
,,Oxnard,0,0,1,0,0,0,0,0,0,0,1,"202,594",,
,,Pacifica,0,1,0,0,0,0,0,0,0,1,0,"38,494",,
,,Pacific Grove,0,1,0,0,0,0,0,1,0,0,0,"15,518",,
,,Palmdale,4,1,3,0,0,0,0,3,1,3,1,"156,522",,
,,Palm Springs,3,1,4,0,0,0,0,4,1,2,1,"46,282",,
,,Palo Alto,0,0,0,1,0,0,0,1,0,0,0,"66,964",,
