Table 13,,,,,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,,,,,
"by State and Agency, 2014",,,,,,,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,,,Number of incidents per quarter,,,,Population1,, ,
,,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,Gender,Gender Identity,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",,,,
,,Chino Hills,1,0,0,0,0,0,0,0,1,0,0,"76,972",,,
,,Chula Vista,2,0,1,0,0,0,0,3,0,0,0,"259,894",,,
,,City of Angels,0,1,0,0,0,0,0,0,1,0,0,"3,716",,,
,,Claremont,0,4,0,1,0,0,0,1,0,2,2,"36,042",,,
,,Clearlake,1,0,0,0,0,0,0,0,1,0,0,"14,914",,,
,,Coalinga,1,0,0,0,0,0,0,0,0,1,0,"16,445",,,
,,Colusa,0,0,0,1,0,0,0,0,0,1,0,"5,942",,,
,,Compton,3,0,0,0,0,0,0,0,2,1,0,"98,224",,,
,,Cupertino,0,1,0,0,0,0,0,1,0,0,0,"60,564",,,
,,Daly City2,1,0,0,1,0,0,0,0,0,1,1,"105,628",,,
,,Dana Point,2,1,0,0,0,0,0,1,0,2,0,"34,244",,,
,,Davis,1,1,0,0,0,0,0,0,0,2,0,"66,360",,,
,,Dublin,2,0,0,0,0,0,0,0,0,2,0,"53,795",,,
,,El Cerrito,1,0,0,7,0,0,0,5,1,2,0,"24,485",,,
,,El Monte,4,1,0,0,0,0,0,2,0,1,2,"116,220",,,
,,Escondido,3,1,0,0,0,0,0,0,2,2,0,"149,839",,,
,,Eureka,1,0,0,0,0,0,0,1,0,0,0,"26,843",,,
,,Fairfield,0,0,0,1,0,0,0,0,0,0,1,"110,300",,,
,,Fontana,1,0,0,2,0,0,0,1,0,0,2,"204,532",,,
,,Fort Bragg,0,1,0,0,0,0,0,0,1,0,0,"7,245",,,
,,Fremont,0,1,0,0,0,0,0,1,0,0,0,"227,575",,,
,,Fresno,6,1,3,2,0,0,0,4,2,2,4,"513,187",,,
,,Fullerton,0,0,1,0,0,0,0,0,1,0,0,"139,895",,,
,,Galt,1,1,0,0,0,0,0,1,1,0,0,"24,671",,,
,,Gardena,1,0,0,0,0,0,0,0,0,1,0,"60,233",,,
,,Garden Grove,0,0,2,0,0,0,0,0,1,0,1,"176,106",,,
,,Gilroy,0,0,2,0,0,0,0,1,0,1,0,"52,415",,,
,,Glendale,0,2,0,0,0,0,0,1,0,1,0,"197,079",,,
,,Goleta,0,1,0,1,0,0,0,0,1,1,0,"30,669",,,
,,Grass Valley,0,0,0,1,0,0,0,0,0,1,0,"12,777",,,
,,Grover Beach,1,0,0,0,0,0,0,0,0,1,0,"13,497",,,
,,Hawaiian Gardens,1,0,0,0,0,0,0,0,1,0,0,"14,490",,,
,,Hayward,2,0,1,0,0,0,0,0,1,0,2,"153,319",,,
,,Healdsburg,0,1,0,0,0,0,0,0,0,1,0,"11,569",,,
,,Hemet,1,0,0,0,0,0,0,0,0,1,0,"82,412",,,
,,Hercules,1,0,0,0,0,0,0,0,0,1,0,"25,026",,,
,,Hesperia,1,0,0,0,0,0,0,0,0,1,0,"92,592",,,
,,Highland,2,0,1,0,0,0,0,0,1,1,1,"54,559",,,
,,Huntington Beach,1,1,0,1,0,0,0,1,0,2,0,"199,152",,,
,,Imperial Beach,0,1,0,0,0,0,0,1,0,0,0,"27,234",,,
,,Inglewood,0,0,1,0,0,0,0,0,0,0,1,"111,997",,,
,,Ione,1,0,0,0,0,0,0,1,0,0,0,"6,773",,,
,,Irvine,3,1,0,0,0,0,0,0,1,2,1,"242,971",,,
,,Laguna Niguel,0,1,0,0,0,0,0,0,0,1,0,"65,033",,,
,,Lake Forest,1,0,0,0,0,0,1,1,0,0,1,"79,748",,,
,,Lancaster,1,1,1,1,1,0,0,1,4,0,0,"160,190",,,
,,La Puente,1,0,0,0,0,0,0,0,0,1,0,"40,583",,,
,,La Quinta,1,0,0,1,0,0,0,0,1,1,0,"39,753",,,
,,Livermore,0,0,1,2,0,0,0,3,0,0,0,"86,147",,,
,,Lomita,0,1,0,0,0,0,0,0,0,0,1,"20,677",,,
,,Long Beach,4,2,4,0,0,0,0,2,4,2,2,"471,123",,,
,,Los Angeles,44,41,41,14,2,0,10,26,35,47,44,"3,906,772",,,
,,Los Gatos,2,0,0,1,0,1,0,0,1,2,1,"30,614",,,
,,Lynwood,1,1,0,0,0,0,1,1,1,1,0,"71,812",,,
,,Malibu,1,0,0,0,0,0,0,0,0,0,1,"12,912",,,
,,Mammoth Lakes,1,0,0,1,0,0,0,0,2,0,0,"8,033",,,
,,Manteca,0,1,0,0,0,0,0,1,0,0,0,"73,055",,,
,,Marina,1,0,0,1,0,0,0,2,0,0,0,"20,530",,,
,,Menifee,1,0,0,0,0,0,0,0,1,0,0,"84,843",,,
,,Merced,0,0,1,0,0,0,0,0,1,0,0,"81,603",,,
,,Modesto,2,0,1,1,0,0,0,1,1,1,1,"205,820",,,
,,Monrovia,1,0,0,0,0,0,0,0,1,0,0,"37,225",,,
,,Montclair,3,0,0,0,0,0,0,1,1,1,0,"38,347",,,
,,Monterey,1,0,1,0,0,0,0,0,0,2,0,"28,512",,,
,,Monterey Park,1,0,0,0,0,0,0,0,0,1,0,"61,284",,,
,,Moorpark,1,0,0,0,0,0,0,1,0,0,0,"35,299",,,
,,Moreno Valley,4,0,0,0,0,0,0,0,0,0,4,"202,911",,,
,,Murrieta,0,0,1,0,0,0,0,0,0,0,1,"108,376",,,
,,National City,0,0,1,0,0,0,0,1,0,0,0,"60,130",,,
,,Newark,2,0,0,0,0,0,0,0,2,0,0,"44,467",,,
,,Newport Beach,0,1,1,0,0,0,0,1,0,1,0,"87,759",,,
,,Norco,0,0,0,1,0,0,0,0,1,0,0,"26,933",,,
,,Norwalk,11,0,0,0,0,0,0,1,6,2,2,"106,838",,,
,,Oakland,6,2,5,1,0,0,0,2,4,4,4,"409,994",,,
,,Oceanside,2,0,0,2,0,0,0,2,1,0,1,"174,102",,,
