Table 13,,,,,,,,,,,,,
"Hate Crime Incidents
per Bias Motivation and Quarter
by State and Agency, 2010",,,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,Number of incidents per quarter1,,,,Population2,
,,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",,
ALABAMA,Total,,12,2,2,3,0,,,,,,
,Cities,,7,1,2,2,0,,,,,,
,,Decatur,1,0,1,1,0,0,0,1,2,"57,153",
,,Hoover,1,1,0,0,0,0,1,0,1,"74,687",
,,Jasper,1,0,0,0,0,0,1,0,0,"14,138",
,,Lanett,1,0,0,0,0,0,0,0,1,"7,026",
,,Madison,1,0,0,0,0,0,0,1,0,"41,426",
,,Oneonta,0,0,0,1,0,0,1,0,0,"7,317",
,,Riverside,1,0,0,0,0,0,0,0,1,"2,146",
,,Slocomb,1,0,0,0,0,1,0,0,0,"2,065",
,,Talladega,0,0,1,0,0,0,1,0,0,"16,826",
,Metropolitan Counties,,5,0,0,1,0,,,,,,
,,Blount,0,0,0,1,0,,1,0,0,,
,,Tuscaloosa,5,0,0,0,0,,4,1,,,
,Nonmetropolitan Counties,,0,1,0,0,0,,,,,,
,,Clarke,0,1,0,0,0,1,0,0,0,,
ALASKA,Total,,3,1,1,1,1,,,,,,
,Cities,,3,1,1,1,1,,,,,,
,,Anchorage,3,1,1,1,1,1,1,4,1,"290,334",
ARIZONA,Total,,98,48,51,37,2,,,,,,
,Cities,,85,38,49,35,2,,,,,,
,,Apache Junction,3,1,1,0,0,1,2,2,0,"33,225",
,,Avondale,1,0,0,0,0,1,0,0,0,"82,580",
,,Flagstaff,0,0,1,0,0,0,0,0,1,"58,739",
,,Glendale,7,3,1,2,0,0,4,3,6,"245,387",
,,Kingman,1,0,0,1,0,0,2,0,0,"26,671",
,,Lake Havasu City,0,0,1,0,0,1,0,0,0,"53,938",
,,Mammoth,0,1,0,0,0,0,0,1,0,"2,618",
,,Maricopa,0,0,0,1,0,1,0,0,0,"43,310",
,,Mesa,6,1,0,0,0,2,1,2,2,"452,725",
,,Peoria,2,0,0,0,0,0,1,0,1,"158,184",
,,Phoenix,50,19,37,27,2,24,35,48,28,"1,544,427",
,,Prescott,1,0,0,0,0,0,1,0,0,"41,428",
,,Scottsdale,7,5,2,2,0,4,5,4,3,"230,496",
,,Show Low,1,0,0,1,0,1,0,0,1,"11,965",
