Table 13,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,
"by State and Agency, 2015",,,,,,,,,,,,,
State,Agency Type,Agency name,Number of incidents per bias motivation,,,,,,Number of incidents per quarter,,,,Population1
,,,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
Identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
,,East Palo Alto,0,1,1,0,0,0,0,0,1,1,"29,864"
,,El Cajon,0,0,1,0,0,0,1,0,0,0,"103,942"
,,El Cerrito,2,0,0,0,0,0,0,1,1,0,"24,842"
,,Elk Grove,2,0,0,0,0,0,1,0,1,0,"166,183"
,,El Monte,2,0,1,0,0,0,2,0,0,1,"117,376"
,,El Segundo,1,0,0,0,0,0,0,0,1,0,"17,164"
,,Escondido,6,0,0,0,0,0,2,1,1,2,"151,732"
,,Eureka,2,0,0,0,0,0,1,0,1,0,"26,858"
,,Fairfield,0,0,1,0,0,0,0,0,1,0,"112,582"
,,Firebaugh,1,0,0,0,0,0,1,0,0,0,"8,484"
,,Folsom,2,0,0,0,0,0,0,0,1,1,"76,183"
,,Fort Bragg,0,1,0,0,0,0,0,0,1,0,"7,310"
,,Foster City,0,0,1,0,0,0,0,0,1,0,"33,313"
,,Fremont,2,1,0,0,0,0,2,1,0,0,"232,427"
,,Fresno,7,0,1,0,0,2,3,1,5,1,"520,837"
,,Fullerton,1,0,0,0,0,1,1,0,0,1,"140,771"
,,Galt,2,0,0,0,0,0,2,0,0,0,"25,106"
,,Garden Grove,1,1,0,0,0,0,2,0,0,0,"176,041"
,,Glendale,1,0,0,0,0,1,0,0,2,0,"202,298"
,,Glendora,1,0,0,0,0,0,0,0,1,0,"51,753"
,,Goleta,1,0,0,0,0,0,1,0,0,0,"31,011"
,,Greenfield,0,0,1,0,0,0,0,0,1,0,"17,061"
,,Gridley,1,0,0,0,0,0,0,0,0,1,"6,580"
,,Hanford,1,2,0,0,0,0,0,1,0,2,"55,299"
,,Hawaiian Gardens,2,0,0,0,0,0,1,0,0,1,"14,629"
,,Hawthorne,3,0,1,0,0,0,1,0,2,1,"88,410"
,,Hayward,3,1,0,0,0,0,0,1,3,0,"157,157"
,,Hemet,2,0,0,0,0,0,1,0,0,1,"84,030"
,,Hermosa Beach,1,0,0,0,0,0,1,0,0,0,"19,986"
