state,agencyType,agencyName,quarter01,quarter02,quarter03,quarter04,population
Alabama,Total,@@DELETE ME@@,,,,,
Alabama,Cities,@@DELETE ME@@,,,,,
Alabama,Cities,Abbeville,1,1,,,"2,701"
Alabama,Cities,Adamsville,1,,,1,"4,544"
Alabama,Cities,Alabaster,1,,,,"30,498"
Alabama,Cities,Centre,,,,1,"3,506"
Alabama,Cities,Clanton,1,,1,,"8,660"
Alabama,Cities,Decatur,,1,2,,"55,951"
Alabama,Cities,Douglas,,1,,,748
Alabama,Cities,Elba,,,1,,"3,959"
Alabama,Cities,Enterprise,0,0,1,1,"26,690"
Alabama,Cities,Foley,0,2,0,0,"14,688"
Alabama,Cities,Fort Payne,2,,,,"14,079"
Alabama,Cities,Fultondale,,,,1,"8,420"
Alabama,Cities,Fyffe,2,,,,"1,023"
Alabama,Cities,Greenville,,,,1,"8,174"
Alabama,Cities,Guntersville,0,1,1,,"8,236"
Alabama,Cities,Haleyville,1,,,,"4,193"
Alabama,Cities,Heflin,1,,,,"3,497"
Alabama,Cities,Hoover,0,0,1,1,"82,012"
Alabama,Cities,Hueytown,,,,1,"16,183"
Alabama,Cities,Irondale,,2,,,"12,408"
Alabama,Cities,Jackson,,,,1,"5,253"
Alabama,Cities,Jacksonville,,,,1,"12,608"
Alabama,Cities,Jasper,,0,1,1,"14,421"
Alabama,Cities,Lincoln,,1,1,,"6,296"
Alabama,Cities,Montgomery,1,,,,"206,754"
Alabama,Cities,Mount Vernon,,,,1,"1,582"
Alabama,Cities,Orange Beach,,1,2,,"5,467"
Alabama,Cities,Oxford,1,3,,1,"21,451"
Alabama,Cities,Ozark,0,,,1,"14,979"
Alabama,Cities,Parrish,,,1,,987
Alabama,Cities,Pelham,0,0,0,1,"21,455"
Alabama,Cities,Phenix City,1,,,,"32,980"
Alabama,Cities,Piedmont,1,,,,"4,901"
Alabama,Cities,Prattville,0,1,,,"34,123"
Alabama,Cities,Roanoke,1,1,1,1,"6,103"
Alabama,Cities,Saraland,1,1,,,"13,470"
Alabama,Cities,Sheffield,0,1,,,"9,083"
Alabama,Cities,Sylacauga,0,0,2,0,"12,810"
Alabama,Cities,Town Creek,0,1,,,"1,105"
Alabama,Cities,Tuscaloosa,1,,2,0,"90,903"
Alabama,Cities,Tuscumbia,,,,1,"8,464"
Alabama,Cities,Weaver,,,1,,"3,053"
Alabama,Metropolitan Counties,@@DELETE ME@@,,,,,
Alabama,Metropolitan Counties,Blount,,1,1,,
Alabama,Metropolitan Counties,Chilton,1,,1,1,
Alabama,Metropolitan Counties,Madison,,,,1,
Alabama,Metropolitan Counties,Tuscaloosa,1,1,,1,
Alabama,Nonmetropolitan Counties,@@DELETE ME@@,,,,,
Alabama,Nonmetropolitan Counties,Coosa,1,,,,
Alabama,Nonmetropolitan Counties,Cullman,,,1,,
Alabama,Nonmetropolitan Counties,Marengo,,1,,,
Alabama,Nonmetropolitan Counties,Washington,1,,,1,
Alaska,Total,@@DELETE ME@@,,,,,
Alaska,Cities,@@DELETE ME@@,,,,,
Alaska,Cities,Anchorage,1,1,5,1,"296,955"
Arizona,Total,@@DELETE ME@@,,,,,
Arizona,Cities,@@DELETE ME@@,,,,,
Arizona,Cities,Apache Junction,0,1,0,1,"36,347"
Arizona,Cities,Avondale,0,1,1,0,"77,317"
Arizona,Cities,Buckeye,0,3,1,0,"51,596"
Arizona,Cities,Camp Verde,0,0,1,0,"11,027"
Arizona,Cities,Chandler,1,0,0,0,"239,466"
Arizona,Cities,Coolidge,0,1,0,0,"11,992"
Arizona,Cities,Gilbert,2,0,0,0,"211,404"
Arizona,Cities,Glendale,4,0,2,3,"229,931"
Arizona,Cities,Maricopa,0,0,0,2,"44,098"
Arizona,Cities,Mesa,2,3,1,2,"445,256"
Arizona,Cities,Phoenix,27,33,35,28,"1,466,097"
Arizona,Cities,Prescott Valley,1,,0,0,"39,372"
Arizona,Cities,Scottsdale,0,1,2,2,"220,462"
Arizona,Cities,Somerton,1,0,0,0,"14,489"
Arizona,Cities,Surprise,1,0,0,0,"119,181"
Arizona,Cities,Tempe,0,2,0,1,"164,008"
Arizona,Cities,Wickenburg,0,0,1,0,"6,453"
Arizona,Cities,Yuma,1,1,0,1,"94,381"
Arizona,Universities and Colleges,@@DELETE ME@@,,,,,
Arizona,Universities and Colleges,Central Arizona College,1,0,0,0,"7,117"
Arizona,Universities and Colleges,University of Arizona,0,1,1,2,"39,086"
Arizona,Metropolitan Counties,@@DELETE ME@@,,,,,
Arizona,Metropolitan Counties,Maricopa,2,1,1,0,
Arizona,Metropolitan Counties,Mohave,0,1,0,0,
Arizona,Metropolitan Counties,Pima,1,2,2,1,
Arizona,Metropolitan Counties,Pinal,0,1,0,1,
Arizona,Metropolitan Counties,Yavapai,0,2,0,1,
Arizona,Other Agencies,@@DELETE ME@@,,,,,
Arizona,Other Agencies,Tucson Airport Authority,1,0,0,0,
Arkansas,Total,@@DELETE ME@@,,,,,
Arkansas,Cities,@@DELETE ME@@,,,,,
Arkansas,Cities,Benton,0,0,0,1,"30,913"
Arkansas,Cities,Conway,0,1,0,0,"59,354"
Arkansas,Cities,Newport,0,1,0,0,"7,939"
Arkansas,Cities,Paragould,0,0,1,0,"26,311"
Arkansas,Cities,Russellville,0,0,1,0,"28,131"
Arkansas,Cities,Siloam Springs,1,0,0,0,"15,153"
Arkansas,Cities,Texarkana,0,1,0,0,"30,145"
Arkansas,Metropolitan Counties,@@DELETE ME@@,,,,,
Arkansas,Metropolitan Counties,Benton,0,1,0,0,
Arkansas,Metropolitan Counties,Pulaski,1,1,0,0,
Arkansas,Nonmetropolitan Counties,@@DELETE ME@@,,,,,
Arkansas,Nonmetropolitan Counties,Independence,0,0,1,0,
California,Total,@@DELETE ME@@,,,,,
California,Cities,@@DELETE ME@@,,,,,
California,Cities,Alhambra,0,0,1,0,"84,066"
California,Cities,Aliso Viejo,1,0,0,0,"48,385"
California,Cities,Anaheim,2,0,2,1,"340,218"
California,Cities,Anderson,0,0,1,0,"10,049"
California,Cities,Antioch3,2,0,4,1,"103,575"
California,Cities,Arroyo Grande,1,0,0,0,"17,455"
California,Cities,Artesia,0,0,1,0,"16,716"
California,Cities,Arvin,0,1,0,0,"19,531"
California,Cities,Atherton,0,1,0,0,"6,995"
California,Cities,Azusa,2,1,0,1,"46,906"
California,Cities,Bakersfield,2,0,1,2,"351,568"
California,Cities,Baldwin Park,2,0,2,0,"76,276"
California,Cities,Banning,1,0,0,0,"29,951"
California,Cities,Barstow,0,0,2,0,"22,905"
California,Cities,Beaumont,3,2,0,0,"37,311"
California,Cities,Bellflower,0,0,1,0,"77,517"
California,Cities,Berkeley,2,1,1,0,"113,903"
California,Cities,Beverly Hills,0,2,2,1,"34,510"
California,Cities,Big Bear Lake,0,0,1,0,"5,078"
California,Cities,Blythe,0,0,1,0,"21,062"
California,Cities,Brentwood,0,1,1,1,"52,086"
California,Cities,Burbank,1,3,1,0,"104,555"
California,Cities,Calabasas,0,1,0,0,"23,329"
California,Cities,Camarillo,0,1,1,0,"65,968"
California,Cities,Campbell,1,0,0,0,"39,812"
California,Cities,Carson,0,5,0,0,"92,792"
California,Cities,Cathedral City,0,2,1,0,"51,802"
California,Cities,Cerritos,0,0,0,1,"49,618"
California,Cities,Chico,1,2,2,0,"87,200"
California,Cities,Chino,1,0,0,0,"78,900"
California,Cities,Chula Vista,1,2,1,2,"246,783"
California,Cities,Citrus Heights,0,0,1,0,"84,280"
California,Cities,Claremont,0,1,0,2,"35,337"
California,Cities,Clearlake,0,0,1,0,"15,429"
California,Cities,Clovis,0,2,1,0,"96,755"
California,Cities,Coachella,0,1,1,0,"41,183"
California,Cities,Concord,1,2,4,3,"123,502"
California,Cities,Corona,1,0,0,0,"154,165"
California,Cities,Costa Mesa,1,1,0,0,"111,253"
California,Cities,Cotati,0,1,0,0,"7,350"
California,Cities,Covina,1,0,0,0,"48,358"
California,Cities,Cupertino,1,0,0,1,"58,987"
California,Cities,Cypress,1,2,0,1,"48,364"
California,Cities,Daly City,1,2,1,0,"102,312"
California,Cities,Dana Point,0,0,2,0,"33,743"
California,Cities,Davis,5,1,1,3,"66,393"
California,Cities,Delano,0,0,0,1,"53,665"
California,Cities,Diamond Bar,1,0,0,0,"56,197"
California,Cities,Downey,0,0,2,0,"113,086"
California,Cities,Dublin,1,0,0,0,"46,577"
California,Cities,East Palo Alto,1,0,0,0,"28,486"
California,Cities,El Cerrito,1,0,1,0,"23,826"
California,Cities,Elk Grove,2,1,0,1,"154,814"
California,Cities,El Monte,1,3,2,0,"114,809"
California,Cities,Encinitas,0,1,0,1,"60,218"
California,Cities,Escalon,1,0,0,1,"7,216"
California,Cities,Escondido,2,2,1,0,"145,603"
California,Cities,Eureka,0,0,1,3,"27,511"
California,Cities,Fairfield,1,0,0,0,"106,559"
California,Cities,Farmersville,0,0,0,1,"10,712"
California,Cities,Fort Bragg,1,0,0,0,"7,359"
California,Cities,Fountain Valley,0,0,3,0,"55,963"
California,Cities,Fremont,0,1,0,0,"216,606"
California,Cities,Fresno,0,2,0,0,"500,480"
California,Cities,Fullerton,0,0,1,0,"136,750"
California,Cities,Galt,1,0,0,0,"23,925"
California,Cities,Garden Grove,1,3,0,,"172,892"
California,Cities,Glendale,1,0,1,3,"193,973"
