state,agencyType,agencyName,quarter01,quarter02,quarter03,quarter04,population
Alabama,Cities,Ashland,0,0,0,0,"1,974"
Alabama,Cities,Auburn,0,0,0,0,"63,871"
Alabama,Cities,Demopolis,0,0,0,0,"7,089"
Alabama,Cities,Enterprise,0,0,,,"28,227"
Alabama,Cities,Eutaw,0,0,0,0,"2,736"
Alabama,Cities,Fairhope,0,0,0,0,"19,470"
Alabama,Cities,Gadsden,0,0,0,0,"35,927"
Alabama,Cities,Guntersville,0,0,0,0,"8,421"
Alabama,Cities,Jasper,0,0,0,0,"14,009"
Alabama,Cities,Lineville,0,0,0,0,"2,306"
Alabama,Cities,Midland City,0,0,0,0,"2,426"
Alabama,Cities,Mobile,0,0,0,0,"249,921"
Alabama,Cities,Opp,0,0,0,0,"6,657"
Alabama,Cities,Pelham,0,0,0,0,"23,162"
Alabama,Cities,Prattville,0,0,0,0,"35,698"
Alabama,Cities,Rainbow City,0,0,0,0,"9,573"
Alabama,Cities,Sardis City,0,0,0,0,"1,764"
Alabama,Cities,Springville,0,0,0,0,"4,221"
Alabama,Cities,Summerdale,0,0,0,0,"1,181"
Alabama,Cities,Taylor,0,0,0,0,"2,407"
Alabama,Cities,Trussville,0,0,,0,"21,229"
Alabama,Cities,Tuscaloosa,0,0,0,0,"99,925"
Alabama,Metropolitan Counties,Geneva,0,0,0,0,
Alabama,Tribal Agencies,Poarch Creek Tribal,0,0,0,0,
Alaska,Cities,Bethel,0,0,0,0,"6,522"
Alaska,Cities,Bristol Bay Borough,0,0,0,0,870
Alaska,Cities,Cordova,0,0,0,0,"2,186"
Alaska,Cities,Craig,0,0,0,0,"1,256"
Alaska,Cities,Dillingham,0,0,0,0,"2,419"
Alaska,Cities,Fairbanks,0,0,0,0,"32,456"
Alaska,Cities,Haines,0,0,0,0,"2,535"
Alaska,Cities,Homer,0,0,0,0,"5,613"
Alaska,Cities,Kenai,0,0,0,0,"7,770"
Alaska,Cities,Ketchikan,0,0,0,0,"8,221"
Alaska,Cities,Kodiak,0,0,0,0,"6,274"
Alaska,Cities,Kotzebue,0,0,0,0,"3,290"
Alaska,Cities,Nome,0,0,0,0,"3,846"
Alaska,Cities,North Pole,0,0,0,0,"2,201"
Alaska,Cities,North Slope Borough,0,0,0,0,"9,710"
Alaska,Cities,Palmer,0,0,0,0,"6,959"
Alaska,Cities,Petersburg,0,0,0,0,"3,162"
Alaska,Cities,Seward,0,0,0,0,"2,813"
Alaska,Cities,Sitka,0,0,0,0,"8,836"
Alaska,Cities,Skagway,0,0,0,0,"1,075"
Alaska,Cities,Soldotna,0,0,0,0,"4,619"
Alaska,Cities,Unalaska,0,0,0,0,"4,517"
Alaska,Cities,Valdez,0,0,0,0,"3,847"
Alaska,Cities,Wrangell,0,0,0,0,"2,380"
Alaska,Universities and Colleges,University of Alaska: ,,,,,
Alaska,Universities and Colleges,Anchorage,0,0,0,0,"16,762"
Alaska,Universities and Colleges,Fairbanks,0,0,0,0,"8,638"
Alaska,State Police Agencies,Alaska State Troopers,0,0,0,0,
Alaska,Other Agencies,Fairbanks International Airport,0,0,0,0,
Alaska,Other Agencies,Ted Stevens Anchorage International Airport,0,0,0,0,
Arizona,Cities,Avondale,0,0,0,0,"81,605"
Arizona,Cities,Bisbee,0,0,0,0,"5,132"
Arizona,Cities,Camp Verde,0,0,,0,"11,213"
Arizona,Cities,Casa Grande,0,0,0,0,"51,995"
Arizona,Cities,Chino Valley,0,0,0,0,"11,202"
Arizona,Cities,Clarkdale,,0,0,0,"4,271"
Arizona,Cities,Clifton,0,0,0,0,"3,774"
Arizona,Cities,Coolidge,0,0,0,,"12,387"
Arizona,Cities,Cottonwood,0,0,0,0,"11,932"
Arizona,Cities,Eagar,0,0,0,0,"4,863"
Arizona,Cities,El Mirage,0,0,0,0,"34,376"
Arizona,Cities,Eloy,0,,,,"17,110"
Arizona,Cities,Flagstaff,0,0,0,0,"71,179"
Arizona,Cities,Florence,0,0,0,0,"31,130"
Arizona,Cities,Globe,0,0,0,0,"7,366"
Arizona,Cities,Goodyear,0,0,0,0,"82,018"
Arizona,Cities,Jerome,0,0,0,0,458
Arizona,Cities,Kearny,0,0,0,0,"2,055"
Arizona,Cities,Kingman,0,0,0,0,"29,069"
Arizona,Cities,Lake Havasu City,0,0,0,,"53,746"
Arizona,Cities,Marana,0,0,0,0,"42,808"
Arizona,Cities,Miami,0,0,,,"1,776"
Arizona,Cities,Nogales,0,0,0,0,"20,143"
Arizona,Cities,Oro Valley,0,0,0,0,"44,089"
Arizona,Cities,Page,0,0,0,0,"7,516"
Arizona,Cities,Paradise Valley,0,0,0,0,"14,155"
Arizona,Cities,Patagonia,0,0,0,0,886
Arizona,Cities,Payson,0,0,0,0,"15,351"
Arizona,Cities,Peoria,0,0,,,"174,797"
Arizona,Cities,Pinetop-Lakeside,0,0,0,0,"4,354"
Arizona,Cities,Prescott,0,0,0,0,"42,321"
Arizona,Cities,San Luis,0,0,0,0,"32,227"
Arizona,Cities,Sedona,,0,0,,"10,457"
Arizona,Cities,Show Low,0,0,0,0,"10,892"
Arizona,Cities,Sierra Vista,0,0,0,0,"42,988"
Arizona,Cities,Snowflake-Taylor,0,0,0,0,"9,835"
Arizona,Cities,Somerton,0,0,0,0,"15,196"
Arizona,Cities,Springerville,0,0,0,0,"1,952"
Arizona,Cities,Surprise,0,0,0,0,"130,679"
Arizona,Cities,Thatcher,0,0,0,0,"5,019"
Arizona,Cities,Wellton,0,0,0,0,"2,944"
Arizona,Cities,Wickenburg,0,0,0,,"6,835"
Arizona,Cities,Willcox,0,0,0,0,"3,511"
Arizona,Cities,Winslow,0,0,0,0,"9,581"
Arizona,Universities and Colleges,Central Arizona College,0,0,0,0,"5,849"
Arizona,Universities and Colleges,Northern Arizona University,0,0,0,0,"29,021"
Arizona,Metropolitan Counties,Cochise,0,0,0,0,
Arizona,Metropolitan Counties,Mohave,0,0,,,
Arizona,Metropolitan Counties,Yavapai,0,0,0,0,
Arizona,Metropolitan Counties,Yuma,0,0,0,0,
Arizona,Nonmetropolitan Counties,Apache,0,0,,0,
Arizona,Nonmetropolitan Counties,Gila,0,0,0,0,
Arizona,Nonmetropolitan Counties,Graham,0,0,,,
Arizona,Nonmetropolitan Counties,Greenlee,0,0,0,0,
Arizona,Nonmetropolitan Counties,Santa Cruz,0,0,,,
Arizona,State Police Agencies,Arizona Department of Public Safety,0,0,0,,
Arizona,Tribal Agencies,Ak-Chin Tribal,0,0,0,0,
Arizona,Tribal Agencies,Colorado River Agency,0,0,,,
