state,agencyType,agencyName,quarter01,quarter02,quarter03,quarter04,population
Alabama,Cities,Ashford,0,0,0,0,"2,164"
Alabama,Cities,Ashland,0,0,0,0,"1,967"
Alabama,Cities,Auburn,0,0,0,0,"59,854"
Alabama,Cities,Childersburg,0,0,0,0,"5,072"
Alabama,Cities,Demopolis,0,0,0,0,"7,161"
Alabama,Cities,Enterprise,0,0,0,0,"28,031"
Alabama,Cities,Eutaw,0,0,0,0,"2,845"
Alabama,Cities,Fairhope,0,0,0,0,"17,914"
Alabama,Cities,Florence,0,0,0,0,"40,236"
Alabama,Cities,Foley,0,0,0,0,"16,101"
Alabama,Cities,Gadsden,0,0,0,0,"36,455"
Alabama,Cities,Guntersville,0,0,0,0,"8,404"
Alabama,Cities,Irondale,0,0,0,0,"12,387"
Alabama,Cities,Jasper,0,0,0,0,"14,182"
Alabama,Cities,Lafayette,0,0,0,0,"2,999"
Alabama,Cities,Level Plains,0,,,,"2,033"
Alabama,Cities,Lineville,0,0,0,0,"2,304"
Alabama,Cities,Midland City,0,0,0,0,"2,429"
Alabama,Cities,Mobile,0,0,0,0,"250,655"
Alabama,Cities,Muscle Shoals,0,0,0,0,"13,584"
Alabama,Cities,Oneonta,0,0,0,0,"6,701"
Alabama,Cities,Opp,0,0,0,0,"6,699"
Alabama,Cities,Pelham,0,0,0,0,"22,501"
Alabama,Cities,Rainbow City,0,0,0,0,"9,668"
Alabama,Cities,Samson,0,,,,"1,922"
Alabama,Cities,Sardis City,0,0,0,0,"1,744"
Alabama,Cities,Springville,0,0,0,0,"4,230"
Alabama,Cities,Tarrant,0,0,0,0,"6,259"
Alabama,Cities,Taylor,0,0,0,0,"2,414"
Alabama,Cities,Trussville,0,0,0,0,"20,453"
Alabama,Universities and Colleges,Bevill State Community College,0,0,0,0,"3,490"
Alabama,Universities and Colleges,University of West Alabama,0,0,0,0,"4,427"
Alabama,Metropolitan Counties,Geneva,0,0,0,0,
Alabama,Metropolitan Counties,Montgomery,0,0,0,0,
Alabama,Tribal Agencies,Poarch Creek Tribal,0,0,0,0,
Alaska,Cities,Bethel,0,0,0,0,"6,431"
Alaska,Cities,Bristol Bay Borough,0,0,0,0,945
Alaska,Cities,Cordova,0,0,0,0,"2,293"
Alaska,Cities,Craig,0,0,0,0,"1,264"
Alaska,Cities,Dillingham,0,0,0,0,"2,416"
Alaska,Cities,Fairbanks,0,0,0,0,"32,477"
Alaska,Cities,Haines,0,0,0,0,"2,599"
Alaska,Cities,Homer,0,0,0,0,"5,378"
Alaska,Cities,Juneau,0,0,0,0,"32,988"
Alaska,Cities,Kenai,0,0,0,0,"7,533"
Alaska,Cities,Ketchikan,0,0,0,0,"8,246"
Alaska,Cities,Kodiak,0,0,0,0,"6,495"
Alaska,Cities,Kotzebue,0,0,0,0,"3,289"
Alaska,Cities,Nome,0,0,0,0,"3,844"
Alaska,Cities,North Pole,0,0,0,0,"2,235"
Alaska,Cities,North Slope Borough,0,0,0,0,"9,691"
Alaska,Cities,Palmer,0,0,0,0,"6,583"
Alaska,Cities,Petersburg,0,0,0,0,"2,912"
Alaska,Cities,Seward,0,0,0,0,"2,767"
Alaska,Cities,Sitka,0,0,0,0,"9,051"
Alaska,Cities,Skagway,0,0,0,0,998
Alaska,Cities,Soldotna,0,0,0,0,"4,431"
Alaska,Cities,Unalaska,0,0,0,0,"4,308"
Alaska,Cities,Valdez,0,0,0,0,"4,032"
Alaska,Cities,Wasilla,0,0,0,0,"8,807"
Alaska,Cities,Wrangell,0,0,0,0,"2,409"
Alaska,Universities and Colleges,University of Alaska: ,,,,,
Alaska,Universities and Colleges,Anchorage,0,0,0,0,"17,363"
Alaska,Universities and Colleges,Fairbanks,0,0,0,0,"9,166"
Alaska,State Police Agencies,State Troopers,0,0,0,0,
Alaska,Tribal Agencies,Metlakatla Tribal,0,0,0,0,
Alaska,Other Agencies,Anchorage International Airport,0,0,0,0,
Alaska,Other Agencies,Fairbanks International Airport,0,0,0,0,
Arizona,Cities,Bisbee,0,0,0,0,"5,308"
Arizona,Cities,Bullhead City,0,0,0,0,"39,337"
Arizona,Cities,Camp Verde,0,0,0,0,"11,055"
Arizona,Cities,Casa Grande,0,0,,0,"50,207"
Arizona,Cities,Chino Valley,0,0,0,0,"10,979"
Arizona,Cities,Clarkdale,0,0,0,,"4,130"
Arizona,Cities,Coolidge,0,0,0,0,"11,841"
Arizona,Cities,Eagar,0,0,0,0,"4,917"
Arizona,Cities,Eloy,0,0,0,0,"17,001"
Arizona,Cities,Florence,0,0,0,0,"25,068"
Arizona,Cities,Fredonia,0,0,0,0,"1,302"
