state,agencyType,agencyName,quarter01,quarter02,quarter03,quarter04,population
Alabama,Cities,Ashford,0,0,0,0,"2,158"
Alabama,Cities,Ashland,0,0,0,0,"2,047"
Alabama,Cities,Auburn,0,0,0,0,"53,637"
Alabama,Cities,Bay Minette,0,0,,,"8,083"
Alabama,Cities,Berry,0,0,0,0,"1,154"
Alabama,Cities,Childersburg,0,0,,,"5,200"
Alabama,Cities,Courtland,0,0,,,612
Alabama,Cities,Demopolis,0,0,0,0,"7,519"
Alabama,Cities,Dothan,0,0,,,"65,811"
Alabama,Cities,Eutaw,0,0,0,0,"2,948"
Alabama,Cities,Fairfield,0,0,0,0,"11,171"
Alabama,Cities,Fairhope,,0,,0,"15,400"
Alabama,Cities,Florence,0,0,0,0,"39,508"
Alabama,Cities,Gadsden,0,0,0,0,"37,033"
Alabama,Cities,Geneva,0,0,,,"4,473"
Alabama,Cities,Glencoe,0,0,0,0,"5,185"
Alabama,Cities,Gulf Shores,0,0,,,"9,788"
Alabama,Cities,Hamilton,0,0,,,"6,918"
Alabama,Cities,Hartford,0,0,0,0,"2,637"
Alabama,Cities,Huntsville,0,0,0,0,"180,972"
Alabama,Cities,Lafayette,0,0,0,0,"3,017"
Alabama,Cities,Level Plains,0,0,0,0,"2,095"
Alabama,Cities,Lineville,0,0,0,0,"2,407"
Alabama,Cities,Madison,0,,,,"43,145"
Alabama,Cities,Midland City,,0,0,0,"2,355"
Alabama,Cities,Mobile,0,0,0,0,"251,869"
Alabama,Cities,Muscle Shoals,0,0,0,0,"13,209"
Alabama,Cities,Opp,0,0,0,,"6,691"
Alabama,Cities,Pell City,,,0,,"12,756"
Alabama,Cities,Rainbow City,0,0,0,0,"9,648"
Alabama,Cities,Samson,,0,0,,"1,949"
Alabama,Cities,Sardis City,0,0,0,0,"1,712"
Alabama,Cities,Springville,0,0,0,0,"4,100"
Alabama,Cities,Summerdale,0,0,,,866
Alabama,Cities,Tarrant,0,0,0,0,"6,428"
Alabama,Cities,Taylor,0,0,0,0,"2,386"
Alabama,Cities,Troy,0,0,0,0,"18,120"
Alabama,Cities,Trussville,0,0,0,0,"20,029"
Alabama,Cities,Valley,,0,,,"9,570"
Alabama,Cities,Vance,0,0,0,0,"1,536"
Alabama,Universities and Colleges,Calhoun Community College,0,0,,,"12,134"
Alabama,Universities and Colleges,Jacksonville State University,0,0,,,"9,504"
Alabama,Universities and Colleges,University of West Alabama,0,0,0,0,"5,094"
Alabama,Metropolitan Counties,Geneva,0,0,0,0,
Alabama,Metropolitan Counties,Lee,0,0,0,0,
Alabama,Metropolitan Counties,Montgomery,0,0,,0,
