state,agencyType,agencyName,quarter01,quarter02,quarter03,quarter04,population
California,Cities,Corcoran,0,0,1,0,"23,290",,
California,Cities,Corona,0,0,0,1,"160,159",,
California,Cities,Coronado,1,0,0,0,"23,183",,
California,Cities,Costa Mesa,0,0,0,1,"112,538",,
California,Cities,Covina,0,3,0,0,"48,524",,
California,Cities,Cupertino,0,0,0,1,"60,440",,
California,Cities,Cypress,0,0,1,0,"49,067",,
California,Cities,Daly City,1,0,1,1,"104,536",,
California,Cities,Dana Point,0,1,0,0,"34,262",,
California,Cities,Davis,3,4,0,1,"66,126",,
California,Cities,Duarte,1,0,1,0,"21,759",,
California,Cities,El Cajon,0,1,0,1,"102,012",,
California,Cities,El Cerrito,3,1,2,1,"24,184",,
California,Cities,Elk Grove,0,0,0,1,"160,925",,
California,Cities,El Monte,0,3,0,2,"115,591",,
California,Cities,Emeryville,0,1,0,0,"10,415",,
California,Cities,Encinitas,2,1,1,0,"61,433",,
California,Cities,Escondido,2,2,3,1,"148,650",,
California,Cities,Eureka,1,1,0,0,"26,881",,
California,Cities,Fairfield,1,0,0,2,"108,425",,
California,Cities,Fontana,0,1,0,0,"203,427",,
California,Cities,Foster City,1,0,0,0,"32,652",,
California,Cities,Fresno,3,3,1,3,"508,876",,
California,Cities,Fullerton,1,0,0,1,"139,676",,
California,Cities,Galt,0,0,1,0,"24,553",,
California,Cities,Garden Grove,0,1,2,1,"175,469",,
California,Cities,Gilroy,0,1,1,0,"51,240",,
California,Cities,Glendale,0,0,1,0,"195,366",,
California,Cities,Glendora,1,0,0,0,"50,893",,
California,Cities,Gridley,1,0,0,0,"6,563",,
California,Cities,Hanford,1,0,1,0,"54,425",,
California,Cities,Hawaiian Gardens,2,1,1,0,"14,437",,
California,Cities,Hayward,0,2,0,0,"150,955",,
California,Cities,Healdsburg,1,0,0,0,"11,483",,
California,Cities,Hercules,0,0,1,0,"24,831",,
California,Cities,Holtville,0,0,0,1,"6,022",,
California,Cities,Huntington Beach,0,1,0,0,"195,842",,
California,Cities,Imperial Beach,1,1,1,0,"26,998",,
California,Cities,Irvine,0,1,0,0,"235,830",,
California,Cities,Jurupa Valley,0,0,1,0,"98,090",,
California,Cities,Laguna Beach,0,1,0,0,"23,313",,
California,Cities,La Habra,0,0,1,0,"61,740",,
California,Cities,Lake Elsinore,0,0,2,0,"56,232",,
