agencyName,agencyType,state,recent_population,zeroCount,dnrCount,reportCount,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4
Devine,Cities,TEXAS,4775,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewar,Cities,OKLAHOMA,866,26,1,1,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewey,Cities,OKLAHOMA,No Data,24,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,0,0,0,0
Dewey Beach,Cities,DELAWARE,378,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewitt,Cities,MICHIGAN,4684,25,2,1,0,0,0,0,0,0,0,0,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewitt Town,Cities,NEW YORK,25616,23,2,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,0,0,0,0
Dewitt Township,Cities,MICHIGAN,14686,12,2,14,0,1,0,0,0,0,DNR,DNR,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0
Dexter,Cities,MAINE,8014,22,5,1,DNR,DNR,0,DNR,0,0,0,0,0,0,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dexter Village,Cities,NEW YORK,1093,17,2,9,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0
Diamond,Cities,MISSOURI,930,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diamond Bar,Cities,CALIFORNIA,57162,23,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Diamond City,Cities,ARKANSAS,781,4,3,21,0,DNR,DNR,DNR,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0
Diamondville,Cities,WYOMING,738,23,0,5,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diaz,Cities,ARKANSAS,1235,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dibble,Cities,OKLAHOMA,830,24,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,DNR,DNR,0,0,0,0
Diboll,Cities,TEXAS,5399,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dickens,Nonmetropolitan Counties,TEXAS,No Data,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dickenson,Nonmetropolitan Counties,VIRGINIA,No Data,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dickey,Nonmetropolitan Counties,NORTH DAKOTA,No Data,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dickinson,Cities,NORTH DAKOTA,20131,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dickson,Cities,TENNESSEE,15501,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dickson City,Cities,PENNSYLVANIA,5839,16,7,5,0,0,0,0,0,0,0,DNR,0,DNR,DNR,DNR,0,0,0,0,0,DNR,DNR,DNR,No Data,No Data,No Data,No Data,0,0,0,0
Dierks,Cities,Arkansas,1084,14,5,9,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,DNR,DNR,DNR,0,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dighton,Cities,MASSACHUSETTS,7430,13,2,13,DNR,DNR,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0
Dillard,Cities,GEORGIA,332,24,3,1,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dilley,Cities,TEXAS,4290,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dillingham,Cities,Alaska,2419,19,0,9,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dillon,Nonmetropolitan Counties,SOUTH CAROLINA,6468,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dillonvale,Cities,OHIO,633,15,8,5,0,0,DNR,0,0,0,0,0,0,0,0,DNR,0,DNR,DNR,DNR,DNR,0,DNR,DNR,No Data,No Data,No Data,No Data,0,0,0,DNR
Dilworth,Cities,MINNESOTA,4437,24,3,1,0,0,0,0,DNR,0,0,0,0,0,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimmit,Nonmetropolitan Counties,TEXAS,No Data,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimmitt,Cities,TEXAS,4153,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinuba,Cities,CALIFORNIA,24156,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinwiddie,Metropolitan Counties,VIRGINIA,No Data,23,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,DNR,0,1,2,0,0,0,0,0
District Heights,Cities,MARYLAND,6204,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divernon,Cities,ILLINOIS,1153,25,2,1,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divide,Nonmetropolitan Counties,North Dakota,No Data,19,0,9,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dixfield,Cities,MAINE,2462,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dixie,Nonmetropolitan Counties,FLORIDA,No Data,20,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Dixmoor,Cities,ILLINOIS,3591,15,1,12,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,DNR,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Dixon,Cities,CALIFORNIA,No Data,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dobbs Ferry Village,Cities,NEW YORK,11180,23,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Dobson,Cities,NORTH CAROLINA,1570,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doddridge,Nonmetropolitan Counties,West Virginia,No Data,3,0,25,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0
Dodge,Nonmetropolitan Counties,GEORGIA,No Data,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodge City,Cities,KANSAS,27997,19,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,2,1,1,1,0
Dodgeville,Cities,WISCONSIN,4645,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doerun,Cities,Georgia,772,17,2,9,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0
Dolgeville Village,Cities,NEW YORK,2119,24,3,1,0,0,0,0,0,0,0,DNR,0,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolores,Nonmetropolitan Counties,COLORADO,No Data,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolton,Cities,Illinois,23374,14,2,12,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Donalsonville,Cities,GEORGIA,2680,26,1,1,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donegal Township,Cities,PENNSYLVANIA,2436,20,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,DNR,DNR,DNR,0,0,0,0,No Data,No Data,No Data,No Data
Doniphan,Metropolitan Counties,KANSAS,1990,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donley,Nonmetropolitan Counties,TEXAS,No Data,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donna,Cities,TEXAS,16672,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donnellson,Cities,Illinois,211,4,0,24,No Data,No Data,No Data,No Data,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Donora,Cities,PENNSYLVANIA,4641,21,6,1,0,0,0,0,0,0,0,DNR,0,0,DNR,DNR,0,0,0,0,0,0,0,DNR,0,0,0,0,0,DNR,DNR,DNR
Doolittle,Cities,MISSOURI,600,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dooly,Nonmetropolitan Counties,GEORGIA,No Data,26,1,1,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Door,Nonmetropolitan Counties,WISCONSIN,No Data,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dora,Cities,ALABAMA,2431,4,0,24,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Doral,Cities,FLORIDA,51350,19,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Doraville,Cities,GEORGIA,11008,14,5,9,0,0,0,0,0,DNR,DNR,DNR,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,DNR,0,0,0,0,0,0,DNR,DNR
Dorchester,Nonmetropolitan Counties,MARYLAND,No Data,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dormont,Cities,PENNSYLVANIA,8440,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0
Dorris,Cities,CALIFORNIA,900,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dos Palos,Cities,CALIFORNIA,5158,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dothan,Cities,ALABAMA,65811,6,2,20,0,0,0,0,0,0,DNR,DNR,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Double Oak,Cities,TEXAS,3118,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double Springs,Cities,ALABAMA,975,4,0,24,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Dougherty,Metropolitan Counties,Georgia,No Data,22,1,5,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dougherty County Police Department,Metropolitan Counties,Georgia,No Data,19,4,5,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,DNR,0,0,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0
Douglas,Metropolitan Counties,COLORADO,6617,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Douglass Township, Berks County",Cities,PENNSYLVANIA,3554,24,3,1,0,0,0,DNR,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0
"Douglass Township, Montgomery County",Cities,PENNSYLVANIA,10475,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0
Douglasville,Cities,GEORGIA,33287,26,1,1,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dover,Cities,ARKANSAS,1095,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dover-Foxcroft,Cities,MAINE,4004,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Downers Grove,Cities,ILLINOIS,49894,24,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Downey,Cities,CALIFORNIA,114704,23,0,5,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Downingtown,Cities,PENNSYLVANIA,7957,25,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,DNR,0,0,0,0,0
Downs,Cities,Illinois,995,2,2,24,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,DNR,DNR,No Data,No Data,No Data,No Data
Doylestown,Cities,PENNSYLVANIA,8361,16,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Doylestown Township,Cities,PENNSYLVANIA,17539,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0
Dozier,Cities,ALABAMA,398,3,1,24,0,0,0,DNR,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Dracut,Cities,MASSACHUSETTS,31586,21,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,1,0,0,0,0,0,1,0,0,0,0
Draper,Cities,UTAH,47696,17,0,11,1,1,1,0,0,1,3,1,7,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Dresden,Cities,OHIO,2879,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew,Nonmetropolitan Counties,ARKANSAS,No Data,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drexel,Cities,MISSOURI,1864,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Driscoll,Cities,TEXAS,754,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drumright,Cities,OKLAHOMA,2874,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dry Ridge,Cities,KENTUCKY,2208,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dryden Township,Cities,MICHIGAN,4773,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dryden Village,Cities,NEW YORK,2137,25,2,1,0,0,0,0,0,0,0,0,0,0,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Du Bois,Cities,PENNSYLVANIA,7561,25,2,1,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0
Du Page,Metropolitan Counties,ILLINOIS,No Data,12,0,16,3,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Du Quoin,Cities,ILLINOIS,5919,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DuPage,Metropolitan Counties,Illinois,No Data,10,0,18,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0,1,0,0,0,0,0,0
Duarte,Cities,CALIFORNIA,22120,24,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dublin,Cities,CALIFORNIA,2719,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dublin Borough,Cities,PENNSYLVANIA,2171,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0
Dubois,Nonmetropolitan Counties,Indiana,No Data,4,2,22,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,No Data,No Data,No Data,No Data,1,DNR,DNR,DNR
Duboistown,Cities,PENNSYLVANIA,1208,21,6,1,0,0,0,DNR,0,0,0,DNR,0,0,0,0,0,0,0,DNR,0,0,0,0,DNR,DNR,0,DNR,0,0,0,DNR
Dubuque,Cities,IOWA,57939,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duchesne,Nonmetropolitan Counties,UTAH,No Data,23,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Duck,Cities,NORTH CAROLINA,386,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dudley,Cities,MASSACHUSETTS,11558,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Due West,Cities,SOUTH CAROLINA,1238,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duenweg,Cities,MISSOURI,1300,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duluth,Cities,MINNESOTA,86090,21,6,1,0,0,0,0,0,0,DNR,DNR,0,0,0,DNR,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,0,0,0,0
Dumas,Cities,ARKANSAS,15051,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumfries,Cities,VIRGINIA,5263,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumont,Cities,NEW JERSEY,18010,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunbar,Cities,WEST VIRGINIA,7612,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunbarton,Cities,NEW HAMPSHIRE,2799,26,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duncan,Cities,OKLAHOMA,3350,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duncannon,Cities,PENNSYLVANIA,1498,4,0,24,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Duncansville,Cities,PENNSYLVANIA,1198,13,6,9,0,0,0,0,DNR,0,DNR,DNR,0,0,0,0,No Data,No Data,No Data,No Data,0,DNR,DNR,DNR,No Data,No Data,No Data,No Data,0,0,0,0
Duncanville,Cities,TEXAS,40075,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dundee,Cities,FLORIDA,3309,4,0,24,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Dundy,Nonmetropolitan Counties,Nebraska,No Data,7,0,21,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0
Dunedin,Cities,FLORIDA,35779,20,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Dunellen,Cities,NEW JERSEY,7434,24,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,DNR,0,0,1
Dunfermline,Cities,Illinois,301,2,2,24,No Data,No Data,No Data,No Data,DNR,0,0,DNR,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Dunkirk,Cities,NEW YORK,11991,26,1,1,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunklin,Nonmetropolitan Counties,MISSOURI,No Data,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunlap,Cities,TENNESSEE,5167,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dunmore,Cities,PENNSYLVANIA,13247,17,6,5,0,0,0,DNR,0,0,0,0,0,0,DNR,DNR,0,0,0,0,No Data,No Data,No Data,No Data,0,DNR,DNR,DNR,0,0,0,0
Dunn,Cities,NORTH CAROLINA,No Data,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunnellon,Cities,FLORIDA,1762,20,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Dunnstable Township,Cities,PENNSYLVANIA,1019,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0
Dunsmuir,Cities,CALIFORNIA,1571,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunstable,Cities,Massachusetts,3471,16,3,9,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunwoody,Cities,GEORGIA,49232,26,1,1,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duplin,Nonmetropolitan Counties,NORTH CAROLINA,No Data,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dupo,Cities,ILLINOIS,3881,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dupont,Cities,PENNSYLVANIA,9593,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duquesne,Cities,MISSOURI,5528,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0
Durand,Cities,ILLINOIS,1831,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durango,Cities,COLORADO,18248,18,0,10,0,0,0,0,0,4,4,1,0,1,1,0,1,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0
Durant,Cities,OKLAHOMA,17566,23,0,5,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR
Durham,Cities,NEW HAMPSHIRE,No Data,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durham Town,Cities,NEW YORK,2661,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duryea,Cities,PENNSYLVANIA,4935,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0
Dutchess,Metropolitan Counties,NEW YORK,No Data,24,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Duval,Nonmetropolitan Counties,TEXAS,No Data,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
