agencyName,agencyType,state,2016_population,2015_population,2014_population,2013_population,2012_population,2011_population,2010_population,recent_population,zeroCount,dnrCount,reportCount,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4
Ahoskie,Cities,NORTH CAROLINA,4883,4955,5017,4988,5039,5103,4617,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aiken,Cities,SOUTH CAROLINA,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airway Heights,Cities,WASHINGTON,8425,6652,6502,6441,6198,6210,5618,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aitkin,Nonmetropolitan Counties,MINNESOTA,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,DNR,DNR,0,DNR,DNR,DNR,0,0,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akeley,Cities,Minnesota,431,No Data,No Data,No Data,No Data,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,DNR,DNR,0
Akron,Cities,OHIO,4014,4001,3933,3918,3914,3888,4053,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0
Akron Village,Cities,NEW YORK,2840,2851,2842,2846,2880,2881,2923,,,,,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akron-Fairgrove,Cities,Michigan,No Data,No Data,No Data,No Data,961,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,DNR,DNR,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Alabaster,Cities,ALABAMA,No Data,No Data,No Data,No Data,No Data,30498,30781,,,,,0,0,0,0,1,DNR,DNR,DNR,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Alachua,Metropolitan Counties,FLORIDA,No Data,No Data,9456,9338,"9,264",No Data,9757,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Alamance,Metropolitan Counties,NORTH CAROLINA,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,Cities,CALIFORNIA,No Data,No Data,No Data, Nan,75467,74680,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alamo,Cities,GEORGIA,19409,19385,19054,18876,19178,18739,17687,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alamo Heights,Cities,TEXAS,8248,8003,7673,7443,7305,7179,7488,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alamogordo,Cities,NEW MEXICO,No Data,No Data,31546,31788,31377,30743,36555,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,DNR,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Alamosa,Cities,COLORADO,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alapaha,Cities,Georgia,653,641,655,646,679,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,DNR,0,0,0,0,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0
Albany,Cities,CALIFORNIA,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albemarle,Cities,NORTH CAROLINA,16024,15995,16033,15946,16071,16105,15446,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Albemarle County Police Department,Metropolitan Counties,VIRGINIA,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,2,3,3,0,3,4,1,2,0,5,4,2,1,5,2,2,1,0,1,1,1,2,3,0,1,2,1,0
Albers,Cities,ILLINOIS,No Data,1177,1179,No Data,1197,No Data,1065,,,,,0,0,0,0,No Data,No Data,No Data,No Data,0,DNR,DNR,DNR,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data
Albert Lea,Cities,Minnesota,17604,17763,17833,17867,18082,18155,No Data,,,,,No Data,No Data,No Data,No Data,0,DNR,1,DNR,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albia,Cities,IOWA,3840,3784,3800,3829,3820,3786,3541,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albion,Cities,ILLINOIS,1459,1469,1485,1975,1519,1521,1509,,,,,0,0,0,DNR,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR
Albion Village,Cities,NEW YORK,5984,5994,5872,6388,5993,No Data,5437,,,,,0,0,0,DNR,No Data,No Data,No Data,No Data,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque,Cities,NEW MEXICO,561560,559721,558874,558165,No Data,551961,545389,,,,,10,4,6,1,5,9,7,3,No Data,No Data,No Data,No Data,2,1,6,1,DNR,6,DNR,4,6,5,1,DNR,2,2,11,10
Alburtis,Cities,PENNSYLVANIA,2552,2412,2384,2390,2389,2369,2449,,,,,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,DNR,DNR,0
Alcester,Cities,South Dakota,752,783,799,809,No Data,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcoa,Cities,TENNESSEE,9503,8831,8689,8605,8587,8525,8775,,,,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
Alcona,Nonmetropolitan Counties,MICHIGAN,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aldan,Cities,PENNSYLVANIA,4168,4170,4158,4150,4162,4165,4284,,,,,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,DNR,0,DNR,0,0,0,0,0,DNR
Alderson,Cities,West Virginia,1181,1184,1179,1184,1193,1186,No Data,,,,,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,0,0,0,0
Aledo,Cities,ILLINOIS,3549,3575,3641,3567,3626,No Data,3466,,,,,0,0,0,0,No Data,No Data,No Data,No Data,0,0,0,0,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0
Aleppo Township,Cities,PENNSYLVANIA,1903,1911,1914,1918,1923,1922,1220,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0
Alexander,Metropolitan Counties,ILLINOIS,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander City,Cities,ALABAMA,No Data,No Data,No Data,No Data,No Data,No Data,15229,,,,,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Alexandria,Cities,VIRGINIA,1625,990,992,148519,145892,975,957,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria Bay Village,Cities,NEW YORK,1102,1109,1107,1128,1100,1083,1114,,,,,0,0,0,0,0,0,0,0,DNR,0,0,0,0,DNR,0,DNR,0,0,0,0,0,0,0,DNR,0,0,0,0
Alexis,Cities,Illinois,805,815,No Data,No Data,No Data,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0
Alfalfa,Nonmetropolitan Counties,OKLAHOMA,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfred Village,Cities,NEW YORK,4039,3992,4032,4089,No Data,4193,4933,,,,,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alger,Nonmetropolitan Counties,MICHIGAN,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algoma,Cities,WISCONSIN,3079,3103,3116,3143,3177,3181,3130,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Algona,Cities,IOWA,5453,3158,3116,3123,3104,3061,2838,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algonac,Cities,MICHIGAN,No Data,No Data,No Data,No Data,No Data,4107,4445,,,,,0,0,0,0,0,0,0,1,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Algonquin,Cities,Illinois,30673,30497,30566,29980,30159,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Algood,Cities,TENNESSEE,3770,3618,3577,3517,3555,3527,3472,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alhambra,Cities,CALIFORNIA,86035,86175,84931,84710,84469,84066,84987,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
Alice,Cities,TEXAS,19464,19463,19689,19673,19627,19506,19690,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aliceville,Cities,ALABAMA,No Data,No Data,No Data,No Data,No Data,No Data,2423,,,,,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Aliquippa,Cities,PENNSYLVANIA,9150,9197,9288,9323,9437,9468,10497,,,,,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,DNR
Aliso Viejo,Cities,CALIFORNIA,50604,50751,50671,50005,48999,48385,41989,,,,,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allamakee,Nonmetropolitan Counties,Iowa,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegan,Nonmetropolitan Counties,MICHIGAN,No Data,5088,5059, Nan,No Data,No Data,4770,,,,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegany,Metropolitan Counties,MARYLAND,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegany County Bureau of Police,Metropolitan Counties,MARYLAND,No Data,No Data,No Data,No Data,No Data,No Data,No Data,,,,,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Allegany Village,Cities,NEW YORK,1726,1756,1769,1781,1814,1824,1715,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0
Alleghany,Nonmetropolitan Counties,NORTH CAROLINA,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegheny,Metropolitan Counties,PENNSYLVANIA,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,DNR,DNR,0,0,0,1,0,0
Allegheny County Police Department,Metropolitan Counties,PENNSYLVANIA,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,DNR,DNR
"Allegheny Township, Blair County",Cities,PENNSYLVANIA,6652,6643,6638,6726,6747,6759,6967,,,,,0,0,0,DNR,0,DNR,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0
"Allegheny Township, Westmoreland County",Cities,PENNSYLVANIA,8213,8262,8315,8332,8161,8190,8288,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0
Allen,Cities,TEXAS,101020,96642,93889,91289,941,942,1015,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen Park,Cities,MICHIGAN,27284,27422,27549,27601,27941,28189,24833,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allendale,Cities,NEW JERSEY,3064,3133,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allenhurst,Cities,NEW JERSEY,490,487,492,493,499,498,699,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,DNR,0,0,0
Allentown,Cities,NEW JERSEY,120615,119335,1812,119277,1840,118408,108473,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0
Alliance,Cities,OHIO,22012,22023,22191,8510,22293,8567,8005,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alma,Cities,ARKANSAS,742,745,758,759,401,403,355,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almont,Cities,MICHIGAN,2734,2700,2668,2678,2669,2672,2691,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alorton,Cities,ILLINOIS,No Data,No Data,No Data,No Data,No Data,No Data,2500,,,,,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Alpena,Cities,MICHIGAN,No Data,No Data,No Data, Nan,No Data,No Data,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpha,Cities,NEW JERSEY,2291,2298,2316,2314,2374,2377,2382,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpharetta,Cities,GEORGIA,64943,64419,63478,63442,60031,58309,50392,,,,,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpine,Nonmetropolitan Counties,CALIFORNIA,5939,5953,6058,5985,"6,091",835,882,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alsip,Cities,Illinois,19357,19462,19493,19461,19371,19335,No Data,,,,,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alstead,Cities,NEW HAMPSHIRE,1911,1924,1930,1938,1936,1940,2090,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
