state,agencyType,agencyName,quarter01,quarter02,quarter03,quarter04,population
Washington,Cities,Aberdeen,1,1,0,0,"17,000"
New Jersey,Cities,Aberdeen Township,0,0,1,0,"18,319"
Pennsylvania,Cities,Abington Township: Montgomery County,2,0,0,0,"55,731"
Massachusetts,Cities,Acton,1,1,0,1,"22,349"
California,Cities,Adelanto,0,0,1,0,"32,520"
Michigan,Cities,Adrian,1,2,1,1,"21,060"
California,Cities,Agoura Hills,0,1,3,0,"20,667"
Ohio,Cities,Akron,0,2,4,1,"198,390"
New York,Cities,Albany,1,,,1,"98,187"
Tennessee,Cities,Alcoa,0,0,0,1,"8,587"
Illinois,Cities,Algonquin,0,1,0,0,"30,159"
California,Cities,Aliso Viejo,0,0,1,0,"48,999"
Michigan,Cities,Allegan,0,0,1,0,"4,994"
Texas,Cities,Allen,0,1,0,0,"88,783"
New Jersey,Cities,Allendale,0,0,0,1,"6,580"
Michigan,Cities,Alma,0,0,1,0,"9,319"
Michigan,Cities,Alpena,2,0,0,0,"10,418"
Illinois,Cities,Altamont,1,0,0,0,"2,323"
Texas,Cities,Amarillo,1,0,0,0,"196,576"
Massachusetts,Cities,Amesbury,0,0,0,1,"16,557"
Massachusetts,Cities,Amherst,0,1,1,0,"38,112"
New York,Cities,Amherst Town,1,2,1,0,"117,591"
Washington,Cities,Anacortes,0,0,0,1,"16,097"
California,Cities,Anaheim,0,0,0,1,"344,526"
Alaska,Cities,Anchorage,0,4,1,1,"299,143"
Kentucky,Cities,Anchorage,2,0,0,0,"2,372"
South Carolina,Cities,Anderson,0,0,7,0,"27,127"
Massachusetts,Cities,Andover,1,0,0,0,"33,753"
Michigan,Cities,Ann Arbor,1,5,3,1,"115,008"
California,Cities,Antioch,0,2,1,1,"105,009"
Arizona,Cities,Apache Junction,0,0,1,0,"36,986"
Florida,Cities,Apopka,1,0,0,0,"43,046"
California,Cities,Apple Valley,0,0,0,2,"70,823"
Wisconsin,Cities,Appleton,1,3,4,0,"73,431"
California,Cities,Arcata,0,1,0,0,"17,408"
Tennessee,Cities,Ardmore,1,0,0,0,"1,219"
Texas,Cities,Arlington,0,2,0,0,"379,295"
North Carolina,Cities,Asheville,1,3,2,2,"85,295"
Oregon,Cities,Ashland,0,1,0,0,"20,376"
Colorado,Cities,Aspen,0,0,1,0,"6,734"
California,Cities,Atascadero,0,1,0,0,"28,825"
Ohio,Cities,Athens,1,0,0,0,"23,834"
South Carolina,Cities,Atlantic Beach,0,1,0,,346
Tennessee,Cities,Atoka,0,0,0,1,"8,488"
Massachusetts,Cities,Attleboro,0,0,1,0,"44,033"
Maine,Cities,Auburn,0,2,0,0,"23,002"
New York,Cities,Auburn,0,2,2,0,"27,739"
Michigan,Cities,Auburn Hills,0,0,1,1,"21,559"
Maine,Cities,Augusta,0,0,1,1,"19,117"
Colorado,Cities,Aurora,1,0,1,1,"336,952"
Illinois,Cities,Aurora,0,1,0,0,"199,765"
Texas,Cities,Austin,2,0,0,4,"832,901"
Ohio,Cities,Austintown,0,0,4,3,"36,478"
Florida,Cities,Aventura,0,1,0,0,"37,110"
Pennsylvania,Cities,Avoca,0,0,1,1,"2,663"
California,Cities,Azusa,1,0,1,1,"47,111"
Maine,Cities,Baileyville,0,0,0,1,"1,511"
California,Cities,Bakersfield,0,0,3,1,"355,696"
Maryland,Cities,Baltimore,0,0,1,0,"625,474"
Maine,Cities,Bangor,0,0,3,3,"33,036"
Michigan,Cities,Bangor,0,0,0,1,"1,882"
Maine,Cities,Bar Harbor,0,1,0,0,"5,253"
Kentucky,Cities,Barbourville,0,1,0,0,"3,178"
Kentucky,Cities,Bardstown,2,0,1,4,"11,869"
New Jersey,Cities,Barnegat Township,1,2,1,0,"21,141"
Massachusetts,Cities,Barnstable,4,1,0,3,"45,570"
Rhode Island,Cities,Barrington,0,0,1,0,"16,268"
Florida,Cities,Bartow,0,0,1,0,"17,740"
Kansas,Cities,Basehor,1,0,0,0,"4,716"
Ohio,Cities,Bath Township: Summit County,0,1,0,0,"9,667"
Michigan,Cities,Battle Creek,1,1,0,0,"61,450"
Tennessee,Cities,Baxter,1,1,0,0,"1,388"
Michigan,Cities,Bay City,2,0,0,0,"34,742"
Texas,Cities,Bay City,0,0,1,0,"17,928"
New Jersey,Cities,Bayonne,0,0,1,0,"64,036"
Illinois,Cities,Beardstown,1,0,0,0,"6,099"
South Carolina,Cities,Beaufort,1,0,0,0,"12,653"
Ohio,Cities,Beavercreek,1,0,0,0,"45,563"
Oregon,Cities,Beaverton,3,,1,,"92,276"
West Virginia,Cities,Beckley,2,1,0,1,"17,675"
Massachusetts,Cities,Bedford,0,1,0,0,"13,575"
Texas,Cities,Bedford,0,1,0,0,"48,763"
New Jersey,Cities,Bedminster Township,0,1,0,0,"8,242"
Massachusetts,Cities,Belchertown,0,1,0,0,"14,751"
Idaho,Cities,Bellevue,1,0,0,0,"2,283"
Kentucky,Cities,Bellevue,0,1,1,0,"6,011"
Washington,Cities,Bellevue,1,1,1,0,"126,022"
California,Cities,Bellflower,0,0,0,1,"77,886"
Washington,Cities,Bellingham,2,2,5,1,"82,665"
Tennessee,Cities,Bells,0,1,0,0,"2,452"
Illinois,Cities,Bellwood,0,0,0,1,"19,165"
New Jersey,Cities,Belmar,0,0,1,0,"5,829"
Massachusetts,Cities,Belmont,0,2,0,0,"25,209"
New Hampshire,Cities,Belmont,0,0,0,1,"7,385"
Kansas,Cities,Beloit,1,0,0,0,"3,808"
Missouri,Cities,Belton,0,1,0,0,"23,295"
Minnesota,Cities,Bemidji,1,,,,"13,745"
Oregon,Cities,Bend,2,2,1,1,"78,458"
California,Cities,Benicia,1,0,0,0,"27,459"
South Carolina,Cities,Bennettsville,0,1,0,0,"9,034"
Arkansas,Cities,Benton,0,0,1,0,"31,486"
Michigan,Cities,Benton Township,1,0,0,1,"14,771"
Arkansas,Cities,Bentonville,2,0,0,0,"36,433"
Kentucky,Cities,Berea,0,0,1,0,"13,798"
New Jersey,Cities,Bergenfield,0,0,0,1,"27,072"
California,Cities,Berkeley,1,1,5,1,"114,961"
Michigan,Cities,Berkley,0,0,1,1,"15,078"
Connecticut,Cities,Berlin,0,1,0,0,"19,935"
New Jersey,Cities,Bernards Township,0,1,0,1,"26,903"
Michigan,Cities,Berrien Springs-Oronoko Township,0,0,0,2,"9,206"
Colorado,Cities,Berthoud,1,0,0,0,"5,278"
Iowa,Cities,Bettendorf,0,1,0,0,"33,729"
North Dakota,Cities,Beulah,0,0,1,0,"3,202"
Massachusetts,Cities,Beverly,1,1,0,0,"40,150"
California,Cities,Beverly Hills,0,2,2,1,"34,677"
