state,agencyType,agencyName,quarter01,quarter02,quarter03,quarter04,population
Alabama,Cities,Birmingham,3,2,2,2,"212,549"
Alabama,Cities,Florence,0,0,1,0,"40,160"
Alabama,Cities,Foley,0,1,0,0,"17,639"
Alabama,Cities,Hoover,1,0,1,1,"85,601"
Alaska,Cities,Anchorage,1,0,2,1,"299,097"
Alaska,Cities,Juneau,1,1,3,1,"32,964"
Alaska,Cities,Wasilla,1,0,0,0,"9,585"
Arizona,Cities,Apache Junction,1,0,1,0,"38,506"
Arizona,Cities,Chandler,1,0,1,2,"265,922"
Arizona,Cities,Gilbert,1,0,0,0,"255,899"
Arizona,Cities,Glendale,0,1,0,0,"242,938"
Arizona,Cities,Mesa,3,0,0,2,"478,277"
Arizona,Cities,Phoenix2,34,39,45,56,"1,586,611"
Arizona,Cities,Prescott Valley,1,1,,,"42,900"
Arizona,Cities,Sahuarita,0,0,0,1,"25,792"
Arizona,Cities,Scottsdale,0,,2,2,"240,885"
Arizona,Cities,St. Johns,1,0,0,0,"3,482"
Arizona,Cities,Tempe,1,0,0,0,"178,654"
Arizona,Cities,Tucson,2,1,1,1,"533,663"
Arizona,Cities,Williams,0,1,0,0,"3,140"
Arizona,Cities,Yuma,1,1,2,0,"94,696"
Arkansas,Cities,Fort Smith,2,0,0,2,"88,573"
Arkansas,Cities,Jacksonville,0,0,0,2,"28,684"
Arkansas,Cities,Little Rock,0,1,0,0,"198,800"
California,Cities,Adelanto,0,1,1,0,"33,479"
California,Cities,Alameda,0,1,0,2,"79,597"
California,Cities,Alhambra,0,0,0,1,"86,035"
California,Cities,Anaheim,1,0,0,0,"353,504"
California,Cities,Antioch,0,0,2,0,"112,090"
California,Cities,Arcata,0,0,1,1,"17,913"
California,Cities,Azusa,2,0,0,0,"50,393"
California,Cities,Bakersfield,0,3,2,3,"378,788"
California,Cities,Baldwin Park,1,0,0,0,"77,400"
California,Cities,Bellflower,1,0,0,0,"78,806"
California,Cities,Berkeley,5,3,2,3,"122,651"
California,Cities,Beverly Hills,0,0,1,0,"35,018"
California,Cities,Brea,0,1,0,0,"42,465"
California,Cities,Buena Park,0,0,2,1,"83,768"
California,Cities,Burbank,0,0,1,0,"105,720"
California,Cities,Calabasas,1,0,2,0,"24,492"
California,Cities,Camarillo,0,1,0,0,"68,072"
California,Cities,Campbell,0,1,0,0,"41,457"
California,Cities,Capitola,0,0,0,1,"10,241"
California,Cities,Central Marin,0,1,1,0,"35,265"
California,Cities,Cerritos,0,0,1,0,"50,159"
California,Cities,Chico,0,1,0,2,"91,122"
California,Cities,Chino,0,1,1,1,"87,081"
California,Cities,Chino Hills,1,0,0,0,"78,990"
California,Cities,Chula Vista,1,1,3,0,"270,175"
California,Cities,Citrus Heights,1,0,0,1,"87,811"
California,Cities,Claremont,1,0,1,7,"36,553"
California,Cities,Clayton,0,2,0,0,"12,057"
California,Cities,Clearlake,0,0,0,1,"15,165"
California,Cities,Clovis,0,0,1,0,"105,865"
California,Cities,Coalinga,1,0,0,0,"16,282"
California,Cities,Compton,0,0,1,0,"98,861"
California,Cities,Concord,1,0,0,2,"129,903"
California,Cities,Culver City,0,1,0,0,"39,880"
California,Cities,Cupertino,0,0,3,0,"60,948"
California,Cities,Danville,1,0,0,0,"44,897"
California,Cities,Davis,2,0,1,5,"68,087"
California,Cities,Desert Hot Springs,0,1,0,0,"28,573"
California,Cities,Downey,0,1,0,0,"114,704"
California,Cities,East Palo Alto,0,0,0,1,"29,957"
California,Cities,Eastvale,0,1,0,0,"60,115"
California,Cities,Elk Grove,1,0,0,0,"169,742"
California,Cities,El Segundo,1,0,1,0,"17,113"
California,Cities,Encinitas,0,0,0,1,"63,597"
California,Cities,Escondido,0,1,0,0,"152,897"
California,Cities,Fairfield,2,0,1,0,"114,521"
California,Cities,Farmersville,0,0,1,0,"10,812"
California,Cities,Folsom,0,1,0,0,"77,245"
California,Cities,Fort Bragg,0,2,1,0,"7,292"
California,Cities,Fremont,1,0,0,0,"235,881"
California,Cities,Fresno,3,3,4,3,"524,796"
California,Cities,Fullerton,1,0,0,1,"141,968"
California,Cities,Garden Grove,1,0,0,1,"176,230"
California,Cities,Glendale,0,1,0,1,"202,903"
California,Cities,Hanford,0,1,0,0,"55,973"
California,Cities,Hawaiian Gardens,0,1,0,0,"14,654"
California,Cities,Hawthorne,0,0,0,1,"89,299"
California,Cities,Hayward,0,0,1,1,"161,122"
California,Cities,Highland,0,0,1,0,"55,184"
California,Cities,Hollister,0,0,1,0,"37,953"
California,Cities,Huntington Beach,1,1,3,1,"204,071"
California,Cities,Huntington Park,1,0,0,0,"59,692"
California,Cities,Irvine,1,0,0,1,"266,663"
California,Cities,Jurupa Valley,0,1,0,0,"101,316"
California,Cities,Kingsburg,1,0,0,0,"11,905"
California,Cities,Laguna Beach,0,0,0,1,"23,486"
California,Cities,La Habra,0,1,0,0,"62,483"
California,Cities,Lake Elsinore,1,1,0,0,"63,907"
California,Cities,Lakewood,2,0,1,1,"81,921"
California,Cities,La Mesa,0,0,1,2,"60,681"
California,Cities,La Mirada,0,2,0,0,"49,715"
California,Cities,Lancaster,1,4,1,2,"161,963"
