state,agencyType,agencyName,quarter01,quarter02,quarter03,quarter04,population
Alabama,Cities,Ashland,0,0,0,0,1974
Alabama,Cities,Auburn,0,0,0,0,63871
Alabama,Cities,Demopolis,0,0,0,0,7089
Alabama,Cities,Enterprise,0,0,,,28227
Alabama,Cities,Eutaw,0,0,0,0,2736
Alabama,Cities,Fairhope,0,0,0,0,19470
Alabama,Cities,Gadsden,0,0,0,0,35927
Alabama,Cities,Guntersville,0,0,0,0,8421
Alabama,Cities,Jasper,0,0,0,0,14009
Alabama,Cities,Lineville,0,0,0,0,2306
Alabama,Cities,Midland City,0,0,0,0,2426
Alabama,Cities,Mobile,0,0,0,0,249921
Alabama,Cities,Opp,0,0,0,0,6657
Alabama,Cities,Pelham,0,0,0,0,23162
Alabama,Cities,Prattville,0,0,0,0,35698
Alabama,Cities,Rainbow City,0,0,0,0,9573
Alabama,Cities,Sardis City,0,0,0,0,1764
Alabama,Cities,Springville,0,0,0,0,4221
Alabama,Cities,Summerdale,0,0,0,0,1181
Alabama,Cities,Taylor,0,0,0,0,2407
Alabama,Cities,Trussville,0,0,,0,21229
Alabama,Cities,Tuscaloosa,0,0,0,0,99925
Alaska,Cities,Bethel,0,0,0,0,6522
Alaska,Cities,Bristol Bay Borough,0,0,0,0,870
Alaska,Cities,Cordova,0,0,0,0,2186
Alaska,Cities,Craig,0,0,0,0,1256
Alaska,Cities,Dillingham,0,0,0,0,2419
Alaska,Cities,Fairbanks,0,0,0,0,32456
Alaska,Cities,Haines,0,0,0,0,2535
Alaska,Cities,Homer,0,0,0,0,5613
Alaska,Cities,Kenai,0,0,0,0,7770
Alaska,Cities,Ketchikan,0,0,0,0,8221
Alaska,Cities,Kodiak,0,0,0,0,6274
Alaska,Cities,Kotzebue,0,0,0,0,3290
Alaska,Cities,Nome,0,0,0,0,3846
Alaska,Cities,North Pole,0,0,0,0,2201
Alaska,Cities,North Slope Borough,0,0,0,0,9710
Alaska,Cities,Palmer,0,0,0,0,6959
Alaska,Cities,Petersburg,0,0,0,0,3162
Alaska,Cities,Seward,0,0,0,0,2813
Alaska,Cities,Sitka,0,0,0,0,8836
Alaska,Cities,Skagway,0,0,0,0,1075
Alaska,Cities,Soldotna,0,0,0,0,4619
Alaska,Cities,Unalaska,0,0,0,0,4517
Alaska,Cities,Valdez,0,0,0,0,3847
Alaska,Cities,Wrangell,0,0,0,0,2380
Arizona,Cities,Avondale,0,0,0,0,81605
Arizona,Cities,Bisbee,0,0,0,0,5132
Arizona,Cities,Camp Verde,0,0,,0,11213
Arizona,Cities,Casa Grande,0,0,0,0,51995
Arizona,Cities,Chino Valley,0,0,0,0,11202
Arizona,Cities,Clarkdale,,0,0,0,4271
Arizona,Cities,Clifton,0,0,0,0,3774
Arizona,Cities,Coolidge,0,0,0,,12387
Arizona,Cities,Cottonwood,0,0,0,0,11932
Arizona,Cities,Eagar,0,0,0,0,4863
Arizona,Cities,El Mirage,0,0,0,0,34376
Arizona,Cities,Eloy,0,,,,17110
Arizona,Cities,Flagstaff,0,0,0,0,71179
Arizona,Cities,Florence,0,0,0,0,31130
Arizona,Cities,Globe,0,0,0,0,7366
Arizona,Cities,Goodyear,0,0,0,0,82018
Arizona,Cities,Jerome,0,0,0,0,458
Arizona,Cities,Kearny,0,0,0,0,2055
Arizona,Cities,Kingman,0,0,0,0,29069
Arizona,Cities,Lake Havasu City,0,0,0,,53746
Arizona,Cities,Marana,0,0,0,0,42808
Arizona,Cities,Miami,0,0,,,1776
Arizona,Cities,Nogales,0,0,0,0,20143
Arizona,Cities,Oro Valley,0,0,0,0,44089
Arizona,Cities,Page,0,0,0,0,7516
Arizona,Cities,Paradise Valley,0,0,0,0,14155
Arizona,Cities,Patagonia,0,0,0,0,886
Arizona,Cities,Payson,0,0,0,0,15351
Arizona,Cities,Peoria,0,0,,,174797
Arizona,Cities,Pinetop-Lakeside,0,0,0,0,4354
Arizona,Cities,Prescott,0,0,0,0,42321
Arizona,Cities,San Luis,0,0,0,0,32227
Arizona,Cities,Sedona,,0,0,,10457
Arizona,Cities,Show Low,0,0,0,0,10892
Arizona,Cities,Sierra Vista,0,0,0,0,42988
Arizona,Cities,Snowflake-Taylor,0,0,0,0,9835
Arizona,Cities,Somerton,0,0,0,0,15196
Arizona,Cities,Springerville,0,0,0,0,1952
Arizona,Cities,Surprise,0,0,0,0,130679
Arizona,Cities,Thatcher,0,0,0,0,5019
Arizona,Cities,Wellton,0,0,0,0,2944
Arizona,Cities,Wickenburg,0,0,0,,6835
Arizona,Cities,Willcox,0,0,0,0,3511
Arizona,Cities,Winslow,0,0,0,0,9581
Arkansas,Cities,Alexander,0,0,0,0,2841
Arkansas,Cities,Alma,0,0,0,0,5595
Arkansas,Cities,Altus,0,0,0,0,725
Arkansas,Cities,Amity,0,0,0,0,698
Arkansas,Cities,Arkadelphia,0,0,0,0,10755
Arkansas,Cities,Ashdown,0,0,0,0,4434
Arkansas,Cities,Ash Flat,0,0,0,0,1060
Arkansas,Cities,Atkins,0,0,0,0,3056
Arkansas,Cities,Augusta,0,0,0,0,2024
Arkansas,Cities,Austin,0,0,0,0,3723
Arkansas,Cities,Bald Knob,0,0,0,0,2910
Arkansas,Cities,Barling,0,0,0,0,4748
Arkansas,Cities,Batesville,0,0,0,0,10732
Arkansas,Cities,Bay,0,0,0,0,1815
Arkansas,Cities,Bearden,0,0,0,0,884
Arkansas,Cities,Beebe,0,0,0,0,8269
Arkansas,Cities,Bella Vista,0,0,0,0,28274
Arkansas,Cities,Benton,0,0,0,0,34920
Arkansas,Cities,Bentonville,0,0,0,0,46458
Arkansas,Cities,Berryville,0,0,0,0,5386
Arkansas,Cities,Bethel Heights,0,0,0,0,2512
Arkansas,Cities,Black Rock,0,0,0,0,618
Arkansas,Cities,Blytheville,0,0,0,0,14523
Arkansas,Cities,Bono,0,0,0,0,2257
Arkansas,Cities,Booneville,0,0,0,0,3872
Arkansas,Cities,Bradford,0,0,0,0,760
Arkansas,Cities,Brinkley,0,0,0,0,2837
Arkansas,Cities,Brookland,0,0,0,0,3245
Arkansas,Cities,Bryant,0,0,0,0,20687
Arkansas,Cities,Bull Shoals,0,0,0,0,1929
Arkansas,Cities,Cabot,0,0,0,0,25927
Arkansas,Cities,Caddo Valley,0,0,0,0,602
Arkansas,Cities,Camden,0,0,0,0,11191
Arkansas,Cities,Cammack Village,0,0,0,0,744
Arkansas,Cities,Caraway,0,0,0,0,1268
Arkansas,Cities,Carlisle,0,0,0,0,2176
Arkansas,Cities,Cave Springs,0,0,0,0,3369
