state,agencyType,agencyName,quarter01,quarter02,quarter03,quarter04,population
Alabama,Cities,Abbeville,1,1,,,"2,701"
Alabama,Cities,Adamsville,1,,,1,"4,544"
Alabama,Cities,Alabaster,1,,,,"30,498"
Alabama,Cities,Centre,,,,1,"3,506"
Alabama,Cities,Clanton,1,,1,,"8,660"
Alabama,Cities,Decatur,,1,2,,"55,951"
Alabama,Cities,Douglas,,1,,,748
Alabama,Cities,Elba,,,1,,"3,959"
Alabama,Cities,Enterprise,0,0,1,1,"26,690"
Alabama,Cities,Foley,0,2,0,0,"14,688"
Alabama,Cities,Fort Payne,2,,,,"14,079"
Alabama,Cities,Fultondale,,,,1,"8,420"
Alabama,Cities,Fyffe,2,,,,"1,023"
Alabama,Cities,Greenville,,,,1,"8,174"
Alabama,Cities,Guntersville,0,1,1,,"8,236"
Alabama,Cities,Haleyville,1,,,,"4,193"
Alabama,Cities,Heflin,1,,,,"3,497"
Alabama,Cities,Hoover,0,0,1,1,"82,012"
Alabama,Cities,Hueytown,,,,1,"16,183"
Alabama,Cities,Irondale,,2,,,"12,408"
Alabama,Cities,Jackson,,,,1,"5,253"
Alabama,Cities,Jacksonville,,,,1,"12,608"
Alabama,Cities,Jasper,,0,1,1,"14,421"
Alabama,Cities,Lincoln,,1,1,,"6,296"
Alabama,Cities,Montgomery,1,,,,"206,754"
Alabama,Cities,Mount Vernon,,,,1,"1,582"
Alabama,Cities,Orange Beach,,1,2,,"5,467"
Alabama,Cities,Oxford,1,3,,1,"21,451"
Alabama,Cities,Ozark,0,,,1,"14,979"
Alabama,Cities,Parrish,,,1,,987
Alabama,Cities,Pelham,0,0,0,1,"21,455"
Alabama,Cities,Phenix City,1,,,,"32,980"
Alabama,Cities,Piedmont,1,,,,"4,901"
Alabama,Cities,Prattville,0,1,,,"34,123"
Alabama,Cities,Roanoke,1,1,1,1,"6,103"
Alabama,Cities,Saraland,1,1,,,"13,470"
Alabama,Cities,Sheffield,0,1,,,"9,083"
Alabama,Cities,Sylacauga,0,0,2,0,"12,810"
Alabama,Cities,Town Creek,0,1,,,"1,105"
Alabama,Cities,Tuscaloosa,1,,2,0,"90,903"
Alabama,Cities,Tuscumbia,,,,1,"8,464"
Alabama,Cities,Weaver,,,1,,"3,053"
Alaska,Cities,Anchorage,1,1,5,1,"296,955"
Arizona,Cities,Apache Junction,0,1,0,1,"36,347"
Arizona,Cities,Avondale,0,1,1,0,"77,317"
Arizona,Cities,Buckeye,0,3,1,0,"51,596"
Arizona,Cities,Camp Verde,0,0,1,0,"11,027"
Arizona,Cities,Chandler,1,0,0,0,"239,466"
Arizona,Cities,Coolidge,0,1,0,0,"11,992"
Arizona,Cities,Gilbert,2,0,0,0,"211,404"
Arizona,Cities,Glendale,4,0,2,3,"229,931"
Arizona,Cities,Maricopa,0,0,0,2,"44,098"
Arizona,Cities,Mesa,2,3,1,2,"445,256"
Arizona,Cities,Phoenix,27,33,35,28,"1,466,097"
Arizona,Cities,Prescott Valley,1,,0,0,"39,372"
Arizona,Cities,Scottsdale,0,1,2,2,"220,462"
Arizona,Cities,Somerton,1,0,0,0,"14,489"
