state,agencyType,agencyName,quarter01,quarter02,quarter03,quarter04,population,,,,
Arizona,Cities,Somerton,0,0,0,0,"15,014",,,,
Arizona,Cities,South Tucson,0,0,0,0,"5,694",,,,
Arizona,Cities,Springerville,0,0,0,0,"2,009",,,,
Arizona,Cities,Surprise,0,0,0,0,"122,497",,,,
Arizona,Cities,Thatcher,0,0,0,0,"4,999",,,,
Arizona,Cities,Wickenburg,0,0,0,0,"6,583",,,,
Arizona,Cities,Willcox,0,0,0,0,"3,678",,,,
Arizona,Cities,Williams,0,0,0,0,"3,019",,,,
Arizona,Cities,Winslow,0,0,0,0,"9,326",,,,
Arkansas,Cities,Alma,0,0,0,0,"5,484",,,,
Arkansas,Cities,Arkadelphia,0,0,0,0,"10,829",,,,
Arkansas,Cities,Arkansas City,0,0,0,0,346,,,,
Arkansas,Cities,Ashdown,0,0,0,0,"4,616",,,,
Arkansas,Cities,Ash Flat,0,0,0,0,"1,069",,,,
Arkansas,Cities,Atkins,0,0,0,0,"3,036",,,,
Arkansas,Cities,Augusta,0,,,,"2,149",,,,
Arkansas,Cities,Austin,0,0,0,0,"2,701",,,,
Arkansas,Cities,Bald Knob,0,0,0,0,"2,931",,,,
Arkansas,Cities,Barling,0,0,0,0,"4,733",,,,
Arkansas,Cities,Bay,0,0,0,0,"1,825",,,,
Arkansas,Cities,Bearden,0,0,0,0,930,,,,
Arkansas,Cities,Beebe,0,0,0,0,"7,744",,,,
Arkansas,Cities,Bella Vista,0,0,0,0,"27,606",,,,
Arkansas,Cities,Benton,0,0,0,0,"32,548",,,,
Arkansas,Cities,Blytheville,0,0,0,0,"15,220",,,,
Arkansas,Cities,Bono,0,0,0,0,"2,153",,,,
Arkansas,Cities,Booneville,0,0,0,0,"3,922",,,,
Arkansas,Cities,Bradford,0,0,0,0,768,,,,
Arkansas,Cities,Brinkley,0,0,0,0,"3,024",,,,
Arkansas,Cities,Brookland,0,0,0,0,"1,863",,,,
Arkansas,Cities,Bryant,0,0,0,0,"19,366",,,,
Arkansas,Cities,Bull Shoals,0,0,0,0,"1,975",,,,
Arkansas,Cities,Caddo Valley,0,0,0,0,622,,,,
Arkansas,Cities,Camden,0,0,0,0,"11,726",,,,
Arkansas,Cities,Cammack Village,0,0,0,0,760,,,,
Arkansas,Cities,Caraway,0,0,0,0,"1,279",,,,
Arkansas,Cities,Carlisle,0,0,0,0,"2,210",,,,
Arkansas,Cities,Cave City,0,0,0,0,"1,881",,,,
Arkansas,Cities,Cave Springs,0,0,0,0,"2,060",,,,
Arkansas,Cities,Centerton,0,0,0,0,"10,377",,,,
Arkansas,Cities,Charleston,0,0,0,0,"2,532",,,,
Arkansas,Cities,Cherokee Village,0,0,0,0,"4,613",,,,
Arkansas,Cities,Clarendon,0,0,0,0,"1,576",,,,
Arkansas,Cities,Clarksville,0,0,0,0,"9,319",,,,
Arkansas,Cities,Clinton,0,0,0,0,"2,561",,,,
Arkansas,Cities,Conway,0,0,0,0,"64,060",,,,
Arkansas,Cities,Corning,0,0,0,0,"3,254",,,,
Arkansas,Cities,Cotter,0,0,0,0,954,,,,
Arkansas,Cities,Crossett,0,0,0,0,"5,383",,,,
Arkansas,Cities,Danville,0,0,0,0,"2,370",,,,
Arkansas,Cities,Dardanelle,0,0,0,0,"4,672",,,,
Arkansas,Cities,Decatur,0,0,0,0,"1,766",,,,
Arkansas,Cities,De Queen,0,0,0,0,"6,636",,,,
Arkansas,Cities,Dermott,0,0,0,0,"2,775",,,,
Arkansas,Cities,Des Arc,0,0,0,0,"1,657",,,,
Arkansas,Cities,De Valls Bluff,0,0,0,0,591,,,,
Arkansas,Cities,De Witt,0,0,0,0,"3,259",,,,
Arkansas,Cities,Diaz,0,0,0,0,"1,274",,,,
Arkansas,Cities,Dierks,,,0,0,"1,126",,,,
Arkansas,Cities,Dover,0,0,0,0,"1,393",,,,
Arkansas,Cities,Dumas,0,0,0,0,"4,481",,,,
Arkansas,Cities,Dyer,0,0,0,0,867,,,,
Arkansas,Cities,Earle,0,0,0,0,"2,342",,,,
Arkansas,Cities,El Dorado,0,0,0,0,"18,375",,,,
Arkansas,Cities,Elkins,0,0,0,,"2,794",,,,
Arkansas,Cities,Etowah,0,0,0,0,342,,,,
Arkansas,Cities,Eudora,0,0,0,0,"2,169",,,,
Arkansas,Cities,Eureka Springs,0,0,,,"2,075",,,,
Arkansas,Cities,Farmington,0,0,0,0,"6,230",,,,
Arkansas,Cities,Fayetteville,0,0,0,0,"77,900",,,,
Arkansas,Cities,Flippin,0,0,0,0,"1,343",,,,
Arkansas,Cities,Fordyce,0,0,0,0,"4,218",,,,
Arkansas,Cities,Forrest City,0,0,0,0,"15,184",,,,
Arkansas,Cities,Gassville,0,0,0,0,"2,048",,,,
Arkansas,Cities,Gentry,0,0,0,0,"3,341",,,,
Arkansas,Cities,Glenwood,0,0,0,0,"2,218",,,,
Arkansas,Cities,Gosnell,0,0,0,0,"3,455",,,,
Arkansas,Cities,Gravette,0,0,0,0,"2,409",,,,
Arkansas,Cities,Greenbrier,0,0,0,0,"5,082",,,,
Arkansas,Cities,Green Forest,0,0,0,0,"2,768",,,,
Arkansas,Cities,Greenland,0,0,0,0,"1,312",,,,
Arkansas,Cities,Greenwood,0,0,0,0,"9,223",,,,
Arkansas,Cities,Greers Ferry,0,0,0,0,881,,,,
Arkansas,Cities,Guy,0,0,0,0,724,,,,
Arkansas,Cities,Hamburg,0,0,0,0,"2,828",,,,
Arkansas,Cities,Hampton,0,0,0,0,"1,306",,,,
Arkansas,Cities,Hardy,0,0,0,0,763,,,,
Arkansas,Cities,Harrisburg,0,0,0,0,"2,317",,,,
Arkansas,Cities,Harrison,0,0,0,0,"13,234",,,,
Arkansas,Cities,Heber Springs,0,0,0,0,"7,146",,,,
Arkansas,Cities,Helena-West Helena,0,0,0,0,"11,591",,,,
Arkansas,Cities,Highfill,0,0,0,0,620,,,,
Arkansas,Cities,Highland,0,0,0,0,"1,031",,,,
Arkansas,Cities,Hope,0,0,0,0,"10,020",,,,
Arkansas,Cities,Horseshoe Bend,0,,,,"2,131",,,,
Arkansas,Cities,Hot Springs,0,0,0,0,"35,551",,,,
Arkansas,Cities,Hoxie,0,0,0,0,"2,690",,,,
Arkansas,Cities,Jacksonville,0,0,0,0,"28,739",,,,
Arkansas,Cities,Jonesboro,0,0,0,0,"71,114",,,,
Arkansas,Cities,Judsonia,0,,,0,"2,055",,,,
Arkansas,Cities,Keiser,0,,0,0,733,,,,
Arkansas,Cities,Kensett,0,0,0,0,"1,682",,,,
Arkansas,Cities,Lake City,0,0,0,0,"2,199",,,,
Arkansas,Cities,Lakeview,0,0,0,0,727,,,,
Arkansas,Cities,Lake Village,0,0,0,0,"2,482",,,,
Arkansas,Cities,Lamar,0,0,0,0,"1,678",,,,
Arkansas,Cities,Leachville,0,0,0,0,"1,941",,,,
Arkansas,Cities,Lepanto,0,0,0,0,"1,861",,,,
Arkansas,Cities,Lewisville,0,0,,,"1,244",,,,
Arkansas,Cities,Lincoln,0,0,0,0,"2,345",,,,
Arkansas,Cities,Little Flock,0,0,,0,"2,699",,,,
Arkansas,Cities,Little Rock,0,0,0,0,"197,399",,,,
Arkansas,Cities,Lonoke,0,0,0,0,"4,244",,,,
Arkansas,Cities,Lowell,0,0,0,0,"7,832",,,,
Arkansas,Cities,Luxora,0,0,0,0,"1,147",,,,
Arkansas,Cities,Madison,0,0,0,0,746,,,,
Arkansas,Cities,Magnolia,0,0,0,0,"11,682",,,,
Arkansas,Cities,Malvern,0,0,0,0,"10,981",,,,
Arkansas,Cities,Mammoth Spring,0,0,0,0,979,,,,
Arkansas,Cities,Marianna,0,0,0,0,"4,035",,,,
Arkansas,Cities,Marked Tree,0,,,,"2,526",,,,
Arkansas,Cities,Marmaduke,0,0,0,0,"1,147",,,,
Arkansas,Cities,Marvell,0,0,0,0,"1,112",,,,
Arkansas,Cities,Maumelle,0,0,0,0,"17,686",,,,
Arkansas,Cities,Mayflower,0,0,0,0,"2,336",,,,
Arkansas,Cities,McCrory,0,0,0,0,"1,673",,,,
Arkansas,Cities,McGehee,0,0,0,0,"4,024",,,,
Arkansas,Cities,McRae,0,0,0,0,691,,,,
Arkansas,Cities,Mena,0,0,0,0,"5,721",,,,
Arkansas,Cities,Menifee,,0,0,0,302,,,,
Arkansas,Cities,Mineral Springs,0,0,0,0,"1,200",,,,
Arkansas,Cities,Monette,0,0,0,0,"1,502",,,,
Arkansas,Cities,Monticello,0,0,0,0,"9,830",,,,
Arkansas,Cities,Morrilton,0,0,0,0,"6,789",,,,
Arkansas,Cities,Mountain Home,0,0,0,0,"12,246",,,,
Arkansas,Cities,Mountain View,0,0,0,0,"2,838",,,,
Arkansas,Cities,Mulberry,0,0,0,0,"1,634",,,,
Arkansas,Cities,Murfreesboro,0,0,0,0,"1,635",,,,
Arkansas,Cities,Nashville,0,0,0,0,"4,607",,,,
Arkansas,Cities,Newport,0,0,0,0,"7,658",,,,
Arkansas,Cities,Ola,0,0,0,0,"1,257",,,,
Arkansas,Cities,Osceola,0,0,0,0,"7,494",,,,
Arkansas,Cities,Ozark,0,0,0,0,"3,653",,,,
Arkansas,Cities,Pangburn,0,0,0,0,607,,,,
Arkansas,Cities,Paragould,0,0,0,0,"27,294",,,,
Arkansas,Cities,Paris,0,0,0,0,"3,457",,,,
Arkansas,Cities,Parkin,0,0,0,0,"1,079",,,,
Arkansas,Cities,Pea Ridge,0,0,0,0,"5,006",,,,
Arkansas,Cities,Perryville,0,0,0,0,"1,448",,,,
Arkansas,Cities,Piggott,0,0,0,0,"3,751",,,,
Arkansas,Cities,Plummerville,0,0,0,0,822,,,,
Arkansas,Cities,Pocahontas,0,0,0,0,"6,592",,,,
Arkansas,Cities,Pottsville,0,0,0,0,"3,064",,,,
Arkansas,Cities,Prairie Grove,0,0,0,0,"4,737",,,,
Arkansas,Cities,Quitman,0,0,0,0,752,,,,
Arkansas,Cities,Ravenden,0,0,0,0,454,,,,
Arkansas,Cities,Redfield,0,0,0,0,"1,428",,,,
Arkansas,Cities,Rison,0,0,0,0,"1,329",,,,
Arkansas,Cities,Rose Bud,0,0,0,0,487,,,,
Arkansas,Cities,Russellville,0,0,0,0,"28,760",,,,
Arkansas,Cities,Salem,0,0,0,0,"1,650",,,,
Arkansas,Cities,Sheridan,0,0,0,0,"4,834",,,,
Arkansas,Cities,Siloam Springs,0,0,0,0,"15,873",,,,
Arkansas,Cities,Springdale,0,0,0,0,"73,939",,,,
Arkansas,Cities,Stamps,0,0,0,0,"1,635",,,,
Arkansas,Cities,Star City,0,0,0,0,"2,206",,,,
Arkansas,Cities,Stuttgart,0,0,0,0,"9,263",,,,
Arkansas,Cities,Swifton,0,0,0,0,773,,,,
Arkansas,Cities,Texarkana,0,0,0,0,"30,074",,,,
Arkansas,Cities,Trumann,0,0,0,0,"7,163",,,,
Arkansas,Cities,Tuckerman,0,0,0,0,"1,798",,,,
Arkansas,Cities,Van Buren,0,0,0,0,"23,063",,,,
Arkansas,Cities,Vilonia,0,0,0,0,"4,202",,,,
Arkansas,Cities,Waldron,0,0,0,0,"3,516",,,,
Arkansas,Cities,Walnut Ridge,0,0,0,0,"4,714",,,,
Arkansas,Cities,Ward,0,0,0,0,"4,454",,,,
Arkansas,Cities,Warren,0,0,0,0,"5,947",,,,
Arkansas,Cities,Weiner,0,,,,699,,,,
Arkansas,Cities,West Fork,0,0,0,0,"2,426",,,,
Arkansas,Cities,West Memphis,0,0,0,0,"25,500",,,,
Arkansas,Cities,White Hall,0,0,0,0,"5,381",,,,
Arkansas,Cities,Wynne,0,0,0,0,"8,323",,,,
California,Cities,Albany,0,0,0,0,"19,104",,,,
California,Cities,Aliso Viejo,0,0,0,0,"50,005",,,,
California,Cities,Alturas,0,0,0,0,"2,681",,,,
California,Cities,American Canyon,0,0,0,0,"20,068",,,,
California,Cities,Anaheim,0,0,0,0,"345,320",,,,
California,Cities,Anderson,0,0,0,0,"10,098",,,,
California,Cities,Apple Valley,0,0,0,0,"71,159",,,,
California,Cities,Arcata,0,0,0,0,"17,805",,,,
California,Cities,Arroyo Grande,0,0,0,0,"17,634",,,,
California,Cities,Artesia,0,0,0,0,"16,734",,,,
California,Cities,Arvin,0,0,0,0,"20,390",,,,
California,Cities,Atherton,0,0,0,0,"7,278",,,,
California,Cities,Avalon,0,0,0,0,"3,777",,,,
California,Cities,Avenal,0,0,0,0,"14,712",,,,
California,Cities,Barstow,0,0,0,0,"23,144",,,,
California,Cities,Bear Valley,0,0,0,0,"5,328",,,,
California,Cities,Beaumont,0,0,0,0,"40,208",,,,
California,Cities,Bell,0,0,0,0,"35,928",,,,
California,Cities,Bellflower,0,0,0,0,"77,594",,,,
California,Cities,Bell Gardens,0,0,0,0,"42,980",,,,
California,Cities,Belmont,0,0,0,0,"26,697",,,,
California,Cities,Belvedere,0,0,0,0,"2,120",,,,
California,Cities,Benicia,0,0,0,0,"27,558",,,,
California,Cities,Big Bear Lake,0,0,0,0,"5,144",,,,
California,Cities,Biggs,0,0,0,0,"1,711",,,,
California,Cities,Bishop,0,0,0,0,"3,861",,,,
California,Cities,Blythe,0,0,0,0,"20,629",,,,
California,Cities,Bradbury,0,0,0,0,"1,080",,,,
California,Cities,Brawley,0,0,0,0,"25,753",,,,
California,Cities,Brea,0,0,0,0,"40,600",,,,
California,Cities,Brisbane,0,0,0,0,"4,429",,,,
California,Cities,Broadmoor,0,0,0,0,"4,301",,,,
California,Cities,Buellton,0,0,0,0,"4,927",,,,
California,Cities,Burlingame,0,0,0,0,"29,936",,,,
California,Cities,Calexico,0,0,0,0,"39,527",,,,
California,Cities,California City,0,0,0,0,"13,339",,,,
California,Cities,Calimesa,0,0,0,0,"8,118",,,,
California,Cities,Calistoga,0,0,0,0,"5,223",,,,
California,Cities,Canyon Lake,0,0,0,0,"10,944",,,,
California,Cities,Capitola,0,0,0,0,"10,038",,,,
California,Cities,Carmel,0,0,0,0,"3,833",,,,
California,Cities,Carpinteria,0,0,0,0,"13,287",,,,
California,Cities,Cathedral City,0,0,0,0,"53,064",,,,
California,Cities,Central Marin,0,0,0,0,"34,105",,,,
California,Cities,Ceres,0,0,0,0,"45,876",,,,
California,Cities,Chino Hills,0,0,0,0,"76,943",,,,
California,Cities,Chowchilla,0,0,0,0,"17,696",,,,
California,Cities,City of Angels,0,0,0,0,"3,729",,,,
California,Cities,Clayton,0,0,0,0,"11,439",,,,
California,Cities,Cloverdale,0,0,0,0,"8,718",,,,
California,Cities,Coachella,0,0,0,0,"43,330",,,,
California,Cities,Coalinga,0,0,0,0,"16,398",,,,
California,Cities,Colma,0,0,0,0,"1,481",,,,
California,Cities,Colusa,0,0,0,0,"5,957",,,,
California,Cities,Commerce,0,0,0,0,"12,995",,,,
California,Cities,Corning,0,0,0,0,"7,631",,,,
California,Cities,Cotati,0,0,0,0,"7,388",,,,
California,Cities,Crescent City,0,0,0,0,"7,333",,,,
California,Cities,Cudahy,0,0,0,0,"24,091",,,,
California,Cities,Culver City,0,0,0,0,"39,452",,,,
California,Cities,Danville,0,0,0,0,"43,411",,,,
California,Cities,Delano,0,0,0,0,"52,210",,,,
California,Cities,Del Mar,0,0,0,0,"4,290",,,,
California,Cities,Del Rey Oaks,0,0,0,0,"1,673",,,,
California,Cities,Desert Hot Springs,0,0,0,0,"27,936",,,,
California,Cities,Diamond Bar,0,0,0,0,"56,619",,,,
California,Cities,Dinuba,0,0,0,0,"23,440",,,,
California,Cities,Dixon,0,0,0,0,"18,743",,,,
California,Cities,Dorris,0,0,0,0,910,,,,
California,Cities,Dos Palos,0,0,0,0,"5,071",,,,
California,Cities,Downey,0,0,0,0,"113,222",,,,
California,Cities,Dublin,0,0,0,0,"49,789",,,,
California,Cities,Dunsmuir,0,0,0,0,"1,589",,,,
California,Cities,East Palo Alto,0,0,0,0,"29,086",,,,
California,Cities,Eastvale,0,0,0,0,"54,882",,,,
California,Cities,El Centro,0,0,0,0,"43,249",,,,
California,Cities,El Segundo,0,0,0,0,"16,911",,,,
California,Cities,Escalon,0,0,0,0,"7,304",,,,
California,Cities,Etna,0,0,0,0,721,,,,
California,Cities,Exeter,0,0,0,0,"10,506",,,,
California,Cities,Fairfax,0,0,0,0,"7,563",,,,
California,Cities,Farmersville,0,0,0,0,"10,786",,,,
California,Cities,Ferndale,0,0,0,0,"1,364",,,,
California,Cities,Fillmore,0,0,0,0,"15,206",,,,
California,Cities,Firebaugh,0,0,0,0,"8,062",,,,
California,Cities,Folsom,0,0,0,0,"73,782",,,,
California,Cities,Fort Bragg,0,0,0,0,"7,245",,,,
California,Cities,Fort Jones,0,0,0,0,823,,,,
California,Cities,Fortuna,0,0,0,0,"11,803",,,,
California,Cities,Fountain Valley,0,0,0,0,"56,805",,,,
California,Cities,Fowler,0,0,0,0,"6,038",,,,
California,Cities,Fremont,0,0,0,0,"224,475",,,,
California,Cities,Gardena,0,0,0,0,"59,703",,,,
California,Cities,Goleta,0,0,0,0,"30,401",,,,
California,Cities,Gonzales,0,0,0,0,"8,428",,,,
California,Cities,Grand Terrace,0,0,0,0,"12,364",,,,
California,Cities,Grass Valley,0,0,0,0,"12,792",,,,
California,Cities,Greenfield,0,0,0,0,"16,922",,,,
California,Cities,Grover Beach,0,0,0,0,"13,398",,,,
California,Cities,Guadalupe,0,0,0,0,"7,205",,,,
California,Cities,Gustine,0,0,0,0,"5,655",,,,
California,Cities,Hawthorne,0,0,0,0,"86,132",,,,
California,Cities,Hemet,0,0,0,0,"81,698",,,,
California,Cities,Hermosa Beach,0,0,0,0,"19,858",,,,
California,Cities,Hesperia,0,0,0,0,"92,621",,,,
California,Cities,Hidden Hills,0,0,0,0,"1,905",,,,
California,Cities,Highland,0,0,0,0,"54,462",,,,
California,Cities,Hillsborough,0,0,0,0,"11,245",,,,
California,Cities,Hollister,0,0,0,0,"36,414",,,,
California,Cities,Hughson,0,0,0,0,"6,898",,,,
California,Cities,Huntington Park,0,0,0,0,"58,852",,,,
California,Cities,Huron,0,0,0,0,"6,812",,,,
California,Cities,Imperial,0,0,0,0,"15,943",,,,
California,Cities,Indian Wells,0,0,0,0,"5,174",,,,
California,Cities,Indio,0,0,0,0,"80,243",,,,
California,Cities,Industry,0,0,0,0,223,,,,
California,Cities,Inglewood,0,0,0,0,"111,672",,,,
California,Cities,Ione,0,0,0,0,"7,160",,,,
California,Cities,Irwindale,0,0,0,0,"1,440",,,,
California,Cities,Isleton,0,0,0,0,817,,,,
California,Cities,Jackson,0,0,0,0,"4,549",,,,
California,Cities,Kensington,0,0,0,0,"5,230",,,,
California,Cities,Kerman,0,0,0,0,"14,543",,,,
California,Cities,King City,0,0,0,0,"13,260",,,,
California,Cities,Kingsburg,0,0,0,0,"11,651",,,,
California,Cities,La Canada Flintridge,0,0,0,0,"20,572",,,,
California,Cities,Lafayette,0,0,0,0,"24,829",,,,
California,Cities,Laguna Hills,0,0,0,0,"31,134",,,,
California,Cities,Laguna Niguel,0,0,0,0,"64,894",,,,
California,Cities,Laguna Woods,0,0,0,0,"16,584",,,,
California,Cities,La Habra Heights,0,0,0,0,"5,437",,,,
California,Cities,Lakeport,0,0,0,0,"4,674",,,,
California,Cities,Lake Shastina,0,0,0,0,"2,482",,,,
California,Cities,La Mesa,0,0,0,0,"58,482",,,,
California,Cities,La Palma,0,0,0,0,"15,950",,,,
California,Cities,La Puente,0,0,0,0,"40,415",,,,
California,Cities,La Verne,0,0,0,0,"31,439",,,,
California,Cities,Lawndale,0,0,0,0,"33,234",,,,
California,Cities,Lincoln,0,0,0,0,"44,831",,,,
California,Cities,Lindsay,0,0,0,0,"13,208",,,,
California,Cities,Livingston,0,0,0,0,"13,683",,,,
California,Cities,Loma Linda,0,0,0,0,"23,701",,,,
California,Cities,Lompoc,0,0,0,0,"43,581",,,,
California,Cities,Los Altos,0,0,0,0,"30,225",,,,
California,Cities,Los Altos Hills,0,0,0,0,"8,300",,,,
California,Cities,Los Banos,0,0,0,0,"36,965",,,,
California,Cities,Madera,0,0,0,0,"62,973",,,,
California,Cities,Mammoth Lakes,0,0,0,0,"8,258",,,,
California,Cities,Marina,0,0,0,0,"20,426",,,,
California,Cities,Martinez,0,0,0,0,"36,910",,,,
California,Cities,Marysville,0,0,0,0,"12,168",,,,
California,Cities,Maywood,0,0,0,0,"27,744",,,,
California,Cities,McFarland,0,0,0,0,"12,288",,,,
California,Cities,Mendota,0,0,0,0,"11,472",,,,
California,Cities,Menifee,0,0,0,0,"82,634",,,,
California,Cities,Menlo Park,0,0,0,0,"33,146",,,,
California,Cities,Merced,0,0,0,0,"81,329",,,,
California,Cities,Mill Valley,0,0,0,0,"14,239",,,,
California,Cities,Mission Viejo,0,0,0,0,"95,895",,,,
California,Cities,Monrovia,0,0,0,0,"37,071",,,,
California,Cities,Montague,0,0,0,0,"1,411",,,,
California,Cities,Montebello,0,0,0,0,"63,566",,,,
California,Cities,Monterey Park,0,0,0,0,"61,152",,,,
California,Cities,Monte Sereno,0,0,0,0,"3,491",,,,
California,Cities,Moorpark,0,0,0,0,"35,264",,,,
California,Cities,Moraga,0,0,0,0,"16,664",,,,
California,Cities,Morro Bay,0,0,0,0,"10,412",,,,
California,Cities,Mountain View,0,0,0,0,"77,399",,,,
California,Cities,Mount Shasta,0,0,0,0,"3,309",,,,
California,Cities,Napa,0,0,0,0,"78,761",,,,
California,Cities,Needles,0,0,0,0,"4,932",,,,
