state,agencyType,agencyName,quarter01,quarter02,quarter03,quarter04,population,year
Alabama,Cities,Abbeville,1,1,DNR,DNR,2701,2011
Alabama,Cities,Adamsville,1,DNR,DNR,1,4544,2011
Alabama,Cities,Alabaster,1,DNR,DNR,DNR,30498,2011
Alabama,Cities,Centre,DNR,DNR,DNR,1,3506,2011
Alabama,Cities,Clanton,1,DNR,1,DNR,8660,2011
Alabama,Cities,Decatur,DNR,1,2,DNR,55951,2011
Alabama,Cities,Douglas,DNR,1,DNR,DNR,748,2011
Alabama,Cities,Elba,DNR,DNR,1,DNR,3959,2011
Alabama,Cities,Enterprise,0,0,1,1,26690,2011
Alabama,Cities,Foley,0,2,0,0,14688,2011
Alabama,Cities,Fort Payne,2,DNR,DNR,DNR,14079,2011
Alabama,Cities,Fultondale,DNR,DNR,DNR,1,8420,2011
Alabama,Cities,Fyffe,2,DNR,DNR,DNR,1023,2011
Alabama,Cities,Greenville,DNR,DNR,DNR,1,8174,2011
Alabama,Cities,Guntersville,0,1,1,DNR,8236,2011
Alabama,Cities,Haleyville,1,DNR,DNR,DNR,4193,2011
Alabama,Cities,Heflin,1,DNR,DNR,DNR,3497,2011
Alabama,Cities,Hoover,0,0,1,1,82012,2011
Alabama,Cities,Hueytown,DNR,DNR,DNR,1,16183,2011
Alabama,Cities,Irondale,DNR,2,DNR,DNR,12408,2011
Alabama,Cities,Jackson,DNR,DNR,DNR,1,5253,2011
Alabama,Cities,Jacksonville,DNR,DNR,DNR,1,12608,2011
Alabama,Cities,Jasper,DNR,0,1,1,14421,2011
Alabama,Cities,Lincoln,DNR,1,1,DNR,6296,2011
Alabama,Cities,Montgomery,1,DNR,DNR,DNR,206754,2011
Alabama,Cities,Mount Vernon,DNR,DNR,DNR,1,1582,2011
Alabama,Cities,Orange Beach,DNR,1,2,DNR,5467,2011
Alabama,Cities,Oxford,1,3,DNR,1,21451,2011
Alabama,Cities,Ozark,0,DNR,DNR,1,14979,2011
Alabama,Cities,Parrish,DNR,DNR,1,DNR,987,2011
Alabama,Cities,Pelham,0,0,0,1,21455,2011
Alabama,Cities,Phenix City,1,DNR,DNR,DNR,32980,2011
Alabama,Cities,Piedmont,1,DNR,DNR,DNR,4901,2011
Alabama,Cities,Prattville,0,1,DNR,DNR,34123,2011
Alabama,Cities,Roanoke,1,1,1,1,6103,2011
Alabama,Cities,Saraland,1,1,DNR,DNR,13470,2011
Alabama,Cities,Sheffield,0,1,DNR,DNR,9083,2011
Alabama,Cities,Sylacauga,0,0,2,0,12810,2011
Alabama,Cities,Town Creek,0,1,DNR,DNR,1105,2011
Alabama,Cities,Tuscaloosa,1,DNR,2,0,90903,2011
Alabama,Cities,Tuscumbia,DNR,DNR,DNR,1,8464,2011
Alabama,Cities,Weaver,DNR,DNR,1,DNR,3053,2011
Alaska,Cities,Anchorage,1,1,5,1,296955,2011
Arizona,Cities,Apache Junction,0,1,0,1,36347,2011
Arizona,Cities,Avondale,0,1,1,0,77317,2011
