state,agencyType,agencyName,quarter01,quarter02,quarter03,quarter04,population,year
Alabama,Cities,Ashford,0,0,0,0,"2,164",2014
Alabama,Cities,Ashland,0,0,0,0,"1,967",2014
Alabama,Cities,Auburn,0,0,0,0,"59,854",2014
Alabama,Cities,Childersburg,0,0,0,0,"5,072",2014
Alabama,Cities,Demopolis,0,0,0,0,"7,161",2014
Alabama,Cities,Enterprise,0,0,0,0,"28,031",2014
Alabama,Cities,Eutaw,0,0,0,0,"2,845",2014
Alabama,Cities,Fairhope,0,0,0,0,"17,914",2014
Alabama,Cities,Florence,0,0,0,0,"40,236",2014
Alabama,Cities,Foley,0,0,0,0,"16,101",2014
Alabama,Cities,Gadsden,0,0,0,0,"36,455",2014
Alabama,Cities,Guntersville,0,0,0,0,"8,404",2014
Alabama,Cities,Irondale,0,0,0,0,"12,387",2014
Alabama,Cities,Jasper,0,0,0,0,"14,182",2014
Alabama,Cities,Lafayette,0,0,0,0,"2,999",2014
Alabama,Cities,Level Plains,0,,,,"2,033",2014
Alabama,Cities,Lineville,0,0,0,0,"2,304",2014
Alabama,Cities,Midland City,0,0,0,0,"2,429",2014
Alabama,Cities,Mobile,0,0,0,0,"250,655",2014
Alabama,Cities,Muscle Shoals,0,0,0,0,"13,584",2014
Alabama,Cities,Oneonta,0,0,0,0,"6,701",2014
Alabama,Cities,Opp,0,0,0,0,"6,699",2014
Alabama,Cities,Pelham,0,0,0,0,"22,501",2014
Alabama,Cities,Rainbow City,0,0,0,0,"9,668",2014
Alabama,Cities,Samson,0,,,,"1,922",2014
Alabama,Cities,Sardis City,0,0,0,0,"1,744",2014
Alabama,Cities,Springville,0,0,0,0,"4,230",2014
Alabama,Cities,Tarrant,0,0,0,0,"6,259",2014
Alabama,Cities,Taylor,0,0,0,0,"2,414",2014
Alabama,Cities,Trussville,0,0,0,0,"20,453",2014
Alaska,Cities,Bethel,0,0,0,0,"6,431",2014
Alaska,Cities,Bristol Bay Borough,0,0,0,0,945,2014
Alaska,Cities,Cordova,0,0,0,0,"2,293",2014
Alaska,Cities,Craig,0,0,0,0,"1,264",2014
Alaska,Cities,Dillingham,0,0,0,0,"2,416",2014
Alaska,Cities,Fairbanks,0,0,0,0,"32,477",2014
Alaska,Cities,Haines,0,0,0,0,"2,599",2014
Alaska,Cities,Homer,0,0,0,0,"5,378",2014
Alaska,Cities,Juneau,0,0,0,0,"32,988",2014
Alaska,Cities,Kenai,0,0,0,0,"7,533",2014
Alaska,Cities,Ketchikan,0,0,0,0,"8,246",2014
Alaska,Cities,Kodiak,0,0,0,0,"6,495",2014
Alaska,Cities,Kotzebue,0,0,0,0,"3,289",2014
Alaska,Cities,Nome,0,0,0,0,"3,844",2014
Alaska,Cities,North Pole,0,0,0,0,"2,235",2014
Alaska,Cities,North Slope Borough,0,0,0,0,"9,691",2014
Alaska,Cities,Palmer,0,0,0,0,"6,583",2014
Alaska,Cities,Petersburg,0,0,0,0,"2,912",2014
Alaska,Cities,Seward,0,0,0,0,"2,767",2014
Alaska,Cities,Sitka,0,0,0,0,"9,051",2014
Alaska,Cities,Skagway,0,0,0,0,998,2014
Alaska,Cities,Soldotna,0,0,0,0,"4,431",2014
Alaska,Cities,Unalaska,0,0,0,0,"4,308",2014
Alaska,Cities,Valdez,0,0,0,0,"4,032",2014
Alaska,Cities,Wasilla,0,0,0,0,"8,807",2014
Alaska,Cities,Wrangell,0,0,0,0,"2,409",2014
Arizona,Cities,Bisbee,0,0,0,0,"5,308",2014
