state,agencyType,agencyName,quarter01,quarter02,quarter03,quarter04,population,year
Alabama,Cities,Birmingham,1,1,1,2,"212,291",2015
Alabama,Cities,Hoover,0,3,1,0,"85,163",2015
Alabama,Cities,Prattville,0,1,,0,"35,637",2015
Alaska,Cities,Anchorage,1,1,2,1,"301,239",2015
Alaska,Cities,Kotzebue,0,1,0,0,"3,304",2015
Alaska,Cities,North Pole,0,1,0,0,"2,190",2015
Alaska,Cities,Soldotna,0,0,0,1,"4,512",2015
Arizona,Cities,Apache Junction,1,1,0,0,"38,519",2015
Arizona,Cities,Avondale,0,0,0,2,"80,533",2015
Arizona,Cities,Chandler,0,0,1,0,"258,875",2015
Arizona,Cities,El Mirage,0,1,0,0,"33,985",2015
Arizona,Cities,Gilbert,2,1,1,0,"247,324",2015
Arizona,Cities,Glendale,2,2,2,2,"240,374",2015
Arizona,Cities,Holbrook,0,1,0,0,"5,007",2015
Arizona,Cities,Mesa,1,0,1,2,"471,034",2015
Arizona,Cities,Nogales,0,0,0,1,"20,312",2015
Arizona,Cities,Phoenix,76,77,44,34,"1,559,744",2015
Arizona,Cities,Prescott,1,,0,0,"41,393",2015
Arizona,Cities,Scottsdale,2,0,1,0,"233,872",2015
Arizona,Cities,Tucson,2,0,1,1,"529,675",2015
Arizona,Cities,Williams,0,1,,,"3,110",2015
Arizona,Cities,Yuma,0,2,1,1,"93,923",2015
Arkansas,Cities,Bryant,1,0,0,0,"20,404",2015
Arkansas,Cities,Fort Smith,1,0,0,1,"87,603",2015
California,Cities,Alameda,1,0,1,0,"78,613",2015
California,Cities,Alhambra,0,0,1,0,"86,175",2015
California,Cities,Antioch,2,1,2,3,"110,537",2015
California,Cities,Azusa,0,2,1,0,"49,431",2015
California,Cities,Bakersfield,3,0,0,1,"373,887",2015
California,Cities,Banning,0,1,1,0,"31,030",2015
California,Cities,Bellflower,0,1,0,1,"78,635",2015
California,Cities,Bell Gardens,0,1,0,1,"43,411",2015
California,Cities,Berkeley,0,1,0,3,"120,387",2015
California,Cities,Beverly Hills,0,2,0,0,"35,054",2015
California,Cities,Brisbane,0,1,0,1,"4,696",2015
California,Cities,Buena Park,0,0,0,1,"83,684",2015
California,Cities,Burbank,0,1,0,0,"105,865",2015
California,Cities,Calabasas,0,0,1,0,"24,505",2015
California,Cities,Camarillo,0,1,0,0,"67,325",2015
California,Cities,Carmel,0,0,1,0,"3,913",2015
California,Cities,Carson,1,1,1,0,"93,677",2015
California,Cities,Chino Hills,0,0,0,1,"77,515",2015
California,Cities,Chula Vista,0,1,1,1,"265,215",2015
California,Cities,Citrus Heights,0,0,0,2,"86,853",2015
