Year,State,Agency type,Agency name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population2,,,,
,,Nonmetropolitan Counties,,,,,,,,,,
,,,Rutherford,0,2,1,1,,,,,
,,,Surry,0,0,0,1,,,,,
,,,Swain,0,0,0,1,,,,,
,North Dakota,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Beulah,1,0,0,0,3149,,,,
,,,Bismarck,3,0,2,1,65850,,,,
,,,Carrington,0,0,1,0,2108,,,,
,,,Devils Lake,0,0,0,1,7260,,,,
,,,Dickinson,0,0,1,0,20347,,,,
,,,Fargo,2,3,6,3,111101,,,,
,,,Mandan,0,0,1,1,19168,,,,
,,,Minot,0,0,1,0,44635,,,,
,,,Valley City,1,0,0,0,6580,,,,
,,,West Fargo,1,2,2,3,28018,,,,
,,,Williston,0,0,0,1,19949,,,,
,,Metropolitan Counties,,,,,,,,,,
,,,Cass,0,0,0,1,,,,,
,,,Grand Forks,0,1,0,1,,,,,
,,,Morton,0,1,1,0,,,,,
,,Nonmetropolitan Counties,,,,,,,,,,
,,,Dunn,0,0,1,0,,,,,
,,,Golden Valley,0,0,1,0,,,,,
,,,Grant,0,0,0,1,,,,,
,,,Mountrail,0,0,1,4,,,,,
,,,Walsh,0,0,1,0,,,,,
,Ohio,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Akron,3,3,2,0,198405,,,,
,,,Alliance,0,,1,,22144,,,,
,,,Ashland,1,0,0,0,20306,,,,
,,,Athens,1,0,0,0,23721,,,,
,,,Austintown,0,1,1,0,36192,,,,
,,,Barberton,0,2,1,1,26245,,,,
,,,"Bath Township, Summit County",0,0,1,0,9724,,,,
,,,Bellefontaine,0,1,1,0,13147,,,,
,,,Blue Ash,0,0,1,0,12105,,,,
,,,Boardman,0,1,0,0,40277,,,,
,,,Bucyrus,,0,0,1,12007,,,,
,,,Butler Township,1,0,0,0,7864,,,,
,,,Celina,1,1,0,0,10392,,,,
,,,Cincinnati,4,0,2,10,296491,,,,
,,,Circleville,0,1,0,1,13491,,,,
,,,Clearcreek Township,0,0,1,0,14642,,,,
,,,Cleveland,1,0,4,2,389181,,,,
,,,Colerain Township,0,0,1,1,58578,,,,
,,,Columbus,8,22,60,46,816364,,,,
,,,Dayton,2,3,1,2,141167,,,,
,,,East Liverpool,2,0,,,11010,,,,
,,,East Palestine,0,0,1,0,4631,,,,
,,,Eaton,0,0,0,1,8307,,,,
,,,Englewood,0,0,1,0,13455,,,,
,,,Fairborn,1,0,1,0,32820,,,,
,,,Fairfield,0,1,0,0,42677,,,,
,,,Findlay,0,1,0,1,41660,,,,
,,,Gahanna,0,0,0,2,34011,,,,
,,,Girard,0,0,1,0,9771,,,,
,,,Greenhills,2,0,0,0,3591,,,,
,,,Grove City,1,2,1,0,37208,,,,
,,,Hamilton,0,1,0,,62268,,,,
,,,Huber Heights,1,3,4,0,38118,,,,
,,,Hudson,1,0,1,0,22340,,,,
,,,"Jackson Township, Stark County",0,1,0,0,40436,,,,
,,,Kettering,0,1,0,0,55907,,,,
,,,Lancaster,0,0,0,1,38902,,,,
,,,Lorain,0,5,1,1,63582,,,,
,,,Mansfield,0,3,0,1,46832,,,,
,,,Medina,2,0,0,0,26492,,,,
,,,Mentor-on-the-Lake,0,0,2,0,7434,,,,
,,,"Miami Township, Montgomery County",0,2,0,0,29128,,,,
,,,Montgomery,0,1,1,0,10305,,,,
,,,Montpelier,0,0,0,1,4050,,,,
,,,Moraine,1,0,0,1,6317,,,,
,,,Mount Vernon,1,0,1,0,16748,,,,
,,,Napoleon,1,0,0,0,8663,,,,
,,,Nelsonville,0,0,1,0,5334,,,,
,,,Niles,0,0,1,0,18950,,,,
,,,North Baltimore,,1,0,0,3492,,,,
,,,North Canton,0,1,0,0,17380,,,,
,,,North College Hill,1,0,1,0,9340,,,,
,,,Norwalk,1,1,0,0,16906,,,,
,,,Norwood,0,1,1,1,19052,,,,
,,,Ottawa Hills,1,0,0,0,4481,,,,
,,,Parma,1,0,0,0,80303,,,,
,,,Portsmouth,1,1,0,0,20322,,,,
,,,Reynoldsburg,0,1,0,0,36472,,,,
,,,Richwood,0,1,0,0,2240,,,,
,,,Riverside,0,0,1,1,25115,,,,
,,,Solon,0,1,0,0,23105,,,,
,,,South Euclid,2,0,0,0,21929,,,,
,,,Springfield,0,1,3,0,60012,,,,
,,,"Springfield Township, Hamilton County",1,0,0,0,36330,,,,
,,,Struthers,0,2,0,1,10522,,,,
,,,Trotwood,0,2,0,0,24282,,,,
,,,Troy,0,1,0,0,25424,,,,
,,,Twinsburg,0,,1,1,18750,,,,
,,,"Union Township, Clermont County",1,0,0,0,47066,,,,
,,,Upper Arlington,0,0,1,2,34369,,,,
,,,Urbana,2,0,0,0,11599,,,,
,,,Vandalia,0,1,1,0,15181,,,,
,,,Wapakoneta,0,0,1,0,9812,,,,
,,,Warren,0,3,1,0,40474,,,,
,,,Warren Township,0,0,0,1,5450,,,,
,,,Wooster,1,1,0,0,26468,,,,
,,,Xenia,1,0,1,1,26038,,,,
,,,Youngstown,0,0,1,0,64938,,,,
,,,Zanesville,1,2,0,1,25378,,,,
,,Universities and Colleges,,,,,,,,,,
,,,Bowling Green State University,1,0,0,0,17286,,,,
,,,Capital University,0,0,0,3,3584,,,,
,,,Kent State University,0,0,1,0,28602,,,,
,,,"Ohio State University, Columbus",0,2,0,0,56387,,,,
,,Metropolitan Counties,,,,,,,,,,
,,,Butler,3,2,1,2,,,,,
,,,Clermont,0,1,0,0,,,,,
,,,Delaware,0,0,2,0,,,,,
,,,Franklin,1,0,1,0,,,,,
,,,Fulton,0,1,0,0,,,,,
,,,Geauga,0,1,0,0,,,,,
,,,Greene,1,2,0,0,,,,,
,,,Lorain,1,0,0,0,,,,,
,,,Lucas,1,0,0,1,,,,,
,,,Medina,0,0,,1,,,,,
,,,Montgomery,1,0,0,0,,,,,
,,,Pickaway,0,0,1,0,,,,,
,,,Richland,1,0,0,0,,,,,
,,,Stark,0,0,1,1,,,,,
,,,Trumbull,0,1,0,0,,,,,
,,Nonmetropolitan Counties,,,,,,,,,,
,,,Ashland,0,0,1,0,,,,,
,,,Athens,0,0,1,0,,,,,
,,,Auglaize,1,0,0,0,,,,,
,,,Hancock,0,1,0,0,,,,,
,,,Jackson,0,,2,0,,,,,
,,,Knox,0,2,0,1,,,,,
,,,Marion,1,0,0,1,,,,,
,,,Meigs,0,1,0,0,,,,,
,,,Ross,0,2,0,1,,,,,
,,,Shelby,0,0,0,2,,,,,
,,,Washington,1,0,0,0,,,,,
,,,Wayne,0,0,1,0,,,,,
,,Other Agencies,,,,,,,,,,
,,,Cleveland Metropolitan Park District,0,0,1,0,,,,,
,Oklahoma,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Altus,0,1,0,0,19634,,,,
,,,Bixby,0,1,0,0,23122,,,,
,,,Blanchard,1,0,0,0,8016,,,,
,,,Broken Arrow,0,0,1,0,102956,,,,
,,,Choctaw,1,0,0,0,11768,,,,
,,,Cleveland,0,1,0,0,3224,,,,
,,,Elk City,1,0,0,0,12463,,,,
,,,Fairfax,1,0,0,0,1373,,,,
,,,Heavener,0,0,1,0,3377,,,,
,,,Muskogee,1,1,1,0,38884,,,,
,,,Norman,2,0,1,1,116970,,,,
,,,Oklahoma City,3,4,3,2,605034,,,,
,,,Owasso,1,0,0,0,31973,,,,
,,,Sapulpa,0,1,0,0,20857,,,,
,,,Sayre,0,0,0,1,4556,,,,
,,,Skiatook,0,0,0,1,7751,,,,
,,,Talihina,0,0,1,0,1112,,,,
,,,Tonkawa,0,1,0,0,3150,,,,
,,Universities and Colleges,,,,,,,,,,
,,,Southwestern Oklahoma State University,0,0,0,1,5106,,,,
,,,University of Central Oklahoma,0,0,0,1,17211,,,,
,,Metropolitan Counties,,,,,,,,,,
,,,Grady,0,0,0,1,,,,,
,,,Tulsa,1,0,0,0,,,,,
,,,Wagoner,0,1,0,0,,,,,
,,Nonmetropolitan Counties,,,,,,,,,,
,,,Roger Mills,0,1,0,0,,,,,
,,Tribal Agencies,,,,,,,,,,
,,,Tonkawa Tribal,0,0,1,0,,,,,
,Oregon,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Ashland,1,0,0,0,20455,,,,
,,,Beaverton,,,1,,93551,,,,
,,,Bend,2,0,1,0,79926,,,,
,,,Eugene,1,9,1,4,158499,,,,
,,,Newberg-Dundee,0,0,1,0,25647,,,,
,,,Newport,0,1,0,0,10029,,,,
,,,Portland,1,3,2,,609136,,,,
,,,Salem,9,3,2,0,158234,,,,
,,,Springfield,0,1,1,1,60024,,,,
,,,Sutherlin,0,1,,0,7747,,,,
,,,Tigard,2,3,4,,50311,,,,
,,,Toledo,1,2,1,0,3461,,,,
,,Metropolitan Counties,,,,,,,,,,
,,,Deschutes,0,1,0,0,,,,,
,,,Jackson,0,0,1,0,,,,,
,,,Lane,,1,,,,,,,
,,,Yamhill,0,0,1,1,,,,,
,,Nonmetropolitan Counties,,,,,,,,,,
,,,Douglas,1,0,0,0,,,,,
,,,Umatilla,0,0,1,0,,,,,
,Pennsylvania,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Ferguson Township,1,0,0,0,17807,,,,
,,,Johnstown,0,1,2,,21954,,,,
,,,Lancaster,0,1,0,0,59370,,,,
,,,Lewistown,0,1,0,0,8370,,,,
,,,Northern York Regional,1,0,0,0,67657,,,,
,,,Philadelphia,3,11,1,1,1553153,,,,
,,,Pittsburgh,1,3,8,3,307632,,,,
,,,Reading,1,1,1,0,88107,,,,
,,,"Richland Township, Cambria County",0,1,0,0,12581,,,,
,,,State College,0,0,0,2,56612,,,,
,,Universities and Colleges,,,,,,,,,,
,,,Lehigh University,0,0,0,1,7080,,,,
,,,Pennsylvania State University:,,,,,,,,,
,,,Altoona,0,0,1,0,3863,,,,
,,,University Park,3,1,2,2,45783,,,,
,,Metropolitan Counties,,,,,,,,,,
,,,Lancaster,0,0,1,0,,,,,
,,State Police Agencies,,,,,,,,,,
,,,State Police:,,,,,,,,,
,,,Chester County,1,,0,0,,,,,
,,,Franklin County,1,,0,0,,,,,
,,,Indiana County,0,1,,0,,,,,
,,,Lancaster County,2,0,0,0,,,,,
,,,Skippack County,0,3,0,0,,,,,
,,,Pike County,0,0,1,0,,,,,
,Rhode Island,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Central Falls,0,1,0,0,19404,,,,
,,,Johnston,1,0,0,0,29068,,,,
,,,Newport,0,0,1,0,23874,,,,
,,,Providence,1,0,0,0,178887,,,,
,,,Warwick,0,0,1,0,81789,,,,
,,,West Warwick,0,0,0,1,28817,,,,
,,Universities and Colleges,,,,,,,,,,
,,,University of Rhode Island,0,0,1,0,16451,,,,
,South Carolina,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Anderson,0,0,0,1,26812,,,,
,,,Belton,1,0,0,0,4222,,,,
,,,Chapin,0,0,0,1,1506,,,,
,,,Charleston,2,0,0,0,127206,,,,
,,,Clover,0,0,1,0,5342,,,,
,,,Columbia,0,1,1,0,132240,,,,
,,,Dillon,0,1,0,0,6627,,,,
,,,Forest Acres,0,1,0,0,10516,,,,
,,,Georgetown,0,0,1,0,9072,,,,
,,,Goose Creek,0,0,1,0,39425,,,,
,,,Greenville,0,0,0,1,61185,,,,
,,,Hardeeville,0,1,0,0,4064,,,,
,,,Hartsville,0,0,1,0,7877,,,,
,,,Holly Hill,1,0,0,0,1259,,,,
,,,Honea Path,0,0,0,1,3613,,,,
,,,Latta,1,0,0,0,1349,,,,
,,,Lexington,0,1,0,0,19547,,,,
,,,Manning,0,0,0,1,4034,,,,
,,,Mauldin,0,0,1,0,24099,,,,
,,,Orangeburg,0,1,0,0,13826,,,,
,,,Salley,0,0,1,0,412,,,,
,,,St. George,1,0,0,0,2139,,,,
,,,Summerville,1,1,0,0,45210,,,,
,,,Winnsboro,2,3,0,1,3428,,,,
,,Universities and Colleges,,,,,,,,,,
,,,The Citadel,0,0,1,0,3499,,,,
,,,"University of South Carolina, Upstate",1,0,0,0,5561,,,,
,,Metropolitan Counties,,,,,,,,,,
,,,Berkeley,2,0,0,0,,,,,
,,,Fairfield,0,1,0,0,,,,,
,,,Horry County Police Department,1,0,0,1,,,,,
,,,Lancaster,1,0,0,0,,,,,
,,,Lexington,1,1,0,0,,,,,
,,,Sumter,0,0,2,0,,,,,
,,,Union,0,0,1,0,,,,,
,,,York,0,1,0,0,,,,,
,,Nonmetropolitan Counties,,,,,,,,,,
,,,Chesterfield,1,0,0,0,,,,,
,,,Colleton,0,0,1,0,,,,,
,,,Georgetown,0,0,0,1,,,,,
,,,Hampton,0,0,0,1,,,,,
,,,Marlboro,1,0,0,0,,,,,
,South Dakota,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Aberdeen,0,0,0,1,26999,,,,
,,,Mitchell,0,0,1,0,15555,,,,
,,,Rapid City,1,0,0,0,70406,,,,
,,,Sioux Falls,1,0,2,1,161754,,,,
,,,Vermillion,1,0,0,0,10892,,,,
,,Nonmetropolitan Counties,,,,,,,,,,
,,,Codington,1,0,2,0,,,,,
,,,Corson,0,1,0,0,,,,,
,,,Hutchinson,1,0,0,0,,,,,
,Tennessee,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Ashland City,0,1,0,0,4637,,,,
,,,Athens,0,0,1,0,13504,,,,
,,,Atoka,0,0,1,0,8821,,,,
,,,Bristol,0,0,0,5,26660,,,,
,,,Burns,0,0,1,0,1469,,,,
,,,Chattanooga,0,0,2,1,172286,,,,
,,,Clarksville,1,2,0,8,145599,,,,
,,,Collegedale,0,0,1,0,9468,,,,
,,,Covington,3,1,5,8,9076,,,,
,,,Dyersburg,0,0,1,0,17013,,,,
,,,Elizabethton,0,0,1,0,14220,,,,
,,,Fayetteville,0,0,1,0,7155,,,,
,,,Franklin,0,0,1,0,67465,,,,
,,,Gatlinburg,1,0,0,0,4074,,,,
,,,Graysville,0,1,1,0,1512,,,,
,,,Greeneville,0,1,0,0,15015,,,,
,,,Humboldt,0,0,1,0,8458,,,,
,,,Jackson,2,0,1,1,67371,,,,
,,,Johnson City,1,1,0,0,64928,,,,
,,,Jonesborough,0,0,2,3,5163,,,,
,,,Kingsport,0,0,1,1,51496,,,,
,,,Knoxville,0,1,1,0,183249,,,,
,,,Manchester,1,1,0,0,10258,,,,
,,,Mason,0,1,0,0,1611,,,,
,,,McMinnville,0,0,0,1,13595,,,,
,,,Memphis,6,5,9,4,657691,,,,
,,,Milan,0,0,0,1,7789,,,,
,,,Millersville,0,0,3,0,6596,,,,
,,,Millington,0,2,0,4,10500,,,,
,,,Monterey,0,1,0,0,2829,,,,
,,,Mount Carmel,0,1,0,0,5422,,,,
,,,Munford,0,0,0,1,6036,,,,
,,,Murfreesboro,0,0,0,1,115587,,,,
,,,Nashville,3,1,1,1,635673,,,,
,,,Oliver Springs,0,0,2,0,3250,,,,
,,,Paris,0,0,0,1,10168,,,,
,,,Pigeon Forge,0,1,0,0,6023,,,,
,,,Rossville,0,2,0,0,679,,,,
,,,Shelbyville,0,0,1,0,20669,,,,
,,,Spring Hill,2,2,0,0,31807,,,,
,,,Tullahoma,0,0,0,1,18773,,,,
,,,Wartburg,0,1,0,0,912,,,,
,,Universities and Colleges,,,,,,,,,,
,,,Christian Brothers University,0,0,0,1,1603,,,,
,,,Southwest Tennessee Community College,0,1,0,0,12220,,,,
,,,Vanderbilt University,1,1,0,3,12710,,,,
,,Metropolitan Counties,,,,,,,,,,
,,,Hickman,0,0,2,1,,,,,
,,,Jefferson,0,0,1,0,,,,,
,,,Marion,0,0,0,1,,,,,
,,,Robertson,0,0,0,1,,,,,
,,,Shelby,2,7,20,17,,,,,
,,,Sullivan,1,2,2,0,,,,,
,,,Tipton,1,0,1,0,,,,,
,,Nonmetropolitan Counties,,,,,,,,,,
,,,Bledsoe,0,0,1,0,,,,,
,,,Henry,0,0,1,1,,,,,
,,,Lake,0,0,1,0,,,,,
,,State Police Agencies,,,,,,,,,,
,,,Department of Safety,1,0,0,0,,,,,
,Texas,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Austin,2,1,1,0,859180,,,,
,,,Beaumont,2,1,0,0,118177,,,,
,,,Bellaire,0,0,1,0,17617,,,,
,,,Bellmead,0,1,0,1,9950,,,,
,,,Benbrook,0,0,0,1,22157,,,,
,,,Brownwood,0,1,0,0,18873,,,,
,,,Carthage,0,0,1,0,6918,,,,
,,,Commerce,1,1,0,0,8267,,,,
,,,Corpus Christi,0,0,0,1,314523,,,,
,,,Dallas,2,4,9,3,1255015,,,,
,,,Denison,0,1,1,0,22652,,,,
,,,Denton,0,1,0,0,123260,,,,
,,,El Paso,2,1,0,0,679700,,,,
,,,Everman,1,,0,0,6276,,,,
,,,Fort Worth,5,1,6,4,789035,,,,
,,,Frisco,0,2,0,0,131769,,,,
,,,Gainesville,0,0,1,0,16089,,,,
,,,Garland,1,0,1,0,235683,,,,
,,,Grapevine,0,0,1,0,49075,,,,
,,,Harlingen,0,0,1,0,65885,,,,
,,,Houston,4,5,1,3,2180606,,,,
,,,Lancaster,0,0,0,1,38209,,,,
,,,Longview,0,0,1,0,81273,,,,
,,,Marble Falls,0,0,1,0,6095,,,,
,,,McAllen,0,1,0,0,136169,,,,
,,,McKinney,0,1,1,2,146869,,,,
,,,Mercedes,0,0,1,0,16480,,,,
,,,Mineral Wells,0,0,0,1,16717,,,,
,,,Pasadena,1,0,0,0,153195,,,,
,,,Plano,1,0,0,1,275795,,,,
,,,Richmond,1,0,0,0,11841,,,,
,,,San Angelo,1,0,0,0,96661,,,,
,,,San Antonio,3,3,3,2,1399725,,,,
,,,Springtown,0,0,1,0,2698,,,,
,,,Temple,0,0,1,0,69937,,,,
,,,Terrell,1,0,0,0,16233,,,,
,,,Tyler,2,1,0,2,100033,,,,
,,,Victoria,0,0,1,1,64979,,,,
,,,Vidor,0,0,1,0,10984,,,,
,,,Whitehouse,1,,0,0,7919,,,,
,,Universities and Colleges,,,,,,,,,,
,,,Amarillo College,1,0,0,0,11530,,,,
,,,Southern Methodist University,1,1,1,0,10893,,,,
,,,"University of Texas, Austin",1,0,0,0,52186,,,,
,,Metropolitan Counties,,,,,,,,,,
,,,Collin,1,0,0,0,,,,,
,,,Goliad,0,0,1,0,,,,,
,,,Harris,1,1,0,1,,,,,
,,,Hunt,0,0,0,1,,,,,
,,,Nueces,0,1,0,0,,,,,
,,,Travis,2,1,0,1,,,,,
,,Other Agencies,,,,,,,,,,
,,,"Independent School District, Humble",1,0,,0,,,,,
,Utah,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Bountiful,0,1,2,2,42976,,,,
,,,Brigham City,1,0,1,0,18217,,,,
,,,Centerville,0,2,0,0,16488,,,,
,,,Draper,0,0,1,0,44680,,,,
,,,Farmington,0,3,0,0,21582,,,,
,,,Grantsville,0,0,1,0,9530,,,,
,,,Heber,0,1,0,,12544,,,,
,,,Moab,0,1,0,0,5096,,,,
,,,Murray,0,0,1,0,48767,,,,
,,,North Salt Lake,1,0,0,0,16815,,,,
,,,Pleasant Grove,0,0,1,1,34796,,,,
,,,Price,2,0,0,0,8589,,,,
,,,Provo,0,0,0,1,116937,,,,
,,,Roosevelt,0,0,3,0,6404,,,,
,,,Roy,0,1,1,0,37810,,,,
,,,Salt Lake City,0,3,0,2,190246,,,,
,,,South Jordan,0,1,0,0,57593,,,,
,,,South Salt Lake,0,0,1,0,24595,,,,
,,,St. George,2,1,0,0,76427,,,,
,,,Tooele,1,0,0,0,32241,,,,
,,,West Valley,1,3,0,0,133373,,,,
,,,Woods Cross,0,1,0,1,10343,,,,
,,Universities and Colleges,,,,,,,,,,
,,,University of Utah,1,0,0,2,32388,,,,
,,,"Utah State University, Logan",0,0,0,1,28786,,,,
,,Metropolitan Counties,,,,,,,,,,
,,,Salt Lake County Unified Police Department,1,1,0,0,,,,,
,,,Tooele,1,3,0,1,,,,,
,,,Utah,1,0,0,0,,,,,
,,,Washington,0,1,0,1,,,,,
,,Nonmetropolitan Counties,,,,,,,,,,
,,,Carbon,1,0,2,0,,,,,
,,,Emery,0,1,0,0,,,,,
,,,Summit,0,0,1,0,,,,,
,,,Uintah,0,1,1,0,,,,,
,,State Police Agencies,,,,,,,,,,
,,,Utah Highway Patrol,2,1,2,1,,,,,
,,Other Agencies,,,,,,,,,,
,,,Parks and Recreation,0,1,0,0,,,,,
,,,Utah Transit Authority,0,0,2,0,,,,,
,Vermont,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Bennington,0,0,0,1,15492,,,,
,,,Burlington,0,1,1,1,42235,,,,
,,,Castleton,0,0,0,1,4649,,,,
,,,Colchester,0,1,0,0,17288,,,,
,,,Morristown,0,0,1,0,5369,,,,
,,,South Burlington,0,0,0,1,18549,,,,
,,,Springfield,0,0,0,1,9259,,,,
,,,St. Albans,0,1,0,0,6888,,,,
,,Universities and Colleges,,,,,,,,,,
,,,University of Vermont,0,0,0,1,13098,,,,
,,State Police Agencies,,,,,,,,,,
,,,"State Police, St. Albans",0,1,0,0,,,,,
,Virginia,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Bedford,0,0,0,2,5894,,,,
,,,Bristol,1,0,0,0,17641,,,,
,,,Charlottesville,0,1,0,0,44187,,,,
,,,Chesapeake,2,0,2,2,230577,,,,
,,,Christiansburg,0,0,0,1,21581,,,,
,,,Danville,1,0,0,0,43133,,,,
,,,Farmville,0,1,0,0,8142,,,,
,,,Galax,0,0,0,1,6870,,,,
,,,Hampton,1,0,1,0,136949,,,,
,,,Harrisonburg,1,2,0,1,51767,,,,
,,,Hopewell,0,0,1,0,22305,,,,
,,,Manassas,0,0,1,0,41512,,,,
,,,Manassas Park,1,0,0,0,16332,,,,
,,,Newport News,0,1,3,0,181074,,,,
,,,Norfolk,0,5,1,1,247303,,,,
,,,Poquoson,1,0,0,0,12108,,,,
,,,Portsmouth,0,0,2,1,97018,,,,
,,,Radford,0,1,0,0,16810,,,,
,,,Richmond,0,1,0,0,212830,,,,
,,,Roanoke,0,1,0,0,97927,,,,
,,,Suffolk,0,1,2,0,85475,,,,
,,,Virginia Beach,1,1,1,2,450687,,,,
,,,West Point,0,1,0,0,3311,,,,
,,,Woodstock,0,1,0,0,5193,,,,
,,Universities and Colleges,,,,,,,,,,
,,,Christopher Newport University,0,0,1,0,5186,,,,
,,,George Mason University,1,0,2,0,32961,,,,
,,,James Madison University,1,0,0,0,19927,,,,
,,,University of Richmond,0,0,0,1,4361,,,,
,,,Virginia Commonwealth University,0,1,0,0,31445,,,,
,,,Virginia Military Institute,1,0,0,0,1664,,,,
,,Metropolitan Counties,,,,,,,,,,
,,,Albemarle County Police Department,1,5,2,2,,,,,
,,,Amherst,0,0,1,0,,,,,
,,,Appomattox,0,0,0,1,,,,,
,,,Arlington County Police Department,1,0,1,0,,,,,
,,,Chesterfield County Police Department,2,0,0,0,,,,,
,,,Clarke,1,0,0,0,,,,,
,,,Fairfax County Police Department,3,1,5,4,,,,,
,,,Fluvanna,0,0,1,1,,,,,
,,,Gloucester,0,0,0,2,,,,,
,,,Henrico County Police Department,0,4,0,1,,,,,
,,,James City County Police Department,0,1,0,0,,,,,
,,,Loudoun,2,0,1,0,,,,,
,,,Powhatan,1,0,0,0,,,,,
,,,Prince George County Police Department,0,1,0,0,,,,,
,,,Rockingham,0,0,1,0,,,,,
,,,Spotsylvania,3,0,1,0,,,,,
,,,York,1,0,1,0,,,,,
,,Nonmetropolitan Counties,,,,,,,,,,
,,,Carroll,0,0,1,0,,,,,
,,,Cumberland,0,0,0,1,,,,,
,,,King George,0,0,1,0,,,,,
,,,Louisa,1,0,0,0,,,,,
,,,Orange,1,0,0,1,,,,,
,,,Westmoreland,0,0,0,1,,,,,
,,State Police Agencies,,,,,,,,,,
,,,"State Police, Buchanan County",1,0,0,0,,,,,
,Washington,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Aberdeen,1,1,0,2,16408,,,,
,,,Auburn,1,1,4,4,74565,,,,
,,,Bellevue,1,0,0,0,127678,,,,
,,,Bellingham,2,5,3,0,82645,,,,
,,,Burien,1,0,0,0,49822,,,,
,,,Cheney,1,1,0,1,11117,,,,
,,,Clarkston,0,1,0,0,7295,,,,
,,,Covington,0,1,0,0,18526,,,,
,,,Des Moines,0,1,2,2,30684,,,,
,,,Everett,2,1,1,2,105129,,,,
,,,Federal Way,1,3,3,4,92741,,,,
,,,Ferndale,1,1,0,0,12173,,,,
,,,Fife,0,1,1,0,9380,,,,
,,,Granite Falls,1,0,0,,3435,,,,
,,,Hoquiam,1,0,0,0,8472,,,,
,,,Kalama,0,0,1,0,2316,,,,
,,,Kelso,1,1,1,1,11802,,,,
,,,Kenmore,1,0,0,0,21531,,,,
,,,Kent3,0,5,2,2,124359,,,,
,,,Lacey,0,0,0,1,44298,,,,
,,,Lakewood,1,0,0,2,59057,,,,
,,,Maple Valley,0,0,1,0,24644,,,,
,,,Mercer Island,0,1,0,0,23969,,,,
,,,Mill Creek,0,0,1,0,18806,,,,
,,,Milton,0,1,0,0,7076,,,,
,,,Mount Vernon,0,0,0,1,32450,,,,
,,,Napavine,0,0,0,1,1766,,,,
,,,Normandy Park,1,0,1,0,6556,,,,
,,,Oak Harbor,0,0,1,0,22288,,,,
,,,Olympia,0,,1,0,48046,,,,
,,,Omak,2,1,0,0,4801,,,,
,,,Orting,0,0,0,1,6913,,,,
,,,Pacific,1,0,0,0,6911,,,,
,,,Pasco,0,0,1,0,67099,,,,
,,,Port Townsend,1,0,1,1,9112,,,,
,,,Pullman,2,0,0,0,31895,,,,
,,,Redmond,0,1,0,0,57263,,,,
,,,Renton,2,4,2,5,96657,,,,
,,,Seattle,19,23,29,18,642814,,,,
,,,Sedro Woolley,0,0,1,0,10652,,,,
,,,Shelton,0,1,0,0,9780,,,,
,,,Shoreline,0,0,0,2,54762,,,,
,,,Spokane,1,,0,1,209524,,,,
,,,Spokane Valley,0,1,1,0,90835,,,,
,,,Sunnyside,1,0,0,1,16099,,,,
,,,Tacoma,2,0,3,0,203226,,,,
,,,Tukwila,1,0,0,0,19765,,,,
,,,Tumwater,0,0,0,1,18343,,,,
,,,Vancouver,2,5,0,1,166535,,,,
,,,Washougal,0,0,1,0,14733,,,,
,,,Wenatchee,0,0,1,1,32677,,,,
,,,Yakima,1,0,0,1,93589,,,,
,,Universities and Colleges,,,,,,,,,,
,,,Eastern Washington University,1,0,0,0,12587,,,,
,,,University of Washington,0,2,0,3,43485,,,,
,,,"Washington State University, Pullman",0,0,0,1,27679,,,,
,,,Western Washington University,0,1,0,0,14833,,,,
,,Metropolitan Counties,,,,,,,,,,
,,,Benton,1,0,0,0,,,,,
,,,Chelan,0,1,1,0,,,,,
,,,Clark,1,1,1,1,,,,,
,,,Columbia,0,2,,,,,,,
,,,Cowlitz,0,0,1,0,,,,,
,,,King,0,1,1,1,,,,,
,,,Kitsap,0,0,0,1,,,,,
,,,Pend Oreille,1,0,2,0,,,,,
,,,Pierce,0,1,4,1,,,,,
,,,Skagit,0,0,1,0,,,,,
,,,Skamania,0,0,1,0,,,,,
,,,Snohomish,0,2,0,,,,,,
,,,Spokane,0,2,1,3,,,,,
,,,Stevens,0,1,0,0,,,,,
,,,Thurston,0,1,1,2,,,,,
,,,Yakima,0,0,0,1,,,,,
,,Nonmetropolitan Counties,,,,,,,,,,
,,,Clallam,0,0,1,1,,,,,
,,,Grant,0,0,1,0,,,,,
,,,Jefferson,1,0,0,0,,,,,
,,,Klickitat,0,1,0,0,,,,,
,,,Lincoln,0,1,0,0,,,,,
,,,Mason,0,0,3,0,,,,,
,,,San Juan,1,0,0,0,,,,,
,,Other Agencies,,,,,,,,,,
