Year,State,Agency type,Agency name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population2,,,,
,,,La Habra,0,0,1,0,61740,,,,
,,,Lake Elsinore,0,0,2,0,56232,,,,
,,,Lake Forest,1,0,0,1,79336,,,,
,,,Lakewood,0,1,0,1,81086,,,,
,,,La Mirada,1,2,0,0,49150,,,,
,,,Lancaster,1,2,1,1,159792,,,,
,,,La Quinta,1,0,1,0,39150,,,,
,,,Lemon Grove,1,1,0,0,26156,,,,
,,,Lemoore,1,0,0,0,24802,,,,
,,,Livermore,0,0,1,0,84350,,,,
,,,Lodi,0,1,1,0,63639,,,,
,,,Lomita,0,1,0,0,20622,,,,
,,,Long Beach,3,0,1,1,469665,,,,
,,,Los Alamitos,1,0,0,0,11735,,,,
,,,Los Angeles,21,40,25,28,3878725,,,,
,,,Los Gatos,0,0,1,1,30351,,,,
,,,Lynwood,0,0,0,1,71077,,,,
,,,Malibu,0,0,1,0,12891,,,,
,,,Manhattan Beach,0,0,0,1,35930,,,,
,,,Manteca,1,1,0,1,72261,,,,
,,,Milpitas,1,0,0,0,69522,,,,
,,,Modesto,2,0,1,0,204252,,,,
,,,Montclair,1,0,1,0,37785,,,,
,,,Monterey,0,0,1,1,29338,,,,
,,,Moreno Valley,0,0,0,1,201284,,,,
,,,Morgan Hill,0,0,0,1,39907,,,,
,,,Murrieta3,2,2,1,0,107768,,,,
,,,National City,1,0,1,1,59637,,,,
,,,Newark,1,1,0,1,43950,,,,
,,,Newport Beach,0,0,2,1,87639,,,,
,,,Norwalk,0,4,0,1,106518,,,,
,,,Oakland,2,4,3,2,403887,,,,
,,,Oceanside,2,4,2,0,172525,,,,
,,,Ontario,0,1,0,0,168144,,,,
,,,Orange,0,1,2,0,140304,,,,
,,,Oroville,0,0,1,1,15581,,,,
,,,Oxnard,0,0,0,1,202594,,,,
,,,Pacifica,0,0,1,0,38494,,,,
,,,Pacific Grove,1,0,0,0,15518,,,,
,,,Palmdale,3,1,3,1,156522,,,,
,,,Palm Springs,4,1,2,1,46282,,,,
,,,Palo Alto,1,0,0,0,66964,,,,
,,,Paramount,0,1,0,1,54868,,,,
,,,Pasadena,0,0,1,2,139003,,,,
,,,Pico Rivera,1,1,0,0,63710,,,,
,,,Pinole,0,0,1,0,18848,,,,
,,,Placentia,0,0,1,0,52002,,,,
,,,Rancho Cordova,1,0,0,0,67634,,,,
,,,Rancho Palos Verdes,0,0,0,1,42542,,,,
,,,Red Bluff,0,1,0,2,14170,,,,
,,,Redding,2,2,3,1,91035,,,,
,,,Redlands,0,1,0,2,70282,,,,
,,,Redondo Beach,1,2,1,1,67993,,,,
,,,Redwood City,1,0,0,0,79707,,,,
,,,Richmond,0,0,2,1,107341,,,,
,,,Ridgecrest,0,1,0,0,28537,,,,
,,,Riverside,7,4,0,5,316423,,,,
,,,Rohnert Park,2,0,0,1,41326,,,,
