year,state,agencyType,agencyName,q01,q02,q03,q04,population,lookAtMe
2014,Alabama,Total, Nan, Nan, Nan, Nan, Nan,,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Fairfield, Nan,1, Nan, Nan,10913,
, Nan, Nan,Hoover,1,0,0,1,84843,
, Nan, Nan,Prattville, Nan,3,1, Nan,35530,
, Nan, Nan,Sylacauga, Nan, Nan,1,1,12722,
,Alaska,Total, Nan, Nan, Nan, Nan, Nan,,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Anchorage,0,0,4,2,301306,
,Arizona,Total, Nan, Nan, Nan, Nan, Nan,,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Apache Junction,0,0,0,1,37274,
, Nan, Nan,Avondale,1,1,0,1,79472,
, Nan, Nan,Chandler,1,0,0,0,252369,
, Nan, Nan,Cottonwood,1,0,0,0,11490,
, Nan, Nan,El Mirage,0,1,0,0,33307,
, Nan, Nan,Flagstaff,0,0,0,1,69490,
, Nan, Nan,Gilbert,1,0,1,0,235430,
, Nan, Nan,Glendale,2,3,3,1,236780,
, Nan, Nan,Goodyear,1,0,0,0,74826,
, Nan, Nan,Kingman,0,1,1,0,28526,
, Nan, Nan,Mesa,0,3,1,6,462092,
, Nan, Nan,Oro Valley,0,1,0,0,41764,
, Nan, Nan,Phoenix,37,41,47,58,1529852,
, Nan, Nan,Scottsdale,2,0,1,2,229325,
, Nan, Nan,Tempe,1,0,0,1,169812,
, Nan, Nan,Tucson,1,4,3,1,527328,
, Nan, Nan,Yuma,5,7,2,0,92075,
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Northern Arizona University,8,0,1,1,26594,
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Maricopa,1,0,2,1,,
, Nan, Nan,Pinal,0,1,0,0,,
, Nan, Nan,Yavapai,0, Nan,1,0,,
, Nan, Nan,Yuma,1,1,1,0,,
,Arkansas,Total, Nan, Nan, Nan, Nan, Nan,,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Fort Smith,1,1,2,0,87989,
, Nan, Nan,Rogers,0,1,0,0,61105,
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,"University of Arkansas, Fayetteville",0,0,1,0,25341,
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Pulaski,0,0,1,0,,
, Nan,Nonmetropolitan Counties, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Baxter,0,0,1,0,,
,California,Total, Nan, Nan, Nan, Nan, Nan,,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Adelanto,0,1,0,1,31213,
, Nan, Nan,Alameda,2,2,0,0,77048,
, Nan, Nan,Alhambra,0,0,1,0,84931,
, Nan, Nan,Antioch,0,2,2,1,108223,
, Nan, Nan,Apple Valley,1,1,0,0,71329,
, Nan, Nan,Arcata,0,0,0,1,17748,
, Nan, Nan,Arvin,0,1,0,0,20541,
, Nan, Nan,Azusa,0,0,1,0,48224,
, Nan, Nan,Bakersfield,1,0,2,3,367406,
, Nan, Nan,Barstow,1,0,0,0,23349,
, Nan, Nan,Berkeley,2,0,1,0,117753,
