year,state,agencyType,agencyName,q01,q02,q03,q04,population,lookAtMe
2011,Alabama,Total,Nan,Nan,Nan,Nan,Nan,,
,Nan,Cities,Nan,Nan,Nan,Nan,Nan,,
,Nan,Nan,Abbeville,1,1,Nan,Nan,2701,
,Nan,Nan,Adamsville,1,Nan,Nan,1,4544,
,Nan,Nan,Alabaster,1,Nan,Nan,Nan,30498,
,Nan,Nan,Centre,Nan,Nan,Nan,1,3506,
,Nan,Nan,Clanton,1,Nan,1,Nan,8660,
,Nan,Nan,Decatur,Nan,1,2,Nan,55951,
,Nan,Nan,Douglas,Nan,1,Nan,Nan,748,
,Nan,Nan,Elba,Nan,Nan,1,Nan,3959,
,Nan,Nan,Enterprise,0,0,1,1,26690,
,Nan,Nan,Foley,0,2,0,0,14688,
,Nan,Nan,Fort Payne,2,Nan,Nan,Nan,14079,
,Nan,Nan,Fultondale,Nan,Nan,Nan,1,8420,
,Nan,Nan,Fyffe,2,Nan,Nan,Nan,1023,
,Nan,Nan,Greenville,Nan,Nan,Nan,1,8174,
,Nan,Nan,Guntersville,0,1,1,Nan,8236,
,Nan,Nan,Haleyville,1,Nan,Nan,Nan,4193,
,Nan,Nan,Heflin,1,Nan,Nan,Nan,3497,
,Nan,Nan,Hoover,0,0,1,1,82012,
,Nan,Nan,Hueytown,Nan,Nan,Nan,1,16183,
,Nan,Nan,Irondale,Nan,2,Nan,Nan,12408,
,Nan,Nan,Jackson,Nan,Nan,Nan,1,5253,
,Nan,Nan,Jacksonville,Nan,Nan,Nan,1,12608,
,Nan,Nan,Jasper,Nan,0,1,1,14421,
,Nan,Nan,Lincoln,Nan,1,1,Nan,6296,
,Nan,Nan,Montgomery,1,Nan,Nan,Nan,206754,
,Nan,Nan,Mount Vernon,Nan,Nan,Nan,1,1582,
,Nan,Nan,Orange Beach,Nan,1,2,Nan,5467,
,Nan,Nan,Oxford,1,3,Nan,1,21451,
,Nan,Nan,Ozark,0,Nan,Nan,1,14979,
,Nan,Nan,Parrish,Nan,Nan,1,Nan,987,
,Nan,Nan,Pelham,0,0,0,1,21455,
,Nan,Nan,Phenix City,1,Nan,Nan,Nan,32980,
,Nan,Nan,Piedmont,1,Nan,Nan,Nan,4901,
,Nan,Nan,Prattville,0,1,Nan,Nan,34123,
,Nan,Nan,Roanoke,1,1,1,1,6103,
,Nan,Nan,Saraland,1,1,Nan,Nan,13470,
,Nan,Nan,Sheffield,0,1,Nan,Nan,9083,
,Nan,Nan,Sylacauga,0,0,2,0,12810,
,Nan,Nan,Town Creek,0,1,Nan,Nan,1105,
,Nan,Nan,Tuscaloosa,1,Nan,2,0,90903,
,Nan,Nan,Tuscumbia,Nan,Nan,Nan,1,8464,
,Nan,Nan,Weaver,Nan,Nan,1,Nan,3053,
,Nan,Metropolitan Counties,Nan,Nan,Nan,Nan,Nan,,
,Nan,Nan,Blount,Nan,1,1,Nan,,
,Nan,Nan,Chilton,1,Nan,1,1,,
,Nan,Nan,Madison,Nan,Nan,Nan,1,,
