year,state,agencyType,agencyName,q01,q02,q03,q04,population,lookAtMe
,ALABAMA,Total,Nan,Nan,Nan,Nan,Nan,,
,Nan,Cities,Nan,Nan,Nan,Nan,Nan,,
,Nan,Nan,Decatur,0,0,1,2,57153,
,Nan,Nan,Hoover,0,1,0,1,74687,
,Nan,Nan,Jasper,0,1,0,0,14138,
,Nan,Nan,Lanett,0,0,0,1,7026,
,Nan,Nan,Madison,0,0,1,0,41426,
,Nan,Nan,Oneonta,0,1,0,0,7317,
,Nan,Nan,Riverside,0,0,0,1,2146,
,Nan,Nan,Slocomb,1,0,0,0,2065,
,Nan,Nan,Talladega,0,1,0,0,16826,
,Nan,Metropolitan Counties,Nan,Nan,Nan,Nan,Nan,,
,Nan,Nan,Blount,Nan,1,0,0,,
,Nan,Nan,Tuscaloosa,Nan,4,1,Nan,,
,Nan,Nonmetropolitan Counties,Nan,Nan,Nan,Nan,Nan,,
,Nan,Nan,Clarke,1,0,0,0,,
,ALASKA,Total,Nan,Nan,Nan,Nan,Nan,,
,Nan,Cities,Nan,Nan,Nan,Nan,Nan,,
,Nan,Nan,Anchorage,1,1,4,1,290334,
,ARIZONA,Total,Nan,Nan,Nan,Nan,Nan,,
,Nan,Cities,Nan,Nan,Nan,Nan,Nan,,
,Nan,Nan,Apache Junction,1,2,2,0,33225,
,Nan,Nan,Avondale,1,0,0,0,82580,
,Nan,Nan,Flagstaff,0,0,0,1,58739,
,Nan,Nan,Glendale,0,4,3,6,245387,
,Nan,Nan,Kingman,0,2,0,0,26671,
,Nan,Nan,Lake Havasu City,1,0,0,0,53938,
,Nan,Nan,Mammoth,0,0,1,0,2618,
,Nan,Nan,Maricopa,1,0,0,0,43310,
,Nan,Nan,Mesa,2,1,2,2,452725,
,Nan,Nan,Peoria,0,1,0,1,158184,
,Nan,Nan,Phoenix,24,35,48,28,1544427,
,Nan,Nan,Prescott,0,1,0,0,41428,
,Nan,Nan,Scottsdale,4,5,4,3,230496,
,Nan,Nan,Show Low,1,0,0,1,11965,
,Nan,Nan,Springerville,0,1,0,0,1943,
,Nan,Nan,Tempe,2,1,1,0,173004,
,Nan,Nan,Tucson,9,2,3,0,527107,
,Nan,Nan,Yuma,0,1,0,1,88291,
,Nan,Universities and Colleges,Nan,Nan,Nan,Nan,Nan,,
,Nan,Nan,University of Arizona,1,1,0,3,38767,
,Nan,Metropolitan Counties,Nan,Nan,Nan,Nan,Nan,,
,Nan,Nan,Maricopa,1,1,1,5,,
,Nan,Nan,Pima,1,4,3,3,,
,Nan,Nan,Pinal,2,0,0,1,,
,ARKANSAS,Total,Nan,Nan,Nan,Nan,Nan,,
,Nan,Cities,Nan,Nan,Nan,Nan,Nan,,
,Nan,Nan,Benton,0,2,0,0,30692,
