Year,State,Agency type,Agency name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population2
, Nan, Nan,Gilroy,1,0,0,0,50042
, Nan, Nan,Glendale,0,0,0,1,194902
, Nan, Nan,Greenfield,1,0,0,0,16765
, Nan, Nan,Hanford,0,0,0,1,54787
, Nan, Nan,Hawaiian Gardens,1,0,0,1,14493
, Nan, Nan,Hawthorne,1,0,1,0,85692
, Nan, Nan,Hayward,1,1,2,0,147424
, Nan, Nan,Hemet,1,0,1,0,81213
, Nan, Nan,Hercules,0,1,0,0,24682
, Nan, Nan,Hermosa Beach,0,0,1,0,19830
, Nan, Nan,Hesperia,0,1,0,0,92383
, Nan, Nan,Highland,0,0,1,0,54403
, Nan, Nan,Hughson,0,0,0,1,6754
, Nan, Nan,Huntington Beach,3,0,2,5,194677
, Nan, Nan,Inglewood,0,0,1,0,111488
, Nan, Nan,Irvine,2,0,0,1,217528
, Nan, Nan,Laguna Beach,0,0,1,0,23283
, Nan, Nan,Laguna Hills,1,0,0,0,31090
, Nan, Nan,La Habra,0,0,1,0,61731
, Nan, Nan,Lake Elsinore,1,0,0,0,53912
, Nan, Nan,Lake Forest,0,0,1,0,79166
, Nan, Nan,Lakewood,1,0,2,0,81382
, Nan, Nan,La Mesa,1,0,1,0,58444
, Nan, Nan,La Mirada,1,0,0,0,49312
, Nan, Nan,Lancaster,1,5,1,0,159155
, Nan, Nan,La Quinta,1,0,0,0,38690
, Nan, Nan,Lawndale,0,0,1,0,33312
, Nan, Nan,Lemon Grove,0,2,0,0,25932
, Nan, Nan,Livermore,2,1,0,0,82800
, Nan, Nan,Livingston,0,0,1,0,13394
, Nan, Nan,Lodi,1,1,1,0,63718
, Nan, Nan,Lomita,0,0,1,1,20591
, Nan, Nan,Long Beach,0,2,1,1,469893
, Nan, Nan,Los Angeles,23,33,34,34,3855122
, Nan, Nan,Los Gatos,0,0,0,1,30161
, Nan, Nan,Lynwood,1,0,0,0,70908
, Nan, Nan,Mammoth Lakes,0,1,0,0,8373
, Nan, Nan,Marysville,0,0,1,0,12254
, Nan, Nan,Merced,1,0,0,0,80976
, Nan, Nan,Milpitas,0,1,0,0,68433
, Nan, Nan,Modesto,2,1,0,2,204631
, Nan, Nan,Monrovia,0,0,2,0,37199
, Nan, Nan,Montclair,0,1,1,1,37556
, Nan, Nan,Monterey Park,0,1,1,0,61270
, Nan, Nan,Moreno Valley,0,0,0,1,199673
, Nan, Nan,Murrieta,0,0,1,1,106839
, Nan, Nan,Napa,0,0,1,0,78589
, Nan, Nan,National City,0,0,0,2,59920
, Nan, Nan,Newark,0,2,3,0,43539
, Nan, Nan,Newport Beach,0,1,4,2,87286
, Nan, Nan,Norwalk,0,2,0,0,107295
, Nan, Nan,Novato,1,0,1,0,52942
, Nan, Nan,Oakland,2,6,3,0,399487
, Nan, Nan,Oceanside,4,3,2,0,171141
, Nan, Nan,Ontario,1,0,0,1,167933
, Nan, Nan,Orange,0,0,0,1,139692
, Nan, Nan,Orland,1,0,0,0,7361
, Nan, Nan,Oxnard,0,1,1,2,201797
, Nan, Nan,Pacifica,0,1,2,0,38041
, Nan, Nan,Palmdale3,7,5,5,0,155294
, Nan, Nan,Palm Desert,1,0,0,0,50021
, Nan, Nan,Palm Springs,4,2,0,0,45996
, Nan, Nan,Palo Alto,0,3,0,1,66019
, Nan, Nan,Paradise,0,1,0,0,26492
, Nan, Nan,Paramount,2,1,0,1,54997
, Nan, Nan,Parlier,0,0,1,0,14828
, Nan, Nan,Pasadena,0,1,0,1,139382
, Nan, Nan,Paso Robles,0,0,1,0,30344
, Nan, Nan,Pico Rivera,0,0,0,1,63988
, Nan, Nan,Pinole,1,0,0,0,18864
, Nan, Nan,Pittsburg,0,1,0,0,64890
, Nan, Nan,Placerville,0,1,0,0,10479
, Nan, Nan,Pomona,0,2,1,1,151511
, Nan, Nan,Poway,0,1,0,0,48968
, Nan, Nan,Rancho Palos Verdes,1,0,0,0,42335
, Nan, Nan,Rancho Santa Margarita,0,0,0,1,49038
, Nan, Nan,Redding,2,3,6,3,90974
, Nan, Nan,Redlands,0,0,1,0,70399
, Nan, Nan,Redondo Beach,1,3,0,2,67856
, Nan, Nan,Redwood City,0,0,0,1,78466
, Nan, Nan,Reedley,1,0,0,0,24747
, Nan, Nan,Richmond,4,1,0,0,106357
, Nan, Nan,Riverside,5,2,3,2,313532
, Nan, Nan,Rosemead,0,2,0,0,54656
, Nan, Nan,Roseville,0,0,1,0,122896
, Nan, Nan,Sacramento,4,5,7,0,476557
, Nan, Nan,San Anselmo,0,1,0,0,12584
, Nan, Nan,San Bernardino,0,1,0,0,214987
, Nan, Nan,San Clemente,0,1,0,0,65089
, Nan, Nan,San Diego,10,6,8,10,1338477
, Nan, Nan,San Dimas,1,0,0,0,33923
, Nan, Nan,San Francisco,8,9,8,10,820363
, Nan, Nan,San Gabriel,1,0,0,0,40376
, Nan, Nan,San Jose,6,2,1,6,976459
, Nan, Nan,San Leandro,2,0,0,1,86869
, Nan, Nan,San Luis Obispo,2,2,0,0,45947
, Nan, Nan,San Marcos,1,0,0,1,85810
, Nan, Nan,San Mateo,1,0,0,0,99303
, Nan, Nan,San Rafael,0,1,0,2,58854
, Nan, Nan,Santa Ana,3,4,0,0,332482
, Nan, Nan,Santa Barbara, Nan,0,0,1,89871
, Nan, Nan,Santa Clarita3,4,2,2,1,179248
, Nan, Nan,Santa Cruz,2,3,3,2,60902
, Nan, Nan,Santa Maria,0,1,0,0,101207
, Nan, Nan,Santa Monica,2,4,4,1,91215
, Nan, Nan,Santa Paula,0,0,0,1,29899
, Nan, Nan,Santa Rosa,1,0,0,0,170862
, Nan, Nan,Saratoga,0,0,0,1,30683
, Nan, Nan,Scotts Valley,0,0,0,1,11775
, Nan, Nan,Sierra Madre,1,0,0,0,11098
, Nan, Nan,Simi Valley,3,0,0,0,126686
, Nan, Nan,Sonora,0,1,0,0,4911
, Nan, Nan,South Gate,0,0,1,0,95966
, Nan, Nan,Stockton,0,1,0,1,299105
, Nan, Nan,Sunnyvale,1,1,1,0,143606
, Nan, Nan,Taft,1,0,0,1,9552
, Nan, Nan,Tehachapi,1,0,0,0,14766
, Nan, Nan,Temecula,3,1,0,0,103414
, Nan, Nan,Temple City,0,0,1,0,36148
, Nan, Nan,Thousand Oaks,0,2,0,1,129171
, Nan, Nan,Torrance,1,1,0,0,147851
, Nan, Nan,Tracy,1,0,0,1,85047
, Nan, Nan,Tulare,0,0,0,1,60848
, Nan, Nan,Turlock,0,0,0,1,69730
, Nan, Nan,Ukiah,0,1,0,0,16172
, Nan, Nan,Union City,1,0,0,0,71089
, Nan, Nan,Upland,0,0,1,0,75531
, Nan, Nan,Vallejo,1,0,0,1,117912
, Nan, Nan,Ventura,0,2,1,0,108511
, Nan, Nan,Victorville,0,0,1,1,118687
, Nan, Nan,Villa Park,0,0,0,1,5956
, Nan, Nan,Visalia,1,0,1,0,127604
, Nan, Nan,Vista,0,1,3,0,96087
, Nan, Nan,Walnut Creek,0,0,0,1,65816
, Nan, Nan,Watsonville,2,0,0,1,52064
, Nan, Nan,West Covina,0,1,3,2,107861
, Nan, Nan,West Hollywood,2,5,2,4,34971
, Nan, Nan,Yorba Linda,0,0,0,1,65820
, Nan, Nan,Yucaipa,0,1,0,0,52622
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Allan Hancock College,0,1,0,2,10955
, Nan, Nan,"California State Polytechnic University, Pomona",0,0,0,1,21107
, Nan, Nan,California State University:, Nan, Nan, Nan, Nan,
, Nan, Nan,Dominguez Hills,0,0,0,1,14364
, Nan, Nan,Fullerton,1,1,1,0,36156
, Nan, Nan,Long Beach,0,0,0,1,34870
, Nan, Nan,Northridge,3,0,0,0,36911
, Nan, Nan,San Jose,0,0,0,2,30236
, Nan, Nan,San Marcos,0,0,0,2,10276
, Nan, Nan,Marin Community College,0,0,1,0,7075
