year,state,agencyType,agencyName,q01,q02,q03,q04,population,lookAtMe
2016,California,Cities,Hawaiian Gardens,0,1,0,0,14654,0
2016,California,Cities,Hawthorne,0,0,0,1,89299,0
2016,California,Cities,Hayward,0,0,1,1,161122,0
2016,California,Cities,Highland,0,0,1,0,55184,0
2016,California,Cities,Hollister,0,0,1,0,37953,0
2016,California,Cities,Huntington Beach,1,1,3,1,204071,0
2016,California,Cities,Huntington Park,1,0,0,0,59692,0
2016,California,Cities,Irvine,1,0,0,1,266663,0
2016,California,Cities,Jurupa Valley,0,1,0,0,101316,0
2016,California,Cities,Kingsburg,1,0,0,0,11905,0
2016,California,Cities,Laguna Beach,0,0,0,1,23486,0
2016,California,Cities,La Habra,0,1,0,0,62483,0
2016,California,Cities,Lake Elsinore,1,1,0,0,63907,0
2016,California,Cities,Lakewood,2,0,1,1,81921,0
2016,California,Cities,La Mesa,0,0,1,2,60681,0
2016,California,Cities,La Mirada,0,2,0,0,49715,0
2016,California,Cities,Lancaster,1,4,1,2,161963,0
2016,California,Cities,La Puente,1,0,0,0,40928,0
2016,California,Cities,Loma Linda,0,1,0,0,24190,0
2016,California,Cities,Long Beach,2,0,3,3,476476,0
2016,California,Cities,Los Angeles,55,56,52,64,4007905,0
2016,California,Cities,Malibu,1,0,0,1,13030,0
2016,California,Cities,Mammoth Lakes,0,1,0,0,7891,0
2016,California,Cities,Manteca,1,1,3,0,77104,0
2016,California,Cities,Merced,0,0,1,1,83106,0
2016,California,Cities,Modesto,2,4,2,3,212880,0
2016,California,Cities,Montclair,0,1,0,1,39085,0
2016,California,Cities,Monterey,0,0,0,1,28506,0
2016,California,Cities,Mountain View,1,0,0,0,81726,0
2016,California,Cities,Murrieta,0,0,0,1,111043,0
2016,California,Cities,Napa,0,0,0,1,81115,0
2016,California,Cities,National City,1,0,0,0,61550,0
2016,California,Cities,Newark,0,1,0,0,45893,0
2016,California,Cities,Norco,1,0,0,1,26132,0
2016,California,Cities,Norwalk,0,0,1,0,107453,0
2016,California,Cities,Novato,0,0,0,2,56263,0
2016,California,Cities,Oakland,3,2,2,2,424998,0
2016,California,Cities,Oceanside,1,3,1,2,177340,0
