year,state,agencyType,agencyName,q01,q02,q03,q04,population,lookatMe,
2013,California,Buena Park,Clearlake,1,0,0,1,14951,0,
2013,California,Buena Park,Clovis,0,1,1,2,99483,0,
2013,California,Buena Park,Colton,0,0,0,1,53403,0,
2013,California,Buena Park,Compton,0,1,0,1,97907,0,
2013,California,Buena Park,Concord,0,1,0,0,125464,0,
2013,California,Buena Park,Corcoran,0,0,1,0,23290,0,
2013,California,Buena Park,Corona,0,0,0,1,160159,0,
2013,California,Buena Park,Coronado,1,0,0,0,23183,0,
2013,California,Buena Park,Costa Mesa,0,0,0,1,112538,0,
2013,California,Buena Park,Covina,0,3,0,0,48524,0,
2013,California,Buena Park,Cupertino,0,0,0,1,60440,0,
2013,California,Buena Park,Cypress,0,0,1,0,49067,0,
2013,California,Buena Park,Daly City,1,0,1,1,104536,0,
2013,California,Buena Park,Dana Point,0,1,0,0,34262,0,
2013,California,Buena Park,Davis,3,4,0,1,66126,0,
2013,California,Buena Park,Duarte,1,0,1,0,21759,0,
2013,California,Buena Park,El Cajon,0,1,0,1,102012,0,
2013,California,Buena Park,El Cerrito,3,1,2,1,24184,0,
2013,California,Buena Park,Elk Grove,0,0,0,1,160925,0,
2013,California,Buena Park,El Monte,0,3,0,2,115591,0,
2013,California,Buena Park,Emeryville,0,1,0,0,10415,0,
2013,California,Buena Park,Encinitas,2,1,1,0,61433,0,
2013,California,Buena Park,Escondido,2,2,3,1,148650,0,
2013,California,Buena Park,Eureka,1,1,0,0,26881,0,
2013,California,Buena Park,Fairfield,1,0,0,2,108425,0,
2013,California,Buena Park,Fontana,0,1,0,0,203427,0,
2013,California,Buena Park,Foster City,1,0,0,0,32652,0,
2013,California,Buena Park,Fresno,3,3,1,3,508876,0,
2013,California,Buena Park,Fullerton,1,0,0,1,139676,0,
2013,California,Buena Park,Galt,0,0,1,0,24553,0,
2013,California,Buena Park,Garden Grove,0,1,2,1,175469,0,
2013,California,Buena Park,Gilroy,0,1,1,0,51240,0,
2013,California,Buena Park,Glendale,0,0,1,0,195366,0,
2013,California,Buena Park,Glendora,1,0,0,0,50893,0,
2013,California,Buena Park,Gridley,1,0,0,0,6563,0,
2013,California,Buena Park,Hanford,1,0,1,0,54425,0,
2013,California,Buena Park,Hawaiian Gardens,2,1,1,0,14437,0,
2013,California,Buena Park,Hayward,0,2,0,0,150955,0,
2013,California,Buena Park,Healdsburg,1,0,0,0,11483,0,
2013,California,Buena Park,Hercules,0,0,1,0,24831,0,
2013,California,Buena Park,Holtville,0,0,0,1,6022,0,
2013,California,Buena Park,Huntington Beach,0,1,0,0,195842,0,
2013,California,Buena Park,Imperial Beach,1,1,1,0,26998,0,
2013,California,Buena Park,Irvine,0,1,0,0,235830,0,
2013,California,Buena Park,Jurupa Valley,0,0,1,0,98090,0,
2013,California,Buena Park,Laguna Beach,0,1,0,0,23313,0,
2013,California,Buena Park,La Habra,0,0,1,0,61740,0,
2013,California,Buena Park,Lake Elsinore,0,0,2,0,56232,0,
2013,California,Buena Park,Lake Forest,1,0,0,1,79336,0,
2013,California,Buena Park,Lakewood,0,1,0,1,81086,0,
2013,California,Buena Park,La Mirada,1,2,0,0,49150,0,
2013,California,Buena Park,Lancaster,1,2,1,1,159792,0,
2013,California,Buena Park,La Quinta,1,0,1,0,39150,0,
2013,California,Buena Park,Lemon Grove,1,1,0,0,26156,0,
2013,California,Buena Park,Lemoore,1,0,0,0,24802,0,
2013,California,Buena Park,Livermore,0,0,1,0,84350,0,
2013,California,Buena Park,Lodi,0,1,1,0,63639,0,
2013,California,Buena Park,Lomita,0,1,0,0,20622,0,
2013,California,Buena Park,Long Beach,3,0,1,1,469665,0,
2013,California,Buena Park,Los Alamitos,1,0,0,0,11735,0,
2013,California,Buena Park,Los Angeles,21,40,25,28,3878725,0,
2013,California,Buena Park,Los Gatos,0,0,1,1,30351,0,
2013,California,Buena Park,Lynwood,0,0,0,1,71077,0,
2013,California,Buena Park,Malibu,0,0,1,0,12891,0,
2013,California,Buena Park,Manhattan Beach,0,0,0,1,35930,0,
2013,California,Buena Park,Manteca,1,1,0,1,72261,0,
2013,California,Buena Park,Milpitas,1,0,0,0,69522,0,
2013,California,Buena Park,Modesto,2,0,1,0,204252,0,
2013,California,Buena Park,Montclair,1,0,1,0,37785,0,
2013,California,Buena Park,Monterey,0,0,1,1,29338,0,
2013,California,Buena Park,Moreno Valley,0,0,0,1,201284,0,
2013,California,Buena Park,Morgan Hill,0,0,0,1,39907,0,
2013,California,Murrieta,Murrieta3,2,2,1,0,107768,0,
2013,California,Murrieta,National City,1,0,1,1,59637,0,
2013,California,Murrieta,Newark,1,1,0,1,43950,0,
2013,California,Murrieta,Newport Beach,0,0,2,1,87639,0,
2013,California,Murrieta,Norwalk,0,4,0,1,106518,0,
2013,California,Murrieta,Oakland,2,4,3,2,403887,0,
2013,California,Murrieta,Oceanside,2,4,2,0,172525,0,
2013,California,Murrieta,Ontario,0,1,0,0,168144,0,
2013,California,Murrieta,Orange,0,1,2,0,140304,0,
2013,California,Murrieta,Oroville,0,0,1,1,15581,0,
2013,California,Murrieta,Oxnard,0,0,0,1,202594,0,
2013,California,Murrieta,Pacifica,0,0,1,0,38494,0,
2013,California,Murrieta,Pacific Grove,1,0,0,0,15518,0,
2013,California,Murrieta,Palmdale,3,1,3,1,156522,0,
2013,California,Murrieta,Palm Springs,4,1,2,1,46282,0,
2013,California,Murrieta,Palo Alto,1,0,0,0,66964,0,
2013,California,Murrieta,Paramount,0,1,0,1,54868,0,
2013,California,Murrieta,Pasadena,0,0,1,2,139003,0,
2013,California,Murrieta,Pico Rivera,1,1,0,0,63710,0,
2013,California,Murrieta,Pinole,0,0,1,0,18848,0,
2013,California,Murrieta,Placentia,0,0,1,0,52002,0,
2013,California,Murrieta,Rancho Cordova,1,0,0,0,67634,0,
2013,California,Murrieta,Rancho Palos Verdes,0,0,0,1,42542,0,
2013,California,Murrieta,Red Bluff,0,1,0,2,14170,0,
2013,California,Murrieta,Redding,2,2,3,1,91035,0,
2013,California,Murrieta,Redlands,0,1,0,2,70282,0,
2013,California,Murrieta,Redondo Beach,1,2,1,1,67993,0,
2013,California,Murrieta,Redwood City,1,0,0,0,79707,0,
2013,California,Murrieta,Richmond,0,0,2,1,107341,0,
2013,California,Murrieta,Ridgecrest,0,1,0,0,28537,0,
2013,California,Murrieta,Riverside,7,4,0,5,316423,0,
2013,California,Murrieta,Rohnert Park,2,0,0,1,41326,0,
2013,California,Murrieta,Rolling Hills Estates,0,0,0,1,8229,0,
2013,California,Murrieta,Roseville,0,1,0,0,126236,0,
2013,California,Murrieta,Sacramento,2,5,6,3,478182,0,
2013,California,Murrieta,Salinas,0,0,0,2,155742,0,
2013,California,Murrieta,San Bernardino,0,0,2,1,214322,0,
2013,California,Murrieta,San Diego,7,10,17,9,1349306,0,
2013,California,Murrieta,San Dimas,1,0,0,0,33854,0,
2013,California,Murrieta,San Francisco,4,8,8,4,833863,0,
2013,California,Murrieta,San Jose,7,1,2,5,992143,0,
2013,California,Murrieta,San Leandro,2,1,2,0,87490,0,
2013,California,Murrieta,San Luis Obispo,0,0,2,0,46095,0,
2013,California,Murrieta,San Mateo,0,0,1,0,100440,0,
2013,California,Murrieta,Santa Ana,0,0,1,0,332848,0,
2013,California,Murrieta,Santa Barbara,0,0,1,1,90006,0,
2013,California,Murrieta,Santa Clara,0,0,2,0,120150,0,
2013,California,Murrieta,Santa Clarita,2,1,1,1,204951,0,
2013,California,Murrieta,Santa Cruz,1,0,0,1,62517,0,
2013,California,Murrieta,Santa Maria,0,0,0,1,102051,0,
2013,California,Murrieta,Santa Rosa,2,1,0,0,171564,0,
2013,California,Murrieta,Santee,2,0,1,0,55924,0,
2013,California,Murrieta,Saratoga,0,1,0,0,30897,0,
2013,California,Murrieta,Simi Valley,1,0,2,0,126215,0,
2013,California,Murrieta,Sonora,0,0,1,0,4774,0,
2013,California,Murrieta,South Gate,1,0,1,0,95591,0,
2013,California,Murrieta,South Lake Tahoe,0,0,1,0,21243,0,
2013,California,Murrieta,Stanton,0,1,0,0,39128,0,
2013,California,Murrieta,Stockton,1,0,0,1,299796,0,
2013,California,Murrieta,Sunnyvale,0,1,0,0,148160,0,
2013,California,Murrieta,Taft,1,0,0,0,8839,0,
2013,California,Murrieta,Tehachapi,1,0,1,0,13607,0,
2013,California,Murrieta,Temecula,0,0,1,0,106680,0,
2013,California,Murrieta,Temple City,0,0,0,1,36269,0,
2013,California,Murrieta,Thousand Oaks,0,0,0,1,128884,0,
2013,California,Murrieta,Torrance,0,0,2,0,147534,0,
2013,California,Murrieta,Tracy,2,1,3,0,85174,0,
2013,California,Murrieta,Turlock,0,0,0,1,70075,0,
2013,California,Murrieta,Union City,1,3,1,0,72480,0,
2013,California,Murrieta,Vallejo,0,2,0,0,118336,0,
2013,California,Murrieta,Ventura,1,0,0,0,108204,0,
2013,California,Murrieta,Vernon,0,1,0,0,115,0,
2013,California,Murrieta,Victorville,2,1,2,2,121699,0,
2013,California,Murrieta,Visalia,1,1,0,0,127824,0,
2013,California,Murrieta,Vista,0,1,0,1,96712,0,
2013,California,Murrieta,Walnut Creek,0,0,0,1,66149,0,
2013,California,Murrieta,West Covina,3,1,1,1,107867,0,
2013,California,Murrieta,West Hollywood,1,1,3,0,34902,0,
2013,California,Murrieta,Westlake Village,2,0,0,0,8440,0,
2013,California,Murrieta,Westminster,1,1,1,2,91885,0,
2013,California,Murrieta,Yorba Linda,0,0,0,1,67492,0,
2013,California,Murrieta,Yuba City,0,0,1,0,65133,0,
2013,California,Murrieta,Yucca Valley,0,0,1,0,21214,0,
2013,California,Universities and Colleges,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,California,Universities and Colleges,California State Polytechnic University:,DNR,DNR,DNR,DNR, Nan,1,
2013,California,Universities and Colleges,Pomona,1,0,0,0,22156,0,
2013,California,Universities and Colleges,San Luis Obispo,1,0,0,0,18679,0,
2013,California,Universities and Colleges,California State University:,DNR,DNR,DNR,DNR, Nan,1,
2013,California,Universities and Colleges,Dominguez Hills,1,0,1,0,13933,0,
2013,California,Universities and Colleges,Long Beach,0,1,0,0,36279,0,
2013,California,Universities and Colleges,San Bernardino,2,0,1,0,18234,0,
2013,California,Universities and Colleges,San Jose,1,1,1,1,30448,0,
2013,California,Universities and Colleges,San Marcos,1,0,0,0,10610,0,
2013,California,Universities and Colleges,Stanislaus,0,0,0,1,8882,0,
2013,California,Universities and Colleges,Humboldt State University,0,1,0,0,8116,0,
2013,California,Universities and Colleges,Marin Community College,2,0,0,0,7058,0,
2013,California,Universities and Colleges,University of California:,DNR,DNR,DNR,DNR, Nan,1,
2013,California,Universities and Colleges,Berkeley,1,1,4,1,35893,0,
2013,California,Universities and Colleges,Davis,0,3,0,0,32354,0,
2013,California,Universities and Colleges,Riverside,0,1,1,0,20947,0,
2013,California,Universities and Colleges,San Diego,0,1,0,0,28294,0,
2013,California,Universities and Colleges,Santa Cruz,1,0,0,0,17404,0,
2013,California,Metropolitan Counties,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,California,Metropolitan Counties,El Dorado,1,0,0,1, Nan,0,
2013,California,Metropolitan Counties,Kern,1,3,0,1, Nan,0,
2013,California,Metropolitan Counties,Kings,1,0,0,0, Nan,0,
2013,California,Metropolitan Counties,Los Angeles,14,10,11,15, Nan,0,
2013,California,Metropolitan Counties,Orange,1,0,0,1, Nan,0,
2013,California,Metropolitan Counties,Riverside,0,1,1,1, Nan,0,
2013,California,Metropolitan Counties,Sacramento,2,3,3,5, Nan,0,
2013,California,Metropolitan Counties,San Bernardino,1,0,3,2, Nan,0,
2013,California,Metropolitan Counties,San Diego,3,2,3,5, Nan,0,
2013,California,Metropolitan Counties,San Luis Obispo,0,0,1,3, Nan,0,
2013,California,Metropolitan Counties,San Mateo,0,1,0,0, Nan,0,
2013,California,Metropolitan Counties,Santa Barbara,1,2,1,0, Nan,0,
2013,California,Metropolitan Counties,Santa Clara,0,2,0,0, Nan,0,
2013,California,Metropolitan Counties,Santa Cruz,2,0,1,0, Nan,0,
2013,California,Metropolitan Counties,Shasta,3,1,2,0, Nan,0,
2013,California,Metropolitan Counties,Sonoma,0,0,2,0, Nan,0,
2013,California,Metropolitan Counties,Ventura,0,0,2,0, Nan,0,
2013,California,Metropolitan Counties,Yuba,0,0,1,0, Nan,0,
2013,California,Nonmetropolitan Counties,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,California,Nonmetropolitan Counties,Alpine,1,0,0,0, Nan,0,
2013,California,Nonmetropolitan Counties,Amador,0,0,1,0, Nan,0,
2013,California,Nonmetropolitan Counties,Calaveras,0,0,1,0, Nan,0,
2013,California,Nonmetropolitan Counties,Lake,2,0,0,0, Nan,0,
2013,California,State Police Agencies,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,California,State Police Agencies,"Highway Patrol, Plumas County",1,0,0,0, Nan,0,
2013,California,Other Agencies,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,California,Other Agencies,"Department of Parks and Recreation, Tehachapi District",0,0,1,0, Nan,0,
2013,California,Other Agencies,Fontana Unified School District,0,0,0,1, Nan,0,
2013,California,Other Agencies,Los Angeles Transportation Services Bureau,3,3,0,0, Nan,0,
2013,California,Other Agencies,Port of San Diego Harbor,0,1,1,1, Nan,0,
2013,California,Other Agencies,San Francisco Bay Area Rapid Transit:,DNR,DNR,DNR,DNR, Nan,1,
2013,California,Other Agencies,Alameda County,0,2,2,0, Nan,0,
2013,California,Other Agencies,Contra Costa County,1,0,0,0, Nan,0,
2013,California,Other Agencies,San Francisco County,2,0,0,0, Nan,0,
2013,Colorado,Total,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Colorado,Cities,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Colorado,Cities,Arvada,0,0,1,1,110792,0,
2013,Colorado,Cities,Aurora,1,3,0,2,343484,0,
2013,Colorado,Cities,Castle Rock,0,0,0,2,52309,0,
